"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","GO:1902358",0.00361069344497702,1,1,1,"sulfate transmembrane transport","BP"
"2","GO:0071249",0.0139555813366028,0.999939705675107,1,3,"cellular response to nitrate","BP"
"3","GO:0051091",0.0180212794465611,1,1,1,"positive regulation of DNA-binding transcription factor activity","BP"
"4","GO:2000280",0.0180844554697453,0.999923827991398,1,2,"regulation of root development","BP"
"5","GO:0042744",0.0190246396019951,0.999887674006204,1,3,"hydrogen peroxide catabolic process","BP"
"6","GO:0048510",0.0193925774907213,0.999912347164627,1,2,"regulation of timing of transition from vegetative to reproductive phase","BP"
"7","GO:2000033",0.0316891008844664,0.999647560311778,1,4,"regulation of seed dormancy process","BP"
"8","GO:0010102",0.036904264209505,0.999573621342488,1,3,"lateral root morphogenesis","BP"
"9","GO:0045036",0.040066453622247,0.999372331426606,1,6,"protein targeting to chloroplast","BP"
"10","GO:0006869",0.0574477817220108,0.998750984924956,1,5,"lipid transport","BP"
"11","GO:0009640",0.0650070849296753,0.998220688835773,1,9,"photomorphogenesis","BP"
"12","GO:0006979",0.0902145210696499,0.996431711800972,1,12,"response to oxidative stress","BP"
"13","GO:0006355",0.0936961863902936,0.986604370275174,2,72,"regulation of transcription, DNA-templated","BP"
"14","GO:0009733",0.115809694354725,0.993883632123616,1,18,"response to auxin","BP"
"15","GO:0009451",0.233446987980619,0.973114460696165,1,38,"RNA modification","BP"
"16","GO:0055114",0.343869574593732,0.938038690833704,1,63,"oxidation-reduction process","BP"
"17","GO:0008150",0.897086032017866,0.359838879814176,1,239,"biological_process","BP"
"18","GO:0051301",0.999999999999999,0.782107025305607,0,42,"cell division","BP"
"19","GO:0002181",1,0.73082803877966,0,27,"cytoplasmic translation","BP"
"20","GO:0000012",1,0.996365695866778,0,1,"single strand break repair","BP"
"21","GO:0000023",1,0.996440586628637,0,1,"maltose metabolic process","BP"
"22","GO:0000025",1,0.992753711167649,0,2,"maltose catabolic process","BP"
"23","GO:0000027",1,0.747693875820125,0,26,"ribosomal large subunit assembly","BP"
"24","GO:0000028",1,0.840327019196808,0,15,"ribosomal small subunit assembly","BP"
"25","GO:0000054",1,0.996307982814667,0,1,"ribosomal subunit export from nucleus","BP"
"26","GO:0000055",1,0.987270965054395,0,3,"ribosomal large subunit export from nucleus","BP"
"27","GO:0000056",1,0.993090504791808,0,2,"ribosomal small subunit export from nucleus","BP"
"28","GO:0000070",1,0.99595617159291,0,1,"mitotic sister chromatid segregation","BP"
"29","GO:0000076",1,0.989413730152973,0,2,"DNA replication checkpoint","BP"
"30","GO:0000079",1,0.948742570827091,0,8,"regulation of cyclin-dependent protein serine/threonine kinase activity","BP"
"31","GO:0000082",1,0.996017275797391,0,1,"G1/S transition of mitotic cell cycle","BP"
"32","GO:0000087",1,0.993021039871832,0,1,"mitotic M phase","BP"
"33","GO:0000105",1,0.991305059465139,0,2,"histidine biosynthetic process","BP"
"34","GO:0000122",1,0.994019834586982,0,1,"negative regulation of transcription by RNA polymerase II","BP"
"35","GO:0000154",1,0.977767248261827,0,2,"rRNA modification","BP"
"36","GO:0000162",1,0.992928788777788,0,1,"tryptophan biosynthetic process","BP"
"37","GO:0000184",1,0.99211689362014,0,2,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","BP"
"38","GO:0000226",1,0.935109016081275,0,10,"microtubule cytoskeleton organization","BP"
"39","GO:0000245",1,0.99024385235751,0,2,"spliceosomal complex assembly","BP"
"40","GO:0000271",1,0.995059563614208,0,1,"polysaccharide biosynthetic process","BP"
"41","GO:0000272",1,0.996148374197923,0,1,"polysaccharide catabolic process","BP"
"42","GO:0000278",1,0.878928486933638,0,20,"mitotic cell cycle","BP"
"43","GO:0000280",1,0.992519019501424,0,1,"nuclear division","BP"
"44","GO:0000281",1,0.989413730152973,0,2,"mitotic cytokinesis","BP"
"45","GO:0000302",1,0.961405166012404,0,6,"response to reactive oxygen species","BP"
"46","GO:0000304",1,0.988254216995525,0,1,"response to singlet oxygen","BP"
"47","GO:0000338",1,0.986049142573623,0,2,"protein deneddylation","BP"
"48","GO:0000349",1,0.992630428624155,0,2,"generation of catalytic spliceosome for first transesterification step","BP"
"49","GO:0000350",1,0.990762421722682,0,1,"generation of catalytic spliceosome for second transesterification step","BP"
"50","GO:0000354",1,0.992831342993715,0,1,"cis assembly of pre-catalytic spliceosome","BP"
"51","GO:0000372",1,0.9963338008387,0,1,"Group I intron splicing","BP"
"52","GO:0000373",1,0.967416954903876,0,7,"Group II intron splicing","BP"
"53","GO:0000374",1,0.99607789087834,0,1,"Group III intron splicing","BP"
"54","GO:0000379",1,0.98870347913983,0,1,"tRNA-type intron splice site recognition and cleavage","BP"
"55","GO:0000380",1,0.987626687352325,0,1,"alternative mRNA splicing, via spliceosome","BP"
"56","GO:0000381",1,0.967780860869565,0,6,"regulation of alternative mRNA splicing, via spliceosome","BP"
"57","GO:0000387",1,0.95963748995988,0,3,"spliceosomal snRNP assembly","BP"
"58","GO:0000389",1,0.990762421722682,0,1,"mRNA 3'-splice site recognition","BP"
"59","GO:0000395",1,0.995407918234002,0,1,"mRNA 5'-splice site recognition","BP"
"60","GO:0000398",1,0.864290501670349,0,22,"mRNA splicing, via spliceosome","BP"
"61","GO:0000413",1,0.927650941969467,0,8,"protein peptidyl-prolyl isomerization","BP"
"62","GO:0000447",1,0.971826046055468,0,3,"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP"
