"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","ARA:PWY-4302",0.0238277320756548,1,1,2,"aerobic respiration III (alternative oxidase pathway)","BioCyc"
"2","ARA:ARG-PRO-PWY",1,0.992027932283254,0,1,"L-arginine degradation VI (arginase 2 pathway)","BioCyc"
"3","ARA:ARGSYN-PWY",1,0.987001067520148,0,3,"L-arginine biosynthesis I (via L-ornithine)","BioCyc"
"4","ARA:ARGSYNBSUB-PWY",1,0.987001067520148,0,3,"L-arginine biosynthesis II (acetyl cycle)","BioCyc"
"5","ARA:ASPARAGINE-BIOSYNTHESIS",1,0.996566388015777,0,1,"L-asparagine biosynthesis I","BioCyc"
"6","ARA:ASPARAGINE-DEG1-PWY",1,0.990339425014301,0,1,"L-asparagine degradation I","BioCyc"
"7","ARA:ASPARAGINESYN-PWY",1,0.996566388015777,0,1,"L-asparagine biosynthesis II","BioCyc"
"8","ARA:ASPASN-ARA-PWY",1,0.986905813030078,0,2,"superpathway of aspartate and asparagine biosynthesis","BioCyc"
"9","ARA:BRANCHED-CHAIN-AA-SYN-PWY",1,0.962697976944693,0,6,"superpathway of branched chain amino acid biosynthesis","BioCyc"
"10","ARA:BSUBPOLYAMSYN-PWY",1,0.982044450076684,0,3,"spermidine biosynthesis I","BioCyc"
"11","ARA:CAMALEXIN-SYN",1,0.99527840588836,0,1,"camalexin biosynthesis","BioCyc"
"12","ARA:CHLOROPHYLL-SYN",1,0.975844259975343,0,3,"3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)","BioCyc"
"13","ARA:CITRULBIO-PWY",1,0.98631550941455,0,4,"L-citrulline biosynthesis","BioCyc"
"14","ARA:COMPLETE-ARO-ARA-PWY",1,0.993463260226494,0,1,"superpathway of phenylalanine, tyrosine and tryptophan biosynthesis","BioCyc"
"15","ARA:CYSTSYN-PWY",1,0.98335675571365,0,2,"L-cysteine biosynthesis I","BioCyc"
"16","ARA:DETOX1-PWY",1,0.992287054367071,0,1,"superoxide radicals degradation","BioCyc"
"17","ARA:DETOX1-PWY-1",1,0.992287054367071,0,1,"reactive oxygen species degradation","BioCyc"
"18","ARA:ETHYL-PWY",1,0.991762477014192,0,1,"ethylene biosynthesis I (plants)","BioCyc"
"19","ARA:GLUCONEO-PWY",1,0.996601060929625,0,1,"gluconeogenesis I","BioCyc"
"20","ARA:GLUCOSE1PMETAB-PWY",1,0.996578684791167,0,1,"glucose and glucose-1-phosphate degradation","BioCyc"
