"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","GO:0005887",0.000584606301513199,0.999996015426556,2,5,"integral component of plasma membrane","CC"
"2","GO:0005576",0.0218624784330947,0.997401065883152,3,98,"extracellular region","CC"
"3","GO:0005634",0.162128784681732,0.938359001307132,7,709,"nucleus","CC"
"4","GO:0009505",0.178696481362203,0.984659285199043,1,34,"plant-type cell wall","CC"
"5","GO:0005618",0.404182157120878,0.911789396035983,1,63,"cell wall","CC"
"6","GO:0016020",0.424863875832591,0.837346451925608,2,182,"membrane","CC"
"7","GO:0009506",0.735557292803592,0.636346762390452,1,155,"plasmodesma","CC"
"8","GO:0009507",0.768585693121051,0.461641977147967,3,485,"chloroplast","CC"
"9","GO:0005739",0.88916475513338,0.377642220996192,1,251,"mitochondrion","CC"
"10","GO:0005794",0.999999999999999,0.549915540774617,0,92,"Golgi apparatus","CC"
"11","GO:0022626",1,0.277052134523861,0,104,"cytosolic ribosome","CC"
"12","GO:0005737",1,0.0179002174527715,0,440,"cytoplasm","CC"
"13","GO:0005840",1,0.124052322256847,0,163,"ribosome","CC"
"14","GO:0000139",1,0.854666812352985,0,31,"Golgi membrane","CC"
"15","GO:0000148",1,0.997390962029007,0,1,"1,3-beta-D-glucan synthase complex","CC"
"16","GO:0000151",1,0.994086155529138,0,2,"ubiquitin ligase complex","CC"
"17","GO:0000159",1,0.996305417224405,0,1,"protein phosphatase type 2A complex","CC"
"18","GO:0000176",1,0.981688601144348,0,2,"nuclear exosome (RNase complex)","CC"
"19","GO:0000177",1,0.981688601144348,0,2,"cytoplasmic exosome (RNase complex)","CC"
"20","GO:0000178",1,0.99054092452299,0,1,"exosome (RNase complex)","CC"
"21","GO:0000214",1,0.98870347913983,0,1,"tRNA-intron endonuclease complex","CC"
"22","GO:0000243",1,0.975083774906111,0,2,"commitment complex","CC"
"23","GO:0000275",1,0.995954580768704,0,1,"mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)","CC"
"24","GO:0000307",1,0.95084628027505,0,8,"cyclin-dependent protein kinase holoenzyme complex","CC"
"25","GO:0000311",1,0.971270666218128,0,2,"plastid large ribosomal subunit","CC"
"26","GO:0000312",1,0.975976325640933,0,1,"plastid small ribosomal subunit","CC"
"27","GO:0000325",1,0.996290651369508,0,1,"plant-type vacuole","CC"
"28","GO:0000346",1,0.995769531333084,0,1,"transcription export complex","CC"
"29","GO:0000347",1,0.992649392756894,0,2,"THO complex","CC"
"30","GO:0000418",1,0.972340874081898,0,3,"RNA polymerase IV complex","CC"
"31","GO:0000419",1,0.975737801744046,0,4,"RNA polymerase V complex","CC"
"32","GO:0000427",1,0.996148374197923,0,1,"plastid-encoded plastid RNA polymerase complex","CC"
