"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","path:ath00940",0.00620755532929901,1,1,4,"Phenylpropanoid biosynthesis","KEGG"
"2","path:ath01110",0.0965258752485104,1,1,73,"Biosynthesis of secondary metabolites","KEGG"
"3","path:ath01100",0.165472296455742,1,1,131,"Metabolic pathways","KEGG"
"4","path:ath00010",1,0.998177710919134,0,2,"Glycolysis / Gluconeogenesis","KEGG"
"5","path:ath00020",1,0.99863938175749,0,1,"Citrate cycle (TCA cycle)","KEGG"
"6","path:ath00040",1,0.995344184373533,0,5,"Pentose and glucuronate interconversions","KEGG"
"7","path:ath00051",1,0.998481896242359,0,1,"Fructose and mannose metabolism","KEGG"
"8","path:ath00052",1,0.999212797002355,0,1,"Galactose metabolism","KEGG"
"9","path:ath00053",1,0.992144842747823,0,6,"Ascorbate and aldarate metabolism","KEGG"
"10","path:ath00061",1,0.999206087151838,0,1,"Fatty acid biosynthesis","KEGG"
"11","path:ath00073",1,0.997612000261971,0,1,"Cutin, suberine and wax biosynthesis","KEGG"
"12","path:ath00100",1,0.994409207905254,0,4,"Steroid biosynthesis","KEGG"
"13","path:ath00130",1,0.998171952492511,0,2,"Ubiquinone and other terpenoid-quinone biosynthesis","KEGG"
"14","path:ath00190",1,0.999130184605005,0,1,"Oxidative phosphorylation","KEGG"
"15","path:ath00220",1,0.995876355487594,0,3,"Arginine biosynthesis","KEGG"
"16","path:ath00230",1,0.984668335073707,0,12,"Purine metabolism","KEGG"
"17","path:ath00240",1,0.994182330248307,0,4,"Pyrimidine metabolism","KEGG"
"18","path:ath00250",1,0.992527088079754,0,6,"Alanine, aspartate and glutamate metabolism","KEGG"
"19","path:ath00260",1,0.991992782577369,0,5,"Glycine, serine and threonine metabolism","KEGG"
"20","path:ath00261",1,0.996406369709716,0,3,"Monobactam biosynthesis","KEGG"
"21","path:ath00270",1,0.98087560092453,0,14,"Cysteine and methionine metabolism","KEGG"
"22","path:ath00280",1,0.999203901624753,0,1,"Valine, leucine and isoleucine degradation","KEGG"
"23","path:ath00290",1,0.991311632354811,0,6,"Valine, leucine and isoleucine biosynthesis","KEGG"
"24","path:ath00300",1,0.994349763081473,0,5,"Lysine biosynthesis","KEGG"
"25","path:ath00330",1,0.993960952898271,0,4,"Arginine and proline metabolism","KEGG"
"26","path:ath00340",1,0.99812644388616,0,2,"Histidine metabolism","KEGG"
"27","path:ath00350",1,0.998966537846837,0,1,"Tyrosine metabolism","KEGG"
"28","path:ath00360",1,0.996817312012987,0,2,"Phenylalanine metabolism","KEGG"
"29","path:ath00380",1,0.998900248775985,0,1,"Tryptophan metabolism","KEGG"
"30","path:ath00400",1,0.997444003847302,0,2,"Phenylalanine, tyrosine and tryptophan biosynthesis","KEGG"
"31","path:ath00410",1,0.995021704354272,0,4,"beta-Alanine metabolism","KEGG"
"32","path:ath00440",1,0.999204774386556,0,1,"Phosphonate and phosphinate metabolism","KEGG"
"33","path:ath00450",1,0.998412524731536,0,2,"Selenocompound metabolism","KEGG"
"34","path:ath00460",1,0.996921191606923,0,2,"Cyanoamino acid metabolism","KEGG"
"35","path:ath00480",1,0.992000640409256,0,6,"Glutathione metabolism","KEGG"
"36","path:ath00500",1,0.989274535577877,0,11,"Starch and sucrose metabolism","KEGG"
"37","path:ath00510",1,0.990889027054065,0,8,"N-Glycan biosynthesis","KEGG"
"38","path:ath00514",1,0.998201289284053,0,1,"Other types of O-glycan biosynthesis","KEGG"
"39","path:ath00520",1,0.98903341102012,0,10,"Amino sugar and nucleotide sugar metabolism","KEGG"
"40","path:ath00561",1,0.996992763454945,0,3,"Glycerolipid metabolism","KEGG"
"41","path:ath00562",1,0.99679832558781,0,2,"Inositol phosphate metabolism","KEGG"
"42","path:ath00563",1,0.998088280373605,0,1,"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","KEGG"
"43","path:ath00564",1,0.992252231890899,0,6,"Glycerophospholipid metabolism","KEGG"
"44","path:ath00565",1,0.999204774386556,0,1,"Ether lipid metabolism","KEGG"
"45","path:ath00590",1,0.998971704595297,0,1,"Arachidonic acid metabolism","KEGG"
"46","path:ath00620",1,0.995260225855255,0,5,"Pyruvate metabolism","KEGG"
"47","path:ath00640",1,0.997049370534081,0,3,"Propanoate metabolism","KEGG"
"48","path:ath00650",1,0.997822815439887,0,2,"Butanoate metabolism","KEGG"
"49","path:ath00660",1,0.992106031639441,0,5,"C5-Branched dibasic acid metabolism","KEGG"
"50","path:ath00670",1,0.998314760228502,0,2,"One carbon pool by folate","KEGG"
"51","path:ath00710",1,0.999208320894466,0,1,"Carbon fixation in photosynthetic organisms","KEGG"
"52","path:ath00740",1,0.996649195165505,0,2,"Riboflavin metabolism","KEGG"
"53","path:ath00750",1,0.992393346882943,0,4,"Vitamin B6 metabolism","KEGG"
"54","path:ath00770",1,0.997028416155256,0,3,"Pantothenate and CoA biosynthesis","KEGG"
"55","path:ath00780",1,0.999208078684763,0,1,"Biotin metabolism","KEGG"
"56","path:ath00785",1,0.997138596430804,0,1,"Lipoic acid metabolism","KEGG"
"57","path:ath00790",1,0.996246603155887,0,4,"Folate biosynthesis","KEGG"
"58","path:ath00860",1,0.989193683440987,0,6,"Porphyrin and chlorophyll metabolism","KEGG"
"59","path:ath00905",1,0.994344408102449,0,4,"Brassinosteroid biosynthesis","KEGG"
"60","path:ath00906",1,0.999192834925717,0,1,"Carotenoid biosynthesis","KEGG"
"61","path:ath00908",1,0.997716988182487,0,2,"Zeatin biosynthesis","KEGG"
"62","path:ath00920",1,0.996537711422745,0,2,"Sulfur metabolism","KEGG"
"63","path:ath00941",1,0.99785077416615,0,1,"Flavonoid biosynthesis","KEGG"
"64","path:ath00945",1,0.99785077416615,0,1,"Stilbenoid, diarylheptanoid and gingerol biosynthesis","KEGG"
"65","path:ath00950",1,0.998966537846837,0,1,"Isoquinoline alkaloid biosynthesis","KEGG"
"66","path:ath00960",1,0.998966537846837,0,1,"Tropane, piperidine and pyridine alkaloid biosynthesis","KEGG"
"67","path:ath00966",1,0.998900248775985,0,1,"Glucosinolate biosynthesis","KEGG"
"68","path:ath00970",1,0.984788513471037,0,16,"Aminoacyl-tRNA biosynthesis","KEGG"
"69","path:ath01200",1,0.988370790125905,0,9,"Carbon metabolism","KEGG"
"70","path:ath01210",1,0.98599136305734,0,10,"2-Oxocarboxylic acid metabolism","KEGG"
"71","path:ath01212",1,0.999206087151838,0,1,"Fatty acid metabolism","KEGG"
"72","path:ath01230",1,0.961453715138367,0,28,"Biosynthesis of amino acids","KEGG"
"73","path:ath03008",1,0.967655622499048,0,25,"Ribosome biogenesis in eukaryotes","KEGG"
"74","path:ath03010",1,0.460773974209895,0,205,"Ribosome","KEGG"
"75","path:ath03013",1,0.948541017689946,0,47,"RNA transport","KEGG"
"76","path:ath03015",1,0.9800459808187,0,15,"mRNA surveillance pathway","KEGG"
"77","path:ath03018",1,0.979215545836353,0,19,"RNA degradation","KEGG"
"78","path:ath03020",1,0.988009109003573,0,5,"RNA polymerase","KEGG"
"79","path:ath03022",1,0.997192401592895,0,2,"Basal transcription factors","KEGG"
"80","path:ath03030",1,0.985576449606379,0,10,"DNA replication","KEGG"
"81","path:ath03040",1,0.938609338549353,0,41,"Spliceosome","KEGG"
"82","path:ath03050",1,0.998813476229382,0,1,"Proteasome","KEGG"
"83","path:ath03060",1,0.995446257779052,0,5,"Protein export","KEGG"
"84","path:ath03410",1,0.994079089944882,0,4,"Base excision repair","KEGG"
"85","path:ath03420",1,0.984761151646037,0,10,"Nucleotide excision repair","KEGG"
"86","path:ath03430",1,0.985674348342223,0,10,"Mismatch repair","KEGG"
"87","path:ath03440",1,0.986338208472268,0,11,"Homologous recombination","KEGG"
"88","path:ath04016",1,0.996992079138367,0,2,"MAPK signaling pathway - plant","KEGG"
"89","path:ath04070",1,0.997708464342246,0,1,"Phosphatidylinositol signaling system","KEGG"
"90","path:ath04075",1,0.983273701896174,0,13,"Plant hormone signal transduction","KEGG"
"91","path:ath04120",1,0.991629231119807,0,8,"Ubiquitin mediated proteolysis","KEGG"
"92","path:ath04122",1,0.998573346435918,0,1,"Sulfur relay system","KEGG"
"93","path:ath04136",1,0.998410910547024,0,2,"Autophagy - other","KEGG"
"94","path:ath04141",1,0.986377644294267,0,13,"Protein processing in endoplasmic reticulum","KEGG"
"95","path:ath04144",1,0.993457800048168,0,5,"Endocytosis","KEGG"
"96","path:ath04145",1,0.988247836540388,0,8,"Phagosome","KEGG"
"97","path:ath04146",1,0.994105153482714,0,3,"Peroxisome","KEGG"
"98","path:ath04626",1,0.992113706117949,0,6,"Plant-pathogen interaction","KEGG"
"99","path:ath04712",1,0.999162156947268,0,1,"Circadian rhythm - plant","KEGG"
"100","path:ath04933",1,0.998297938880745,0,1,"AGE-RAGE signaling pathway in diabetic complications","KEGG"
