rawfq_R1,rawfq_R2,sample
13172195,9729822,HKSynCom33_1
10767044,9283353,HKSynCom33_2
10878033,9198255,HKSynCom33_3
8651910,8651910,HKSynCom33_4
6075012,6075012,HKSynCom33_Flg22_1
11499848,9614129,HKSynCom33_Flg22_2
11608298,9844993,HKSynCom33_Flg22_3
8763571,8763571,HKSynCom33_Flg22_4
10084160,7908377,HKSynCom35_1
6297490,6297490,HKSynCom35_2
9915057,8189791,HKSynCom35_3
12587610,10199864,HKSynCom35_4
6873637,6873637,HKSynCom35_Flg22_1
6461144,6461144,HKSynCom35_Flg22_2
8719346,8719346,HKSynCom35_Flg22_3
12973482,11150845,HKSynCom35_Flg22_4
13036385,10756677,Mock_1
11495909,10171678,Mock_2
14230460,11004665,Mock_3
12354390,10130421,Mock_4
11018794,8590708,Mock_Flg22_1
11452528,9666855,Mock_Flg22_2
13355598,10598626,Mock_Flg22_3
10720255,9221887,Mock_Flg22_4
8734292,8734033,SynCom33_1
13777849,11413686,SynCom33_2
12414664,10366002,SynCom33_3
12574124,10242373,SynCom33_4
11354523,8406694,SynCom33_Flg22_1
11098796,9365629,SynCom33_Flg22_2
12743113,8619193,SynCom33_Flg22_3
9369409,9369409,SynCom33_Flg22_4
11683102,10075779,SynCom35_1
10254853,8620942,SynCom35_2
8767980,8767980,SynCom35_3
12844974,11011851,SynCom35_4
11048570,9097786,SynCom35_Flg22_1
10988696,8829829,SynCom35_Flg22_2
8719287,8719287,SynCom35_Flg22_3
11436243,9833980,SynCom35_Flg22_4
