Cluster,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
Nonsupp,GO:0010243,response to organonitrogen compound,54/603,443/20876,2.879936813588787e-19,3.1996097998971424e-16,2.594974644665265e-16,AT4G39670/AT4G14365/AT2G22500/AT2G42360/AT3G04640/AT1G73805/AT4G03280/AT1G76650/AT4G27280/AT1G09070/AT5G14930/AT2G27660/AT1G18570/AT1G66090/AT5G05410/AT1G27730/AT3G56400/AT3G59080/AT5G66190/AT4G26120/AT4G18950/AT5G57220/AT2G04450/AT2G41100/AT2G37430/AT3G47480/AT1G51790/AT5G37490/AT2G29630/AT3G54420/AT5G66570/AT3G53600/AT2G46400/AT1G24140/AT1G51620/AT5G51060/AT2G26560/AT5G45340/AT3G17700/AT2G18690/AT4G11280/AT1G34180/AT3G52430/AT5G56960/AT4G33050/AT1G20823/AT2G26150/AT2G39200/AT5G05730/AT3G54640/AT4G01250/AT3G23250/AT1G64380/AT5G26920,54
Nonsupp,GO:0010200,response to chitin,52/603,421/20876,7.651655233569451e-19,4.2504944822478304e-16,3.4472720420712896e-16,AT4G39670/AT4G14365/AT2G22500/AT2G42360/AT3G04640/AT1G73805/AT4G03280/AT1G76650/AT4G27280/AT1G09070/AT5G14930/AT2G27660/AT1G18570/AT1G66090/AT5G05410/AT1G27730/AT3G56400/AT3G59080/AT5G66190/AT4G26120/AT4G18950/AT5G57220/AT2G04450/AT2G41100/AT2G37430/AT3G47480/AT1G51790/AT5G37490/AT3G54420/AT5G66570/AT3G53600/AT2G46400/AT1G24140/AT1G51620/AT2G26560/AT5G45340/AT3G17700/AT2G18690/AT4G11280/AT1G34180/AT3G52430/AT5G56960/AT4G33050/AT1G20823/AT2G26150/AT2G39200/AT5G05730/AT3G54640/AT4G01250/AT3G23250/AT1G64380/AT5G26920,52
Nonsupp,GO:0009636,response to toxic substance,52/603,430/20876,1.94275054118189e-18,7.194652837510266e-16,5.835068292111221e-16,AT2G36950/AT3G09350/AT1G23550/AT5G12030/AT4G18170/AT1G78360/AT5G16980/AT3G09440/AT3G04710/AT2G29450/AT2G20560/AT3G17790/AT5G05410/AT1G17180/AT4G12400/AT1G05680/AT5G48180/AT4G21120/AT1G74310/AT3G47780/AT4G02520/AT5G51440/AT1G14200/AT1G02920/AT4G14030/AT1G49860/AT1G27140/AT2G35730/AT3G28740/AT2G25140/AT5G64510/AT1G02930/AT3G12580/AT2G19310/AT2G15490/AT1G05560/AT5G52640/AT5G12110/AT2G34500/AT2G26150/AT1G75270/AT2G39200/AT4G26470/AT3G25230/AT3G24500/AT5G09590/AT3G13610/AT3G58810/AT4G21320/AT2G02930/AT2G47730/AT5G16970,52
Nonsupp,GO:0071456,cellular response to hypoxia,15/603,24/20876,7.0435689307566e-18,1.9563512705176455e-15,1.5866565801914866e-15,AT5G64905/AT1G19250/AT3G03670/AT1G26380/AT5G57220/AT1G57630/AT5G25250/AT2G23270/AT4G31970/AT1G14540/AT2G26560/AT1G53620/AT2G26150/AT1G14550/AT5G26920,15
Nonsupp,GO:0042537,benzene-containing compound metabolic process,39/603,261/20876,3.0926069591116756e-17,6.261558342531568e-15,5.078302090299892e-15,AT2G36950/AT4G39670/AT2G04430/AT2G17500/AT4G14365/AT1G73805/AT4G03280/AT5G14930/AT1G18570/AT1G66090/AT3G56400/AT5G66190/AT4G26120/AT1G57630/AT2G04450/AT2G37760/AT3G47480/AT5G61900/AT1G10340/AT4G04620/AT5G66570/AT2G46400/AT2G26560/AT4G39890/AT5G67340/AT3G17700/AT3G07720/AT1G01560/AT5G43910/AT1G05560/AT3G52430/AT4G33050/AT5G05730/AT5G61820/AT1G64160/AT3G54640/AT2G39010/AT2G45760/AT5G26920,39
Nonsupp,GO:0036294,cellular response to decreased oxygen levels,15/603,26/20876,3.9451762734222296e-17,6.261558342531568e-15,5.078302090299892e-15,AT5G64905/AT1G19250/AT3G03670/AT1G26380/AT5G57220/AT1G57630/AT5G25250/AT2G23270/AT4G31970/AT1G14540/AT2G26560/AT1G53620/AT2G26150/AT1G14550/AT5G26920,15
Nonsupp,GO:0071453,cellular response to oxygen levels,15/603,26/20876,3.9451762734222296e-17,6.261558342531568e-15,5.078302090299892e-15,AT5G64905/AT1G19250/AT3G03670/AT1G26380/AT5G57220/AT1G57630/AT5G25250/AT2G23270/AT4G31970/AT1G14540/AT2G26560/AT1G53620/AT2G26150/AT1G14550/AT5G26920,15
Nonsupp,GO:0001666,response to hypoxia,24/603,100/20876,7.421958128321146e-16,1.0307244350705992e-13,8.359468628740659e-14,AT5G63790/AT5G11920/AT5G64905/AT1G73805/AT1G19250/AT3G03670/AT1G35140/AT1G26380/AT3G56400/AT4G33070/AT5G57220/AT1G57630/AT5G25250/AT1G49860/AT2G23270/AT4G31970/AT1G14540/AT2G26560/AT4G04700/AT1G53620/AT3G52430/AT2G26150/AT1G14550/AT5G26920,24
Nonsupp,GO:0036293,response to decreased oxygen levels,24/603,103/20876,1.5306215655547697e-15,1.8894672881459436e-13,1.5324117662162373e-13,AT5G63790/AT5G11920/AT5G64905/AT1G73805/AT1G19250/AT3G03670/AT1G35140/AT1G26380/AT3G56400/AT4G33070/AT5G57220/AT1G57630/AT5G25250/AT1G49860/AT2G23270/AT4G31970/AT1G14540/AT2G26560/AT4G04700/AT1G53620/AT3G52430/AT2G26150/AT1G14550/AT5G26920,24
Nonsupp,GO:0070482,response to oxygen levels,24/603,104/20876,1.936774148069387e-15,2.1517560785050887e-13,1.745135442891995e-13,AT5G63790/AT5G11920/AT5G64905/AT1G73805/AT1G19250/AT3G03670/AT1G35140/AT1G26380/AT3G56400/AT4G33070/AT5G57220/AT1G57630/AT5G25250/AT1G49860/AT2G23270/AT4G31970/AT1G14540/AT2G26560/AT4G04700/AT1G53620/AT3G52430/AT2G26150/AT1G14550/AT5G26920,24
