Cluster,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
Mock_HK,GO:0010054,trichoblast differentiation,43/299,354/20876,2.38833644707389e-27,2.1805511761784617e-24,1.8553603136216114e-24,AT4G12550/AT1G75750/AT1G37130/AT3G49960/AT4G25220/AT5G22410/AT3G53420/AT4G15290/AT3G62680/AT2G19060/AT1G12950/AT5G06640/AT5G04960/AT5G57540/AT2G32300/AT5G57530/AT1G12040/AT1G54970/AT2G20520/AT4G40090/AT5G67400/AT5G19800/AT4G02270/AT4G26010/AT5G35190/AT4G25820/AT4G25790/AT5G60660/AT5G53250/AT1G34510/AT1G70460/AT3G10710/AT5G05500/AT5G56540/AT2G06850/AT1G48930/AT1G30870/AT1G31420/AT5G12330/AT3G54870/AT5G49270/AT5G17820/AT4G30670,43
Mock_HK,GO:0010053,root epidermal cell differentiation,43/299,365/20876,8.459896159544886e-27,3.86194259683224e-24,3.2860017714442763e-24,AT4G12550/AT1G75750/AT1G37130/AT3G49960/AT4G25220/AT5G22410/AT3G53420/AT4G15290/AT3G62680/AT2G19060/AT1G12950/AT5G06640/AT5G04960/AT5G57540/AT2G32300/AT5G57530/AT1G12040/AT1G54970/AT2G20520/AT4G40090/AT5G67400/AT5G19800/AT4G02270/AT4G26010/AT5G35190/AT4G25820/AT4G25790/AT5G60660/AT5G53250/AT1G34510/AT1G70460/AT3G10710/AT5G05500/AT5G56540/AT2G06850/AT1G48930/AT1G30870/AT1G31420/AT5G12330/AT3G54870/AT5G49270/AT5G17820/AT4G30670,43
Mock_HK,GO:0090627,plant epidermal cell differentiation,43/299,375/20876,2.570415568782555e-26,7.822631380994908e-24,6.656023472847459e-24,AT4G12550/AT1G75750/AT1G37130/AT3G49960/AT4G25220/AT5G22410/AT3G53420/AT4G15290/AT3G62680/AT2G19060/AT1G12950/AT5G06640/AT5G04960/AT5G57540/AT2G32300/AT5G57530/AT1G12040/AT1G54970/AT2G20520/AT4G40090/AT5G67400/AT5G19800/AT4G02270/AT4G26010/AT5G35190/AT4G25820/AT4G25790/AT5G60660/AT5G53250/AT1G34510/AT1G70460/AT3G10710/AT5G05500/AT5G56540/AT2G06850/AT1G48930/AT1G30870/AT1G31420/AT5G12330/AT3G54870/AT5G49270/AT5G17820/AT4G30670,43
Mock_HK,GO:0010015,root morphogenesis,46/299,458/20876,1.2534915311088077e-25,2.8610944197558533e-23,2.4344124998902632e-23,AT2G04160/AT4G12550/AT1G75750/AT1G37130/AT3G49960/AT4G25220/AT5G22410/AT3G53420/AT4G15290/AT3G62680/AT2G19060/AT1G12950/AT5G06640/AT5G04960/AT5G57540/AT2G32300/AT5G57530/AT1G12040/AT1G54970/AT2G20520/AT4G40090/AT5G67400/AT5G19800/AT4G02270/AT4G26010/AT5G35190/AT4G25820/AT4G25790/AT5G60660/AT5G53250/AT1G34510/AT1G70460/AT3G10710/AT5G05500/AT5G56540/AT2G06850/AT1G48930/AT1G30870/AT1G31420/AT5G12330/AT3G54870/AT5G49270/AT2G45470/AT3G04630/AT5G17820/AT4G30670,46
Mock_HK,GO:0010167,response to nitrate,19/299,197/20876,6.943228916578559e-11,1.2678336001672449e-8,1.0787585137757846e-8,AT5G01490/AT5G47450/AT4G19680/AT4G17340/AT4G01700/AT1G12740/AT4G02270/AT4G26010/AT5G64120/AT5G53250/AT5G50760/AT1G08090/AT2G22470/AT4G21680/AT5G17820/AT3G47040/AT4G30670/AT2G14100/AT1G18970,19
Mock_HK,GO:0015698,inorganic anion transport,21/299,256/20876,1.437653150962656e-10,2.1876288780481747e-8,1.86138250072007e-8,AT5G01490/AT5G47450/AT4G19680/AT4G17340/AT4G08620/AT4G01700/AT4G19030/AT1G12740/AT4G02270/AT4G26010/AT5G64120/AT5G53250/AT5G50760/AT1G08090/AT2G22470/AT3G21510/AT5G17820/AT3G47040/AT4G30670/AT2G14100/AT1G18970,21
Mock_HK,GO:0048764,trichoblast maturation,23/299,323/20876,3.155960990873532e-10,3.402215291700725e-8,2.8948347094888284e-8,AT4G12550/AT1G75750/AT1G37130/AT5G22410/AT3G53420/AT4G15290/AT3G62680/AT2G19060/AT1G12950/AT5G57540/AT2G32300/AT1G12040/AT4G40090/AT5G60660/AT1G70460/AT5G05500/AT5G56540/AT2G06850/AT1G31420/AT5G12330/AT3G54870/AT5G49270/AT5G17820,23
Mock_HK,GO:0048765,root hair cell differentiation,23/299,323/20876,3.155960990873532e-10,3.402215291700725e-8,2.8948347094888284e-8,AT4G12550/AT1G75750/AT1G37130/AT5G22410/AT3G53420/AT4G15290/AT3G62680/AT2G19060/AT1G12950/AT5G57540/AT2G32300/AT1G12040/AT4G40090/AT5G60660/AT1G70460/AT5G05500/AT5G56540/AT2G06850/AT1G31420/AT5G12330/AT3G54870/AT5G49270/AT5G17820,23
Mock_HK,GO:0048469,cell maturation,23/299,324/20876,3.35377191952974e-10,3.402215291700725e-8,2.8948347094888284e-8,AT4G12550/AT1G75750/AT1G37130/AT5G22410/AT3G53420/AT4G15290/AT3G62680/AT2G19060/AT1G12950/AT5G57540/AT2G32300/AT1G12040/AT4G40090/AT5G60660/AT1G70460/AT5G05500/AT5G56540/AT2G06850/AT1G31420/AT5G12330/AT3G54870/AT5G49270/AT5G17820,23
Mock_HK,GO:0015706,nitrate transport,18/299,206/20876,1.1134701300208543e-9,1.0165982287090399e-7,8.649904799530425e-8,AT5G01490/AT5G47450/AT4G19680/AT4G17340/AT4G01700/AT1G12740/AT4G02270/AT4G26010/AT5G64120/AT5G53250/AT5G50760/AT1G08090/AT2G22470/AT5G17820/AT3G47040/AT4G30670/AT2G14100/AT1G18970,18
