ID,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,clusterAll
Mock_HK,11,7,1,3,4,4,6,4,4,2,46
Nonsupp,0,0,0,0,0,0,0,0,0,0,0
Paulo,38,9,17,20,15,3,11,18,5,5,141
flg22Pa_6h,252,216,230,350,190,225,203,402,210,197,2475
flg22417_6h,78,60,60,110,59,70,78,115,52,54,736
Mock_HK&Nonsupp,8,5,10,5,1,7,1,2,1,4,44
Mock_HK&Paulo,3,0,1,1,1,0,1,0,0,0,7
Mock_HK&flg22Pa_6h,3,1,0,0,1,0,2,0,1,0,8
Mock_HK&flg22417_6h,0,0,0,0,0,0,1,0,0,0,1
Nonsupp&Paulo,0,0,0,0,0,0,0,0,0,0,0
Nonsupp&flg22Pa_6h,0,0,0,0,0,0,0,0,0,0,0
Nonsupp&flg22417_6h,0,0,0,0,0,0,0,0,0,0,0
Paulo&flg22Pa_6h,25,0,7,3,9,2,3,4,2,2,57
Paulo&flg22417_6h,9,1,7,2,3,1,1,1,0,1,26
flg22Pa_6h&flg22417_6h,943,653,736,1096,644,749,656,1327,407,477,7688
Mock_HK&Nonsupp&Paulo,5,2,3,1,1,0,1,2,0,0,15
Mock_HK&Nonsupp&flg22Pa_6h,0,2,3,0,0,0,0,0,0,0,5
Mock_HK&Nonsupp&flg22417_6h,1,2,1,1,0,0,0,1,0,0,6
Mock_HK&Paulo&flg22Pa_6h,1,0,0,0,0,0,0,0,0,0,1
Mock_HK&Paulo&flg22417_6h,1,0,0,0,0,0,0,0,0,0,1
Mock_HK&flg22Pa_6h&flg22417_6h,11,13,7,5,1,1,20,5,1,4,68
Nonsupp&Paulo&flg22Pa_6h,0,0,0,0,0,0,0,0,0,0,0
Nonsupp&Paulo&flg22417_6h,0,0,0,0,0,0,0,0,0,0,0
Nonsupp&flg22Pa_6h&flg22417_6h,0,0,0,0,0,0,0,0,0,0,0
Paulo&flg22Pa_6h&flg22417_6h,169,14,67,45,47,16,17,41,6,7,429
Mock_HK&Nonsupp&Paulo&flg22Pa_6h,3,0,0,0,0,0,0,0,0,0,3
Mock_HK&Nonsupp&Paulo&flg22417_6h,4,0,0,0,0,0,0,0,0,0,4
Mock_HK&Nonsupp&flg22Pa_6h&flg22417_6h,12,11,10,8,1,7,0,4,0,2,55
Mock_HK&Paulo&flg22Pa_6h&flg22417_6h,59,8,8,0,0,0,7,4,0,0,86
Nonsupp&Paulo&flg22Pa_6h&flg22417_6h,0,0,0,0,0,0,0,0,0,0,0
Mock_HK&Nonsupp&Paulo&flg22Pa_6h&flg22417_6h,25,5,14,0,4,1,4,0,0,1,54
