"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0005576",6.54886304457466e-07,0.999999812471506,30,149,"extracellular region","CC"
"2","GO:0048046",1.03369615659682e-05,0.999998313023919,13,41,"apoplast","CC"
"3","GO:0005618",4.31996046181274e-05,0.999992270984654,12,43,"cell wall","CC"
"4","GO:0016020",0.000588198974710491,0.999767717659157,24,159,"membrane","CC"
"5","GO:0016021",0.00263049417583149,0.998581958919169,42,365,"integral component of membrane","CC"
"6","GO:0048226",0.00898343561452356,1,2,2,"Casparian strip","CC"
"7","GO:0005887",0.0206066908554338,0.997798095499178,3,9,"integral component of plasma membrane","CC"
"8","GO:0005764",0.0407982596127017,0.997512371546519,2,4,"lysosome","CC"
"9","GO:0000325",0.0436782451602077,0.996811526785506,2,5,"plant-type vacuole","CC"
"10","GO:0009505",0.0648365827145021,0.980526452498458,5,27,"plant-type cell wall","CC"
"11","GO:0010494",0.0656975672522777,1,1,1,"cytoplasmic stress granule","CC"
"12","GO:0016442",0.0656975672522777,1,1,1,"RISC complex","CC"
"13","GO:0000124",0.0664159731927099,1,1,1,"SAGA complex","CC"
"14","GO:0046695",0.0664159731927099,1,1,1,"SLIK (SAGA-like) complex","CC"
"15","GO:0005759",0.0673745559349447,0.987349441461526,3,13,"mitochondrial matrix","CC"
"16","GO:0009506",0.072016539561484,0.96386304964381,12,102,"plasmodesma","CC"
"17","GO:0005886",0.0737764258307272,0.952015024267763,30,313,"plasma membrane","CC"
"18","GO:0032299",0.0856696829815048,1,1,1,"ribonuclease H2 complex","CC"
"19","GO:0008541",0.0859189865519527,1,1,1,"proteasome regulatory particle, lid subcomplex","CC"
"20","GO:0042807",0.0978587634718737,1,1,1,"central vacuole","CC"
"21","GO:0009522",0.101114386874541,1,1,1,"photosystem I","CC"
"22","GO:0043231",0.10585944270619,0.975137555118831,3,16,"intracellular membrane-bounded organelle","CC"
"23","GO:0045334",0.132726366361445,0.995303681621273,1,2,"clathrin-coated endocytic vesicle","CC"
"24","GO:0005669",0.135647134085829,0.995086684440254,1,2,"transcription factor TFIID complex","CC"
"25","GO:0016605",0.141274732814881,0.994653667234037,1,2,"PML body","CC"
"26","GO:0005615",0.147188226860093,0.974347962852023,2,8,"extracellular space","CC"
"27","GO:0009898",0.158030410792827,0.993246359877694,1,2,"cytoplasmic side of plasma membrane","CC"
"28","GO:0016607",0.158830104385705,0.954421082287937,3,19,"nuclear speck","CC"
"29","GO:0009941",0.169743226016108,0.922649404988111,6,51,"chloroplast envelope","CC"
"30","GO:0005834",0.179803026977804,0.962420497734479,2,11,"heterotrimeric G-protein complex","CC"
"31","GO:0009570",0.180469486957173,0.905658643662305,8,75,"chloroplast stroma","CC"
