"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","ARA:PWY-2881",0.0101537561355868,1,3,3,"cytokinins 7-N-glucoside biosynthesis","BioCyc"
"2","ARA:PWY-2901",0.0101537561355868,1,3,3,"cytokinins 9-N-glucoside biosynthesis","BioCyc"
"3","ARA:TRESYN-PWY",0.0179309039498954,0.998340889617368,4,6,"trehalose biosynthesis I","BioCyc"
"4","ARA:PWY-6773",0.0197457161285649,1,2,2,"1,3-&beta;-D-glucan biosynthesis","BioCyc"
"5","ARA:PWY-181",0.0209176608482351,0.997962995084447,4,6,"photorespiration","BioCyc"
"6","ARA:PWY-7183",0.0419931536143313,1,2,2,"pyrimidine nucleobases salvage I","BioCyc"
"7","ARA:PWY-7193",0.0419931536143313,1,2,2,"pyrimidine ribonucleosides salvage I","BioCyc"
"8","ARA:PWYQT-4445",0.0419931536143313,1,2,2,"pyrimidine salvage pathway","BioCyc"
"9","ARA:PWY-5176",0.0445715537615578,1,2,2,"coumarin biosynthesis (via 2-coumarate)","BioCyc"
"10","ARA:PWY-1081",0.0447698069749483,1,2,2,"homogalacturonan degradation","BioCyc"
"11","ARA:PWY-5934",0.0462222366437139,1,2,2,"iron reduction and absorption","BioCyc"
"12","ARA:PWY-5690",0.106390947913669,0.991888133174353,2,3,"TCA cycle II (plants and fungi)","BioCyc"
"13","ARA:PWY-6733",0.108765110602237,0.991590805028008,2,3,"sporopollenin precursors biosynthesis","BioCyc"
"14","ARA:GLUTAMATE-DEG1-PWY",0.119085957014692,0.99024617526593,2,3,"L-glutamate degradation I","BioCyc"
"15","ARA:GLUTAMATE-SYN2-PWY",0.119085957014692,0.99024617526593,2,3,"L-glutamate biosynthesis II","BioCyc"
"16","ARA:PWY-5884",0.121798625137765,0.989878767093661,2,3,"wax esters biosynthesis I","BioCyc"
"17","ARA:ALACAT2-PWY",0.122203755869637,0.977493507023681,3,6,"L-alanine degradation II (to D-lactate)","BioCyc"
"18","ARA:PWY-5035",0.123613070941398,0.989629776740355,2,3,"gibberellin biosynthesis III (early C-13 hydroxylation)","BioCyc"
"19","ARA:PWYQT-4481",0.184298450050699,0.972522657225229,2,4,"TCA cycle variation V (plant)","BioCyc"
"20","ARA:PWY-561",0.192625752148454,0.970416523656152,2,4,"superpathway of glyoxylate cycle and fatty acid degradation","BioCyc"
"21","ARA:GLYOXYLATE-BYPASS",0.193033800588498,1,1,1,"glyoxylate cycle","BioCyc"
"22","ARA:PWY-6549",0.193033800588498,1,1,1,"L-glutamine biosynthesis III","BioCyc"
"23","ARA:GLUTSYNIII-PWY",0.196044467642393,0.969531650615393,2,4,"L-glutamate biosynthesis III","BioCyc"
"24","ARA:ARGININE-SYN4-PWY",0.196705808658016,0.969359114943994,2,4,"L-ornithine biosynthesis II","BioCyc"
"25","ARA:VALSYN-PWY",0.201993078272359,1,1,1,"L-valine biosynthesis","BioCyc"
"26","ARA:PWY-5143",0.202099581693392,1,1,1,"long-chain fatty acid activation","BioCyc"
"27","ARA:PWY-282",0.205182869727945,1,1,1,"cuticular wax biosynthesis","BioCyc"
"28","ARA:PWYQT-1",0.209922441614725,1,1,1,"lysine degradation III","BioCyc"
"29","ARA:PWY-5441",0.211078301476753,1,1,1,"S-methyl-L-methionine cycle","BioCyc"
"30","ARA:PWY-782",0.211814044830786,1,1,1,"glycolipid desaturation","BioCyc"
"31","ARA:GLYSYN-ALA-PWY",0.212235901008004,1,1,1,"glycine biosynthesis III","BioCyc"
"32","ARA:PWY-1782",0.216336717882176,1,1,1,"superpathway of indole-3-acetate conjugate biosynthesis","BioCyc"
"33","ARA:PWY-2021",0.216336717882176,1,1,1,"indole-3-acetate degradation IV","BioCyc"
"34","ARA:PWY-5788",0.216336717882176,1,1,1,"indole-3-acetate degradation V","BioCyc"
"35","ARA:PWY-6219",0.216336717882176,1,1,1,"indole-3-acetyl-amide conjugate biosynthesis","BioCyc"
"36","ARA:PWY-6039",0.220996660450116,1,1,1,"chlorogenic acid biosynthesis I","BioCyc"
"37","ARA:PWY-6040",0.220996660450116,1,1,1,"chlorogenic acid biosynthesis II","BioCyc"
"38","ARA:PWY-6673",0.220996660450116,1,1,1,"caffeoylglucarate biosynthesis","BioCyc"
"39","ARA:PWY-102",0.221066261444854,1,1,1,"gibberellin inactivation I (2&beta;-hydroxylation)","BioCyc"
"40","ARA:PWY-6199",0.225896823292165,1,1,1,"quercetin sulfate biosynthesis","BioCyc"
"41","ARA:PWY-7196",0.279887784039809,0.936760846811162,2,5,"superpathway of pyrimidine ribonucleosides salvage","BioCyc"
"42","ARA:PWY-7208",0.279887784039809,0.936760846811162,2,5,"superpathway of pyrimidine nucleobases salvage","BioCyc"
"43","ARA:PWY-3781",0.302910172663036,0.927518819930284,2,5,"aerobic respiration I (cytochrome c)","BioCyc"
"44","ARA:PWY-622",0.361695531064726,0.960187750845069,1,2,"starch biosynthesis","BioCyc"
"45","ARA:PWY-724",0.365920071830861,0.892239164418356,2,6,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis II","BioCyc"
"46","ARA:PWY-1121",0.370338481589492,0.958005037945257,1,2,"suberin monomers biosynthesis","BioCyc"
"47","ARA:PWY-321",0.370338481589492,0.958005037945257,1,2,"cutin biosynthesis","BioCyc"
"48","ARA:ILE-VAL-PWY",0.371197327093998,0.957784119000539,1,2,"superpathway of isoleucine and valine biosynthesis","BioCyc"
"49","ARA:PWY-5989",0.372035776873179,0.957567738848735,1,2,"stearate biosynthesis II (bacteria and plants)","BioCyc"
"50","ARA:PHOSLIPSYN2-PWY",0.376704663940218,0.956349980919359,1,2,"superpathway of phospholipid biosynthesis II (plants)","BioCyc"
"51","ARA:PWY-7625",0.376704663940218,0.956349980919359,1,2,"phosphatidylinositol biosynthesis II (eukaryotes)","BioCyc"
"52","ARA:PWY-5097",0.378374718688288,0.955909069024978,1,2,"L-lysine biosynthesis VI","BioCyc"
"53","ARA:LYSINE-DEG2-PWY",0.379392198064939,0.955639061041674,1,2,"lysine degradation II","BioCyc"
"54","ARA:PWY-6546",0.381546865124528,0.955063808141403,1,2,"brassinosteroids inactivation","BioCyc"
"55","ARA:PWY-581",0.384875881885639,0.954165709974545,1,2,"indole-3-acetate biosynthesis II","BioCyc"
"56","ARA:PWYDQC-4",0.384875881885639,0.954165709974545,1,2,"indole-3-acetate biosynthesis I","BioCyc"
