"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0016301",7.65242734601885e-05,0.999962467195656,56,189,"kinase activity","MF"
"2","GO:0004601",0.000398789418650884,0.999960210188717,8,12,"peroxidase activity","MF"
"3","GO:0005199",0.000988757406994788,0.999935642165758,6,8,"structural constituent of cell wall","MF"
"4","GO:0080043",0.00101065601005846,0.999933909553384,6,8,"quercetin 3-O-glucosyltransferase activity","MF"
"5","GO:0080044",0.00101065601005846,0.999933909553384,6,8,"quercetin 7-O-glucosyltransferase activity","MF"
"6","GO:0008887",0.00118726006063887,1,4,4,"glycerate kinase activity","MF"
"7","GO:0005089",0.00125014994002287,1,4,4,"Rho guanyl-nucleotide exchange factor activity","MF"
"8","GO:0008194",0.00509756641446655,0.99934583809717,6,10,"UDP-glycosyltransferase activity","MF"
"9","GO:0005366",0.00617169541441688,1,3,3,"myo-inositol:proton symporter activity","MF"
"10","GO:0004674",0.00648213772723173,0.996605062281282,32,115,"protein serine/threonine kinase activity","MF"
"11","GO:0005524",0.00705197370146533,0.995375214883712,71,301,"ATP binding","MF"
"12","GO:1901981",0.00719301354534912,1,3,3,"phosphatidylinositol phosphate binding","MF"
"13","GO:0020037",0.00778765214718485,0.997689072938867,11,27,"heme binding","MF"
"14","GO:0003779",0.00847996229922629,0.998311482751807,7,15,"actin binding","MF"
"15","GO:0004970",0.0114484037183621,0.999051584643189,4,6,"ionotropic glutamate receptor activity","MF"
"16","GO:0005217",0.0114484037183621,0.999051584643189,4,6,"intracellular ligand-gated ion channel activity","MF"
"17","GO:0004805",0.0116470462654277,0.999029870545135,4,6,"trehalose-phosphatase activity","MF"
"18","GO:0016757",0.0124375603805662,0.993912436806133,23,78,"transferase activity, transferring glycosyl groups","MF"
"19","GO:0004190",0.0145060639690205,0.997292968448982,6,12,"aspartic-type endopeptidase activity","MF"
"20","GO:0016747",0.014924462403844,0.998654556865615,4,6,"transferase activity, transferring acyl groups other than amino-acyl groups","MF"
"21","GO:0003843",0.0152142057233842,1,2,2,"1,3-beta-D-glucan synthase activity","MF"
"22","GO:0043531",0.0227751730996618,0.992692078599769,9,25,"ADP binding","MF"
"23","GO:0043022",0.0247837623613397,0.998602089664796,3,4,"ribosome binding","MF"
"24","GO:0019900",0.0269921032974353,0.995061823503606,5,10,"kinase binding","MF"
"25","GO:0030246",0.0285916930051137,0.990427617237321,9,25,"carbohydrate binding","MF"
"26","GO:0005545",0.0294715080561428,0.996053967366944,4,7,"1-phosphatidylinositol binding","MF"
"27","GO:0004845",0.0326024470290231,1,2,2,"uracil phosphoribosyltransferase activity","MF"
