"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0042744",1.3576421486621e-09,0.999999999950576,15,18,"hydrogen peroxide catabolic process","BP"
"2","GO:0016310",4.50017631734182e-06,0.999998625877793,30,83,"phosphorylation","BP"
"3","GO:0006952",5.30664376904975e-06,0.999998148056001,36,108,"defense response","BP"
"4","GO:0071555",1.77438399583638e-05,0.999996393563802,17,37,"cell wall organization","BP"
"5","GO:0055114",2.67189879166043e-05,0.999988799808492,43,142,"oxidation-reduction process","BP"
"6","GO:0009664",3.31576524503139e-05,0.999996185830322,11,18,"plant-type cell wall organization","BP"
"7","GO:0006979",8.53388271740666e-05,0.999976399442997,20,50,"response to oxidative stress","BP"
"8","GO:0006468",0.000287791289532865,0.999863032500259,42,160,"protein phosphorylation","BP"
"9","GO:0016042",0.000564768053756275,0.999902551128774,10,20,"lipid catabolic process","BP"
"10","GO:0045490",0.000576345940296577,0.999945584662752,7,11,"pectin catabolic process","BP"
"11","GO:0010043",0.000971556259119698,0.999922760182788,6,9,"response to zinc ion","BP"
"12","GO:0006032",0.00418198674209605,0.999828696203,4,5,"chitin catabolic process","BP"
"13","GO:0016998",0.00418198674209605,0.999828696203,4,5,"cell wall macromolecule catabolic process","BP"
"14","GO:0042545",0.00425207972049997,0.999603264551493,5,8,"cell wall modification","BP"
"15","GO:0010411",0.00515506701556337,0.999494885786411,5,8,"xyloglucan metabolic process","BP"
"16","GO:0009831",0.00553098519126497,0.999448191796953,5,8,"plant-type cell wall modification involved in multidimensional cell growth","BP"
"17","GO:0000272",0.00583627531491325,1,3,3,"polysaccharide catabolic process","BP"
"18","GO:0009826",0.00951823224190231,0.99741274555001,9,24,"unidimensional cell growth","BP"
"19","GO:0050832",0.0137595603928272,0.995661869278136,10,28,"defense response to fungus","BP"
"20","GO:0016036",0.0150246830029483,0.999308331833835,3,4,"cellular response to phosphate starvation","BP"
"21","GO:0042546",0.0185405749477746,0.996944108667745,5,10,"cell wall biogenesis","BP"
"22","GO:0009828",0.022136250479549,0.997303865602848,4,7,"plant-type cell wall loosening","BP"
"23","GO:0030163",0.0225696003120491,0.995870331438857,5,11,"protein catabolic process","BP"
"24","GO:0007229",0.0244620010350209,1,2,2,"integrin-mediated signaling pathway","BP"
"25","GO:0006817",0.0252372735419822,1,2,2,"phosphate ion transport","BP"
"26","GO:0010150",0.0253476742094665,0.993075625996473,7,19,"leaf senescence","BP"
"27","GO:0010311",0.0260890338943457,0.994840682459633,5,12,"lateral root formation","BP"
"28","GO:0016123",0.0265806798832188,1,2,2,"xanthophyll biosynthetic process","BP"
"29","GO:0000904",0.0266032589171106,1,2,2,"cell morphogenesis involved in differentiation","BP"
"30","GO:0010440",0.027122007769705,1,2,2,"stomatal lineage progression","BP"
"31","GO:0010268",0.0283371562575635,1,2,2,"brassinosteroid homeostasis","BP"
"32","GO:0009694",0.0286697002340793,1,2,2,"jasmonic acid metabolic process","BP"
"33","GO:0070417",0.0291737142465593,0.997474052674905,3,5,"cellular response to cold","BP"
"34","GO:0009835",0.0293274791625819,1,2,2,"fruit ripening","BP"
"35","GO:0055062",0.0294015771602955,1,2,2,"phosphate ion homeostasis","BP"
"36","GO:0010951",0.0305707829836135,1,2,2,"negative regulation of endopeptidase activity","BP"
"37","GO:0019762",0.0307405069283528,0.997280737658647,3,5,"glucosinolate catabolic process","BP"
"38","GO:0010193",0.0314420534151294,1,2,2,"response to ozone","BP"
"39","GO:0009693",0.0329984934967558,0.99699454283938,3,5,"ethylene biosynthetic process","BP"
"40","GO:0032875",0.0356402098214365,0.996648662882008,3,5,"regulation of DNA endoreduplication","BP"
"41","GO:0006865",0.036327780787354,0.996556732676623,3,5,"amino acid transport","BP"
"42","GO:0009873",0.0377983580268525,0.986334249849934,9,28,"ethylene-activated signaling pathway","BP"
"43","GO:0048544",0.0491279520115091,0.993817906684846,3,6,"recognition of pollen","BP"
"44","GO:0016139",0.0512147046452949,0.997431949771559,2,3,"glycoside catabolic process","BP"
"45","GO:0071456",0.0542145670571723,0.989507092397291,4,9,"cellular response to hypoxia","BP"
"46","GO:0016125",0.05934983273477,0.991906284297989,3,6,"sterol metabolic process","BP"
"47","GO:0071577",0.0620814648540219,0.991368086250915,3,6,"zinc ion transmembrane transport","BP"
"48","GO:0008356",0.0651809213202035,0.996235687324725,2,3,"asymmetric cell division","BP"
"49","GO:0048354",0.0677577490409709,0.995995762981402,2,3,"mucilage biosynthetic process involved in seed coat development","BP"
"50","GO:0007165",0.0699963284952434,0.966251029216443,12,48,"signal transduction","BP"
