"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","path:ath01100",5.91124855746911e-11,1,128,433,"Metabolic pathways","KEGG"
"2","path:ath01110",1.08293812348626e-08,0.999999996246438,79,231,"Biosynthesis of secondary metabolites","KEGG"
"3","path:ath00480",1.0106964040457e-06,0.999999832371802,21,36,"Glutathione metabolism","KEGG"
"4","path:ath00940",6.24206263014028e-06,0.999999049649438,17,28,"Phenylpropanoid biosynthesis","KEGG"
"5","path:ath00460",2.48761387299858e-05,0.999999316570256,8,9,"Cyanoamino acid metabolism","KEGG"
"6","path:ath00061",0.00219752646079603,0.999646498223602,8,15,"Fatty acid biosynthesis","KEGG"
"7","path:ath00195",0.00253559135724173,0.999800105043215,6,8,"Photosynthesis","KEGG"
"8","path:ath00500",0.00283920164145009,0.999261694062806,12,27,"Starch and sucrose metabolism","KEGG"
"9","path:ath00030",0.00541885249830935,0.998684937374885,10,21,"Pentose phosphate pathway","KEGG"
"10","path:ath00565",0.00558244080959311,0.999752730482942,4,5,"Ether lipid metabolism","KEGG"
"11","path:ath00073",0.00745824573182659,0.998969814343002,6,10,"Cutin, suberine and wax biosynthesis","KEGG"
"12","path:ath00630",0.00756721295079897,0.998208127916713,9,19,"Glyoxylate and dicarboxylate metabolism","KEGG"
"13","path:ath01212",0.00854646625500281,0.997849256329097,9,21,"Fatty acid metabolism","KEGG"
"14","path:ath00910",0.0132812186080974,0.998348143877857,5,8,"Nitrogen metabolism","KEGG"
"15","path:ath00860",0.0174208580043005,0.996821518883363,6,11,"Porphyrin and chlorophyll metabolism","KEGG"
"16","path:ath00260",0.0311469955166223,0.991678897494965,7,16,"Glycine, serine and threonine metabolism","KEGG"
"17","path:ath00071",0.0312940688294614,0.992524701960007,6,14,"Fatty acid degradation","KEGG"
"18","path:ath00564",0.0323979370240049,0.990119519373278,8,20,"Glycerophospholipid metabolism","KEGG"
"19","path:ath01200",0.0354932890125576,0.980366579643981,26,92,"Carbon metabolism","KEGG"
"20","path:ath00053",0.0390640307497642,0.992136177204259,5,10,"Ascorbate and aldarate metabolism","KEGG"
"21","path:ath00920",0.0421594436876167,0.989452834215068,6,13,"Sulfur metabolism","KEGG"
"22","path:ath00909",0.0436911106923214,0.99556043699794,3,5,"Sesquiterpenoid and triterpenoid biosynthesis","KEGG"
"23","path:ath00670",0.0476441249361317,1,2,2,"One carbon pool by folate","KEGG"
"24","path:ath00400",0.0580876270102006,0.986186626855066,5,11,"Phenylalanine, tyrosine and tryptophan biosynthesis","KEGG"
"25","path:ath00906",0.0626911409818272,0.992551801015668,3,5,"Carotenoid biosynthesis","KEGG"
"26","path:ath00640",0.0649761750180413,0.990857012198202,3,6,"Propanoate metabolism","KEGG"
"27","path:ath00232",0.156861663311051,1,1,1,"Caffeine metabolism","KEGG"
"28","path:ath01230",0.171943625896382,0.891164398719079,19,74,"Biosynthesis of amino acids","KEGG"
"29","path:ath00591",0.175480325314572,1,1,1,"Linoleic acid metabolism","KEGG"
"30","path:ath04146",0.181406191149104,0.906970474227911,9,33,"Peroxisome","KEGG"
"31","path:ath00250",0.259350227283222,0.898126141082854,4,13,"Alanine, aspartate and glutamate metabolism","KEGG"
"32","path:ath00950",0.268063389843545,0.940517177484598,2,5,"Isoquinoline alkaloid biosynthesis","KEGG"
"33","path:ath00960",0.268063389843545,0.940517177484598,2,5,"Tropane, piperidine and pyridine alkaloid biosynthesis","KEGG"
"34","path:ath00350",0.298504678888018,0.896111241447101,3,9,"Tyrosine metabolism","KEGG"
"35","path:ath00052",0.315238633856691,0.884154689499334,3,10,"Galactose metabolism","KEGG"
"36","path:ath00592",0.350820381920804,0.863067225961993,3,10,"alpha-Linolenic acid metabolism","KEGG"
"37","path:ath00904",0.381607957016495,0.95462478613307,1,2,"Diterpenoid biosynthesis","KEGG"
"38","path:ath00740",0.403317843044465,0.870428552777153,2,6,"Riboflavin metabolism","KEGG"
"39","path:ath00901",0.406650274590505,0.947527199375636,1,2,"Indole alkaloid biosynthesis","KEGG"
"40","path:ath00941",0.412939268828067,0.945638920894324,1,2,"Flavonoid biosynthesis","KEGG"
"41","path:ath00220",0.421506777676974,0.813399627727417,3,11,"Arginine biosynthesis","KEGG"
"42","path:ath00561",0.434471524511074,0.845917894958882,2,7,"Glycerolipid metabolism","KEGG"
"43","path:ath04144",0.455165757731282,0.736653390309794,5,22,"Endocytosis","KEGG"
"44","path:ath02010",0.456981767000634,0.823169372302893,2,9,"ABC transporters","KEGG"
"45","path:ath04626",0.46484362136099,0.714778119186877,6,25,"Plant-pathogen interaction","KEGG"
"46","path:ath00100",0.484229717023255,0.898419403241447,1,3,"Steroid biosynthesis","KEGG"
"47","path:ath00966",0.494020555889593,0.89352712084741,1,3,"Glucosinolate biosynthesis","KEGG"
"48","path:ath00280",0.494366124136324,0.799920084222019,2,8,"Valine, leucine and isoleucine degradation","KEGG"
"49","path:ath00562",0.538229242372884,0.712580253647154,3,14,"Inositol phosphate metabolism","KEGG"
"50","path:ath00710",0.57057891700074,0.629225802720326,5,24,"Carbon fixation in photosynthetic organisms","KEGG"
"51","path:ath00790",0.592170244686109,0.818760425350073,1,4,"Folate biosynthesis","KEGG"
"52","path:ath00270",0.612919115915715,0.56963749835988,6,29,"Cysteine and methionine metabolism","KEGG"
"53","path:ath00780",0.618165763284573,0.798430225145243,1,4,"Biotin metabolism","KEGG"
"54","path:ath04933",0.630877048152608,0.787883088107865,1,4,"AGE-RAGE signaling pathway in diabetic complications","KEGG"
"55","path:ath00360",0.64279195974367,0.660639628440328,2,10,"Phenylalanine metabolism","KEGG"
"56","path:ath00062",0.65270176691299,0.768780987439654,1,4,"Fatty acid elongation","KEGG"
"57","path:ath00051",0.683147836420796,0.561480759772463,3,16,"Fructose and mannose metabolism","KEGG"
"58","path:ath00900",0.71450026826839,0.576553394869038,2,11,"Terpenoid backbone biosynthesis","KEGG"
"59","path:ath00010",0.732948905330809,0.408882942250192,8,45,"Glycolysis / Gluconeogenesis","KEGG"
"60","path:ath04070",0.734896221773784,0.54548463233933,2,13,"Phosphatidylinositol signaling system","KEGG"
"61","path:ath00130",0.749559071402102,0.64190645415559,1,6,"Ubiquinone and other terpenoid-quinone biosynthesis","KEGG"
"62","path:ath00310",0.779055390318744,0.594812099288436,1,7,"Lysine degradation","KEGG"
"63","path:ath00380",0.782776845227866,0.589412265567362,1,7,"Tryptophan metabolism","KEGG"
"64","path:ath00620",0.794661394617956,0.383347674814875,4,27,"Pyruvate metabolism","KEGG"
"65","path:ath00290",0.807050348675538,0.552454293928418,1,7,"Valine, leucine and isoleucine biosynthesis","KEGG"
"66","path:ath04141",0.826708651841131,0.281913184723089,9,54,"Protein processing in endoplasmic reticulum","KEGG"
