ID,cl,GeneID,Gene,Description
AT5G13490.2,2,AT5G13490,AAC2,"ADP,ATP carrier protein 2, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:P40941]"
AT5G64120.1,2,AT5G64120,PER71,Peroxidase [Source:UniProtKB/TrEMBL;Acc:A0A178UAR8]
AT3G44720.1,2,AT3G44720,ADT4,"Arogenate dehydratase 4, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:O22241]"
AT5G59890.1,2,AT5G59890,ADF4,Actin-depolymerizing factor 4 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZSK3]
AT2G30550.2,2,AT2G30550,AT2G30550,"Phospholipase A1-Igamma2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q3EBR6]"
AT5G47910.1,2,AT5G47910,RBOHD,Respiratory burst oxidase homolog protein D [Source:UniProtKB/Swiss-Prot;Acc:Q9FIJ0]
AT1G18570.1,2,AT1G18570,MYB51,Transcription factor MYB51 [Source:UniProtKB/Swiss-Prot;Acc:O49782]
AT4G21390.1,2,AT4G21390,B120,B120 [Source:UniProtKB/TrEMBL;Acc:A0A178USE7]
AT1G77380.1,2,AT1G77380,AAP3,ATAAP3 [Source:UniProtKB/TrEMBL;Acc:A0A178W3U1]
AT5G65870.1,2,AT5G65870,PSK5,Phytosulfokines 5 [Source:UniProtKB/Swiss-Prot;Acc:Q9FEB4]
AT4G21120.1,2,AT4G21120,CAT1,CAT1 [Source:UniProtKB/TrEMBL;Acc:A0A178UYU0]
AT5G25440.1,2,AT5G25440,AT5G25440,Protein kinase superfamily protein [Source:TAIR;Acc:AT5G25440]
AT5G50200.2,2,AT5G50200,NRT3.1,High-affinity nitrate transporter 3.1 [Source:UniProtKB/Swiss-Prot;Acc:Q9FGS5]
AT5G46180.1,2,AT5G46180,DELTA-OAT,"Ornithine aminotransferase, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q9FNK4]"
AT5G06860.1,2,AT5G06860,PGIP1,PGIP1 [Source:UniProtKB/TrEMBL;Acc:A0A178UBN4]
AT2G38530.1,2,AT2G38530,LTP2,Non-specific lipid-transfer protein [Source:UniProtKB/TrEMBL;Acc:A0A178W063]
AT5G63780.1,2,AT5G63780,SHA1,At5g63780 [Source:UniProtKB/TrEMBL;Acc:Q8GUG6]
AT3G56240.2,4,AT3G56240,CCH,Copper transport protein CCH [Source:UniProtKB/Swiss-Prot;Acc:O82089]
AT3G56240.3,2,AT3G56240,CCH,Copper transport protein CCH [Source:UniProtKB/Swiss-Prot;Acc:O82089]
AT3G56240.1,9,AT3G56240,CCH,Copper transport protein CCH [Source:UniProtKB/Swiss-Prot;Acc:O82089]
AT3G47380.1,2,AT3G47380,PMEI11,Pectinesterase inhibitor 11 [Source:UniProtKB/Swiss-Prot;Acc:Q9STY5]
AT3G06110.3,2,AT3G06110,DSPTP1B,Dual specificity protein phosphatase 1B [Source:UniProtKB/Swiss-Prot;Acc:Q9M8K7]
AT4G20830.2,2,AT4G20830,AT4G20830,Berberine bridge enzyme-like 19 [Source:UniProtKB/Swiss-Prot;Acc:Q9SVG4]
