"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0006364",1.45966308757234e-15,1,38,105,"rRNA processing","BP"
"2","GO:0045041",5.28840977668991e-05,1,4,4,"protein import into mitochondrial intermembrane space","BP"
"3","GO:0009451",0.000149970604691334,0.999934076308113,33,216,"RNA modification","BP"
"4","GO:0007005",0.000173743372166052,0.999965893659886,11,38,"mitochondrion organization","BP"
"5","GO:0000462",0.000228163120290509,0.999958046159358,10,34,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP"
"6","GO:0034982",0.000275837373421048,0.999994798144567,4,5,"mitochondrial protein processing","BP"
"7","GO:0042407",0.000344821565091646,0.999993085773175,4,5,"cristae formation","BP"
"8","GO:0006457",0.000404471345679968,0.999792100370762,42,305,"protein folding","BP"
"9","GO:0006883",0.000467326467469599,1,3,3,"cellular sodium ion homeostasis","BP"
"10","GO:0006189",0.000478745067095571,0.999953016619349,6,14,"'de novo' IMP biosynthetic process","BP"
"11","GO:0006607",0.000765475477100535,0.999893218797016,7,19,"NLS-bearing protein import into nucleus","BP"
"12","GO:0008053",0.000940452527454651,1,3,3,"mitochondrial fusion","BP"
"13","GO:0009793",0.000972801255109941,0.999402863074213,65,515,"embryo development ending in seed dormancy","BP"
"14","GO:0006610",0.00106756945230639,0.999956021980481,4,6,"ribosomal protein import into nucleus","BP"
"15","GO:0043433",0.0014179642327609,0.999973004945369,3,4,"negative regulation of DNA-binding transcription factor activity","BP"
"16","GO:0042026",0.0014344618628708,0.99956516913588,13,62,"protein refolding","BP"
"17","GO:0044571",0.0015503216550397,0.999969522392437,3,4,"[2Fe-2S] cluster assembly","BP"
"18","GO:0000070",0.00175008162415885,0.999831289029905,5,11,"mitotic sister chromatid segregation","BP"
"19","GO:0009113",0.0018427547815654,0.999961441756161,3,4,"purine nucleobase biosynthetic process","BP"
"20","GO:0009553",0.0018530886027598,0.999244460401349,20,110,"embryo sac development","BP"
"21","GO:0009700",0.00261547187427011,0.999937837272794,3,4,"indole phytoalexin biosynthetic process","BP"
"22","GO:0010030",0.00359660425297643,0.999282771067152,7,26,"positive regulation of seed germination","BP"
"23","GO:0080186",0.00360024726211362,0.999544441820544,5,14,"developmental vegetative growth","BP"
"24","GO:0006390",0.00381100330706185,0.999895953439702,3,4,"mitochondrial transcription","BP"
"25","GO:0034475",0.00421004679985349,0.999434920886989,5,15,"U4 snRNA 3'-end processing","BP"
"26","GO:0006333",0.00461537843389901,0.999204065556741,6,19,"chromatin assembly or disassembly","BP"
"27","GO:0009827",0.00564907934348846,0.998970540185351,6,20,"plant-type cell wall modification","BP"
"28","GO:0034427",0.00606938294856846,0.99909370139564,5,16,"nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5'","BP"
"29","GO:0006400",0.00664953549749847,0.998719744681844,6,22,"tRNA modification","BP"
"30","GO:0009868",0.00693615165282086,1,2,2,"jasmonic acid and ethylene-dependent systemic resistance, jasmonic acid mediated signaling pathway","BP"
"31","GO:0000965",0.00694144300998646,0.99965557828049,3,5,"mitochondrial RNA 3'-end processing","BP"
"32","GO:0080156",0.00731442860905507,0.998283960805739,7,31,"mitochondrial mRNA modification","BP"
"33","GO:0071028",0.00742224414978143,0.999164924362541,4,11,"nuclear mRNA surveillance","BP"
"34","GO:0010345",0.00772395024395606,0.998464082661006,6,22,"suberin biosynthetic process","BP"
"35","GO:0016075",0.00775709057818286,0.998769430339326,5,16,"rRNA catabolic process","BP"
"36","GO:0010789",0.00901384302237747,1,2,2,"meiotic sister chromatid cohesion involved in meiosis I","BP"
"37","GO:0060623",0.00901384302237747,1,2,2,"regulation of chromosome condensation","BP"
"38","GO:0071922",0.00901384302237747,1,2,2,"regulation of cohesin loading","BP"
"39","GO:0010193",0.00968197037652924,0.996804262378051,10,53,"response to ozone","BP"
"40","GO:0032953",0.010328082688886,0.999298018785571,3,6,"regulation of (1->3)-beta-D-glucan biosynthetic process","BP"
"41","GO:0006458",0.0109559393111591,0.998616137347688,4,11,"'de novo' protein folding","BP"
"42","GO:0019676",0.0113277411302444,0.998606416942705,4,10,"ammonia assimilation cycle","BP"
"43","GO:0097054",0.0118807818566523,0.999277077729359,3,5,"L-glutamate biosynthetic process","BP"
"44","GO:0080022",0.0120446274824451,0.99649150592894,8,40,"primary root development","BP"
