"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","path:ath01100",3.00319119928489e-10,1,477,2724,"Metabolic pathways","KEGG"
"2","path:ath00350",0.000101496290958055,0.999970295480302,20,58,"Tyrosine metabolism","KEGG"
"3","path:ath00410",0.000145806430603358,0.999957420231551,19,56,"beta-Alanine metabolism","KEGG"
"4","path:ath04141",0.000623426993523322,0.999648279918582,58,267,"Protein processing in endoplasmic reticulum","KEGG"
"5","path:ath03060",0.000981991771137797,0.9996326999126,21,71,"Protein export","KEGG"
"6","path:ath00330",0.00157826440074589,0.99938011716306,21,75,"Arginine and proline metabolism","KEGG"
"7","path:ath00190",0.00224467761277092,0.998840650923985,36,152,"Oxidative phosphorylation","KEGG"
"8","path:ath00520",0.00288412121715141,0.998481263268433,36,158,"Amino sugar and nucleotide sugar metabolism","KEGG"
"9","path:ath00220",0.00324797373341207,0.998874263851771,15,50,"Arginine biosynthesis","KEGG"
"10","path:ath00360",0.00384901198922286,0.998478889489014,18,65,"Phenylalanine metabolism","KEGG"
"11","path:ath00380",0.00645218885408128,0.997148641930763,20,78,"Tryptophan metabolism","KEGG"
"12","path:ath00071",0.00825996683095393,0.996528296664741,17,66,"Fatty acid degradation","KEGG"
"13","path:ath01212",0.00857332354676285,0.995915713028722,22,92,"Fatty acid metabolism","KEGG"
"14","path:ath00945",0.0104958196007543,0.998510616587413,5,10,"Stilbenoid, diarylheptanoid and gingerol biosynthesis","KEGG"
"15","path:ath00400",0.0144292170124821,0.993184666020133,19,78,"Phenylalanine, tyrosine and tryptophan biosynthesis","KEGG"
"16","path:ath00010",0.0147529046909685,0.99161137552374,31,147,"Glycolysis / Gluconeogenesis","KEGG"
"17","path:ath00061",0.0151991184856788,0.993752504350036,14,54,"Fatty acid biosynthesis","KEGG"
"18","path:ath00480",0.0152683929114369,0.991495607961265,29,131,"Glutathione metabolism","KEGG"
"19","path:ath00960",0.019109685443745,0.992940890588102,11,39,"Tropane, piperidine and pyridine alkaloid biosynthesis","KEGG"
"20","path:ath00640",0.0209963468586242,0.990951638946062,14,56,"Propanoate metabolism","KEGG"
"21","path:ath01200",0.0234206321506772,0.983572638580882,65,358,"Carbon metabolism","KEGG"
"22","path:ath04120",0.0248118241775879,0.98462156984086,36,182,"Ubiquitin mediated proteolysis","KEGG"
"23","path:ath01040",0.0381966282645415,0.985744879454972,9,33,"Biosynthesis of unsaturated fatty acids","KEGG"
"24","path:ath00340",0.0474559372072905,0.982751327920198,8,29,"Histidine metabolism","KEGG"
"25","path:ath00053",0.0523203544087369,0.973367668878714,15,67,"Ascorbate and aldarate metabolism","KEGG"
"26","path:ath01230",0.0531611501239436,0.961366636414927,59,335,"Biosynthesis of amino acids","KEGG"
"27","path:ath00940",0.0538153730487373,0.964831648565636,34,176,"Phenylpropanoid biosynthesis","KEGG"
"28","path:ath00062",0.05496360065521,0.97789764016143,9,34,"Fatty acid elongation","KEGG"
"29","path:ath00250",0.0575246367557292,0.96950953606187,16,75,"Alanine, aspartate and glutamate metabolism","KEGG"
"30","path:ath00620",0.0686851830005487,0.957663983631714,24,125,"Pyruvate metabolism","KEGG"
"31","path:ath00950",0.0768805814850519,0.970909098322558,7,27,"Isoquinoline alkaloid biosynthesis","KEGG"
"32","path:ath00270",0.0812962916104882,0.945375703618822,32,173,"Cysteine and methionine metabolism","KEGG"
"33","path:ath01110",0.103444838835545,0.911272424354463,209,1344,"Biosynthesis of secondary metabolites","KEGG"
"34","path:ath03440",0.104746144326467,0.939066047842321,16,82,"Homologous recombination","KEGG"
"35","path:ath00510",0.108921837836204,0.940493086406164,13,63,"N-Glycan biosynthesis","KEGG"
"36","path:ath00710",0.111157120891128,0.933609548229493,17,87,"Carbon fixation in photosynthetic organisms","KEGG"
"37","path:ath00230",0.112019872043999,0.927482744784557,23,123,"Purine metabolism","KEGG"
"38","path:ath00020",0.11209283434105,0.93411153640094,16,82,"Citrate cycle (TCA cycle)","KEGG"
"39","path:ath00130",0.119425705415552,0.935461997484428,12,58,"Ubiquinone and other terpenoid-quinone biosynthesis","KEGG"
"40","path:ath00941",0.124984849680022,0.950743743596662,6,23,"Flavonoid biosynthesis","KEGG"
"41","path:ath00310",0.129445587944054,0.931008187254781,11,54,"Lysine degradation","KEGG"
"42","path:ath00280",0.133479033370775,0.920746594900077,15,78,"Valine, leucine and isoleucine degradation","KEGG"
"43","path:ath00030",0.138514232360172,0.917310894529718,15,77,"Pentose phosphate pathway","KEGG"
"44","path:ath00920",0.138832345183264,0.922828570879982,12,58,"Sulfur metabolism","KEGG"
"45","path:ath01502",0.148170901858478,1,1,1,"Vancomycin resistance","KEGG"
"46","path:ath00903",0.162340692053715,0.957108458487002,3,10,"Limonene and pinene degradation","KEGG"
"47","path:ath00780",0.180963330059191,0.926592937510298,5,21,"Biotin metabolism","KEGG"
"48","path:ath00260",0.186880227721265,0.880230491729642,16,88,"Glycine, serine and threonine metabolism","KEGG"
"49","path:ath00910",0.187122498735835,0.892088082863071,11,57,"Nitrogen metabolism","KEGG"
"50","path:ath03050",0.190328156930779,0.879670152053068,15,81,"Proteasome","KEGG"
"51","path:ath00500",0.236691220287856,0.821994825327528,30,187,"Starch and sucrose metabolism","KEGG"
"52","path:ath00630",0.25252052505527,0.822786163453447,19,112,"Glyoxylate and dicarboxylate metabolism","KEGG"
"53","path:ath00430",0.252691530990196,0.89593679727617,4,18,"Taurine and hypotaurine metabolism","KEGG"
"54","path:ath00232",0.254510156458767,0.981366365984944,1,2,"Caffeine metabolism","KEGG"
"55","path:ath00592",0.28122859617445,0.831156435052398,9,50,"alpha-Linolenic acid metabolism","KEGG"
"56","path:ath00440",0.286161601419253,0.894745643619993,3,13,"Phosphonate and phosphinate metabolism","KEGG"
"57","path:ath04145",0.299378734057642,0.783536273729015,19,114,"Phagosome","KEGG"
"58","path:ath00561",0.315044605635109,0.779647439857764,15,92,"Glycerolipid metabolism","KEGG"
"59","path:ath00900",0.337510264951794,0.767476119323846,13,77,"Terpenoid backbone biosynthesis","KEGG"
"60","path:ath01210",0.340217503633052,0.75814270592889,15,93,"2-Oxocarboxylic acid metabolism","KEGG"
"61","path:ath00760",0.354218550678588,0.827997855458474,4,21,"Nicotinate and nicotinamide metabolism","KEGG"
"62","path:ath00240",0.387838721913065,0.732539022167983,11,68,"Pyrimidine metabolism","KEGG"
"63","path:ath00562",0.414737433574185,0.691539761827149,15,100,"Inositol phosphate metabolism","KEGG"
"64","path:ath00750",0.436271011232011,0.791975034056632,3,16,"Vitamin B6 metabolism","KEGG"
"65","path:ath00770",0.445328754529447,0.72232186527218,6,37,"Pantothenate and CoA biosynthesis","KEGG"
"66","path:ath00901",0.470312988859176,0.894603473919149,1,4,"Indole alkaloid biosynthesis","KEGG"
"67","path:ath00906",0.486870202631023,0.699937150354744,5,32,"Carotenoid biosynthesis","KEGG"
"68","path:ath04146",0.512159946684659,0.589854844677112,18,124,"Peroxisome","KEGG"
"69","path:ath00514",0.519608892031251,0.720142553421935,3,19,"Other types of O-glycan biosynthesis","KEGG"
"70","path:ath00052",0.530294692450186,0.605366752307872,10,70,"Galactose metabolism","KEGG"
"71","path:ath04136",0.536829699842782,0.60620897304426,9,62,"Autophagy - other","KEGG"
"72","path:ath00450",0.573898078345239,0.637447102368118,4,28,"Selenocompound metabolism","KEGG"
"73","path:ath04070",0.585046722961496,0.525475719780835,15,110,"Phosphatidylinositol signaling system","KEGG"
"74","path:ath00040",0.587647406591841,0.535953111393969,12,85,"Pentose and glucuronate interconversions","KEGG"
"75","path:ath00670",0.620270054817108,0.58946774831938,4,29,"One carbon pool by folate","KEGG"
"76","path:ath04144",0.621365500905426,0.458710057527295,28,205,"Endocytosis","KEGG"
"77","path:ath00051",0.645796062658001,0.485527455313758,10,74,"Fructose and mannose metabolism","KEGG"
"78","path:ath00790",0.652351606763897,0.532332158665092,5,38,"Folate biosynthesis","KEGG"
"79","path:ath04712",0.652756985887809,0.503298819412733,7,53,"Circadian rhythm - plant","KEGG"
"80","path:ath00650",0.686066924556636,0.514985480932133,4,32,"Butanoate metabolism","KEGG"
"81","path:ath00565",0.686735637406163,0.492382539086325,5,41,"Ether lipid metabolism","KEGG"
"82","path:ath00730",0.693824643911559,0.506461081631171,4,31,"Thiamine metabolism","KEGG"
"83","path:ath04016",0.701778668061108,0.381914875165169,22,164,"MAPK signaling pathway - plant","KEGG"
"84","path:ath03020",0.726246714806648,0.430371290870239,6,48,"RNA polymerase","KEGG"
"85","path:ath00460",0.740607152927317,0.371422453108005,11,88,"Cyanoamino acid metabolism","KEGG"
"86","path:ath00261",0.750534345268871,0.514923962923273,2,18,"Monobactam biosynthesis","KEGG"
"87","path:ath00600",0.762331687243402,0.399217915501898,5,45,"Sphingolipid metabolism","KEGG"
"88","path:ath00902",0.764578729860286,0.605105504844157,1,9,"Monoterpenoid biosynthesis","KEGG"
"89","path:ath02010",0.769034259899074,0.438421978348372,3,30,"ABC transporters","KEGG"
"90","path:ath00591",0.773203983336912,0.589834745649949,1,10,"Linoleic acid metabolism","KEGG"
"91","path:ath04933",0.783820022936435,0.419880120104082,3,27,"AGE-RAGE signaling pathway in diabetic complications","KEGG"
"92","path:ath03022",0.786558244987302,0.333916007266643,8,69,"Basal transcription factors","KEGG"
"93","path:ath04626",0.815170469835513,0.24230789316656,29,228,"Plant-pathogen interaction","KEGG"
"94","path:ath00603",0.821313118735498,0.512119742546194,1,11,"Glycosphingolipid biosynthesis - globo and isoglobo series","KEGG"
"95","path:ath00908",0.829873069078621,0.395693690383324,2,21,"Zeatin biosynthesis","KEGG"
"96","path:ath00905",0.835615261976698,0.485004245594927,1,12,"Brassinosteroid biosynthesis","KEGG"
"97","path:ath03008",0.867265372824505,0.203794216772391,13,117,"Ribosome biogenesis in eukaryotes","KEGG"
"98","path:ath00073",0.878655259573585,0.309405789760382,2,24,"Cutin, suberine and wax biosynthesis","KEGG"
"99","path:ath03450",0.901368788238237,0.344789446928577,1,16,"Non-homologous end-joining","KEGG"
"100","path:ath04122",0.906032041074835,0.255925953672506,2,25,"Sulfur relay system","KEGG"
"101","path:ath00904",0.907479837734775,0.331506614289905,1,15,"Diterpenoid biosynthesis","KEGG"
"102","path:ath00563",0.908298169022909,0.198664264842671,4,45,"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","KEGG"
