"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","ARA:PWY-3385",0.00127794378354372,0.999874596800323,5,14,"choline biosynthesis I","BioCyc"
"2","ARA:PWY4FS-6",0.00527580566002402,0.999451618400153,4,12,"phosphatidylethanolamine biosynthesis II","BioCyc"
"3","ARA:PWY-7416",0.00529456613162083,0.999005692780284,6,27,"phospholipid remodeling (phosphatidylcholine, yeast)","BioCyc"
"4","ARA:PWY-6823",0.0062469324461394,0.999023415939042,5,20,"molybdenum cofactor biosynthesis","BioCyc"
"5","ARA:PWY-6803",0.00743416753440377,0.997635262566732,10,66,"phosphatidylcholine acyl editing","BioCyc"
"6","ARA:LIPASYN-PWY",0.0188396336832729,0.993021334591291,10,75,"phospholipases","BioCyc"
"7","ARA:PWY3DJ-35471",0.0215076168235254,0.999076439342308,2,4,"L-ascorbate biosynthesis IV","BioCyc"
"8","ARA:GLUTATHIONESYN-PWY",0.0239638949777723,0.998908653504501,2,4,"glutathione biosynthesis","BioCyc"
"9","ARA:PWY-4041",0.0283138363890273,0.996368448963356,3,11,"&gamma;-glutamyl cycle","BioCyc"
"10","ARA:PWY-5963",0.0292606943433186,0.996198343466514,3,11,"thio-molybdenum cofactor biosynthesis","BioCyc"
"11","ARA:PWY4FS-5",0.0344714095871185,0.99297962872926,4,20,"superpathway of phosphatidylcholine biosynthesis","BioCyc"
"12","ARA:PWY-6804",0.0349339090844401,0.997742354197355,2,5,"diacylglycerol biosynthesis (PUFA enrichment in oilseed)","BioCyc"
"13","ARA:PWYQT-4433",0.0354657306442314,0.997688788775235,2,5,"CA1P biosynthesis","BioCyc"
"14","ARA:PWYQT-4470",0.0383774119159483,0.99738740823949,2,5,"&gamma;-glutamyl cycle (plant pathway)","BioCyc"
"15","ARA:PWY-6498",0.0446798814956179,0.996414967104294,2,6,"eumelanin biosynthesis","BioCyc"
"16","ARA:PWY-3941",0.0483404873357542,0.99594693708209,2,6,"&beta;-alanine biosynthesis II","BioCyc"
"17","ARA:PWY-5980",0.0519767524891799,0.985011232184614,5,33,"xylogalacturonan biosynthesis","BioCyc"
"18","ARA:PWY-5669",0.0530407872836826,0.995315077006344,2,6,"phosphatidylethanolamine biosynthesis I","BioCyc"
"19","ARA:PWY-5998",0.056704423669459,1,1,1,"&gamma;-linolenate biosynthesis I (plants)","BioCyc"
"20","ARA:TRIGLSYN-PWY",0.0680962172732957,0.971464519502246,8,69,"diacylglycerol and triacylglycerol biosynthesis","BioCyc"
"21","ARA:PWY4FS-2",0.0790097047904361,0.983583776277573,3,16,"phosphatidylcholine biosynthesis II","BioCyc"
"22","ARA:PWYQT-4477",0.0932461118921946,0.978915876443882,3,18,"indole glucosinolate activation (intact plant cell)","BioCyc"
"23","ARA:PWY-3561",0.0988941819751766,0.970477932022943,4,27,"choline biosynthesis III","BioCyc"
"24","ARA:PWY-6118",0.106570912035143,0.98428948473244,2,9,"glycerol-3-phosphate shuttle","BioCyc"
"25","ARA:PWY-5143",0.107141310043312,0.974281323795252,3,18,"long-chain fatty acid activation","BioCyc"
"26","ARA:PWY-5469",0.116572004281798,0.996404098638492,1,2,"sesamin biosynthesis","BioCyc"
"27","ARA:PWY0-1264",0.117763324093544,0.981580449849585,2,9,"biotin-carboxyl carrier protein assembly","BioCyc"
"28","ARA:PWY-6304",0.119825668439969,0.996193740914572,1,2,"casbene biosynthesis","BioCyc"
"29","ARA:PWY-5989",0.120366274216912,0.954872525452384,5,42,"stearate biosynthesis II (bacteria and plants)","BioCyc"
"30","ARA:GLNSYN-PWY",0.127852374852257,0.978588986389071,2,10,"L-glutamine biosynthesis I","BioCyc"
"31","ARA:PWY-6473",0.129037413494468,0.995563421599684,1,2,"4-aminobutanoate degradation IV","BioCyc"
"32","ARA:PWY-6535",0.129037413494468,0.995563421599684,1,2,"4-aminobutanoate degradation I","BioCyc"
"33","ARA:PWY4FS-3",0.12938008870556,0.97817810051916,2,10,"phosphatidylcholine biosynthesis III","BioCyc"
"34","ARA:PWY4FS-4",0.12938008870556,0.97817810051916,2,10,"phosphatidylcholine biosynthesis IV","BioCyc"
"35","ARA:PWY3O-450",0.129389703173908,0.978175504724719,2,10,"phosphatidylcholine biosynthesis I","BioCyc"
"36","ARA:PWY-7187",0.133822868410307,0.964034124811302,3,21,"pyrimidine deoxyribonucleotides de novo biosynthesis II","BioCyc"
"37","ARA:PWY-7184",0.13463256991757,0.954562880111132,4,32,"pyrimidine deoxyribonucleotides de novo biosynthesis I","BioCyc"
"38","ARA:PWY-2681",0.137904732726676,0.962437172358848,3,21,"trans-zeatin biosynthesis","BioCyc"
"39","ARA:PWY-5971",0.139574193386536,0.945060070423372,5,44,"palmitate biosynthesis II (bacteria and plants)","BioCyc"
"40","ARA:PWY-7039",0.14204213568236,0.938081061252693,6,55,"phosphatidate metabolism, as a signaling molecule","BioCyc"
"41","ARA:THIOREDOX-PWY",0.146704269309285,0.958603954171579,3,23,"thioredoxin pathway","BioCyc"
"42","ARA:PWY-6663",0.150032115755932,0.957555431453036,3,21,"plant sterol biosynthesis II","BioCyc"
"43","ARA:PWY0-1313",0.159748539911106,0.968911685987735,2,11,"acetate conversion to acetyl-CoA","BioCyc"
"44","ARA:PWY-6115",0.162521760193702,0.968034986255169,2,11,"avenacin biosynthesis, initial reactions","BioCyc"
"45","ARA:PWY-5147",0.166031844800191,0.939216880631907,4,34,"oleate biosynthesis I (plants)","BioCyc"
"46","ARA:CYSTSYN-PWY",0.166642028604831,0.950175858889129,3,23,"L-cysteine biosynthesis I","BioCyc"
"47","ARA:CYANCAT-PWY",0.170770202502523,0.989501441594199,1,3,"cyanate degradation","BioCyc"
"48","ARA:PWY-7101",0.172450083431716,0.989284685435034,1,3,"5-deoxystrigol biosynthesis","BioCyc"
"49","ARA:PWY-6012",0.173157714752693,0.989192657293419,1,3,"acyl carrier protein metabolism","BioCyc"
"50","ARA:PWY-7200",0.176504274714364,0.945637848210833,3,24,"superpathway of pyrimidine deoxyribonucleoside salvage","BioCyc"
"51","ARA:PWY-5995",0.176727393085319,0.9887218710836,1,3,"linoleate biosynthesis I (plants)","BioCyc"
"52","ARA:PWY-5791",0.177084376409147,0.96282869798614,2,12,"1,4-dihydroxy-2-naphthoate biosynthesis II (plants)","BioCyc"
"53","ARA:PWY-5837",0.177084376409147,0.96282869798614,2,12,"1,4-dihydroxy-2-naphthoate biosynthesis","BioCyc"
"54","ARA:PWY-6845",0.177413768109019,0.988630092885646,1,3,"nitric oxide biosynthesis (plants)","BioCyc"
"55","ARA:PWY-5203",0.178222849092597,0.96244009409528,2,12,"soybean saponin I biosynthesis","BioCyc"
"56","ARA:PWY-6964",0.178761671125387,0.962255584520346,2,12,"ammonia assimilation cycle II","BioCyc"
"57","ARA:PWY0-166",0.180522379837698,0.943817098763735,3,24,"superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)","BioCyc"
"58","ARA:PWYQT-4475",0.181311130528154,0.931150249422643,4,36,"glucosinolate biosynthesis from hexahomomethionine","BioCyc"
"59","ARA:PWY-7205",0.183175063368782,0.960344336663781,2,13,"CMP phosphorylation","BioCyc"
"60","ARA:PWY-7224",0.184384269591012,0.959918134044187,2,13,"purine deoxyribonucleosides salvage","BioCyc"
"61","ARA:PWY-6837",0.192011620199041,0.957185755987562,2,13,"fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)","BioCyc"
"62","ARA:PWY-6163",0.19631435876098,0.955610924223153,2,13,"chorismate biosynthesis from 3-dehydroquinate","BioCyc"
"63","ARA:PWY-381",0.197548751774356,0.95515468347665,2,13,"nitrate reduction II (assimilatory)","BioCyc"
"64","ARA:PWY-7197",0.204813273222638,0.952042580139818,2,14,"pyrimidine deoxyribonucleotide phosphorylation","BioCyc"
"65","ARA:PWY-6963",0.205260509211024,0.952259575264667,2,13,"ammonia assimilation cycle I","BioCyc"
"66","ARA:ETOH-ACETYLCOA-ANA-PWY",0.218471903765501,0.946694789201115,2,14,"ethanol degradation I","BioCyc"
"67","ARA:PWY-6333",0.218471903765501,0.946694789201115,2,14,"acetaldehyde biosynthesis I","BioCyc"
"68","ARA:PWY-5905",0.221781189773262,0.979682952513466,1,4,"hypusine biosynthesis","BioCyc"
"69","ARA:PWY-6019",0.227114360788348,0.978637204776559,1,4,"pseudouridine degradation","BioCyc"
"70","ARA:PWYQT-4432",0.22904093448543,0.978252233236705,1,4,"glutathione degradation","BioCyc"
"71","ARA:PWY-5945",0.230882532662796,0.977880650753887,1,4,"zeaxanthin, antheraxanthin and violaxanthin interconversion","BioCyc"
"72","ARA:PWY-6545",0.231862883402822,0.918105751938729,3,27,"pyrimidine deoxyribonucleotides de novo biosynthesis III","BioCyc"
"73","ARA:PLPSAL-PWY",0.23264616623489,0.977521499238363,1,4,"pyridoxal 5'-phosphate salvage I","BioCyc"
"74","ARA:PWY-6733",0.233006616608698,0.902005492319647,4,39,"sporopollenin precursors biosynthesis","BioCyc"
"75","ARA:PWY1F-353",0.234789600880778,0.977080643733993,1,4,"glycine betaine biosynthesis III (plants)","BioCyc"
"76","ARA:PWY-6842",0.23501910880375,0.880090201043573,6,70,"glutathione-mediated detoxification II","BioCyc"
"77","ARA:PWY-4221ARA",0.236607626903897,0.938807676984396,2,15,"superpathway of pantothenate and coenzymeA biosynthesis","BioCyc"
"78","ARA:PWY-7204",0.237292221083085,0.938515393073132,2,15,"pyridoxal 5'-phosphate salvage II (plants)","BioCyc"
"79","ARA:PWY66-21",0.239870521970101,0.897932810942009,4,39,"ethanol degradation II","BioCyc"
"80","ARA:PWY-1782",0.240425067890494,0.937170062042656,2,15,"superpathway of indole-3-acetate conjugate biosynthesis","BioCyc"
"81","ARA:PWY-5046",0.241155962887462,0.936854358802609,2,15,"2-oxoisovalerate decarboxylation to isobutanoyl-CoA","BioCyc"
"82","ARA:PWY-4821",0.243035246385017,0.936039429457832,2,15,"UDP-D-xylose biosynthesis","BioCyc"
"83","ARA:PWY-6527",0.253417151411338,0.931454626645168,2,15,"stachyose degradation","BioCyc"
"84","ARA:PWYQT-4472",0.26447691284849,0.89993513520525,3,29,"glucosinolate biosynthesis from trihomomethionine","BioCyc"
"85","ARA:PWYQT-4473",0.26447691284849,0.89993513520525,3,29,"glucosinolate biosynthesis from tetrahomomethionine","BioCyc"
"86","ARA:PWYQT-4474",0.26447691284849,0.89993513520525,3,29,"glucosinolate biosynthesis from pentahomomethionine","BioCyc"
"87","ARA:PWY-6902",0.265898620751805,0.924958774650008,2,17,"chitin degradation II (Vibrio)","BioCyc"
"88","ARA:PWY-5027",0.268756584229786,0.967572760038384,1,5,"phylloquinol biosynthesis","BioCyc"
"89","ARA:PWY-6014",0.268957037674616,0.967521125739526,1,5,"vernolate biosynthesis I","BioCyc"
"90","ARA:PWY-6710",0.268957037674616,0.967521125739526,1,5,"poly-hydroxy fatty acids biosynthesis","BioCyc"
"91","ARA:PWY490-4",0.272568331555299,0.966582890753886,1,5,"L-asparagine biosynthesis III (tRNA-dependent)","BioCyc"
"92","ARA:NONMEVIPP-PWY",0.273198338659603,0.921887851034246,2,16,"methylerythritol phosphate pathway I","BioCyc"
"93","ARA:PWY-6352",0.277434863656425,0.851057955161178,6,66,"3-phosphoinositide biosynthesis","BioCyc"
"94","ARA:PWY-4983",0.278443400022049,0.965023905725265,1,5,"L-citrulline-nitric oxide cycle","BioCyc"
"95","ARA:PWY-5068",0.281671882888795,0.96414989070477,1,5,"chlorophyll cycle","BioCyc"
"96","ARA:PWY-5934",0.293794627458095,0.911362981133515,2,17,"iron reduction and absorption","BioCyc"
"97","ARA:PWY-5136",0.297080990289369,0.909693740396203,2,17,"fatty acid &beta;-oxidation II (peroxisome)","BioCyc"
"98","ARA:PWYQT-4471",0.301126201592987,0.844182178305579,5,60,"glucosinolate biosynthesis from dihomomethionine","BioCyc"
"99","ARA:PWY-7211",0.301137152025818,0.844334096898208,5,58,"superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis","BioCyc"
"100","ARA:PWY0-501",0.309581023505047,0.954425926381893,1,6,"lipoate biosynthesis and incorporation I","BioCyc"
"101","ARA:PWY-5486",0.313212626884701,0.900873997736437,2,18,"pyruvate fermentation to ethanol II","BioCyc"
"102","ARA:LEU-DEG2-PWY",0.31406779864144,0.869877362507161,3,31,"L-leucine degradation I","BioCyc"
"103","ARA:PWY-5269",0.314776044351294,0.95276009298806,1,6,"cardiolipin biosynthesis II","BioCyc"
"104","ARA:PWY-1581",0.315395760476366,0.952559053500359,1,6,"plastoquinol-9 biosynthesis I","BioCyc"
"105","ARA:PWY-7048",0.316761298793231,0.952114311310996,1,6,"malate-oxaloacetate shuttle II","BioCyc"
"106","ARA:PWY-6164",0.320887576189948,0.950755713660993,1,6,"3-dehydroquinate biosynthesis I","BioCyc"
"107","ARA:PWY-7560",0.323965903275445,0.895060124773455,2,18,"methylerythritol phosphate pathway II","BioCyc"
"108","ARA:PWY-7344",0.324472547653932,0.949557304399915,1,6,"UDP-D-galactose biosynthesis","BioCyc"
"109","ARA:PWY-6220",0.326646529796187,0.948822354089896,1,6,"jasmonoyl-amino acid conjugates biosynthesis I","BioCyc"
"110","ARA:PWY-6233",0.326646529796187,0.948822354089896,1,6,"jasmonoyl-amino acid conjugates biosynthesis II","BioCyc"
"111","ARA:PWY-7221",0.329224230034642,0.891760619050658,2,19,"guanosine ribonucleotides de novo biosynthesis","BioCyc"
"112","ARA:VALDEG-PWY",0.331844373752056,0.858284831416813,3,32,"L-valine degradation I","BioCyc"
"113","ARA:PWY-112",0.33295879041739,0.946652989401236,1,6,"lupeol biosynthesis","BioCyc"
"114","ARA:PWY-5377",0.333327166674459,0.946524752962096,1,6,"&alpha;-amyrin biosynthesis","BioCyc"
"115","ARA:PWY-7061",0.338071687004828,0.944856902736064,1,6,"glutamate-glutamine shuttle","BioCyc"
"116","ARA:ILEUDEG-PWY",0.33908024402943,0.886208219807697,2,19,"L-isoleucine degradation I","BioCyc"
"117","ARA:PWY4FS-8",0.343557380810705,0.850359781537276,3,33,"phosphatidylglycerol biosynthesis II (non-plastidic)","BioCyc"
"118","ARA:PWY-3181",0.345401456463372,0.942220633695639,1,6,"L-tryptophan degradation VI (via tryptamine)","BioCyc"
"119","ARA:PWYQT-4445",0.350339218580523,0.879704093310434,2,19,"pyrimidine salvage pathway","BioCyc"
"120","ARA:PWY-2881",0.356478535124824,0.936545892861476,1,7,"cytokinins 7-N-glucoside biosynthesis","BioCyc"
"121","ARA:PWY-2901",0.356478535124824,0.936545892861476,1,7,"cytokinins 9-N-glucoside biosynthesis","BioCyc"
"122","ARA:PWY-7120",0.360463761656033,0.934985702822414,1,7,"esterified suberin biosynthesis","BioCyc"
"123","ARA:PWY-6613",0.36135958319158,0.934631884148523,1,7,"tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate","BioCyc"
"124","ARA:PWY-601",0.36211281483133,0.837373810057565,3,35,"glucosinolate biosynthesis from tryptophan","BioCyc"
"125","ARA:PWY-1722",0.363428405811448,0.933810389302975,1,7,"formate assimilation into 5,10-methylenetetrahydrofolate","BioCyc"
"126","ARA:PWY-6745",0.365352608523044,0.93304081612568,1,7,"phytochelatins biosynthesis","BioCyc"
"127","ARA:PWY-7208",0.365696576371908,0.83507792458075,3,34,"superpathway of pyrimidine nucleobases salvage","BioCyc"
"128","ARA:PWY-5441",0.368318026818422,0.931844383679496,1,7,"S-methyl-L-methionine cycle","BioCyc"
"129","ARA:PANTO-PWY",0.369488866098509,0.9313684981295,1,7,"phosphopantothenate biosynthesis I","BioCyc"
"130","ARA:PWY-7060",0.369629376357288,0.931311254594251,1,7,"ornithine-citrulline shuttle","BioCyc"
"131","ARA:GLYOXYLATE-BYPASS",0.369789322640016,0.867635970474415,2,20,"glyoxylate cycle","BioCyc"
"132","ARA:PWY-5111",0.370018529084007,0.931152565356707,1,7,"CMP-KDO biosynthesis II (from D-arabinose 5-phosphate)","BioCyc"
"133","ARA:PHOSLIPSYN2-PWY",0.371807291910363,0.930420314025629,1,7,"superpathway of phospholipid biosynthesis II (plants)","BioCyc"
"134","ARA:PWY-5871",0.372094858102881,0.930302161435347,1,7,"ubiquinol-9 biosynthesis (eukaryotic)","BioCyc"
"135","ARA:ASPARAGINE-BIOSYNTHESIS",0.373813838310927,0.929593369793827,1,7,"L-asparagine biosynthesis I","BioCyc"
"136","ARA:ASPARAGINESYN-PWY",0.373813838310927,0.929593369793827,1,7,"L-asparagine biosynthesis II","BioCyc"
"137","ARA:PWY0-1325",0.373813838310927,0.929593369793827,1,7,"superpathway of L-asparagine biosynthesis","BioCyc"
"138","ARA:PWY-7183",0.374690628110683,0.929230179875013,1,7,"pyrimidine nucleobases salvage I","BioCyc"
"139","ARA:PWY-5687",0.382841395766689,0.822769217649561,3,35,"pyrimidine ribonucleotides interconversion","BioCyc"
"140","ARA:PWY-321",0.383541178169258,0.822266808935958,3,35,"cutin biosynthesis","BioCyc"
"141","ARA:COA-PWY",0.391848510987223,0.920496111840741,1,8,"coenzyme A biosynthesis I","BioCyc"
"142","ARA:PWY-861",0.395239990304239,0.918969552542578,1,8,"dhurrin biosynthesis","BioCyc"
"143","ARA:PWY-1187",0.395597815807781,0.813131024265111,3,37,"glucosinolate biosynthesis from homomethionine","BioCyc"
"144","ARA:PWY-6443",0.396447061441722,0.788373479233751,4,52,"benzoate biosynthesis I (CoA-dependent, &beta;-oxidative)","BioCyc"
"145","ARA:PWY-5884",0.397645124374454,0.849192366331821,2,22,"wax esters biosynthesis I","BioCyc"
"146","ARA:PWY-7047",0.400215441236602,0.916697987395263,1,8,"malate-oxaloacetate shuttle I","BioCyc"
"147","ARA:PWY-762",0.400598518246713,0.916521503536441,1,8,"phospholipid desaturation","BioCyc"
"148","ARA:PWYQT-4476",0.402316776598322,0.915727094546531,1,8,"indole glucosinolate activation (herbivore attack)","BioCyc"
"149","ARA:SERSYN-PWY",0.405042714108212,0.914457357497321,1,8,"L-serine biosynthesis","BioCyc"
"150","ARA:PWY-5121",0.405726842979657,0.805624595000904,3,37,"superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)","BioCyc"
"151","ARA:PWY-3821",0.407279634851016,0.913406712896125,1,8,"D-galactose degradation III","BioCyc"
"152","ARA:PWY-1269",0.407654216107407,0.913230009904813,1,8,"CMP-3-deoxy-D-manno-octulosonate biosynthesis","BioCyc"
"153","ARA:PWY-6614",0.408954692290004,0.912614814763518,1,8,"tetrahydrofolate biosynthesis","BioCyc"
"154","ARA:PWY-922",0.416377964044261,0.836657530363736,2,22,"mevalonate pathway I","BioCyc"
"155","ARA:PWY-6596",0.423930064204412,0.831460763497332,2,22,"adenosine nucleotides degradation I","BioCyc"
"156","ARA:PWY-5272",0.428529506432112,0.901735572623932,1,9,"abscisic acid glucose ester metabolism","BioCyc"
"157","ARA:PWY-5114",0.431031477354496,0.786106989207264,3,38,"UDP-sugars interconversion","BioCyc"
"158","ARA:PWY-5381",0.431369957356453,0.785659088308168,3,39,"pyridine nucleotide cycling (plants)","BioCyc"
"159","ARA:P401-PWY",0.436988595357981,0.897348785752849,1,9,"cyanide degradation","BioCyc"
"160","ARA:PWY-102",0.43976461115328,0.895883076574269,1,9,"gibberellin inactivation I (2&beta;-hydroxylation)","BioCyc"
"161","ARA:PWY-782",0.439919201274835,0.895801072537131,1,9,"glycolipid desaturation","BioCyc"
"162","ARA:LIPAS-PWY",0.443199938130336,0.70717943329463,7,100,"triacylglycerol degradation","BioCyc"
"163","ARA:PWY-5670",0.449360468780411,0.8907158320312,1,9,"epoxysqualene biosynthesis","BioCyc"
"164","ARA:PWY-5172",0.45180742553227,0.889372926413587,1,9,"acetyl-CoA biosynthesis III (from citrate)","BioCyc"
"165","ARA:PWY-6351",0.451853218592921,0.743203934860306,4,53,"D-myo-inositol (1,4,5)-trisphosphate biosynthesis","BioCyc"
"166","ARA:MALATE-ASPARTATE-SHUTTLE-PWY",0.45563001241458,0.807928791560373,2,24,"L-aspartate degradation II","BioCyc"
"167","ARA:PWY-6549",0.469909675649551,0.754578511670005,3,39,"L-glutamine biosynthesis III","BioCyc"
"168","ARA:NAGLIPASYN-PWY",0.471294287295733,0.877061548087728,1,10,"lipid IVA biosynthesis","BioCyc"
"169","ARA:PWY-7199",0.471558941375047,0.876905200474062,1,10,"pyrimidine deoxyribonucleosides salvage","BioCyc"
