"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0042626",6.48850128038861e-08,0.999999981411304,34,121,"ATPase activity, coupled to transmembrane movement of substances","MF"
"2","GO:0035251",1.72468542473313e-07,0.999999981981355,14,27,"UDP-glucosyltransferase activity","MF"
"3","GO:0004175",3.80907565000799e-07,0.999999918771378,22,63,"endopeptidase activity","MF"
"4","GO:0050661",1.71750788685433e-06,0.999999571750898,23,73,"NADP binding","MF"
"5","GO:0080044",3.86119128656461e-06,0.99999886900639,26,92,"quercetin 7-O-glucosyltransferase activity","MF"
"6","GO:0051287",4.08896456339452e-06,0.999998834220287,25,87,"NAD binding","MF"
"7","GO:0080043",9.04214792694224e-06,0.999997194079264,26,96,"quercetin 3-O-glucosyltransferase activity","MF"
"8","GO:0004324",1.09040729205064e-05,0.999999812067888,6,7,"ferredoxin-NADP+ reductase activity","MF"
"9","GO:0008137",1.21870604601718e-05,0.999997863778307,14,36,"NADH dehydrogenase (ubiquinone) activity","MF"
"10","GO:0004298",1.47309775582381e-05,0.999997602396492,13,32,"threonine-type endopeptidase activity","MF"
"11","GO:0016627",3.2713719824596e-05,0.99999738937334,8,14,"oxidoreductase activity, acting on the CH-CH group of donors","MF"
"12","GO:0047893",3.32103289287335e-05,0.999997343778862,8,14,"flavonol 3-O-glucosyltransferase activity","MF"
"13","GO:0016887",4.40657443169696e-05,0.99997695256451,61,342,"ATPase activity","MF"
"14","GO:0008559",6.22340964322814e-05,0.999998838043141,5,6,"xenobiotic transmembrane transporting ATPase activity","MF"
"15","GO:0015131",8.56995591209314e-05,0.999998281191291,5,6,"oxaloacetate transmembrane transporter activity","MF"
"16","GO:0102360",8.94302795118902e-05,0.999993304497944,7,12,"daphnetin 3-O-glucosyltransferase activity","MF"
"17","GO:0102425",8.94302795118902e-05,0.999993304497944,7,12,"myricetin 3-O-glucosyltransferase activity","MF"
"18","GO:0005524",0.000114081432627238,0.999910790667098,355,2738,"ATP binding","MF"
"19","GO:0009973",0.000143651815126221,1,4,4,"adenylyl-sulfate reductase activity","MF"
"20","GO:0033741",0.000143651815126221,1,4,4,"adenylyl-sulfate reductase (glutathione) activity","MF"
"21","GO:0008114",0.000143651832236165,1,4,4,"phosphogluconate 2-dehydrogenase activity","MF"
"22","GO:0005507",0.000183829712741009,0.999903779905525,51,280,"copper ion binding","MF"
"23","GO:0031072",0.000192844548792891,0.999963753390081,11,30,"heat shock protein binding","MF"
