"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0000138",0.00655619312815763,0.999624136782177,3,6,"Golgi trans cisterna","CC"
"2","GO:0005769",0.0174351465641137,0.99502770284524,7,38,"early endosome","CC"
"3","GO:0005840",0.0180717478950556,0.98847186382515,40,369,"ribosome","CC"
"4","GO:0030904",0.0227336075254463,0.996047860559906,4,16,"retromer complex","CC"
"5","GO:0010319",0.0230589136263266,0.992284838287671,8,49,"stromule","CC"
"6","GO:0005618",0.0238137339164582,0.983297655014432,57,600,"cell wall","CC"
"7","GO:0035098",0.0266094055873305,0.998709856548381,2,4,"ESC/E(Z) complex","CC"
"8","GO:0030130",0.0272702483200359,0.99865992755374,2,4,"clathrin coat of trans-Golgi network vesicle","CC"
"9","GO:0030132",0.0272702483200359,0.99865992755374,2,4,"clathrin coat of coated pit","CC"
"10","GO:0000151",0.035260603770198,0.98533391430624,10,74,"ubiquitin ligase complex","CC"
"11","GO:0016020",0.037346571882989,0.968899323690885,181,2217,"membrane","CC"
"12","GO:0005789",0.0424131551456661,0.970096225446471,48,518,"endoplasmic reticulum membrane","CC"
"13","GO:0005684",0.0435638632994559,0.996800538536312,2,5,"U2-type spliceosomal complex","CC"
"14","GO:0009507",0.0483356872013013,0.956855059282225,489,6320,"chloroplast","CC"
"15","GO:0001673",0.0492392599611943,0.996126635188292,2,5,"male germ cell nucleus","CC"
"16","GO:0030173",0.053035041987351,0.980480577903031,7,48,"integral component of Golgi membrane","CC"
"17","GO:0009527",0.0567156244000011,0.990143531803548,3,12,"plastid outer membrane","CC"
"18","GO:0031969",0.0597424359258083,0.965134398808112,19,182,"chloroplast membrane","CC"
"19","GO:0031595",0.0597469339354057,0.994325767214805,2,6,"nuclear proteasome complex","CC"
"20","GO:0009533",0.067869467898902,0.987102328333447,3,13,"chloroplast stromal thylakoid","CC"
"21","GO:0042565",0.0684527373468548,1,1,1,"RNA nuclear export complex","CC"
"22","GO:0070762",0.0704456642941297,1,1,1,"nuclear pore transmembrane ring","CC"
"23","GO:0000124",0.0706032941889441,0.981466857548365,4,22,"SAGA complex","CC"
"24","GO:0044214",0.071405718320766,1,1,1,"spanning component of plasma membrane","CC"
"25","GO:0010598",0.0720142055960364,0.992390542162429,2,6,"NAD(P)H dehydrogenase complex (plastoquinone)","CC"
"26","GO:0034719",0.0747527168001547,0.991929365243904,2,6,"SMN-Sm protein complex","CC"
