"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0042807",4.56599302417774e-08,0.999999999964359,3,5,"central vacuole","CC"
"2","GO:0009705",0.000422027687278214,0.999986275772686,3,139,"plant-type vacuole membrane","CC"
"3","GO:0009505",0.000740130256266199,0.999946843693731,4,347,"plant-type cell wall","CC"
"4","GO:0005576",0.00130451791341754,0.99971921016933,9,2180,"extracellular region","CC"
"5","GO:0031977",0.00294625197830006,0.999928373461733,2,58,"thylakoid lumen","CC"
"6","GO:0005618",0.00504478789852404,0.999384114660113,4,560,"cell wall","CC"
"7","GO:0009543",0.00701301932095212,0.999731543355773,2,87,"chloroplast thylakoid lumen","CC"
"8","GO:0000326",0.0118739246975604,0.999938905872681,1,9,"protein storage vacuole","CC"
"9","GO:0005773",0.0130589327538492,0.997899709767078,4,801,"vacuole","CC"
"10","GO:0009535",0.0240227403994712,0.996662297012804,3,428,"chloroplast thylakoid membrane","CC"
"11","GO:0030095",0.0266031257942442,0.999674855178676,1,16,"chloroplast photosystem II","CC"
"12","GO:0048046",0.0272543244938101,0.996024039334358,3,501,"apoplast","CC"
"13","GO:0031982",0.030274710699486,0.99956763560871,1,26,"vesicle","CC"
"14","GO:0009654",0.0308781839144762,0.999558044813874,1,18,"photosystem II oxygen evolving complex","CC"
"15","GO:0016020",0.031177095938026,0.990984162802607,6,2107,"membrane","CC"
"16","GO:0016021",0.0336070562552085,0.986649532837509,11,5100,"integral component of membrane","CC"
"17","GO:0019898",0.0454971126266065,0.99900586991853,1,38,"extrinsic component of membrane","CC"
"18","GO:0031225",0.0466947675451701,0.995076246356124,2,220,"anchored component of membrane","CC"
"19","GO:0009506",0.0472506413442244,0.988715332244757,4,1214,"plasmodesma","CC"
"20","GO:1990904",0.121147666863176,0.992626078182281,1,111,"ribonucleoprotein complex","CC"
"21","GO:0005575",0.138353564101488,0.972905400063142,2,392,"cellular_component","CC"
"22","GO:0005681",0.154743153614182,0.987785094152734,1,153,"spliceosomal complex","CC"
"23","GO:0005886",0.169054017827195,0.919591392513543,7,4166,"plasma membrane","CC"
