"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0005576",1.64537931556396e-14,1,33,2180,"extracellular region","CC"
"2","GO:0009505",1.18655105431184e-08,0.99999999908553,11,347,"plant-type cell wall","CC"
"3","GO:0005618",3.12741741733765e-08,0.999999996581874,13,560,"cell wall","CC"
"4","GO:0048046",0.00132761614867635,0.999753262606986,7,501,"apoplast","CC"
"5","GO:0032432",0.00992886261095526,0.999959238214267,1,6,"actin filament bundle","CC"
"6","GO:0009530",0.0220352265421801,0.999798265228847,1,6,"primary cell wall","CC"
"7","GO:0019897",0.023687718424305,0.999766719164042,1,6,"extrinsic component of plasma membrane","CC"
"8","GO:0005884",0.0508670258292545,0.998751988855038,1,24,"actin filament","CC"
"9","GO:0031225",0.0562485213675264,0.988788896321646,3,220,"anchored component of membrane","CC"
"10","GO:0005874",0.0935822092956827,0.985080451908536,2,220,"microtubule","CC"
"11","GO:0009506",0.131013844963591,0.942837809990844,6,1214,"plasmodesma","CC"
"12","GO:0090406",0.13903477504325,0.99014078247242,1,54,"pollen tube","CC"
"13","GO:0005575",0.218466269699047,0.921795203736235,3,392,"cellular_component","CC"
"14","GO:0009705",0.313476704540594,0.945641433940662,1,139,"plant-type vacuole membrane","CC"
"15","GO:0005887",0.375687869309236,0.919589598945738,1,190,"integral component of plasma membrane","CC"
"16","GO:0005615",0.408392654190948,0.903671227286967,1,139,"extracellular space","CC"
"17","GO:0046658",0.419697625369205,0.89769404989528,1,143,"anchored component of plasma membrane","CC"
"18","GO:0005789",0.435259639977039,0.816512567151315,2,495,"endoplasmic reticulum membrane","CC"
"19","GO:0016021",0.535651023282609,0.574305551440089,16,5100,"integral component of membrane","CC"
"20","GO:0016020",0.612141732907733,0.553073305354895,6,2107,"membrane","CC"
"21","GO:0009536",0.709389159344419,0.652848063255935,1,408,"plastid","CC"
"22","GO:0005783",0.792280367668425,0.440205967147645,2,961,"endoplasmic reticulum","CC"
"23","GO:0005737",0.816151429473271,0.268819571893964,14,5641,"cytoplasm","CC"
"24","GO:0005829",0.839785447238979,0.276920392781768,6,2799,"cytosol","CC"
"25","GO:0005774",0.867847014678064,0.403148849169314,1,669,"vacuolar membrane","CC"
"26","GO:0005794",0.907655120697508,0.243304205620561,2,1363,"Golgi apparatus","CC"
"27","GO:0005773",0.910748490754095,0.308263951721825,1,801,"vacuole","CC"
"28","GO:0005886",0.918107027368323,0.14831925007155,8,4166,"plasma membrane","CC"
"29","GO:0009570",0.927351377615108,0.266348190348049,1,832,"chloroplast stroma","CC"
"30","GO:0009507",0.999521026265293,0.00144124448323199,8,6062,"chloroplast","CC"
"31","GO:0005739",0.999586413571116,0.00169706900202491,4,3912,"mitochondrion","CC"
"32","GO:0005634",0.999929855038422,0.000180906509179973,19,11678,"nucleus","CC"
"33","GO:0000015",1,0.993347995335569,0,3,"phosphopyruvate hydratase complex","CC"
"34","GO:0000109",1,0.997880088791861,0,1,"nucleotide-excision repair complex","CC"
"35","GO:0000110",1,0.989792886672575,0,5,"nucleotide-excision repair factor 1 complex","CC"
"36","GO:0000111",1,0.995909868855228,0,3,"nucleotide-excision repair factor 2 complex","CC"
"37","GO:0000112",1,0.997290230425678,0,2,"nucleotide-excision repair factor 3 complex","CC"
"38","GO:0000118",1,0.985353352940024,0,6,"histone deacetylase complex","CC"
"39","GO:0000123",1,0.943261919862104,0,19,"histone acetyltransferase complex","CC"
"40","GO:0000124",1,0.937712160481202,0,21,"SAGA complex","CC"
"41","GO:0000126",1,0.989629864072315,0,5,"transcription factor TFIIIB complex","CC"
"42","GO:0000127",1,0.988185948856544,0,6,"transcription factor TFIIIC complex","CC"
"43","GO:0000138",1,0.974469897452694,0,7,"Golgi trans cisterna","CC"
"44","GO:0000139",1,0.322350774973471,0,430,"Golgi membrane","CC"
"45","GO:0000145",1,0.916788535261768,0,36,"exocyst","CC"
"46","GO:0000148",1,0.981613746291843,0,18,"1,3-beta-D-glucan synthase complex","CC"
"47","GO:0000151",1,0.84149581983686,0,68,"ubiquitin ligase complex","CC"
"48","GO:0000152",1,0.99668271498332,0,2,"nuclear ubiquitin ligase complex","CC"
"49","GO:0000153",1,0.995113947054968,0,2,"cytoplasmic ubiquitin ligase complex","CC"
"50","GO:0000159",1,0.926882206811764,0,35,"protein phosphatase type 2A complex","CC"
"51","GO:0000164",1,0.975602628724008,0,7,"protein phosphatase type 1 complex","CC"
"52","GO:0000172",1,0.987594667045542,0,3,"ribonuclease MRP complex","CC"
"53","GO:0000176",1,0.931690610527721,0,21,"nuclear exosome (RNase complex)","CC"
"54","GO:0000177",1,0.945326361175396,0,17,"cytoplasmic exosome (RNase complex)","CC"
"55","GO:0000178",1,0.966736914197876,0,12,"exosome (RNase complex)","CC"
"56","GO:0000214",1,0.982148464977894,0,4,"tRNA-intron endonuclease complex","CC"
"57","GO:0000220",1,0.987481804769387,0,5,"vacuolar proton-transporting V-type ATPase, V0 domain","CC"
"58","GO:0000221",1,0.997123793280846,0,2,"vacuolar proton-transporting V-type ATPase, V1 domain","CC"
"59","GO:0000228",1,0.954896812060697,0,17,"nuclear chromosome","CC"
"60","GO:0000243",1,0.970936280327393,0,11,"commitment complex","CC"
"61","GO:0000262",1,0.996001747728389,0,1,"mitochondrial chromosome","CC"
"62","GO:0000274",1,0.996145876573625,0,1,"mitochondrial proton-transporting ATP synthase, stator stalk","CC"
"63","GO:0000275",1,0.962094001116806,0,11,"mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)","CC"
"64","GO:0000276",1,0.961659082682649,0,9,"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)","CC"
"65","GO:0000306",1,0.982007475425991,0,6,"extrinsic component of vacuolar membrane","CC"
"66","GO:0000307",1,0.878693505176314,0,42,"cyclin-dependent protein kinase holoenzyme complex","CC"
"67","GO:0000311",1,0.922415717347944,0,17,"plastid large ribosomal subunit","CC"
"68","GO:0000312",1,0.928485680660375,0,15,"plastid small ribosomal subunit","CC"
"69","GO:0000323",1,0.983484921919518,0,6,"lytic vacuole","CC"
"70","GO:0000325",1,0.883996908697988,0,57,"plant-type vacuole","CC"
"71","GO:0000326",1,0.96769233282829,0,9,"protein storage vacuole","CC"
"72","GO:0000327",1,0.99771966983528,0,1,"lytic vacuole within protein storage vacuole","CC"
"73","GO:0000346",1,0.997501918304248,0,1,"transcription export complex","CC"
"74","GO:0000347",1,0.975470684281109,0,11,"THO complex","CC"
"75","GO:0000407",1,0.970779510988134,0,15,"phagophore assembly site","CC"
"76","GO:0000408",1,0.9862086744192,0,4,"EKC/KEOPS complex","CC"
"77","GO:0000417",1,0.997453150541074,0,2,"HIR complex","CC"
"78","GO:0000418",1,0.949265756982461,0,15,"RNA polymerase IV complex","CC"
"79","GO:0000419",1,0.931196893454072,0,20,"RNA polymerase V complex","CC"
"80","GO:0000421",1,0.928646125488047,0,20,"autophagosome membrane","CC"
"81","GO:0000427",1,0.980791168344431,0,6,"plastid-encoded plastid RNA polymerase complex","CC"
"82","GO:0000439",1,0.97277492711658,0,12,"transcription factor TFIIH core complex","CC"
"83","GO:0000445",1,0.977654862664789,0,8,"THO complex part of transcription export complex","CC"
"84","GO:0000502",1,0.748305528169295,0,98,"proteasome complex","CC"
"85","GO:0000506",1,0.983238868138957,0,5,"glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex","CC"
"86","GO:0000775",1,0.922618483866429,0,32,"chromosome, centromeric region","CC"
"87","GO:0000776",1,0.952458070805776,0,17,"kinetochore","CC"
"88","GO:0000777",1,0.97280626372872,0,11,"condensed chromosome kinetochore","CC"
"89","GO:0000778",1,0.976121413472744,0,9,"condensed nuclear chromosome kinetochore","CC"
"90","GO:0000779",1,0.998710459804667,0,1,"condensed chromosome, centromeric region","CC"
"91","GO:0000780",1,0.984012533350323,0,6,"condensed nuclear chromosome, centromeric region","CC"
"92","GO:0000781",1,0.980615781742236,0,8,"chromosome, telomeric region","CC"
"93","GO:0000783",1,0.99324173351324,0,3,"nuclear telomere cap complex","CC"
"94","GO:0000784",1,0.932662790765596,0,28,"nuclear chromosome, telomeric region","CC"
"95","GO:0000785",1,0.835730828623349,0,79,"chromatin","CC"
"96","GO:0000786",1,0.796749425910482,0,54,"nucleosome","CC"
"97","GO:0000790",1,0.825472826241786,0,62,"nuclear chromatin","CC"
"98","GO:0000791",1,0.991304379057036,0,4,"euchromatin","CC"
"99","GO:0000792",1,0.983403476092735,0,4,"heterochromatin","CC"
"100","GO:0000793",1,0.985228954240982,0,7,"condensed chromosome","CC"
"101","GO:0000794",1,0.975933384876027,0,13,"condensed nuclear chromosome","CC"
"102","GO:0000795",1,0.990557748223986,0,6,"synaptonemal complex","CC"
"103","GO:0000796",1,0.995749074788251,0,3,"condensin complex","CC"
"104","GO:0000798",1,0.99518216110347,0,3,"nuclear cohesin complex","CC"
"105","GO:0000799",1,0.997070692097549,0,2,"nuclear condensin complex","CC"
"106","GO:0000808",1,0.975555090604927,0,9,"origin recognition complex","CC"
"107","GO:0000811",1,0.971092644732776,0,9,"GINS complex","CC"
"108","GO:0000812",1,0.984121593447727,0,5,"Swr1 complex","CC"
"109","GO:0000813",1,0.950940306464911,0,13,"ESCRT I complex","CC"
"110","GO:0000814",1,0.976871112988877,0,7,"ESCRT II complex","CC"
"111","GO:0000815",1,0.949029536161318,0,13,"ESCRT III complex","CC"
"112","GO:0000818",1,0.991953722006605,0,2,"nuclear MIS12/MIND complex","CC"
"113","GO:0000922",1,0.97004340978606,0,15,"spindle pole","CC"
"114","GO:0000923",1,0.97773527445416,0,9,"equatorial microtubule organizing center","CC"
"115","GO:0000930",1,0.963563612313642,0,13,"gamma-tubulin complex","CC"
"116","GO:0000932",1,0.801175104835451,0,82,"P-body","CC"
"117","GO:0000938",1,0.986238633789727,0,11,"GARP complex","CC"
"118","GO:0000940",1,0.995844502467603,0,1,"condensed chromosome outer kinetochore","CC"
"119","GO:0000943",1,0.991748321675691,0,2,"retrotransposon nucleocapsid","CC"
"120","GO:0000974",1,0.961605210086263,0,15,"Prp19 complex","CC"
"121","GO:0001401",1,0.99321235464965,0,2,"mitochondrial sorting and assembly machinery complex","CC"
"122","GO:0001405",1,0.974461533424628,0,6,"PAM complex, Tim23 associated import motor","CC"
"123","GO:0001673",1,0.980177529456116,0,5,"male germ cell nucleus","CC"
"124","GO:0002144",1,0.996699677484609,0,1,"cytosolic tRNA wobble base thiouridylase complex","CC"
"125","GO:0002189",1,0.975995374208114,0,8,"ribose phosphate diphosphokinase complex","CC"
"126","GO:0005622",1,0.456111383353207,0,245,"intracellular","CC"
"127","GO:0005623",1,0.756569361357257,0,96,"cell","CC"
"128","GO:0005635",1,0.791858248120609,0,95,"nuclear envelope","CC"
"129","GO:0005637",1,0.97909269149809,0,7,"nuclear inner membrane","CC"
"130","GO:0005640",1,0.977004636075221,0,5,"nuclear outer membrane","CC"
"131","GO:0005643",1,0.902727055080308,0,52,"nuclear pore","CC"
"132","GO:0005652",1,0.991642152587812,0,6,"nuclear lamina","CC"
"133","GO:0005654",1,0.654663280945363,0,155,"nucleoplasm","CC"
"134","GO:0005655",1,0.995072878374374,0,1,"nucleolar ribonuclease P complex","CC"
"135","GO:0005656",1,0.991747240266195,0,3,"nuclear pre-replicative complex","CC"
"136","GO:0005657",1,0.97144348884261,0,10,"replication fork","CC"
"137","GO:0005658",1,0.992197728233287,0,5,"alpha DNA polymerase:primase complex","CC"
"138","GO:0005662",1,0.975816217437238,0,10,"DNA replication factor A complex","CC"
"139","GO:0005663",1,0.978968433352127,0,11,"DNA replication factor C complex","CC"
"140","GO:0005664",1,0.975555090604927,0,9,"nuclear origin of replication recognition complex","CC"
"141","GO:0005665",1,0.93321680344618,0,19,"RNA polymerase II, core complex","CC"
"142","GO:0005666",1,0.881832560033006,0,35,"RNA polymerase III complex","CC"
"143","GO:0005667",1,0.904028733906663,0,35,"transcription factor complex","CC"
"144","GO:0005668",1,0.996986913612979,0,1,"RNA polymerase transcription factor SL1 complex","CC"
"145","GO:0005669",1,0.92642706095108,0,27,"transcription factor TFIID complex","CC"
"146","GO:0005672",1,0.988921991737415,0,3,"transcription factor TFIIA complex","CC"
"147","GO:0005673",1,0.986975834374923,0,5,"transcription factor TFIIE complex","CC"
"148","GO:0005674",1,0.995846810540915,0,1,"transcription factor TFIIF complex","CC"
"149","GO:0005675",1,0.96855496913288,0,14,"transcription factor TFIIH holo complex","CC"
"150","GO:0005677",1,0.963165712981452,0,16,"chromatin silencing complex","CC"
"151","GO:0005680",1,0.951448038533247,0,19,"anaphase-promoting complex","CC"
"152","GO:0005681",1,0.638167550280568,0,153,"spliceosomal complex","CC"
"153","GO:0005682",1,0.901786203249119,0,27,"U5 snRNP","CC"
"154","GO:0005684",1,0.983364452140958,0,6,"U2-type spliceosomal complex","CC"
"155","GO:0005685",1,0.891580510118316,0,35,"U1 snRNP","CC"
