category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,Annotation,ontology
path:ath00195,0.052033284233478375,0.9989197794592125,1,42,Photosynthesis,KEGG
path:ath00030,0.06184692678328613,0.9984509203290179,1,77,Pentose phosphate pathway,KEGG
path:ath00940,0.1405414103679472,0.9916656537646461,1,168,Phenylpropanoid biosynthesis,KEGG
path:ath03040,0.22276265196989498,0.9781959110127002,1,310,Spliceosome,KEGG
path:ath04075,0.23143095951490453,0.9763737285411418,1,286,Plant hormone signal transduction,KEGG
path:ath01200,0.24602183691497664,0.9730936829119882,1,362,Carbon metabolism,KEGG
path:ath01110,0.2742392941206628,0.9377488750535888,2,1292,Biosynthesis of secondary metabolites,KEGG
path:ath01100,0.7063098654890887,0.6370640827590393,2,2631,Metabolic pathways,KEGG
path:ath01210,0.9999999999999991,0.9359914353271075,0,90,2-Oxocarboxylic acid metabolism,KEGG
path:ath00500,0.9999999999999994,0.8841293843605587,0,182,Starch and sucrose metabolism,KEGG
path:ath00010,1,0.8995728852007279,0,145,Glycolysis / Gluconeogenesis,KEGG
path:ath00020,1,0.9441771103235751,0,78,Citrate cycle (TCA cycle),KEGG
path:ath00040,1,0.9404856789988857,0,76,Pentose and glucuronate interconversions,KEGG
path:ath00051,1,0.9407009248216166,0,74,Fructose and mannose metabolism,KEGG
path:ath00052,1,0.9592566879762489,0,61,Galactose metabolism,KEGG
path:ath00053,1,0.9526973281853025,0,63,Ascorbate and aldarate metabolism,KEGG
path:ath00061,1,0.9627181343453717,0,52,Fatty acid biosynthesis,KEGG
path:ath00062,1,0.9750371551942733,0,29,Fatty acid elongation,KEGG
path:ath00071,1,0.9587143834610133,0,61,Fatty acid degradation,KEGG
path:ath00072,1,0.9942690992351307,0,9,Synthesis and degradation of ketone bodies,KEGG
path:ath00073,1,0.9847971663986375,0,20,"Cutin, suberine and wax biosynthesis",KEGG
path:ath00100,1,0.9706070650379757,0,40,Steroid biosynthesis,KEGG
path:ath00130,1,0.959251817423551,0,51,Ubiquinone and other terpenoid-quinone biosynthesis,KEGG
path:ath00190,1,0.8644351104377599,0,147,Oxidative phosphorylation,KEGG
path:ath00196,1,0.9750638379195246,0,20,Photosynthesis - antenna proteins,KEGG
path:ath00220,1,0.9661704294269746,0,48,Arginine biosynthesis,KEGG
path:ath00230,1,0.9040970210139339,0,124,Purine metabolism,KEGG
