"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0006833",7.14424007541901e-06,0.999999945154475,3,28,"water transport","BP"
"2","GO:0009826",0.000526413110099331,0.999981528589179,3,139,"unidimensional cell growth","BP"
"3","GO:0006869",0.000553640766947635,0.999980317334485,3,107,"lipid transport","BP"
"4","GO:0055085",0.000684559189675633,0.999951811887921,4,399,"transmembrane transport","BP"
"5","GO:0046322",0.00155206686134942,1,1,1,"negative regulation of fatty acid oxidation","BP"
"6","GO:0042545",0.00180747097527629,0.999965866066238,2,51,"cell wall modification","BP"
"7","GO:0010411",0.00195449345285538,0.999961665010306,2,48,"xyloglucan metabolic process","BP"
"8","GO:0042546",0.00261255447159571,0.999940414457356,2,53,"cell wall biogenesis","BP"
"9","GO:0010198",0.0028722932018291,0.999997995253411,1,2,"synergid death","BP"
"10","GO:0055074",0.00332280705478022,0.999995975792172,1,4,"calcium ion homeostasis","BP"
"11","GO:0015840",0.00343282479890517,0.999997135618781,1,2,"urea transport","BP"
"12","GO:0009740",0.00365836920781529,0.999900482049367,2,62,"gibberellic acid mediated signaling pathway","BP"
"13","GO:1902358",0.00396786784304894,0.999993877847657,1,5,"sulfate transmembrane transport","BP"
"14","GO:0042759",0.00430076434468847,0.999993255587604,1,4,"long-chain fatty acid biosynthetic process","BP"
"15","GO:1901562",0.00580464432023847,0.999986887950897,1,5,"response to paraquat","BP"
"16","GO:0009410",0.00677235434515715,0.999980473938207,1,8,"response to xenobiotic stimulus","BP"
"17","GO:0009733",0.00715702666470303,0.999366023547488,3,315,"response to auxin","BP"
"18","GO:0007169",0.00762551232223873,0.999692933928044,2,153,"transmembrane receptor protein tyrosine kinase signaling pathway","BP"
"19","GO:0032959",0.00835290369334837,0.999969807525169,1,9,"inositol trisphosphate biosynthetic process","BP"
"20","GO:0051209",0.00835290369334837,0.999969807525169,1,9,"release of sequestered calcium ion into cytosol","BP"
"21","GO:0042744",0.00860801999762742,0.999632638468228,2,103,"hydrogen peroxide catabolic process","BP"
"22","GO:0009651",0.00880099435868925,0.998739106530077,4,699,"response to salt stress","BP"
"23","GO:0006629",0.0114864084847834,0.999428173160914,2,143,"lipid metabolic process","BP"
"24","GO:0048026",0.0114884829246325,0.999941521396972,1,11,"positive regulation of mRNA splicing, via spliceosome","BP"
"25","GO:0009414",0.01234602164235,0.998663520299845,3,399,"response to water deprivation","BP"
"26","GO:0080170",0.0143635235641794,0.999909401716383,1,10,"hydrogen peroxide transmembrane transport","BP"
"27","GO:0010117",0.0159888832958579,0.999886539027385,1,11,"photoprotection","BP"
"28","GO:0048015",0.0175745099192723,0.999856700123408,1,20,"phosphatidylinositol-mediated signaling","BP"
"29","GO:0009645",0.0195441041033717,0.999828837441415,1,12,"response to low light intensity stimulus","BP"
"30","GO:0018119",0.0195964801318659,0.999824806411756,1,15,"peptidyl-cysteine S-nitrosylation","BP"
"31","GO:0010431",0.0198038476831384,0.999818948884566,1,18,"seed maturation","BP"
"32","GO:0009862",0.0201086964857693,0.999811752679839,1,21,"systemic acquired resistance, salicylic acid mediated signaling pathway","BP"
"33","GO:0009051",0.0222353476833235,0.999770854858365,1,19,"pentose-phosphate shunt, oxidative branch","BP"
"34","GO:0009612",0.0224571405326101,0.999768658918654,1,16,"response to mechanical stimulus","BP"
"35","GO:0009737",0.0258758019181914,0.996298204221857,3,549,"response to abscisic acid","BP"
"36","GO:0010214",0.0264033019870556,0.999672690813988,1,24,"seed coat development","BP"
"37","GO:0009767",0.0280871019778673,0.999633587197033,1,19,"photosynthetic electron transport chain","BP"
"38","GO:0010025",0.0286208835282993,0.999612232848345,1,29,"wax biosynthetic process","BP"
"39","GO:0030244",0.0309455421286737,0.999543184221989,1,36,"cellulose biosynthetic process","BP"
"40","GO:0010102",0.03272106522738,0.999493747084512,1,27,"lateral root morphogenesis","BP"
"41","GO:0080022",0.0400818447090565,0.999231092279258,1,36,"primary root development","BP"
"42","GO:0009269",0.0414300204034752,0.999183684398391,1,29,"response to desiccation","BP"
"43","GO:0001944",0.0452092870917759,0.999024409240926,1,31,"vasculature development","BP"
"44","GO:0010089",0.0466555900872307,0.998955704019942,1,36,"xylem development","BP"
"45","GO:0009741",0.0481557326256171,0.998885213985487,1,38,"response to brassinosteroid","BP"
"46","GO:0010286",0.0667748606144822,0.997820941521369,1,60,"heat acclimation","BP"
"47","GO:0045490",0.0690038908488368,0.997668172707259,1,65,"pectin catabolic process","BP"
"48","GO:0006468",0.0716898618890578,0.98464391701592,3,1021,"protein phosphorylation","BP"
"49","GO:0034599",0.0778357716420885,0.997028903524774,1,58,"cellular response to oxidative stress","BP"
"50","GO:0009585",0.0804935185915001,0.996808878805573,1,72,"red, far-red light phototransduction","BP"
"51","GO:0009664",0.0857982632589343,0.996371824365925,1,66,"plant-type cell wall organization","BP"
"52","GO:0010119",0.0867841350063909,0.996275804249136,1,82,"regulation of stomatal movement","BP"
"53","GO:0006979",0.0884682435372578,0.986642367937699,2,376,"response to oxidative stress","BP"
"54","GO:0009640",0.0910044006378788,0.995897801549071,1,83,"photomorphogenesis","BP"
"55","GO:0009644",0.0990454864285474,0.995134168003484,1,73,"response to high light intensity","BP"
"56","GO:0009626",0.101309320479414,0.99488748635372,1,98,"plant-type hypersensitive response","BP"
"57","GO:0016310",0.105682457427907,0.982311928436884,2,514,"phosphorylation","BP"
"58","GO:0006351",0.133002692230432,0.991059488414755,1,133,"transcription, DNA-templated","BP"
"59","GO:0016042",0.139373135181512,0.990159742558973,1,131,"lipid catabolic process","BP"
"60","GO:0009739",0.152303011213783,0.988200217717248,1,118,"response to gibberellin","BP"
"61","GO:0006970",0.186873424717697,0.981941052447277,1,186,"response to osmotic stress","BP"
"62","GO:0046777",0.197220913554534,0.979780797875395,1,238,"protein autophosphorylation","BP"
"63","GO:0048364",0.205837748655215,0.977903923758758,1,226,"root development","BP"
"64","GO:0009408",0.211367735848975,0.97666343964978,1,196,"response to heat","BP"
"65","GO:0045454",0.213735764543997,0.976135135899243,1,166,"cell redox homeostasis","BP"
"66","GO:0035556",0.218197010091299,0.975036155905081,1,252,"intracellular signal transduction","BP"
"67","GO:0045892",0.241619339498012,0.969102139022782,1,235,"negative regulation of transcription, DNA-templated","BP"
"68","GO:0030154",0.247499163830619,0.967502521531791,1,232,"cell differentiation","BP"
"69","GO:0071555",0.270185895554198,0.96087293734287,1,285,"cell wall organization","BP"
"70","GO:0005975",0.309692219054969,0.947680771847494,1,350,"carbohydrate metabolic process","BP"
"71","GO:0045893",0.334118421321837,0.938455362374502,1,315,"positive regulation of transcription, DNA-templated","BP"
"72","GO:0007165",0.368216271535776,0.924029508829789,1,417,"signal transduction","BP"
"73","GO:0055114",0.49569567747157,0.773296743233102,2,1349,"oxidation-reduction process","BP"
"74","GO:0006355",0.650805829546794,0.625995641162006,2,1767,"regulation of transcription, DNA-templated","BP"
"75","GO:0008150",0.981089423774475,0.0603554330338881,3,4860,"biological_process","BP"
"76","GO:0045944",0.999999999999999,0.875752824698117,0,134,"positive regulation of transcription by RNA polymerase II","BP"
"77","GO:0048366",1,0.85171709870611,0,152,"leaf development","BP"
"78","GO:0071369",1,0.953157983607945,0,34,"cellular response to ethylene stimulus","BP"
"79","GO:0000002",1,0.996530011299254,0,3,"mitochondrial genome maintenance","BP"
"80","GO:0000003",1,0.984769199353146,0,15,"reproduction","BP"
"81","GO:0000012",1,0.997509137871433,0,3,"single strand break repair","BP"
