category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,Annotation,ontology
ARA:LEUSYN-PWY,8.855711999428212e-5,0.9999985676321981,3,27,L-leucine biosynthesis,BioCyc
ARA:BRANCHED-CHAIN-AA-SYN-PWY,1.8470450826670382e-4,0.9999960748264222,3,37,superpathway of branched chain amino acid biosynthesis,BioCyc
ARA:PWY-1186,2.7962167044888074e-4,0.9999984160902468,2,8,L-homomethionine biosynthesis,BioCyc
ARA:PWYQT-4450,3.7123116471584055e-4,0.9999975044582619,2,9,"aliphatic glucosinolate biosynthesis, side chain elongation cycle",BioCyc
ARA:PWYQT-4472,0.004630758209849547,0.9998723172373062,2,25,glucosinolate biosynthesis from trihomomethionine,BioCyc
ARA:PWYQT-4473,0.004630758209849547,0.9998723172373062,2,25,glucosinolate biosynthesis from tetrahomomethionine,BioCyc
ARA:PWYQT-4474,0.004630758209849547,0.9998723172373062,2,25,glucosinolate biosynthesis from pentahomomethionine,BioCyc
ARA:PWYQT-4475,0.006722432214298161,0.999772521215039,2,31,glucosinolate biosynthesis from hexahomomethionine,BioCyc
ARA:PWY-1187,0.008004702713517452,0.9997034516702852,2,31,glucosinolate biosynthesis from homomethionine,BioCyc
ARA:PWY-641,0.016545699581377516,0.9999039878338617,1,4,proanthocyanidins biosynthesis from flavanols,BioCyc
ARA:PWY-5670,0.019637414002355816,0.9998453340596429,1,7,epoxysqualene biosynthesis,BioCyc
ARA:PWY-6014,0.02404477998968165,0.9997830731107289,1,5,vernolate biosynthesis I,BioCyc
ARA:PWY-6710,0.02404477998968165,0.9997830731107289,1,5,poly-hydroxy fatty acids biosynthesis,BioCyc
ARA:PWYQT-4471,0.024948026277492406,0.998282144876552,2,54,glucosinolate biosynthesis from dihomomethionine,BioCyc
ARA:PWY-4321,0.035714753111223525,0.9994496341592881,1,12,L-glutamate degradation IV,BioCyc
ARA:PWY-5125,0.03616264470796984,0.9994610012814966,1,8,anthocyanin biosynthesis,BioCyc
ARA:PWY-5934,0.043132148958738264,0.9991846151131097,1,14,iron reduction and absorption,BioCyc
ARA:PWY-6663,0.05258089272895209,0.9987595267369613,1,19,plant sterol biosynthesis II,BioCyc
ARA:PWY-4361,0.076166070434056,0.9973657454567504,1,20,S-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation,BioCyc
ARA:PWY-6902,0.0763674644508304,0.9973968264410713,1,15,chitin degradation II (Vibrio),BioCyc
