category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,Annotation,ontology
path:ath00940,3.4390043556320486e-9,0.9999999998499071,10,168,Phenylpropanoid biosynthesis,KEGG
path:ath00966,1.0007465764802943e-7,0.999999998647771,5,25,Glucosinolate biosynthesis,KEGG
path:ath01110,1.757853651207051e-5,0.9999970622413702,16,1292,Biosynthesis of secondary metabolites,KEGG
path:ath01210,2.2609001898516656e-5,0.999998962814611,5,90,2-Oxocarboxylic acid metabolism,KEGG
path:ath00040,3.6438927511138903e-4,0.9999793374621468,4,76,Pentose and glucuronate interconversions,KEGG
path:ath01100,0.012307693993190108,0.9958657876414317,18,2631,Metabolic pathways,KEGG
path:ath00909,0.06552369339315434,0.9979787423058776,1,22,Sesquiterpenoid and triterpenoid biosynthesis,KEGG
path:ath04626,0.07780889395211624,0.9831068023666689,3,217,Plant-pathogen interaction,KEGG
path:ath00430,0.08326117033800312,0.9967293837443115,1,20,Taurine and hypotaurine metabolism,KEGG
path:ath00650,0.10881597004156414,0.9942626545362058,1,30,Butanoate metabolism,KEGG
path:ath00290,0.11161027379753678,0.9939645932066592,1,29,"Valine, leucine and isoleucine biosynthesis",KEGG
path:ath00100,0.1511086322503839,0.9886594048380664,1,40,Steroid biosynthesis,KEGG
path:ath00410,0.1705398492227761,0.985367515621095,1,51,beta-Alanine metabolism,KEGG
path:ath00250,0.24195114217472857,0.9695091409539078,1,72,"Alanine, aspartate and glutamate metabolism",KEGG
path:ath00520,0.4920415436199074,0.8571379747161563,1,152,Amino sugar and nucleotide sugar metabolism,KEGG
path:ath04016,0.533029947331703,0.8284742521599909,1,158,MAPK signaling pathway - plant,KEGG
path:ath00190,0.5412974337689411,0.822340878404638,1,147,Oxidative phosphorylation,KEGG
path:ath04075,0.7615118066927373,0.5904515243409558,1,286,Plant hormone signal transduction,KEGG
path:ath03022,0.999999999999997,0.7626154646082639,0,66,Basal transcription factors,KEGG
path:ath00565,0.9999999999999972,0.8802355671220863,0,39,Ether lipid metabolism,KEGG
path:ath01040,0.9999999999999979,0.8985942261607687,0,27,Biosynthesis of unsaturated fatty acids,KEGG
path:ath00030,0.9999999999999986,0.7050041617426361,0,77,Pentose phosphate pathway,KEGG
path:ath00010,1,0.5529313318773866,0,145,Glycolysis / Gluconeogenesis,KEGG
path:ath00020,1,0.7322401599351829,0,78,Citrate cycle (TCA cycle),KEGG
path:ath00051,1,0.712137459186961,0,74,Fructose and mannose metabolism,KEGG
path:ath00052,1,0.801798867290503,0,61,Galactose metabolism,KEGG
path:ath00053,1,0.7562054943723978,0,63,Ascorbate and aldarate metabolism,KEGG
path:ath00061,1,0.8240610812548352,0,52,Fatty acid biosynthesis,KEGG
path:ath00062,1,0.8607130604060825,0,29,Fatty acid elongation,KEGG
path:ath00071,1,0.8040647216090955,0,61,Fatty acid degradation,KEGG
path:ath00072,1,0.9678374861320597,0,9,Synthesis and degradation of ketone bodies,KEGG
path:ath00073,1,0.9181746452274163,0,20,"Cutin, suberine and wax biosynthesis",KEGG
path:ath00130,1,0.7939205876505363,0,51,Ubiquinone and other terpenoid-quinone biosynthesis,KEGG
path:ath00195,1,0.7551465411778268,0,42,Photosynthesis,KEGG
path:ath00196,1,0.8733474614252313,0,20,Photosynthesis - antenna proteins,KEGG
path:ath00220,1,0.8214350005875724,0,48,Arginine biosynthesis,KEGG
path:ath00230,1,0.5687606572365436,0,124,Purine metabolism,KEGG
path:ath00232,1,0.9918693435597494,0,3,Caffeine metabolism,KEGG
path:ath00240,1,0.7345185336056029,0,72,Pyrimidine metabolism,KEGG
path:ath00260,1,0.6662308368689405,0,94,"Glycine, serine and threonine metabolism",KEGG
path:ath00261,1,0.9327618324678438,0,17,Monobactam biosynthesis,KEGG
path:ath00270,1,0.4760114642560665,0,162,Cysteine and methionine metabolism,KEGG
path:ath00280,1,0.7399032205097963,0,78,"Valine, leucine and isoleucine degradation",KEGG
path:ath00300,1,0.9332449543069599,0,18,Lysine biosynthesis,KEGG
path:ath00310,1,0.8290899104705156,0,51,Lysine degradation,KEGG
path:ath00330,1,0.7484771742113039,0,68,Arginine and proline metabolism,KEGG
path:ath00340,1,0.8935979121442333,0,27,Histidine metabolism,KEGG
path:ath00350,1,0.7972705309483913,0,52,Tyrosine metabolism,KEGG
path:ath00360,1,0.7922414072211702,0,54,Phenylalanine metabolism,KEGG
path:ath00380,1,0.7136085390898255,0,76,Tryptophan metabolism,KEGG
path:ath00400,1,0.7281303523722005,0,69,"Phenylalanine, tyrosine and tryptophan biosynthesis",KEGG
path:ath00440,1,0.9460200355195116,0,13,Phosphonate and phosphinate metabolism,KEGG
path:ath00450,1,0.9083861739171368,0,25,Selenocompound metabolism,KEGG
path:ath00460,1,0.6913266910502819,0,87,Cyanoamino acid metabolism,KEGG
path:ath00480,1,0.5009178840225574,0,129,Glutathione metabolism,KEGG
path:ath00500,1,0.5229311969944561,0,182,Starch and sucrose metabolism,KEGG
path:ath00510,1,0.7643530575360207,0,62,N-Glycan biosynthesis,KEGG
path:ath00511,1,0.9247558611568111,0,29,Other glycan degradation,KEGG
path:ath00514,1,0.9260946314123927,0,19,Other types of O-glycan biosynthesis,KEGG
path:ath00531,1,0.9696798589685818,0,11,Glycosaminoglycan degradation,KEGG
path:ath00561,1,0.7230742519683058,0,88,Glycerolipid metabolism,KEGG
path:ath00562,1,0.704854375800213,0,99,Inositol phosphate metabolism,KEGG
path:ath00563,1,0.8491194675148745,0,38,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,KEGG
path:ath00564,1,0.5787435004813878,0,138,Glycerophospholipid metabolism,KEGG
path:ath00590,1,0.9019966521095764,0,20,Arachidonic acid metabolism,KEGG
path:ath00591,1,0.975016732729289,0,8,Linoleic acid metabolism,KEGG
path:ath00592,1,0.8338532234378944,0,44,alpha-Linolenic acid metabolism,KEGG
path:ath00600,1,0.8770031038991772,0,40,Sphingolipid metabolism,KEGG
path:ath00601,1,0.986604802549272,0,2,Glycosphingolipid biosynthesis - lacto and neolacto series,KEGG
path:ath00603,1,0.9660755691087566,0,8,Glycosphingolipid biosynthesis - globo and isoglobo series,KEGG
path:ath00604,1,0.984758795915022,0,6,Glycosphingolipid biosynthesis - ganglio series,KEGG
path:ath00620,1,0.6185971576846514,0,126,Pyruvate metabolism,KEGG
