"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0009410",0.00115728763215727,0.999999560314846,1,8,"response to xenobiotic stimulus","BP"
"2","GO:0009862",0.00303489089130873,0.999996706268009,1,21,"systemic acquired resistance, salicylic acid mediated signaling pathway","BP"
"3","GO:0000387",0.00355540159621175,0.999995450324881,1,24,"spliceosomal snRNP assembly","BP"
"4","GO:0009585",0.0103951387072403,0.99995986565914,1,72,"red, far-red light phototransduction","BP"
"5","GO:0009640",0.0119924633603543,0.999946448250652,1,83,"photomorphogenesis","BP"
"6","GO:0009626",0.0141560319407042,0.999925175293665,1,98,"plant-type hypersensitive response","BP"
"7","GO:0042744",0.0151447776622013,0.999914279178,1,103,"hydrogen peroxide catabolic process","BP"
"8","GO:0006351",0.0189330173232022,0.99986552157513,1,133,"transcription, DNA-templated","BP"
"9","GO:0045892",0.0335504900786765,0.999573683630976,1,235,"negative regulation of transcription, DNA-templated","BP"
"10","GO:0045893",0.0453174930223973,0.999217420960664,1,315,"positive regulation of transcription, DNA-templated","BP"
"11","GO:0006979",0.0539653085649996,0.998885519825465,1,376,"response to oxidative stress","BP"
"12","GO:0055114",0.183818954464442,0.986254180447175,1,1349,"oxidation-reduction process","BP"
"13","GO:0006355",0.23409943818404,0.977144614900827,1,1767,"regulation of transcription, DNA-templated","BP"
"14","GO:0000002",1,0.999568396139563,0,3,"mitochondrial genome maintenance","BP"
"15","GO:0000003",1,0.997894856584096,0,15,"reproduction","BP"
"16","GO:0000012",1,0.999574313829087,0,3,"single strand break repair","BP"
"17","GO:0000019",1,0.999861736303043,0,1,"regulation of mitotic recombination","BP"
"18","GO:0000023",1,0.999717363313447,0,2,"maltose metabolic process","BP"
"19","GO:0000024",1,0.99985171705678,0,1,"maltose biosynthetic process","BP"
"20","GO:0000025",1,0.999722329567623,0,2,"maltose catabolic process","BP"
"21","GO:0000027",1,0.992744750762965,0,49,"ribosomal large subunit assembly","BP"
"22","GO:0000028",1,0.994810146402286,0,35,"ribosomal small subunit assembly","BP"
"23","GO:0000032",1,0.999408334759633,0,4,"cell wall mannoprotein biosynthetic process","BP"
"24","GO:0000038",1,0.997793989161937,0,15,"very long-chain fatty acid metabolic process","BP"
"25","GO:0000041",1,0.999706986305138,0,2,"transition metal ion transport","BP"
"26","GO:0000045",1,0.995104855254943,0,34,"autophagosome assembly","BP"
"27","GO:0000050",1,0.99970609674161,0,2,"urea cycle","BP"
"28","GO:0000053",1,0.999854743733405,0,1,"argininosuccinate metabolic process","BP"
"29","GO:0000054",1,0.999568242982435,0,3,"ribosomal subunit export from nucleus","BP"
"30","GO:0000055",1,0.999298585195645,0,5,"ribosomal large subunit export from nucleus","BP"
"31","GO:0000056",1,0.999446353400205,0,4,"ribosomal small subunit export from nucleus","BP"
"32","GO:0000070",1,0.998436091566399,0,11,"mitotic sister chromatid segregation","BP"
"33","GO:0000076",1,0.999559594555254,0,3,"DNA replication checkpoint","BP"
"34","GO:0000077",1,0.999162787539142,0,6,"DNA damage checkpoint","BP"
"35","GO:0000079",1,0.992673313717337,0,50,"regulation of cyclin-dependent protein serine/threonine kinase activity","BP"
"36","GO:0000080",1,0.999574114832461,0,3,"mitotic G1 phase","BP"
"37","GO:0000082",1,0.999287799376259,0,5,"G1/S transition of mitotic cell cycle","BP"
"38","GO:0000084",1,0.999574114832461,0,3,"mitotic S phase","BP"
"39","GO:0000085",1,0.999574114832461,0,3,"mitotic G2 phase","BP"
"40","GO:0000086",1,0.999306529720642,0,5,"G2/M transition of mitotic cell cycle","BP"
"41","GO:0000087",1,0.999851579793808,0,1,"mitotic M phase","BP"
"42","GO:0000088",1,0.999573092264744,0,3,"mitotic prophase","BP"
"43","GO:0000103",1,0.997181275322006,0,19,"sulfate assimilation","BP"
"44","GO:0000105",1,0.997651707446624,0,16,"histidine biosynthetic process","BP"
"45","GO:0000122",1,0.994330905776443,0,40,"negative regulation of transcription by RNA polymerase II","BP"
"46","GO:0000132",1,0.999127607339198,0,6,"establishment of mitotic spindle orientation","BP"
"47","GO:0000154",1,0.999553676297956,0,3,"rRNA modification","BP"
"48","GO:0000160",1,0.99321051512821,0,47,"phosphorelay signal transduction system","BP"
"49","GO:0000162",1,0.995876188762042,0,28,"tryptophan biosynthetic process","BP"
"50","GO:0000165",1,0.997238120140712,0,19,"MAPK cascade","BP"
"51","GO:0000184",1,0.995360097543655,0,33,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","BP"
"52","GO:0000186",1,0.999576087928266,0,3,"activation of MAPKK activity","BP"
"53","GO:0000187",1,0.997942285273087,0,14,"activation of MAPK activity","BP"
"54","GO:0000188",1,0.999859259798674,0,1,"inactivation of MAPK activity","BP"
"55","GO:0000209",1,0.993406161695385,0,46,"protein polyubiquitination","BP"
"56","GO:0000212",1,0.999415222322389,0,4,"meiotic spindle organization","BP"
"57","GO:0000226",1,0.991269469385655,0,60,"microtubule cytoskeleton organization","BP"
