category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,Annotation,ontology
path:ath00940,0.08349132472489797,0.9975999565296391,1,168,Phenylpropanoid biosynthesis,KEGG
path:ath04075,0.13879458223020227,0.9931707628581316,1,286,Plant hormone signal transduction,KEGG
path:ath03040,0.14801826395217765,0.9921951644433583,1,310,Spliceosome,KEGG
path:ath01110,0.5226952998367258,0.8777285933801169,1,1292,Biosynthesis of secondary metabolites,KEGG
path:ath01100,0.8286926232326473,0.5828587845214883,1,2631,Metabolic pathways,KEGG
path:ath00010,1,0.9284471640848937,0,145,Glycolysis / Gluconeogenesis,KEGG
path:ath00020,1,0.9612239935286864,0,78,Citrate cycle (TCA cycle),KEGG
path:ath00030,1,0.9614530528369356,0,77,Pentose phosphate pathway,KEGG
path:ath00040,1,0.9617400493713181,0,76,Pentose and glucuronate interconversions,KEGG
path:ath00051,1,0.9628635400345069,0,74,Fructose and mannose metabolism,KEGG
path:ath00052,1,0.9697602694545724,0,61,Galactose metabolism,KEGG
path:ath00053,1,0.9682503850207528,0,63,Ascorbate and aldarate metabolism,KEGG
path:ath00061,1,0.9743185152226965,0,52,Fatty acid biosynthesis,KEGG
path:ath00062,1,0.9851460336571942,0,29,Fatty acid elongation,KEGG
path:ath00071,1,0.9698373325373432,0,61,Fatty acid degradation,KEGG
path:ath00072,1,0.9954607987178302,0,9,Synthesis and degradation of ketone bodies,KEGG
path:ath00073,1,0.9899078915989555,0,20,"Cutin, suberine and wax biosynthesis",KEGG
path:ath00100,1,0.9799454916238158,0,40,Steroid biosynthesis,KEGG
path:ath00130,1,0.9743160953523115,0,51,Ubiquinone and other terpenoid-quinone biosynthesis,KEGG
path:ath00190,1,0.9269647341213285,0,147,Oxidative phosphorylation,KEGG
path:ath00195,1,0.9784071365635514,0,42,Photosynthesis,KEGG
path:ath00196,1,0.9896696706196535,0,20,Photosynthesis - antenna proteins,KEGG
path:ath00220,1,0.9758546374827972,0,48,Arginine biosynthesis,KEGG
path:ath00230,1,0.9383160603700768,0,124,Purine metabolism,KEGG
path:ath00232,1,0.9985437483934527,0,3,Caffeine metabolism,KEGG
path:ath00240,1,0.9640644528837724,0,72,Pyrimidine metabolism,KEGG
path:ath00250,1,0.9642020002624407,0,72,"Alanine, aspartate and glutamate metabolism",KEGG
path:ath00260,1,0.9531689579520497,0,94,"Glycine, serine and threonine metabolism",KEGG
path:ath00261,1,0.9914623341800379,0,17,Monobactam biosynthesis,KEGG
path:ath00270,1,0.9197748362774825,0,162,Cysteine and methionine metabolism,KEGG
path:ath00280,1,0.9611680549049523,0,78,"Valine, leucine and isoleucine degradation",KEGG
