"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0043565",0.00541123631696866,0.999887598494387,2,838,"sequence-specific DNA binding","MF"
"2","GO:0004601",0.0194560410098397,0.999857957413894,1,133,"peroxidase activity","MF"
"3","GO:0003700",0.0217728251848745,0.999053798501302,2,1717,"DNA-binding transcription factor activity","MF"
"4","GO:0020037",0.0458594968305375,0.999198393902556,1,316,"heme binding","MF"
"5","GO:0003677",0.25758112090968,0.971996308576847,1,1973,"DNA binding","MF"
"6","GO:0046872",0.274537185875736,0.967906948753768,1,2119,"metal ion binding","MF"
"7","GO:0005515",0.49278317195917,0.882488678973289,1,4307,"protein binding","MF"
"8","GO:0003674",0.532695860169132,0.858901055966131,1,4697,"molecular_function","MF"
"9","GO:0003676",1,0.926416231261271,0,522,"nucleic acid binding","MF"
"10","GO:0046983",1,0.957029543170232,0,299,"protein dimerization activity","MF"
"11","GO:0000009",1,0.999719405314654,0,2,"alpha-1,6-mannosyltransferase activity","MF"
"12","GO:0000014",1,0.998416318327661,0,11,"single-stranded DNA endodeoxyribonuclease activity","MF"
"13","GO:0000026",1,0.999856103277056,0,1,"alpha-1,2-mannosyltransferase activity","MF"
"14","GO:0000030",1,0.998697195289554,0,9,"mannosyltransferase activity","MF"
"15","GO:0000033",1,0.999853158146443,0,1,"alpha-1,3-mannosyltransferase activity","MF"
"16","GO:0000035",1,0.999416614007769,0,4,"acyl binding","MF"
"17","GO:0000036",1,0.997820427993666,0,15,"acyl carrier activity","MF"
"18","GO:0000048",1,0.99926316632734,0,5,"peptidyltransferase activity","MF"
"19","GO:0000049",1,0.996333411616142,0,26,"tRNA binding","MF"
"20","GO:0000062",1,0.99853934922019,0,10,"fatty-acyl-CoA binding","MF"
"21","GO:0000064",1,0.999405557060984,0,4,"L-ornithine transmembrane transporter activity","MF"
"22","GO:0000095",1,0.998833500615581,0,8,"S-adenosyl-L-methionine transmembrane transporter activity","MF"
"23","GO:0000104",1,0.998679125071916,0,9,"succinate dehydrogenase activity","MF"
"24","GO:0000107",1,0.99986146803631,0,1,"imidazoleglycerol-phosphate synthase activity","MF"
"25","GO:0000121",1,0.999851239238342,0,1,"glycerol-1-phosphatase activity","MF"
"26","GO:0000140",1,0.999702410684101,0,2,"acylglycerone-phosphate reductase activity","MF"
"27","GO:0000146",1,0.999733622778202,0,2,"microfilament motor activity","MF"
"28","GO:0000149",1,0.987536983132501,0,85,"SNARE binding","MF"
"29","GO:0000150",1,0.999411326606785,0,4,"recombinase activity","MF"
"30","GO:0000155",1,0.996796739428954,0,23,"phosphorelay sensor kinase activity","MF"
"31","GO:0000156",1,0.995197214874074,0,33,"phosphorelay response regulator activity","MF"
"32","GO:0000166",1,0.96542974906847,0,245,"nucleotide binding","MF"
"33","GO:0000170",1,0.999271233069045,0,5,"sphingosine hydroxylase activity","MF"
"34","GO:0000171",1,0.999702638771057,0,2,"ribonuclease MRP activity","MF"
"35","GO:0000175",1,0.996247484732606,0,26,"3'-5'-exoribonuclease activity","MF"
"36","GO:0000179",1,0.999405100377097,0,4,"rRNA (adenine-N6,N6-)-dimethyltransferase activity","MF"
"37","GO:0000182",1,0.9998521358132,0,1,"rDNA binding","MF"
"38","GO:0000210",1,0.997777936211007,0,15,"NAD+ diphosphatase activity","MF"
"39","GO:0000213",1,0.999110795962803,0,6,"tRNA-intron endonuclease activity","MF"
"40","GO:0000215",1,0.999702593724449,0,2,"tRNA 2'-phosphotransferase activity","MF"
"41","GO:0000224",1,0.999861381461629,0,1,"peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity","MF"
"42","GO:0000225",1,0.999259689588604,0,5,"N-acetylglucosaminylphosphatidylinositol deacetylase activity","MF"
"43","GO:0000234",1,0.999422994418396,0,4,"phosphoethanolamine N-methyltransferase activity","MF"
"44","GO:0000247",1,0.999851195427742,0,1,"C-8 sterol isomerase activity","MF"
"45","GO:0000248",1,0.999702537684103,0,2,"C-5 sterol desaturase activity","MF"
"46","GO:0000249",1,0.999553991875931,0,3,"C-22 sterol desaturase activity","MF"
"47","GO:0000250",1,0.99986354353064,0,1,"lanosterol synthase activity","MF"
"48","GO:0000254",1,0.99925990387464,0,5,"C-4 methylsterol oxidase activity","MF"
"49","GO:0000257",1,0.998817712401086,0,8,"nitrilase activity","MF"
"50","GO:0000285",1,0.998673924610524,0,10,"1-phosphatidylinositol-3-phosphate 5-kinase activity","MF"
"51","GO:0000287",1,0.981661923472937,0,128,"magnesium ion binding","MF"
"52","GO:0000293",1,0.998428225344979,0,11,"ferric-chelate reductase activity","MF"
"53","GO:0000309",1,0.998971557332641,0,7,"nicotinamide-nucleotide adenylyltransferase activity","MF"
"54","GO:0000339",1,0.998824222601418,0,8,"RNA cap binding","MF"
"55","GO:0000340",1,0.998825687695916,0,8,"RNA 7-methylguanosine cap binding","MF"
"56","GO:0000384",1,0.999702492081459,0,2,"first spliceosomal transesterification activity","MF"
"57","GO:0000386",1,0.999295845444156,0,5,"second spliceosomal transesterification activity","MF"
"58","GO:0000400",1,0.998421558855184,0,11,"four-way junction DNA binding","MF"
"59","GO:0000403",1,0.999851560930133,0,1,"Y-form DNA binding","MF"
"60","GO:0000406",1,0.999851560930133,0,1,"double-strand/single-strand DNA junction binding","MF"
"61","GO:0000701",1,0.999854951722844,0,1,"purine-specific mismatch base pair DNA N-glycosylase activity","MF"
"62","GO:0000703",1,0.999414139325953,0,4,"oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity","MF"
"63","GO:0000773",1,0.999702405530014,0,2,"phosphatidyl-N-methylethanolamine N-methyltransferase activity","MF"
"64","GO:0000774",1,0.998662869550268,0,9,"adenyl-nucleotide exchange factor activity","MF"
"65","GO:0000822",1,0.999581843999912,0,3,"inositol hexakisphosphate binding","MF"
"66","GO:0000823",1,0.999256369567071,0,5,"inositol-1,4,5-trisphosphate 6-kinase activity","MF"
"67","GO:0000824",1,0.999256369567071,0,5,"inositol tetrakisphosphate 3-kinase activity","MF"
"68","GO:0000828",1,0.999598090278852,0,3,"inositol hexakisphosphate kinase activity","MF"
"69","GO:0000829",1,0.999598090278852,0,3,"inositol heptakisphosphate kinase activity","MF"
"70","GO:0000832",1,0.999865096424081,0,1,"inositol hexakisphosphate 5-kinase activity","MF"
"71","GO:0000900",1,0.999720625169259,0,2,"translation repressor activity, mRNA regulatory element binding","MF"
"72","GO:0000906",1,0.999851276362021,0,1,"6,7-dimethyl-8-ribityllumazine synthase activity","MF"
"73","GO:0000976",1,0.993857537870832,0,43,"transcription regulatory region sequence-specific DNA binding","MF"
