"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0009585",0.00261561777369029,1,1,72,"red, far-red light phototransduction","BP"
"2","GO:0009640",0.00301996760004562,1,1,83,"photomorphogenesis","BP"
"3","GO:0006355",0.0644591122296451,1,1,1767,"regulation of transcription, DNA-templated","BP"
"4","GO:0000002",1,0.999891157203051,0,3,"mitochondrial genome maintenance","BP"
"5","GO:0000003",1,0.999461257999366,0,15,"reproduction","BP"
"6","GO:0000012",1,0.999892438756989,0,3,"single strand break repair","BP"
"7","GO:0000019",1,0.999964667606067,0,1,"regulation of mitotic recombination","BP"
"8","GO:0000023",1,0.999928238475835,0,2,"maltose metabolic process","BP"
"9","GO:0000024",1,0.999963239749741,0,1,"maltose biosynthetic process","BP"
"10","GO:0000025",1,0.999928971509544,0,2,"maltose catabolic process","BP"
"11","GO:0000027",1,0.998194789532043,0,49,"ribosomal large subunit assembly","BP"
"12","GO:0000028",1,0.998709605031537,0,35,"ribosomal small subunit assembly","BP"
"13","GO:0000032",1,0.999853145511674,0,4,"cell wall mannoprotein biosynthetic process","BP"
"14","GO:0000038",1,0.999450931806405,0,15,"very long-chain fatty acid metabolic process","BP"
"15","GO:0000041",1,0.999926997577806,0,2,"transition metal ion transport","BP"
"16","GO:0000045",1,0.998767356331606,0,34,"autophagosome assembly","BP"
"17","GO:0000050",1,0.999926883275036,0,2,"urea cycle","BP"
"18","GO:0000053",1,0.999963733327246,0,1,"argininosuccinate metabolic process","BP"
"19","GO:0000054",1,0.999891698311359,0,3,"ribosomal subunit export from nucleus","BP"
"20","GO:0000055",1,0.999820700270696,0,5,"ribosomal large subunit export from nucleus","BP"
"21","GO:0000056",1,0.999857362290092,0,4,"ribosomal small subunit export from nucleus","BP"
"22","GO:0000070",1,0.999603993159867,0,11,"mitotic sister chromatid segregation","BP"
"23","GO:0000076",1,0.999890461248988,0,3,"DNA replication checkpoint","BP"
"24","GO:0000077",1,0.999784987017597,0,6,"DNA damage checkpoint","BP"
"25","GO:0000079",1,0.998170893492755,0,50,"regulation of cyclin-dependent protein serine/threonine kinase activity","BP"
"26","GO:0000080",1,0.99989255651953,0,3,"mitotic G1 phase","BP"
"27","GO:0000082",1,0.999819979098903,0,5,"G1/S transition of mitotic cell cycle","BP"
"28","GO:0000084",1,0.99989255651953,0,3,"mitotic S phase","BP"
"29","GO:0000085",1,0.99989255651953,0,3,"mitotic G2 phase","BP"
"30","GO:0000086",1,0.999822273833201,0,5,"G2/M transition of mitotic cell cycle","BP"
"31","GO:0000087",1,0.99996321077536,0,1,"mitotic M phase","BP"
"32","GO:0000088",1,0.999892459894192,0,3,"mitotic prophase","BP"
"33","GO:0000103",1,0.999300385024144,0,19,"sulfate assimilation","BP"
"34","GO:0000105",1,0.999415158398362,0,16,"histidine biosynthetic process","BP"
"35","GO:0000122",1,0.998560714069576,0,40,"negative regulation of transcription by RNA polymerase II","BP"
"36","GO:0000132",1,0.999781848853738,0,6,"establishment of mitotic spindle orientation","BP"
"37","GO:0000154",1,0.999889254229583,0,3,"rRNA modification","BP"
"38","GO:0000160",1,0.998293273048763,0,47,"phosphorelay signal transduction system","BP"
"39","GO:0000162",1,0.998973955081718,0,28,"tryptophan biosynthetic process","BP"
"40","GO:0000165",1,0.999308847303165,0,19,"MAPK cascade","BP"
"41","GO:0000184",1,0.998820286943628,0,33,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","BP"
"42","GO:0000186",1,0.999892851975421,0,3,"activation of MAPKK activity","BP"
"43","GO:0000187",1,0.999487692038736,0,14,"activation of MAPK activity","BP"
"44","GO:0000188",1,0.999964370880365,0,1,"inactivation of MAPK activity","BP"
"45","GO:0000209",1,0.998335275017251,0,46,"protein polyubiquitination","BP"
"46","GO:0000212",1,0.999854336101257,0,4,"meiotic spindle organization","BP"
"47","GO:0000226",1,0.997812376567795,0,60,"microtubule cytoskeleton organization","BP"
"48","GO:0000244",1,0.999714283667233,0,8,"spliceosomal tri-snRNP complex assembly","BP"
"49","GO:0000245",1,0.999379255474099,0,17,"spliceosomal complex assembly","BP"
"50","GO:0000256",1,0.999854702066786,0,4,"allantoin catabolic process","BP"
"51","GO:0000266",1,0.99935559974895,0,18,"mitochondrial fission","BP"
"52","GO:0000271",1,0.999424531767982,0,16,"polysaccharide biosynthetic process","BP"
"53","GO:0000272",1,0.999377348192195,0,17,"polysaccharide catabolic process","BP"
"54","GO:0000278",1,0.996582947290507,0,94,"mitotic cell cycle","BP"
"55","GO:0000280",1,0.999781833152119,0,6,"nuclear division","BP"
"56","GO:0000281",1,0.99989161561787,0,3,"mitotic cytokinesis","BP"
"57","GO:0000288",1,0.999892498464632,0,3,"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay","BP"
"58","GO:0000289",1,0.99985332418277,0,4,"nuclear-transcribed mRNA poly(A) tail shortening","BP"
"59","GO:0000290",1,0.999566212608776,0,12,"deadenylation-dependent decapping of nuclear-transcribed mRNA","BP"
"60","GO:0000291",1,0.999927908158937,0,2,"nuclear-transcribed mRNA catabolic process, exonucleolytic","BP"
"61","GO:0000292",1,0.999929584110662,0,2,"RNA fragment catabolic process","BP"
"62","GO:0000301",1,0.999893702003197,0,3,"retrograde transport, vesicle recycling within Golgi","BP"
"63","GO:0000302",1,0.997801090120927,0,60,"response to reactive oxygen species","BP"
"64","GO:0000303",1,0.999674373380375,0,9,"response to superoxide","BP"
"65","GO:0000304",1,0.999636477759367,0,10,"response to singlet oxygen","BP"
"66","GO:0000338",1,0.999488277523321,0,14,"protein deneddylation","BP"
"67","GO:0000349",1,0.999858170421217,0,4,"generation of catalytic spliceosome for first transesterification step","BP"
"68","GO:0000350",1,0.999926247392213,0,2,"generation of catalytic spliceosome for second transesterification step","BP"
"69","GO:0000354",1,0.999926398273244,0,2,"cis assembly of pre-catalytic spliceosome","BP"
"70","GO:0000372",1,0.999964730568543,0,1,"Group I intron splicing","BP"
"71","GO:0000373",1,0.999090830373564,0,25,"Group II intron splicing","BP"
"72","GO:0000374",1,0.999963759829368,0,1,"Group III intron splicing","BP"
"73","GO:0000379",1,0.999852281780693,0,4,"tRNA-type intron splice site recognition and cleavage","BP"
"74","GO:0000380",1,0.999417350050938,0,16,"alternative mRNA splicing, via spliceosome","BP"
"75","GO:0000381",1,0.997413403369004,0,71,"regulation of alternative mRNA splicing, via spliceosome","BP"
"76","GO:0000387",1,0.999116461986067,0,24,"spliceosomal snRNP assembly","BP"
"77","GO:0000388",1,0.999929589614689,0,2,"spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)","BP"
"78","GO:0000389",1,0.999963114176102,0,1,"mRNA 3'-splice site recognition","BP"
"79","GO:0000390",1,0.999819288962682,0,5,"spliceosomal complex disassembly","BP"
"80","GO:0000394",1,0.999818482964277,0,5,"RNA splicing, via endonucleolytic cleavage and ligation","BP"
"81","GO:0000395",1,0.999672701803543,0,9,"mRNA 5'-splice site recognition","BP"
"82","GO:0000398",1,0.993313631299631,0,184,"mRNA splicing, via spliceosome","BP"
"83","GO:0000413",1,0.998287857646159,0,47,"protein peptidyl-prolyl isomerization","BP"
"84","GO:0000422",1,0.999200944336641,0,22,"autophagy of mitochondrion","BP"
"85","GO:0000423",1,0.999890710391585,0,3,"mitophagy","BP"
"86","GO:0000447",1,0.999705587090664,0,8,"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP"
"87","GO:0000448",1,0.999963325218307,0,1,"cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP"
"88","GO:0000454",1,0.999926137400662,0,2,"snoRNA guided rRNA pseudouridine synthesis","BP"
"89","GO:0000455",1,0.999926455589465,0,2,"enzyme-directed rRNA pseudouridine synthesis","BP"
"90","GO:0000460",1,0.999818826183148,0,5,"maturation of 5.8S rRNA","BP"
"91","GO:0000461",1,0.999815413491835,0,5,"endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP"
"92","GO:0000462",1,0.99876162945756,0,34,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP"
"93","GO:0000463",1,0.999488683417844,0,14,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP"
"94","GO:0000466",1,0.999964536744423,0,1,"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP"
"95","GO:0000467",1,0.999559309803483,0,12,"exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP"
"96","GO:0000469",1,0.999852893893701,0,4,"cleavage involved in rRNA processing","BP"
"97","GO:0000470",1,0.999483889992544,0,14,"maturation of LSU-rRNA","BP"
"98","GO:0000472",1,0.999926873735336,0,2,"endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP"
"99","GO:0000476",1,0.99977884137086,0,6,"maturation of 4.5S rRNA","BP"
"100","GO:0000478",1,0.999964136790558,0,1,"endonucleolytic cleavage involved in rRNA processing","BP"
"101","GO:0000480",1,0.999926873735336,0,2,"endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP"
"102","GO:0000481",1,0.9998575646617,0,4,"maturation of 5S rRNA","BP"
"103","GO:0000488",1,0.999927203504475,0,2,"maturation of LSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 4.5S-rRNA, 5S-rRNA)","BP"
"104","GO:0000489",1,0.999927203504475,0,2,"maturation of SSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 4.5S-rRNA, 5S-rRNA)","BP"
"105","GO:0000491",1,0.999927449108677,0,2,"small nucleolar ribonucleoprotein complex assembly","BP"
"106","GO:0000492",1,0.999817657899369,0,5,"box C/D snoRNP assembly","BP"
"107","GO:0000493",1,0.999963743013775,0,1,"box H/ACA snoRNP assembly","BP"
"108","GO:0000494",1,0.999926550440179,0,2,"box C/D snoRNA 3'-end processing","BP"
"109","GO:0000495",1,0.999963181827313,0,1,"box H/ACA snoRNA 3'-end processing","BP"
"110","GO:0000578",1,0.999926130836086,0,2,"embryonic axis specification","BP"
"111","GO:0000706",1,0.999853018576445,0,4,"meiotic DNA double-strand break processing","BP"
"112","GO:0000710",1,0.999785872005094,0,6,"meiotic mismatch repair","BP"
"113","GO:0000712",1,0.999499928450992,0,14,"resolution of meiotic recombination intermediates","BP"
"114","GO:0000717",1,0.999964667606067,0,1,"nucleotide-excision repair, DNA duplex unwinding","BP"
"115","GO:0000719",1,0.999889595102134,0,3,"photoreactive repair","BP"
"116","GO:0000722",1,0.999891022719245,0,3,"telomere maintenance via recombination","BP"
