"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0043565",0.0306111206510052,1,1,838,"sequence-specific DNA binding","MF"
"2","GO:0003700",0.0627338685664371,1,1,1717,"DNA-binding transcription factor activity","MF"
"3","GO:0000009",1,0.999928855478333,0,2,"alpha-1,6-mannosyltransferase activity","MF"
"4","GO:0000014",1,0.999601654248176,0,11,"single-stranded DNA endodeoxyribonuclease activity","MF"
"5","GO:0000026",1,0.999963932732157,0,1,"alpha-1,2-mannosyltransferase activity","MF"
"6","GO:0000030",1,0.999674061764203,0,9,"mannosyltransferase activity","MF"
"7","GO:0000033",1,0.999963490145355,0,1,"alpha-1,3-mannosyltransferase activity","MF"
"8","GO:0000035",1,0.99985396373031,0,4,"acyl binding","MF"
"9","GO:0000036",1,0.999452395457979,0,15,"acyl carrier activity","MF"
"10","GO:0000048",1,0.999816963087424,0,5,"peptidyltransferase activity","MF"
"11","GO:0000049",1,0.999067735868255,0,26,"tRNA binding","MF"
"12","GO:0000062",1,0.999634738887353,0,10,"fatty-acyl-CoA binding","MF"
"13","GO:0000064",1,0.999852621547699,0,4,"L-ornithine transmembrane transporter activity","MF"
"14","GO:0000095",1,0.999708755383502,0,8,"S-adenosyl-L-methionine transmembrane transporter activity","MF"
"15","GO:0000104",1,0.999670866886363,0,9,"succinate dehydrogenase activity","MF"
"16","GO:0000107",1,0.999964639742184,0,1,"imidazoleglycerol-phosphate synthase activity","MF"
"17","GO:0000121",1,0.999963112268788,0,1,"glycerol-1-phosphatase activity","MF"
"18","GO:0000140",1,0.999926147022743,0,2,"acylglycerone-phosphate reductase activity","MF"
"19","GO:0000146",1,0.999929592874163,0,2,"microfilament motor activity","MF"
"20","GO:0000149",1,0.996885401738603,0,85,"SNARE binding","MF"
"21","GO:0000150",1,0.999853685623876,0,4,"recombinase activity","MF"
"22","GO:0000155",1,0.999182334481926,0,23,"phosphorelay sensor kinase activity","MF"
"23","GO:0000156",1,0.998798486283697,0,33,"phosphorelay response regulator activity","MF"
"24","GO:0000166",1,0.991158089244308,0,245,"nucleotide binding","MF"
"25","GO:0000170",1,0.999817986323767,0,5,"sphingosine hydroxylase activity","MF"
"26","GO:0000171",1,0.999926283605203,0,2,"ribonuclease MRP activity","MF"
"27","GO:0000175",1,0.999056692703075,0,26,"3'-5'-exoribonuclease activity","MF"
"28","GO:0000179",1,0.999852415077596,0,4,"rRNA (adenine-N6,N6-)-dimethyltransferase activity","MF"
"29","GO:0000182",1,0.999963319192491,0,1,"rDNA binding","MF"
"30","GO:0000210",1,0.999448260472966,0,15,"NAD+ diphosphatase activity","MF"
"31","GO:0000213",1,0.999779176917155,0,6,"tRNA-intron endonuclease activity","MF"
"32","GO:0000215",1,0.999926249302926,0,2,"tRNA 2'-phosphotransferase activity","MF"
"33","GO:0000224",1,0.999964630428703,0,1,"peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity","MF"
"34","GO:0000225",1,0.999816366490403,0,5,"N-acetylglucosaminylphosphatidylinositol deacetylase activity","MF"
"35","GO:0000234",1,0.999855415505348,0,4,"phosphoethanolamine N-methyltransferase activity","MF"
"36","GO:0000247",1,0.999963071798898,0,1,"C-8 sterol isomerase activity","MF"
"37","GO:0000248",1,0.999926219426131,0,2,"C-5 sterol desaturase activity","MF"
"38","GO:0000249",1,0.999889403852575,0,3,"C-22 sterol desaturase activity","MF"
"39","GO:0000250",1,0.99996478276333,0,1,"lanosterol synthase activity","MF"
"40","GO:0000254",1,0.99981636482478,0,5,"C-4 methylsterol oxidase activity","MF"
"41","GO:0000257",1,0.999706406977935,0,8,"nitrilase activity","MF"
"42","GO:0000285",1,0.999647982061335,0,10,"1-phosphatidylinositol-3-phosphate 5-kinase activity","MF"
"43","GO:0000287",1,0.995365626200213,0,128,"magnesium ion binding","MF"
"44","GO:0000293",1,0.999604592060948,0,11,"ferric-chelate reductase activity","MF"
"45","GO:0000309",1,0.999744140956287,0,7,"nicotinamide-nucleotide adenylyltransferase activity","MF"
"46","GO:0000339",1,0.999706656316277,0,8,"RNA cap binding","MF"
"47","GO:0000340",1,0.999706526205723,0,8,"RNA 7-methylguanosine cap binding","MF"
"48","GO:0000384",1,0.99992622254135,0,2,"first spliceosomal transesterification activity","MF"
"49","GO:0000386",1,0.999819990999839,0,5,"second spliceosomal transesterification activity","MF"
"50","GO:0000400",1,0.99960191278949,0,11,"four-way junction DNA binding","MF"
