"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0005795",0.00349586369860677,0.999996047422905,1,32,"Golgi stack","CC"
"2","GO:0030173",0.00534972296621244,0.99999063244234,1,49,"integral component of Golgi membrane","CC"
"3","GO:0005794",0.0071572919426724,0.999877566246022,2,1363,"Golgi apparatus","CC"
"4","GO:0005615",0.0151259750136987,0.999923769147659,1,139,"extracellular space","CC"
"5","GO:0005768",0.0448127159353779,0.999318549076937,1,416,"endosome","CC"
"6","GO:0005802",0.0453430219886326,0.999302135312377,1,421,"trans-Golgi network","CC"
"7","GO:0016020",0.213200473669334,0.983211982629238,1,2107,"membrane","CC"
"8","GO:0005576",0.219985594485323,0.982061863216911,1,2180,"extracellular region","CC"
"9","GO:0005739",0.369745676149997,0.944791861896594,1,3912,"mitochondrion","CC"
"10","GO:0016021",0.46051683419075,0.909157674806094,1,5100,"integral component of membrane","CC"
"11","GO:0005737",0.498787174029676,0.89052868652459,1,5641,"cytoplasm","CC"
"12","GO:0009507",0.527283538387542,0.875076359162098,1,6062,"chloroplast","CC"
"13","GO:0005634",0.810637285792312,0.610577528782426,1,11678,"nucleus","CC"
"14","GO:0000421",0.999999999930803,0.997814128791788,0,20,"autophagosome membrane","CC"
"15","GO:0005765",0.999999999930803,0.997814128791788,0,20,"lysosomal membrane","CC"
"16","GO:0005811",0.999999999930803,0.997814128791788,0,20,"lipid droplet","CC"
"17","GO:0031969",0.999999999936044,0.981737600674317,0,168,"chloroplast membrane","CC"
"18","GO:0005667",0.999999999949152,0.996176817426832,0,35,"transcription factor complex","CC"
"19","GO:0000790",0.999999999955396,0.993234172371885,0,62,"nuclear chromatin","CC"
"20","GO:0005852",0.999999999968499,0.99715898913246,0,26,"eukaryotic translation initiation factor 3 complex","CC"
"21","GO:0042644",0.999999999968499,0.99715898913246,0,26,"chloroplast nucleoid","CC"
"22","GO:0005759",0.999999999970742,0.987257832289126,0,117,"mitochondrial matrix","CC"
"23","GO:0048046",0.99999999997274,0.946198755302465,0,501,"apoplast","CC"
"24","GO:0009295",0.999999999974422,0.99563144526205,0,40,"nucleoid","CC"
"25","GO:0005783",0.999999999974754,0.898531805269218,0,961,"endoplasmic reticulum","CC"
"26","GO:0009941",0.999999999976783,0.927142730190288,0,683,"chloroplast envelope","CC"
"27","GO:0005618",0.999999999982163,0.939992928629059,0,560,"cell wall","CC"
"28","GO:0000118",0.99999999998666,0.999343903792899,0,6,"histone deacetylase complex","CC"
"29","GO:0000306",0.99999999998666,0.999343903792899,0,6,"extrinsic component of vacuolar membrane","CC"
"30","GO:0000323",0.99999999998666,0.999343903792899,0,6,"lytic vacuole","CC"
"31","GO:0000427",0.99999999998666,0.999343903792899,0,6,"plastid-encoded plastid RNA polymerase complex","CC"
"32","GO:0000780",0.99999999998666,0.999343903792899,0,6,"condensed nuclear chromosome, centromeric region","CC"
"33","GO:0005684",0.99999999998666,0.999343903792899,0,6,"U2-type spliceosomal complex","CC"
"34","GO:0005947",0.99999999998666,0.999343903792899,0,6,"mitochondrial alpha-ketoglutarate dehydrogenase complex","CC"
"35","GO:0005968",0.99999999998666,0.999343903792899,0,6,"Rab-protein geranylgeranyltransferase complex","CC"
"36","GO:0008287",0.99999999998666,0.999343903792899,0,6,"protein serine/threonine phosphatase complex","CC"
"37","GO:0009530",0.99999999998666,0.999343903792899,0,6,"primary cell wall","CC"
"38","GO:0016328",0.99999999998666,0.999343903792899,0,6,"lateral plasma membrane","CC"
"39","GO:0018444",0.99999999998666,0.999343903792899,0,6,"translation release factor complex","CC"
"40","GO:0030660",0.99999999998666,0.999343903792899,0,6,"Golgi-associated vesicle membrane","CC"
"41","GO:0032432",0.99999999998666,0.999343903792899,0,6,"actin filament bundle","CC"
"42","GO:0033597",0.99999999998666,0.999343903792899,0,6,"mitotic checkpoint complex","CC"
"43","GO:0042555",0.99999999998666,0.999343903792899,0,6,"MCM complex","CC"
