category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,Annotation,ontology
path:ath00940,6.234154746207994e-8,0.9999999957147403,10,168,Phenylpropanoid biosynthesis,KEGG
path:ath00040,3.8022223255757556e-6,0.9999998164248765,6,76,Pentose and glucuronate interconversions,KEGG
path:ath00966,1.6603790461707534e-5,0.9999995993137939,4,25,Glucosinolate biosynthesis,KEGG
path:ath01110,2.717219333551046e-4,0.9999295653047072,17,1292,Biosynthesis of secondary metabolites,KEGG
path:ath01100,9.275638048234874e-4,0.9997268398884196,25,2631,Metabolic pathways,KEGG
path:ath01210,0.0011188118975014253,0.9999115546388101,4,90,2-Oxocarboxylic acid metabolism,KEGG
path:ath00909,0.004141003446289692,0.9998851258077203,2,22,Sesquiterpenoid and triterpenoid biosynthesis,KEGG
path:ath04626,0.04704356317790001,0.9888244820822957,4,217,Plant-pathogen interaction,KEGG
path:ath00430,0.10138996678962578,0.9950706123835251,1,20,Taurine and hypotaurine metabolism,KEGG
path:ath00650,0.14050971213827418,0.9902261594931757,1,30,Butanoate metabolism,KEGG
path:ath00290,0.1464536569358917,0.9893689325035352,1,29,"Valine, leucine and isoleucine biosynthesis",KEGG
path:ath00100,0.19041857240747537,0.9815411799047488,1,40,Steroid biosynthesis,KEGG
path:ath00410,0.21279932054253453,0.976617093889057,1,51,beta-Alanine metabolism,KEGG
path:ath00640,0.23565198152342376,0.9710146121597286,1,55,Propanoate metabolism,KEGG
path:ath00480,0.24052052216529646,0.934066537513577,2,129,Glutathione metabolism,KEGG
path:ath00190,0.2862822540567171,0.9119688199283315,2,147,Oxidative phosphorylation,KEGG
path:ath00250,0.29461808303170683,0.9533568451601,1,72,"Alanine, aspartate and glutamate metabolism",KEGG
path:ath00020,0.33435708723733676,0.9387956217253853,1,78,Citrate cycle (TCA cycle),KEGG
path:ath00380,0.35019442682082835,0.9323928211532795,1,76,Tryptophan metabolism,KEGG
path:ath00620,0.46226148334326783,0.8750504885285137,1,126,Pyruvate metabolism,KEGG
path:ath00630,0.4802706538769379,0.8639048574375398,1,119,Glyoxylate and dicarboxylate metabolism,KEGG
path:ath00010,0.5265315068135803,0.8320794104473122,1,145,Glycolysis / Gluconeogenesis,KEGG
path:ath03018,0.5523571100866878,0.8124891592666361,1,144,RNA degradation,KEGG
path:ath00520,0.5891716620413859,0.7819150267746777,1,152,Amino sugar and nucleotide sugar metabolism,KEGG
path:ath01200,0.5897036157956819,0.6893990015569845,2,362,Carbon metabolism,KEGG
path:ath03015,0.6047690417162845,0.7678144273694976,1,185,mRNA surveillance pathway,KEGG
path:ath04016,0.6375673051511201,0.7366884471775614,1,158,MAPK signaling pathway - plant,KEGG
path:ath00220,0.999999999999997,0.7844769702834096,0,48,Arginine biosynthesis,KEGG
path:ath04120,0.9999999999999982,0.3527400821693927,0,175,Ubiquitin mediated proteolysis,KEGG
path:ath01230,0.9999999999999996,0.16634401071593047,0,323,Biosynthesis of amino acids,KEGG
path:ath00030,1,0.6297392234591349,0,77,Pentose phosphate pathway,KEGG
path:ath00051,1,0.6425928307483355,0,74,Fructose and mannose metabolism,KEGG
path:ath00052,1,0.7479257332242039,0,61,Galactose metabolism,KEGG
path:ath00053,1,0.7076019371835349,0,63,Ascorbate and aldarate metabolism,KEGG
path:ath00061,1,0.7676424730416042,0,52,Fatty acid biosynthesis,KEGG
path:ath00062,1,0.8325878507330022,0,29,Fatty acid elongation,KEGG
path:ath00071,1,0.7440124432648203,0,61,Fatty acid degradation,KEGG
path:ath00072,1,0.9607401326227619,0,9,Synthesis and degradation of ketone bodies,KEGG
path:ath00073,1,0.8965281944175193,0,20,"Cutin, suberine and wax biosynthesis",KEGG
path:ath00130,1,0.74052127213904,0,51,Ubiquinone and other terpenoid-quinone biosynthesis,KEGG
path:ath00195,1,0.6620103586807301,0,42,Photosynthesis,KEGG
path:ath00196,1,0.8240162812950454,0,20,Photosynthesis - antenna proteins,KEGG
path:ath00230,1,0.4851582593703691,0,124,Purine metabolism,KEGG
path:ath00232,1,0.9882682661396859,0,3,Caffeine metabolism,KEGG
path:ath00240,1,0.6610220288432358,0,72,Pyrimidine metabolism,KEGG
path:ath00260,1,0.5886016669776644,0,94,"Glycine, serine and threonine metabolism",KEGG
path:ath00261,1,0.9137709283662238,0,17,Monobactam biosynthesis,KEGG
path:ath00270,1,0.39457576541778366,0,162,Cysteine and methionine metabolism,KEGG
path:ath00280,1,0.6798206339295217,0,78,"Valine, leucine and isoleucine degradation",KEGG
path:ath00300,1,0.9140012861098396,0,18,Lysine biosynthesis,KEGG
path:ath00310,1,0.7820799471865097,0,51,Lysine degradation,KEGG
path:ath00330,1,0.7009891299291421,0,68,Arginine and proline metabolism,KEGG
path:ath00340,1,0.8706553761257092,0,27,Histidine metabolism,KEGG
path:ath00350,1,0.758171453246806,0,52,Tyrosine metabolism,KEGG
path:ath00360,1,0.7440511048669494,0,54,Phenylalanine metabolism,KEGG
path:ath00400,1,0.683623806693706,0,69,"Phenylalanine, tyrosine and tryptophan biosynthesis",KEGG
path:ath00440,1,0.9344440212379986,0,13,Phosphonate and phosphinate metabolism,KEGG
path:ath00450,1,0.8836959178375415,0,25,Selenocompound metabolism,KEGG
path:ath00460,1,0.6324219576007379,0,87,Cyanoamino acid metabolism,KEGG
path:ath00500,1,0.42521294635624035,0,182,Starch and sucrose metabolism,KEGG
path:ath00510,1,0.7012456181022997,0,62,N-Glycan biosynthesis,KEGG
path:ath00511,1,0.8879714041853448,0,29,Other glycan degradation,KEGG
path:ath00514,1,0.9076443887722455,0,19,Other types of O-glycan biosynthesis,KEGG
path:ath00531,1,0.9556390117932225,0,11,Glycosaminoglycan degradation,KEGG
path:ath00561,1,0.6574013998771311,0,88,Glycerolipid metabolism,KEGG
path:ath00562,1,0.6257221837534247,0,99,Inositol phosphate metabolism,KEGG
path:ath00563,1,0.8079936912906627,0,38,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,KEGG
path:ath00564,1,0.4950841042566844,0,138,Glycerophospholipid metabolism,KEGG
path:ath00565,1,0.8417924435623372,0,39,Ether lipid metabolism,KEGG
path:ath00590,1,0.8774253745458569,0,20,Arachidonic acid metabolism,KEGG
path:ath00591,1,0.9626201420753006,0,8,Linoleic acid metabolism,KEGG
path:ath00592,1,0.7880028992564021,0,44,alpha-Linolenic acid metabolism,KEGG
path:ath00600,1,0.8364586922542315,0,40,Sphingolipid metabolism,KEGG
path:ath00601,1,0.9810646069645061,0,2,Glycosphingolipid biosynthesis - lacto and neolacto series,KEGG
path:ath00603,1,0.9552189928150988,0,8,Glycosphingolipid biosynthesis - globo and isoglobo series,KEGG
path:ath00604,1,0.9760451928261212,0,6,Glycosphingolipid biosynthesis - ganglio series,KEGG
path:ath00660,1,0.9534499849588522,0,9,C5-Branched dibasic acid metabolism,KEGG
path:ath00670,1,0.8505678534757617,0,30,One carbon pool by folate,KEGG
path:ath00710,1,0.6405670011431527,0,83,Carbon fixation in photosynthetic organisms,KEGG
path:ath00730,1,0.8254865323557051,0,27,Thiamine metabolism,KEGG
path:ath00740,1,0.8483540936732282,0,24,Riboflavin metabolism,KEGG
path:ath00750,1,0.8816632714490336,0,17,Vitamin B6 metabolism,KEGG
path:ath00760,1,0.8914497582489186,0,22,Nicotinate and nicotinamide metabolism,KEGG
path:ath00770,1,0.7969309752654744,0,39,Pantothenate and CoA biosynthesis,KEGG
path:ath00780,1,0.8718609253109106,0,23,Biotin metabolism,KEGG
path:ath00785,1,0.9496612736480335,0,6,Lipoic acid metabolism,KEGG
path:ath00790,1,0.7926761689422167,0,42,Folate biosynthesis,KEGG
path:ath00860,1,0.6666592247405138,0,65,Porphyrin and chlorophyll metabolism,KEGG
path:ath00900,1,0.625872976674464,0,70,Terpenoid backbone biosynthesis,KEGG
path:ath00901,1,0.9771180921638091,0,4,Indole alkaloid biosynthesis,KEGG
path:ath00902,1,0.9608952770683636,0,6,Monoterpenoid biosynthesis,KEGG
path:ath00903,1,0.9569708513781068,0,9,Limonene and pinene degradation,KEGG
path:ath00904,1,0.9063235884362878,0,16,Diterpenoid biosynthesis,KEGG
path:ath00905,1,0.9453101273181598,0,12,Brassinosteroid biosynthesis,KEGG
path:ath00906,1,0.8629324232627823,0,29,Carotenoid biosynthesis,KEGG
path:ath00908,1,0.8909997615283293,0,20,Zeatin biosynthesis,KEGG
path:ath00910,1,0.7290371979622458,0,56,Nitrogen metabolism,KEGG
path:ath00920,1,0.6819591745303176,0,60,Sulfur metabolism,KEGG
path:ath00941,1,0.8429266249333427,0,21,Flavonoid biosynthesis,KEGG
path:ath00942,1,0.9823127479748318,0,2,Anthocyanin biosynthesis,KEGG
path:ath00944,1,0.9797359973074496,0,3,Flavone and flavonol biosynthesis,KEGG
path:ath00945,1,0.931109208775357,0,9,"Stilbenoid, diarylheptanoid and gingerol biosynthesis",KEGG
path:ath00950,1,0.8965156914453896,0,24,Isoquinoline alkaloid biosynthesis,KEGG
path:ath00960,1,0.8210477070762031,0,36,"Tropane, piperidine and pyridine alkaloid biosynthesis",KEGG
path:ath00965,1,0.9857303010592712,0,2,Betalain biosynthesis,KEGG
path:ath00970,1,0.7490160318866429,0,64,Aminoacyl-tRNA biosynthesis,KEGG
path:ath01040,1,0.8720027974362133,0,27,Biosynthesis of unsaturated fatty acids,KEGG
path:ath01212,1,0.6484741263999666,0,83,Fatty acid metabolism,KEGG
path:ath01502,1,0.9938874933591215,0,1,Vancomycin resistance,KEGG
path:ath02010,1,0.9100410830682482,0,26,ABC transporters,KEGG
path:ath03008,1,0.5386618185172015,0,108,Ribosome biogenesis in eukaryotes,KEGG
path:ath03010,1,0.022563388601743176,0,374,Ribosome,KEGG
path:ath03013,1,0.3113665559712164,0,208,RNA transport,KEGG
path:ath03020,1,0.7224542426102635,0,44,RNA polymerase,KEGG
path:ath03022,1,0.6933822170193082,0,66,Basal transcription factors,KEGG
path:ath03030,1,0.7193827506095356,0,57,DNA replication,KEGG
path:ath03040,1,0.16655725552408218,0,310,Spliceosome,KEGG
path:ath03050,1,0.6258781138337631,0,80,Proteasome,KEGG
path:ath03060,1,0.6124214987841571,0,72,Protein export,KEGG
path:ath03410,1,0.7079188849869331,0,61,Base excision repair,KEGG
path:ath03420,1,0.6303807669157433,0,84,Nucleotide excision repair,KEGG
path:ath03430,1,0.7663624819219008,0,44,Mismatch repair,KEGG
path:ath03440,1,0.6523946706549534,0,77,Homologous recombination,KEGG
path:ath03450,1,0.9319633759227498,0,17,Non-homologous end-joining,KEGG
path:ath04070,1,0.5732950105814719,0,105,Phosphatidylinositol signaling system,KEGG
path:ath04075,1,0.14438843884724825,0,286,Plant hormone signal transduction,KEGG
path:ath04122,1,0.8314635921935245,0,25,Sulfur relay system,KEGG
path:ath04130,1,0.6869828954980389,0,52,SNARE interactions in vesicular transport,KEGG
path:ath04136,1,0.6853035001755862,0,63,Autophagy - other,KEGG
path:ath04141,1,0.2015983883818227,0,255,Protein processing in endoplasmic reticulum,KEGG
path:ath04144,1,0.32001296620412223,0,203,Endocytosis,KEGG
path:ath04145,1,0.4787338027561297,0,110,Phagosome,KEGG
path:ath04712,1,0.7540033934921778,0,48,Circadian rhythm - plant,KEGG
path:ath04933,1,0.8484569300445866,0,26,AGE-RAGE signaling pathway in diabetic complications,KEGG
path:ath04146,1.0000000000000002,0.520137671689458,0,123,Peroxisome,KEGG
