"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0009904",0.00019036288249922,0.999998908684111,2,25,"chloroplast accumulation movement","BP"
"2","GO:0009903",0.000220487903136878,0.999998632438754,2,27,"chloroplast avoidance movement","BP"
"3","GO:0046322",0.000890684203479453,1,1,1,"negative regulation of fatty acid oxidation","BP"
"4","GO:1902358",0.00360175339853129,0.99999502926424,1,5,"sulfate transmembrane transport","BP"
"5","GO:0006979",0.00395542578013748,0.999725083319772,3,376,"response to oxidative stress","BP"
"6","GO:1901562",0.0040759949318502,0.999993632833612,1,5,"response to paraquat","BP"
"7","GO:0009668",0.00465015503936722,0.999991710693547,1,5,"plastid membrane organization","BP"
"8","GO:0031022",0.00502692527613607,0.999989620499431,1,7,"nuclear migration along microfilament","BP"
"9","GO:0046898",0.00503785899628151,0.99998957525338,1,7,"response to cycloheximide","BP"
"10","GO:0071217",0.00503785899628151,0.99998957525338,1,7,"cellular response to external biotic stimulus","BP"
"11","GO:0016094",0.00542814229293119,0.999988231294965,1,6,"polyprenol biosynthetic process","BP"
"12","GO:0000913",0.00587401328719165,0.999985528044969,1,8,"preprophase band assembly","BP"
"13","GO:0010272",0.00605245765238877,0.999984634336233,1,8,"response to silver ion","BP"
"14","GO:0015743",0.00675922318522933,0.999980527252655,1,9,"malate transport","BP"
"15","GO:0019408",0.00790002312488282,0.999973387674001,1,9,"dolichol biosynthetic process","BP"
"16","GO:0010117",0.00988502832718195,0.999957357100578,1,11,"photoprotection","BP"
"17","GO:0010431",0.0140687654614808,0.999910134793075,1,18,"seed maturation","BP"
"18","GO:0048467",0.0159368525115828,0.999883640802834,1,21,"gynoecium development","BP"
"19","GO:0010102",0.0228343584154393,0.999757873976103,1,27,"lateral root morphogenesis","BP"
"20","GO:0006833",0.023344684287969,0.999746538199923,1,28,"water transport","BP"
"21","GO:0009269",0.0259885309149,0.999685174361064,1,29,"response to desiccation","BP"
"22","GO:0000910",0.0262437112816639,0.999676983370511,1,35,"cytokinesis","BP"
"23","GO:0009733",0.0289347476080305,0.997691231669253,2,315,"response to auxin","BP"
"24","GO:0009741",0.0324186928243625,0.999504845847904,1,38,"response to brassinosteroid","BP"
"25","GO:0000122",0.0327422440055005,0.999494178252453,1,40,"negative regulation of transcription by RNA polymerase II","BP"
"26","GO:0048481",0.0346956134653499,0.999429219456824,1,48,"plant ovule development","BP"
"27","GO:0055085",0.0371079872431735,0.996610712552148,2,399,"transmembrane transport","BP"
"28","GO:0042545",0.0408619251287253,0.999205545296328,1,51,"cell wall modification","BP"
"29","GO:0009414",0.0426695369746708,0.995795144960108,2,399,"response to water deprivation","BP"
"30","GO:0016032",0.0484816905767969,0.998873755658405,1,65,"viral process","BP"
"31","GO:0045490",0.0494872388686595,0.998826121615348,1,65,"pectin catabolic process","BP"
"32","GO:0001666",0.0512386727008083,0.998741055953628,1,64,"response to hypoxia","BP"
"33","GO:0006974",0.0517212846782788,0.998715552883031,1,69,"cellular response to DNA damage stimulus","BP"
"34","GO:0009740",0.054816361248603,0.998557943221516,1,62,"gibberellic acid mediated signaling pathway","BP"
"35","GO:0006096",0.0570583263719894,0.998431131546892,1,78,"glycolytic process","BP"
"36","GO:0009585",0.0572629553883537,0.998421415771018,1,72,"red, far-red light phototransduction","BP"
"37","GO:0007018",0.0588184928692252,0.998330251945081,1,84,"microtubule-based movement","BP"
"38","GO:0009631",0.061034210625393,0.998203816490446,1,73,"cold acclimation","BP"
"39","GO:0009644",0.063239254168052,0.998070120989987,1,73,"response to high light intensity","BP"
"40","GO:0009640",0.0642013059493126,0.998006996758995,1,83,"photomorphogenesis","BP"
"41","GO:0009620",0.0708256400758038,0.997565736352806,1,92,"response to fungus","BP"
"42","GO:0009737",0.0726033588815119,0.990387185106789,2,549,"response to abscisic acid","BP"
"43","GO:0009624",0.0746309022864853,0.997290749805396,1,101,"response to nematode","BP"
"44","GO:0009909",0.081435968110893,0.996764798880591,1,105,"regulation of flower development","BP"
"45","GO:0042744",0.0841124672387977,0.996545832469914,1,103,"hydrogen peroxide catabolic process","BP"
"46","GO:0009790",0.0868743519629487,0.996307279008321,1,117,"embryo development","BP"
"47","GO:0045944",0.0977794568515542,0.995297924245186,1,134,"positive regulation of transcription by RNA polymerase II","BP"
"48","GO:0006869",0.0978759667997285,0.995297091631651,1,107,"lipid transport","BP"
"49","GO:0006486",0.0985875617631885,0.995219224930006,1,131,"protein glycosylation","BP"
"50","GO:0009739",0.0989196943602724,0.995190292103699,1,118,"response to gibberellin","BP"
"51","GO:0009617",0.104458745881575,0.994620372559994,1,133,"response to bacterium","BP"
"52","GO:0009826",0.106357187941247,0.9944173017746,1,139,"unidimensional cell growth","BP"
