"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0042807",8.8533784616111e-06,0.999999992211788,2,5,"central vacuole","CC"
"2","GO:0009705",0.000168948595673227,0.999996108978666,3,139,"plant-type vacuole membrane","CC"
"3","GO:0009505",0.00272363119732569,0.999834281314958,3,347,"plant-type cell wall","CC"
"4","GO:0015030",0.020878348836993,0.999798341670093,1,25,"Cajal body","CC"
"5","GO:0005667",0.02820596541254,0.99962660632299,1,35,"transcription factor complex","CC"
"6","GO:0005576",0.0338309682850114,0.99158784814269,5,2180,"extracellular region","CC"
"7","GO:0005694",0.0342825694153846,0.999443061545756,1,47,"chromosome","CC"
"8","GO:0005686",0.0350972472164235,0.999418676603277,1,39,"U2 snRNP","CC"
"9","GO:0009504",0.0433325718032359,0.999103909736786,1,57,"cell plate","CC"
"10","GO:0031977",0.0487862193298509,0.998861550012557,1,58,"thylakoid lumen","CC"
"11","GO:0005819",0.0515117716073502,0.998726306063395,1,68,"spindle","CC"
"12","GO:0005871",0.0581334438896135,0.998369561363223,1,83,"kinesin complex","CC"
"13","GO:0005623",0.0740326335561718,0.997335954189136,1,96,"cell","CC"
"14","GO:0009543",0.0747730867876181,0.997284534145915,1,87,"chloroplast thylakoid lumen","CC"
"15","GO:0005618",0.0791091077024678,0.989005135132602,2,560,"cell wall","CC"
"16","GO:0009524",0.0791979518364729,0.996941923665464,1,108,"phragmoplast","CC"
"17","GO:0016020",0.0842864110010381,0.976383977970862,4,2107,"membrane","CC"
"18","GO:0005681",0.113656264048972,0.993603035326243,1,153,"spliceosomal complex","CC"
"19","GO:0005654",0.115125971257327,0.993432326635172,1,155,"nucleoplasm","CC"
"20","GO:0005773",0.134446735038735,0.974575516043474,2,801,"vacuole","CC"
"21","GO:0005887",0.13620271232327,0.990722403767751,1,190,"integral component of plasma membrane","CC"
"22","GO:0005874",0.155266167093564,0.987845727308986,1,220,"microtubule","CC"
"23","GO:0005622",0.187472004334917,0.982045388363139,1,245,"intracellular","CC"
"24","GO:0016021",0.23815650848416,0.885472824838096,6,5100,"integral component of membrane","CC"
"25","GO:0009506",0.254216477707104,0.928621986251095,2,1214,"plasmodesma","CC"
"26","GO:0009535",0.325045999783352,0.942684571836298,1,428,"chloroplast thylakoid membrane","CC"
