"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0005576",2.47116077707189e-15,1,40,2180,"extracellular region","CC"
"2","GO:0005618",3.5016112614829e-10,0.999999999963883,17,560,"cell wall","CC"
"3","GO:0009505",2.05377186123349e-09,0.999999999820547,13,347,"plant-type cell wall","CC"
"4","GO:0048046",0.00220838860126214,0.999486515664446,8,501,"apoplast","CC"
"5","GO:0045282",0.00522792038625617,0.999993207447092,1,2,"plasma membrane succinate dehydrogenase complex","CC"
"6","GO:0009506",0.00691761200695467,0.997590660820541,11,1214,"plasmodesma","CC"
"7","GO:0031225",0.00861042350354509,0.998345282635944,5,220,"anchored component of membrane","CC"
"8","GO:0035618",0.011988759664369,0.99994628878492,1,4,"root hair","CC"
"9","GO:0009705",0.0135815441370183,0.998427243971899,3,139,"plant-type vacuole membrane","CC"
"10","GO:0009530",0.0275456503683967,0.999683101510737,1,6,"primary cell wall","CC"
"11","GO:0042807",0.0305662677167504,0.999624814447883,1,5,"central vacuole","CC"
"12","GO:0009514",0.0346941103689382,0.999442136700685,1,13,"glyoxysome","CC"
"13","GO:0045273",0.0608269277204291,0.998280161506583,1,12,"respiratory chain complex II","CC"
"14","GO:0005749",0.0778276981983866,0.997115856323247,1,15,"mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone)","CC"
"15","GO:0000159",0.0961458492343043,0.995392563214384,1,35,"protein phosphatase type 2A complex","CC"
"16","GO:0031982",0.101073743244909,0.994949010273197,1,26,"vesicle","CC"
"17","GO:0005667",0.129187698302823,0.991578007247695,1,35,"transcription factor complex","CC"
"18","GO:0016021",0.164742506552037,0.885451640061554,26,5100,"integral component of membrane","CC"
"19","GO:0090406",0.181542410390825,0.982864019491533,1,54,"pollen tube","CC"
"20","GO:0043231",0.203154214233198,0.948542979199424,2,204,"intracellular membrane-bounded organelle","CC"
"21","GO:0005654",0.432227087832056,0.890509435884839,1,155,"nucleoplasm","CC"
"22","GO:0005887",0.470216916963533,0.867817770254615,1,190,"integral component of plasma membrane","CC"
"23","GO:0005886",0.502525627961829,0.603896473301665,16,4166,"plasma membrane","CC"
"24","GO:0005874",0.509946840497526,0.841204774048804,1,220,"microtubule","CC"
"25","GO:0046658",0.522941239803838,0.83215927542974,1,143,"anchored component of plasma membrane","CC"
"26","GO:0005615",0.531929717245766,0.825513842223908,1,139,"extracellular space","CC"
"27","GO:0005575",0.692790951689882,0.571721795787427,2,392,"cellular_component","CC"
"28","GO:0005777",0.703567331360552,0.659472352577828,1,300,"peroxisome","CC"
"29","GO:0016020",0.729589113208286,0.407935745699125,7,2107,"membrane","CC"
"30","GO:0000139",0.770036275366622,0.570668684688342,1,430,"Golgi membrane","CC"
"31","GO:0009536",0.803724927630978,0.518715429407716,1,408,"plastid","CC"
"32","GO:0005737",0.818349859783129,0.253338705000927,19,5641,"cytoplasm","CC"
"33","GO:0005789",0.857899489759174,0.422227643166501,1,495,"endoplasmic reticulum membrane","CC"
"34","GO:0009570",0.858154278580756,0.334390717099238,2,832,"chloroplast stroma","CC"
"35","GO:0005829",0.861984001526715,0.22934706634371,8,2799,"cytosol","CC"
"36","GO:0005794",0.887598857911628,0.247503357054433,3,1363,"Golgi apparatus","CC"
"37","GO:0005783",0.896508685552951,0.264400202476526,2,961,"endoplasmic reticulum","CC"
"38","GO:0005774",0.930003062935262,0.258629942312579,1,669,"vacuolar membrane","CC"
"39","GO:0009507",0.999094724774714,0.00215678170430219,13,6062,"chloroplast","CC"
"40","GO:0005739",0.99988724147761,0.000414405523779987,6,3912,"mitochondrion","CC"
"41","GO:0005634",0.999996520379616,9.08569541010688e-06,25,11678,"nucleus","CC"
"42","GO:0000015",1,0.991772879729742,0,3,"phosphopyruvate hydratase complex","CC"
"43","GO:0000109",1,0.997329546187278,0,1,"nucleotide-excision repair complex","CC"
"44","GO:0000110",1,0.985861019691881,0,5,"nucleotide-excision repair factor 1 complex","CC"
"45","GO:0000111",1,0.9925597867985,0,3,"nucleotide-excision repair factor 2 complex","CC"
"46","GO:0000112",1,0.995048526379934,0,2,"nucleotide-excision repair factor 3 complex","CC"
"47","GO:0000118",1,0.981995979602975,0,6,"histone deacetylase complex","CC"
"48","GO:0000123",1,0.930060309627086,0,19,"histone acetyltransferase complex","CC"
"49","GO:0000124",1,0.918836413521011,0,21,"SAGA complex","CC"
"50","GO:0000126",1,0.984533448188597,0,5,"transcription factor TFIIIB complex","CC"
