category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,Annotation,ontology
path:ath00900,0.059514766532603236,0.9985688005103902,1,70,Terpenoid backbone biosynthesis,KEGG
path:ath01110,0.06703933222188535,0.9917170552284478,3,1292,Biosynthesis of secondary metabolites,KEGG
path:ath00260,0.07445227976920904,0.9977378320360111,1,94,"Glycine, serine and threonine metabolism",KEGG
path:ath00010,0.10958958131202481,0.9950057375639312,1,145,Glycolysis / Gluconeogenesis,KEGG
path:ath03018,0.1131018439287396,0.9946725513781793,1,144,RNA degradation,KEGG
path:ath00940,0.13501072707191203,0.9923276566713347,1,168,Phenylpropanoid biosynthesis,KEGG
path:ath03040,0.23066255915497633,0.9765333170707184,1,310,Spliceosome,KEGG
path:ath01230,0.23372167745815808,0.9758684104213535,1,323,Biosynthesis of amino acids,KEGG
path:ath01200,0.2598353502450529,0.9697834176329263,1,362,Carbon metabolism,KEGG
path:ath01100,0.7205646478854595,0.6209113709990757,2,2631,Metabolic pathways,KEGG
path:ath00910,0.9999999999999993,0.9554806681966075,0,56,Nitrogen metabolism,KEGG
path:ath00480,0.9999999999999998,0.8882250591915445,0,129,Glutathione metabolism,KEGG
path:ath00020,1,0.9392924343889995,0,78,Citrate cycle (TCA cycle),KEGG
path:ath00030,1,0.9374338772353694,0,77,Pentose phosphate pathway,KEGG
path:ath00040,1,0.9397834516407602,0,76,Pentose and glucuronate interconversions,KEGG
path:ath00051,1,0.9400821204887272,0,74,Fructose and mannose metabolism,KEGG
path:ath00052,1,0.9532941060723428,0,61,Galactose metabolism,KEGG
path:ath00053,1,0.9504016667108657,0,63,Ascorbate and aldarate metabolism,KEGG
path:ath00061,1,0.9590498424281327,0,52,Fatty acid biosynthesis,KEGG
path:ath00062,1,0.9761863749669956,0,29,Fatty acid elongation,KEGG
path:ath00071,1,0.9527808524892971,0,61,Fatty acid degradation,KEGG
path:ath00072,1,0.9931281268663956,0,9,Synthesis and degradation of ketone bodies,KEGG
path:ath00073,1,0.9840534733432538,0,20,"Cutin, suberine and wax biosynthesis",KEGG
path:ath00100,1,0.9683670622910032,0,40,Steroid biosynthesis,KEGG
path:ath00130,1,0.9584171776680054,0,51,Ubiquinone and other terpenoid-quinone biosynthesis,KEGG
path:ath00190,1,0.8744003710718873,0,147,Oxidative phosphorylation,KEGG
path:ath00195,1,0.9566939399539746,0,42,Photosynthesis,KEGG
path:ath00196,1,0.9797497143698549,0,20,Photosynthesis - antenna proteins,KEGG
path:ath00220,1,0.9627856665348132,0,48,Arginine biosynthesis,KEGG
path:ath00230,1,0.9021082495113741,0,124,Purine metabolism,KEGG
path:ath00232,1,0.9977221447368998,0,3,Caffeine metabolism,KEGG
path:ath00240,1,0.9416910046532205,0,72,Pyrimidine metabolism,KEGG
path:ath00250,1,0.94500236840155,0,72,"Alanine, aspartate and glutamate metabolism",KEGG
path:ath00261,1,0.9865435783037866,0,17,Monobactam biosynthesis,KEGG
path:ath00270,1,0.8752380924177487,0,162,Cysteine and methionine metabolism,KEGG
path:ath00280,1,0.9400322291007804,0,78,"Valine, leucine and isoleucine degradation",KEGG
path:ath00290,1,0.9766973552700982,0,29,"Valine, leucine and isoleucine biosynthesis",KEGG
path:ath00300,1,0.9859283878027715,0,18,Lysine biosynthesis,KEGG
path:ath00310,1,0.9604971258172086,0,51,Lysine degradation,KEGG
path:ath00330,1,0.9473475507119045,0,68,Arginine and proline metabolism,KEGG
path:ath00340,1,0.9788907713249487,0,27,Histidine metabolism,KEGG
path:ath00350,1,0.9592361683163486,0,52,Tyrosine metabolism,KEGG
path:ath00360,1,0.9571698327046527,0,54,Phenylalanine metabolism,KEGG
path:ath00380,1,0.9392947640004614,0,76,Tryptophan metabolism,KEGG
path:ath00400,1,0.9459633239669065,0,69,"Phenylalanine, tyrosine and tryptophan biosynthesis",KEGG
path:ath00410,1,0.9610528538352515,0,51,beta-Alanine metabolism,KEGG
path:ath00430,1,0.9840869078779171,0,20,Taurine and hypotaurine metabolism,KEGG
path:ath00440,1,0.989733893149823,0,13,Phosphonate and phosphinate metabolism,KEGG
path:ath00450,1,0.9805601828884648,0,25,Selenocompound metabolism,KEGG
path:ath00460,1,0.9326777529352984,0,87,Cyanoamino acid metabolism,KEGG
path:ath00500,1,0.8663547028337079,0,182,Starch and sucrose metabolism,KEGG
path:ath00510,1,0.9500758483297411,0,62,N-Glycan biosynthesis,KEGG
path:ath00511,1,0.9779321549601666,0,29,Other glycan degradation,KEGG
path:ath00514,1,0.9850923785369908,0,19,Other types of O-glycan biosynthesis,KEGG
path:ath00520,1,0.8804839284255831,0,152,Amino sugar and nucleotide sugar metabolism,KEGG
path:ath00531,1,0.9916707633416721,0,11,Glycosaminoglycan degradation,KEGG
path:ath00561,1,0.933370898711908,0,88,Glycerolipid metabolism,KEGG
path:ath00562,1,0.9249484607225703,0,99,Inositol phosphate metabolism,KEGG
path:ath00563,1,0.9690433388689861,0,38,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,KEGG
path:ath00564,1,0.8955719190254319,0,138,Glycerophospholipid metabolism,KEGG
path:ath00565,1,0.9702924303463261,0,39,Ether lipid metabolism,KEGG
path:ath00590,1,0.983079109299967,0,20,Arachidonic acid metabolism,KEGG
path:ath00591,1,0.9936771149796193,0,8,Linoleic acid metabolism,KEGG
path:ath00592,1,0.96494007331952,0,44,alpha-Linolenic acid metabolism,KEGG
path:ath00600,1,0.9695237507219753,0,40,Sphingolipid metabolism,KEGG
path:ath00601,1,0.9979808576117369,0,2,Glycosphingolipid biosynthesis - lacto and neolacto series,KEGG
path:ath00603,1,0.9933925802580758,0,8,Glycosphingolipid biosynthesis - globo and isoglobo series,KEGG
path:ath00604,1,0.9954516780492961,0,6,Glycosphingolipid biosynthesis - ganglio series,KEGG
path:ath00620,1,0.9049181164747333,0,126,Pyruvate metabolism,KEGG
path:ath00630,1,0.9073490471367898,0,119,Glyoxylate and dicarboxylate metabolism,KEGG
path:ath00640,1,0.9573562586370209,0,55,Propanoate metabolism,KEGG
path:ath00650,1,0.9765274763040617,0,30,Butanoate metabolism,KEGG
path:ath00660,1,0.992802368500032,0,9,C5-Branched dibasic acid metabolism,KEGG
path:ath00670,1,0.9762479641052112,0,30,One carbon pool by folate,KEGG
path:ath00710,1,0.9351686686439744,0,83,Carbon fixation in photosynthetic organisms,KEGG
path:ath00730,1,0.9765235526643836,0,27,Thiamine metabolism,KEGG
path:ath00740,1,0.9794176782260022,0,24,Riboflavin metabolism,KEGG
path:ath00750,1,0.9848531622362253,0,17,Vitamin B6 metabolism,KEGG
path:ath00760,1,0.9826040599752194,0,22,Nicotinate and nicotinamide metabolism,KEGG
path:ath00770,1,0.9682590083303956,0,39,Pantothenate and CoA biosynthesis,KEGG
path:ath00780,1,0.9808103921167535,0,23,Biotin metabolism,KEGG
path:ath00785,1,0.9942165086947824,0,6,Lipoic acid metabolism,KEGG
path:ath00790,1,0.9662664724423319,0,42,Folate biosynthesis,KEGG
path:ath00860,1,0.9469972753848152,0,65,Porphyrin and chlorophyll metabolism,KEGG
path:ath00901,1,0.9967730441721585,0,4,Indole alkaloid biosynthesis,KEGG
path:ath00902,1,0.9947966148871062,0,6,Monoterpenoid biosynthesis,KEGG
path:ath00903,1,0.9929491083054023,0,9,Limonene and pinene degradation,KEGG
path:ath00904,1,0.9867505085791611,0,16,Diterpenoid biosynthesis,KEGG
path:ath00905,1,0.9905734523118394,0,12,Brassinosteroid biosynthesis,KEGG
path:ath00906,1,0.9773124604193139,0,29,Carotenoid biosynthesis,KEGG
path:ath00908,1,0.9836936995687073,0,20,Zeatin biosynthesis,KEGG
path:ath00909,1,0.9831095824050455,0,22,Sesquiterpenoid and triterpenoid biosynthesis,KEGG
path:ath00920,1,0.9506540956533406,0,60,Sulfur metabolism,KEGG
path:ath00941,1,0.9808563116112049,0,21,Flavonoid biosynthesis,KEGG
path:ath00942,1,0.9980840805233369,0,2,Anthocyanin biosynthesis,KEGG
path:ath00944,1,0.9974408017077047,0,3,Flavone and flavonol biosynthesis,KEGG
path:ath00945,1,0.9918528758962052,0,9,"Stilbenoid, diarylheptanoid and gingerol biosynthesis",KEGG
path:ath00950,1,0.9816700721075604,0,24,Isoquinoline alkaloid biosynthesis,KEGG
path:ath00960,1,0.971358312697269,0,36,"Tropane, piperidine and pyridine alkaloid biosynthesis",KEGG
path:ath00965,1,0.9981941654327916,0,2,Betalain biosynthesis,KEGG
path:ath00966,1,0.9788128049130939,0,25,Glucosinolate biosynthesis,KEGG
path:ath00970,1,0.9515358915977534,0,64,Aminoacyl-tRNA biosynthesis,KEGG
path:ath01040,1,0.9788314295820465,0,27,Biosynthesis of unsaturated fatty acids,KEGG
path:ath01210,1,0.930228349983476,0,90,2-Oxocarboxylic acid metabolism,KEGG
path:ath01212,1,0.9351864050123625,0,83,Fatty acid metabolism,KEGG
path:ath01502,1,0.9991838662556112,0,1,Vancomycin resistance,KEGG
path:ath02010,1,0.9806309935070561,0,26,ABC transporters,KEGG
path:ath03008,1,0.9143632986047006,0,108,Ribosome biogenesis in eukaryotes,KEGG
path:ath03010,1,0.6691477745209662,0,374,Ribosome,KEGG
path:ath03013,1,0.8410574859515774,0,208,RNA transport,KEGG
path:ath03015,1,0.8622395262552999,0,185,mRNA surveillance pathway,KEGG
path:ath03020,1,0.9608218576544795,0,44,RNA polymerase,KEGG
path:ath03022,1,0.9470715130787597,0,66,Basal transcription factors,KEGG
path:ath03030,1,0.9529908529179283,0,57,DNA replication,KEGG
path:ath03050,1,0.935964418412157,0,80,Proteasome,KEGG
path:ath03060,1,0.9379852126307651,0,72,Protein export,KEGG
path:ath03410,1,0.9512435291207405,0,61,Base excision repair,KEGG
