"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0000002",1,1,0,3,"mitochondrial genome maintenance","BP"
"2","GO:0000003",1,1,0,15,"reproduction","BP"
"3","GO:0000012",1,1,0,3,"single strand break repair","BP"
"4","GO:0000019",1,1,0,1,"regulation of mitotic recombination","BP"
"5","GO:0000023",1,1,0,2,"maltose metabolic process","BP"
"6","GO:0000024",1,1,0,1,"maltose biosynthetic process","BP"
"7","GO:0000025",1,1,0,2,"maltose catabolic process","BP"
"8","GO:0000027",1,1,0,49,"ribosomal large subunit assembly","BP"
"9","GO:0000028",1,1,0,35,"ribosomal small subunit assembly","BP"
"10","GO:0000032",1,1,0,4,"cell wall mannoprotein biosynthetic process","BP"
"11","GO:0000038",1,1,0,15,"very long-chain fatty acid metabolic process","BP"
"12","GO:0000041",1,1,0,2,"transition metal ion transport","BP"
"13","GO:0000045",1,1,0,34,"autophagosome assembly","BP"
"14","GO:0000050",1,1,0,2,"urea cycle","BP"
"15","GO:0000053",1,1,0,1,"argininosuccinate metabolic process","BP"
"16","GO:0000054",1,1,0,3,"ribosomal subunit export from nucleus","BP"
"17","GO:0000055",1,1,0,5,"ribosomal large subunit export from nucleus","BP"
"18","GO:0000056",1,1,0,4,"ribosomal small subunit export from nucleus","BP"
"19","GO:0000070",1,1,0,11,"mitotic sister chromatid segregation","BP"
"20","GO:0000076",1,1,0,3,"DNA replication checkpoint","BP"
"21","GO:0000077",1,1,0,6,"DNA damage checkpoint","BP"
"22","GO:0000079",1,1,0,50,"regulation of cyclin-dependent protein serine/threonine kinase activity","BP"
"23","GO:0000080",1,1,0,3,"mitotic G1 phase","BP"
"24","GO:0000082",1,1,0,5,"G1/S transition of mitotic cell cycle","BP"
"25","GO:0000084",1,1,0,3,"mitotic S phase","BP"
"26","GO:0000085",1,1,0,3,"mitotic G2 phase","BP"
"27","GO:0000086",1,1,0,5,"G2/M transition of mitotic cell cycle","BP"
"28","GO:0000087",1,1,0,1,"mitotic M phase","BP"
"29","GO:0000088",1,1,0,3,"mitotic prophase","BP"
"30","GO:0000103",1,1,0,19,"sulfate assimilation","BP"
"31","GO:0000105",1,1,0,16,"histidine biosynthetic process","BP"
"32","GO:0000122",1,1,0,40,"negative regulation of transcription by RNA polymerase II","BP"
"33","GO:0000132",1,1,0,6,"establishment of mitotic spindle orientation","BP"
"34","GO:0000154",1,1,0,3,"rRNA modification","BP"
"35","GO:0000160",1,1,0,47,"phosphorelay signal transduction system","BP"
"36","GO:0000162",1,1,0,28,"tryptophan biosynthetic process","BP"
"37","GO:0000165",1,1,0,19,"MAPK cascade","BP"
"38","GO:0000184",1,1,0,33,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","BP"
"39","GO:0000186",1,1,0,3,"activation of MAPKK activity","BP"
"40","GO:0000187",1,1,0,14,"activation of MAPK activity","BP"
"41","GO:0000188",1,1,0,1,"inactivation of MAPK activity","BP"
"42","GO:0000209",1,1,0,46,"protein polyubiquitination","BP"
"43","GO:0000212",1,1,0,4,"meiotic spindle organization","BP"
"44","GO:0000226",1,1,0,60,"microtubule cytoskeleton organization","BP"
"45","GO:0000244",1,1,0,8,"spliceosomal tri-snRNP complex assembly","BP"
"46","GO:0000245",1,1,0,17,"spliceosomal complex assembly","BP"
"47","GO:0000256",1,1,0,4,"allantoin catabolic process","BP"
"48","GO:0000266",1,1,0,18,"mitochondrial fission","BP"
"49","GO:0000271",1,1,0,16,"polysaccharide biosynthetic process","BP"
"50","GO:0000272",1,1,0,17,"polysaccharide catabolic process","BP"
"51","GO:0000278",1,1,0,94,"mitotic cell cycle","BP"
"52","GO:0000280",1,1,0,6,"nuclear division","BP"
"53","GO:0000281",1,1,0,3,"mitotic cytokinesis","BP"
"54","GO:0000288",1,1,0,3,"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay","BP"
"55","GO:0000289",1,1,0,4,"nuclear-transcribed mRNA poly(A) tail shortening","BP"
