"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0006833",3.38469671127137e-10,0.999999999997609,6,28,"water transport","BP"
"2","GO:0006869",2.23545259097021e-06,0.99999985522359,7,107,"lipid transport","BP"
"3","GO:0055085",4.46142283196766e-06,0.999999587371263,8,399,"transmembrane transport","BP"
"4","GO:0080170",4.90099464551326e-06,0.999999970874294,3,10,"hydrogen peroxide transmembrane transport","BP"
"5","GO:0042545",1.57081938204814e-05,0.999999584976895,4,51,"cell wall modification","BP"
"6","GO:0009627",0.000871582217536877,0.999963056896471,3,52,"systemic acquired resistance","BP"
"7","GO:0048767",0.000971390565520518,0.999956831456277,3,69,"root hair elongation","BP"
"8","GO:0050832",0.000976132293066505,0.999856269221915,6,271,"defense response to fungus","BP"
"9","GO:0009651",0.00116045681674336,0.999757955704971,8,699,"response to salt stress","BP"
"10","GO:0009971",0.00178968098177472,1,1,1,"anastral spindle assembly involved in male meiosis","BP"
"11","GO:0009414",0.00189878589684149,0.999680378292195,6,399,"response to water deprivation","BP"
"12","GO:0010214",0.00208762457512592,0.999957831091589,2,24,"seed coat development","BP"
"13","GO:0060416",0.005268940407683,1,1,1,"response to growth hormone","BP"
"14","GO:0071555",0.00641595637040844,0.999125076271271,4,285,"cell wall organization","BP"
"15","GO:0055074",0.00751371508929846,0.999978988466099,1,4,"calcium ion homeostasis","BP"
"16","GO:0009617",0.00872496322043135,0.999144886464103,3,133,"response to bacterium","BP"
"17","GO:1902358",0.00898005064252677,0.999967971367386,1,5,"sulfate transmembrane transport","BP"
"18","GO:0009741",0.00974101020379448,0.999555205741856,2,38,"response to brassinosteroid","BP"
"19","GO:0015840",0.0103339513498171,0.999973448516166,1,2,"urea transport","BP"
"20","GO:0045490",0.0108472900395586,0.999467418385605,2,65,"pectin catabolic process","BP"
"21","GO:0010198",0.0110260478038716,0.999969762294738,1,2,"synergid death","BP"
"22","GO:1900457",0.0127937356114087,0.999938945777808,1,4,"regulation of brassinosteroid mediated signaling pathway","BP"
"23","GO:0006970",0.0154883332061498,0.998118328011674,3,186,"response to osmotic stress","BP"
"24","GO:0042906",0.0157028351850629,0.999897722700941,1,6,"xanthine transport","BP"
"25","GO:0043433",0.0169817566991073,0.9998922393264,1,4,"negative regulation of DNA-binding transcription factor activity","BP"
"26","GO:0019745",0.0177628390549313,0.999858598899729,1,10,"pentacyclic triterpenoid biosynthetic process","BP"
"27","GO:0032959",0.017796151880755,0.999859809112787,1,9,"inositol trisphosphate biosynthetic process","BP"
"28","GO:0051209",0.017796151880755,0.999859809112787,1,9,"release of sequestered calcium ion into cytosol","BP"
"29","GO:0031347",0.0197116841434057,0.998672221350743,2,75,"regulation of defense response","BP"
"30","GO:0071705",0.0201419771376581,0.999823046144097,1,8,"nitrogen compound transport","BP"
"31","GO:0015720",0.0206733139353442,0.999813548990885,1,8,"allantoin transport","BP"
"32","GO:0015857",0.0206733139353442,0.999813548990885,1,8,"uracil transport","BP"
"33","GO:0035195",0.0239706702106534,0.999745055103649,1,9,"gene silencing by miRNA","BP"
"34","GO:1900056",0.0249528048817566,0.999727918545606,1,8,"negative regulation of leaf senescence","BP"
"35","GO:0009697",0.0266416340976635,0.999680845623075,1,10,"salicylic acid biosynthetic process","BP"
"36","GO:0080148",0.0276651992699949,0.999659932570261,1,9,"negative regulation of response to water deprivation","BP"
"37","GO:1900140",0.0283385589042553,0.999648614811461,1,8,"regulation of seedling development","BP"
"38","GO:0010358",0.0290882819593234,0.999615370761987,1,11,"leaf shaping","BP"
"39","GO:0006402",0.0312923145077127,0.999538941965384,1,17,"mRNA catabolic process","BP"
"40","GO:1902290",0.0313668779093095,0.999577713002688,1,7,"positive regulation of defense response to oomycetes","BP"
"41","GO:0009740",0.0316115498965809,0.997272605859222,2,62,"gibberellic acid mediated signaling pathway","BP"
"42","GO:0006075",0.0316306727098345,0.999527240062464,1,18,"(1->3)-beta-D-glucan biosynthetic process","BP"
"43","GO:0042742",0.0316326702603164,0.993079265588708,4,410,"defense response to bacterium","BP"
"44","GO:0016104",0.0316729212866471,0.999536586617003,1,13,"triterpenoid biosynthetic process","BP"
"45","GO:0000271",0.0323565734772859,0.999508762344376,1,16,"polysaccharide biosynthetic process","BP"
"46","GO:0010104",0.0337099624209399,0.999478273634699,1,12,"regulation of ethylene-activated signaling pathway","BP"
"47","GO:0019288",0.0338774690864243,0.999477351965372,1,11,"isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway","BP"
"48","GO:0007043",0.0338883272853582,0.999539190746212,1,5,"cell-cell junction assembly","BP"
"49","GO:0060866",0.0365395903632916,0.999397392216739,1,10,"leaf abscission","BP"
"50","GO:0009833",0.0377847045860062,0.999318259735212,1,21,"plant-type primary cell wall biogenesis","BP"
"51","GO:0042372",0.0381523041889682,0.999336060469664,1,11,"phylloquinone biosynthetic process","BP"
"52","GO:0046274",0.0382157766578219,0.999306132130466,1,19,"lignin catabolic process","BP"
"53","GO:0080027",0.038348497529966,0.999367066391933,1,7,"response to herbivore","BP"
"54","GO:0048015",0.0386715045486354,0.999287417475661,1,20,"phosphatidylinositol-mediated signaling","BP"
"55","GO:0030245",0.0387258438068292,0.999287354019457,1,19,"cellulose catabolic process","BP"
"56","GO:0009704",0.0410815952309593,0.999217639017158,1,13,"de-etiolation","BP"
"57","GO:0016114",0.0420288391328524,0.999171875471944,1,15,"terpenoid biosynthetic process","BP"
"58","GO:0055114",0.0478084897697677,0.980945823046114,8,1349,"oxidation-reduction process","BP"
"59","GO:0042744",0.0482065295751271,0.994723577175606,2,103,"hydrogen peroxide catabolic process","BP"
"60","GO:0031640",0.0507173965851499,0.99445847431224,2,33,"killing of cells of other organism","BP"
"61","GO:0006636",0.0522714918030586,0.998685452730505,1,22,"unsaturated fatty acid biosynthetic process","BP"
"62","GO:0002238",0.0542624683807339,0.998601879581457,1,17,"response to molecule of fungal origin","BP"
"63","GO:2000031",0.0561538264266147,0.998477689380916,1,23,"regulation of salicylic acid mediated signaling pathway","BP"
"64","GO:1900426",0.0575664626678561,0.998402551673646,1,22,"positive regulation of defense response to bacterium","BP"
"65","GO:0008610",0.0621981673684332,0.99812819244238,1,23,"lipid biosynthetic process","BP"
"66","GO:0006629",0.062701275491016,0.992037109925463,2,143,"lipid metabolic process","BP"
"67","GO:0009826",0.0648390555678587,0.991613064158947,2,139,"unidimensional cell growth","BP"
"68","GO:2000070",0.0668748192220602,0.997841581916781,1,21,"regulation of response to water deprivation","BP"
