category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,Annotation,ontology
path:ath00940,8.571133226842445e-10,0.9999999999468263,13,168,Phenylpropanoid biosynthesis,KEGG
path:ath01110,7.530556487054224e-6,0.9999981494892,24,1292,Biosynthesis of secondary metabolites,KEGG
path:ath00966,5.2655514831512176e-5,0.9999982545015106,4,25,Glucosinolate biosynthesis,KEGG
path:ath01210,4.363637284991713e-4,0.9999599689848989,5,90,2-Oxocarboxylic acid metabolism,KEGG
path:ath01100,8.620021193747871e-4,0.9996983416016175,32,2631,Metabolic pathways,KEGG
path:ath00040,0.0030259124578709685,0.9996814385795428,4,76,Pentose and glucuronate interconversions,KEGG
path:ath00480,0.03024868835755096,0.9936896923553862,4,129,Glutathione metabolism,KEGG
path:ath00270,0.03742456491791829,0.9916287846495556,4,162,Cysteine and methionine metabolism,KEGG
path:ath04075,0.09403496507011824,0.9670022126988839,5,286,Plant hormone signal transduction,KEGG
path:ath00380,0.1158048168095678,0.9796223585655577,2,76,Tryptophan metabolism,KEGG
path:ath00261,0.11914703731036963,0.9931602356027249,1,17,Monobactam biosynthesis,KEGG
path:ath00300,0.11964114860993195,0.9930790696649737,1,18,Lysine biosynthesis,KEGG
path:ath00909,0.1291009223420655,0.9918286835608546,1,22,Sesquiterpenoid and triterpenoid biosynthesis,KEGG
path:ath00430,0.13939586586659392,0.9904783532975944,1,20,Taurine and hypotaurine metabolism,KEGG
path:ath00906,0.18804923720093725,0.9820594656487316,1,29,Carotenoid biosynthesis,KEGG
path:ath00650,0.19211983618436124,0.9812226622116368,1,30,Butanoate metabolism,KEGG
path:ath04933,0.20267060944727858,0.9791169030461204,1,26,AGE-RAGE signaling pathway in diabetic complications,KEGG
path:ath00100,0.2551955974712022,0.9657223514664025,1,40,Steroid biosynthesis,KEGG
path:ath04626,0.26539775114899744,0.8973742477492352,3,217,Plant-pathogen interaction,KEGG
path:ath00410,0.29026792214132013,0.954757156467861,1,51,beta-Alanine metabolism,KEGG
path:ath00052,0.3380664538756111,0.9371337143852115,1,61,Galactose metabolism,KEGG
path:ath04016,0.3836422257594283,0.8545156348968233,2,158,MAPK signaling pathway - plant,KEGG
path:ath00250,0.39218428652573256,0.913051559463441,1,72,"Alanine, aspartate and glutamate metabolism",KEGG
path:ath00240,0.42755815264889585,0.8948673187490626,1,72,Pyrimidine metabolism,KEGG
path:ath00460,0.4759459019118202,0.8662192932776093,1,87,Cyanoamino acid metabolism,KEGG
path:ath00260,0.5167913297416606,0.8386818565816903,1,94,"Glycine, serine and threonine metabolism",KEGG
path:ath00630,0.5963239101559652,0.7747482960183316,1,119,Glyoxylate and dicarboxylate metabolism,KEGG
path:ath04145,0.6227414289606443,0.7504099247316385,1,110,Phagosome,KEGG
path:ath00520,0.7012884320531478,0.6656644860921154,1,152,Amino sugar and nucleotide sugar metabolism,KEGG
path:ath00190,0.7484221128638199,0.6054364781944501,1,147,Oxidative phosphorylation,KEGG
path:ath03013,0.79613477442182,0.5347629535695559,1,208,RNA transport,KEGG
path:ath01230,0.9190976339639806,0.29057759306180686,1,323,Biosynthesis of amino acids,KEGG
path:ath01200,0.9392709074656904,0.2366023634370974,1,362,Carbon metabolism,KEGG
