"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0005199",3.94495935664929e-14,1,9,31,"structural constituent of cell wall","MF"
"2","GO:0004601",6.35044295546602e-12,1,12,133,"peroxidase activity","MF"
"3","GO:0020037",9.43399678862731e-10,0.999999999919335,14,316,"heme binding","MF"
"4","GO:0046910",9.00303168708764e-07,0.999999964004341,6,59,"pectinesterase inhibitor activity","MF"
"5","GO:0045330",1.34696744919501e-06,0.999999963597693,5,42,"aspartyl esterase activity","MF"
"6","GO:0030599",2.52764142995468e-06,0.99999992154501,5,47,"pectinesterase activity","MF"
"7","GO:0010177",3.06776554521769e-05,0.999999967575082,2,3,"2-(2'-methylthio)ethylmalate synthase activity","MF"
"8","GO:0003852",0.000101501427614753,0.999999678829931,2,5,"2-isopropylmalate synthase activity","MF"
"9","GO:0008898",0.000101798922775772,0.999999722260233,2,4,"S-adenosylmethionine-homocysteine S-methyltransferase activity","MF"
"10","GO:0047150",0.000101798922775772,0.999999722260233,2,4,"betaine-homocysteine S-methyltransferase activity","MF"
"11","GO:0010326",0.000377848436888829,0.999997336894065,2,7,"methionine-oxo-acid transaminase activity","MF"
"12","GO:0004364",0.000917573450871835,0.999928221522292,4,69,"glutathione transferase activity","MF"
"13","GO:0009927",0.00185985509864028,0.999966891314262,2,12,"histidine phosphotransfer kinase activity","MF"
"14","GO:0005358",0.0031615036718382,1,1,1,"high-affinity glucose:proton symporter activity","MF"
"15","GO:0009679",0.0031615036718382,1,1,1,"hexose:proton symporter activity","MF"
"16","GO:0018822",0.00382907731095527,1,1,1,"nitrile hydratase activity","MF"
"17","GO:0047427",0.00382907731095527,1,1,1,"cyanoalanine nitrilase activity","MF"
"18","GO:0047558",0.00382907731095527,1,1,1,"3-cyanoalanine hydratase activity","MF"
"19","GO:0046872",0.00401159006123302,0.998264951790926,19,2119,"metal ion binding","MF"
"20","GO:0102799",0.00705680840229967,0.999987602462986,1,2,"glucosinolate glucohydrolase activity","MF"
"21","GO:0004568",0.0075009479623215,0.999708562987858,2,22,"chitinase activity","MF"
"22","GO:0120091",0.00814500562154104,0.999983475016854,1,2,"jasmonic acid hydrolase","MF"
"23","GO:0010295",0.00847406217020505,0.999982109849388,1,2,"(+)-abscisic acid 8'-hydroxylase activity","MF"
"24","GO:0046912",0.00962520910303962,0.999969224275119,1,3,"transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer","MF"
"25","GO:0080044",0.0113619641008315,0.998777684101772,3,82,"quercetin 7-O-glucosyltransferase activity","MF"
"26","GO:0004553",0.0113776835909425,0.998163989792451,4,206,"hydrolase activity, hydrolyzing O-glycosyl compounds","MF"
"27","GO:0004112",0.0130777949726705,0.999957291396914,1,2,"cyclic-nucleotide phosphodiesterase activity","MF"
"28","GO:0080043",0.0134735594286143,0.998454561126602,3,87,"quercetin 3-O-glucosyltransferase activity","MF"
"29","GO:0004451",0.0135225339198133,0.999939148881316,1,3,"isocitrate lyase activity","MF"
"30","GO:0016762",0.0137562745952189,0.999252799078106,2,30,"xyloglucan:xyloglucosyl transferase activity","MF"
"31","GO:0019137",0.0138321373072614,0.999928389765199,1,4,"thioglucosidase activity","MF"
"32","GO:0004113",0.0153460485095838,0.999921566070566,1,3,"2',3'-cyclic-nucleotide 3'-phosphodiesterase activity","MF"
"33","GO:0004506",0.0176540791094614,0.999875407934739,1,5,"squalene monooxygenase activity","MF"
"34","GO:0004351",0.0209419397045487,0.999817171666288,1,6,"glutamate decarboxylase activity","MF"
"35","GO:0004072",0.0214119917679355,0.999803408651596,1,7,"aspartate kinase activity","MF"
"36","GO:0016798",0.0220848186023077,0.998435228578846,2,44,"hydrolase activity, acting on glycosyl bonds","MF"
"37","GO:0050362",0.0227202112261616,0.999784651550874,1,6,"L-tryptophan:2-oxoglutarate aminotransferase activity","MF"
"38","GO:0030247",0.0229326773662211,0.998336585328201,2,49,"polysaccharide binding","MF"
"39","GO:0047274",0.0235228166866987,0.999762542221667,1,7,"galactinol-sucrose galactosyltransferase activity","MF"
"40","GO:0051213",0.0255786966561533,0.996247185967128,3,122,"dioxygenase activity","MF"
"41","GO:0008194",0.0260088658314899,0.996160264855274,3,121,"UDP-glycosyltransferase activity","MF"
"42","GO:0004838",0.0288090643439613,0.999643085927288,1,7,"L-tyrosine:2-oxoglutarate aminotransferase activity","MF"
"43","GO:0015105",0.0298042132050047,0.999628378794605,1,6,"arsenite transmembrane transporter activity","MF"
"44","GO:0003883",0.0306362275988116,0.999576081722566,1,10,"CTP synthase activity","MF"
"45","GO:0015145",0.0310253329435441,0.999577147892088,1,8,"monosaccharide transmembrane transporter activity","MF"
"46","GO:0080061",0.0328595407104309,0.999534929921154,1,7,"indole-3-acetonitrile nitrilase activity","MF"
"47","GO:0080109",0.0328595407104309,0.999534929921154,1,7,"indole-3-acetonitrile nitrile hydratase activity","MF"
"48","GO:0000257",0.0363011001690065,0.999419928369149,1,8,"nitrilase activity","MF"
"49","GO:0004712",0.0378603383191765,0.996360510467148,2,87,"protein serine/threonine/tyrosine kinase activity","MF"
"50","GO:0045735",0.0399592470928026,0.996084501941156,2,54,"nutrient reservoir activity","MF"
"51","GO:0016462",0.0418884221562039,0.999213813718797,1,9,"pyrophosphatase activity","MF"
"52","GO:0016810",0.0482405658501583,0.998931340144673,1,11,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","MF"
"53","GO:0005089",0.0486801285936383,0.998895108513754,1,13,"Rho guanyl-nucleotide exchange factor activity","MF"
"54","GO:0004526",0.0524810159817467,0.998745633084485,1,10,"ribonuclease P activity","MF"
"55","GO:0042802",0.0535604845552958,0.989469199954437,3,202,"identical protein binding","MF"
"56","GO:0004427",0.0565354411529651,0.998496619494091,1,14,"inorganic diphosphatase activity","MF"
"57","GO:0052793",0.0573924901478608,0.99842954892905,1,17,"pectin acetylesterase activity","MF"
"58","GO:0004084",0.0661536255434537,0.997914687783032,1,16,"branched-chain-amino-acid transaminase activity","MF"
"59","GO:0004867",0.0696510747059599,0.997753939013801,1,11,"serine-type endopeptidase inhibitor activity","MF"
"60","GO:0052689",0.0698597646778194,0.990594021908014,2,89,"carboxylic ester hydrolase activity","MF"
"61","GO:0030570",0.0795534658049832,0.996929777122068,1,20,"pectate lyase activity","MF"
"62","GO:0009815",0.0857643517875677,0.996484369844728,1,15,"1-aminocyclopropane-1-carboxylate oxidase activity","MF"
"63","GO:0030170",0.0877348401299407,0.986515051445958,2,121,"pyridoxal phosphate binding","MF"
"64","GO:0016759",0.0928881596579642,0.995721805147081,1,30,"cellulose synthase activity","MF"
"65","GO:0044212",0.0972747368618326,0.969243365272066,4,346,"transcription regulatory region DNA binding","MF"
"66","GO:0008171",0.101206076606355,0.99500384914762,1,19,"O-methyltransferase activity","MF"
"67","GO:0008061",0.102044387079702,0.994919119860353,1,19,"chitin binding","MF"
"68","GO:0043565",0.115152005744036,0.947427299195601,7,838,"sequence-specific DNA binding","MF"
"69","GO:0047372",0.115535447889724,0.993359115228442,1,26,"acylglycerol lipase activity","MF"
"70","GO:0015267",0.118446940747889,0.993061273734457,1,22,"channel activity","MF"
"71","GO:0004620",0.121459800223346,0.992614905723786,1,29,"phospholipase activity","MF"
"72","GO:0005381",0.123187849359765,0.992417555979732,1,27,"iron ion transmembrane transporter activity","MF"
"73","GO:0000156",0.133559081812314,0.990992019928447,1,33,"phosphorelay response regulator activity","MF"
"74","GO:0102483",0.136447877742509,0.990538742683827,1,40,"scopolin beta-glucosidase activity","MF"
"75","GO:0008017",0.136684494960802,0.972749341805475,2,182,"microtubule binding","MF"
"76","GO:0005215",0.139309459583433,0.959128983245061,3,321,"transporter activity","MF"
"77","GO:0043424",0.142030893254164,0.98976262983192,1,35,"protein histidine kinase binding","MF"
"78","GO:0003680",0.150660487218674,0.988462118263162,1,33,"AT DNA binding","MF"
"79","GO:0005385",0.154264940340968,0.987856740608743,1,36,"zinc ion transmembrane transporter activity","MF"
"80","GO:0080030",0.181004059218804,0.983107008767327,1,36,"methyl indole-3-acetate esterase activity","MF"
"81","GO:0004857",0.183377060180012,0.982687075983078,1,33,"enzyme inhibitor activity","MF"
"82","GO:0015250",0.195734583817539,0.98008921305907,1,39,"water channel activity","MF"
"83","GO:0008422",0.196226570936727,0.979808569339073,1,61,"beta-glucosidase activity","MF"
"84","GO:0008483",0.196293269411804,0.9798790790436,1,48,"transaminase activity","MF"
"85","GO:0015238",0.198132612280978,0.979433691018007,1,55,"drug transmembrane transporter activity","MF"
"86","GO:0003700",0.216099048093378,0.867273942301807,11,1717,"DNA-binding transcription factor activity","MF"
"87","GO:0030145",0.217676462155242,0.975101029944725,1,43,"manganese ion binding","MF"
"88","GO:0016757",0.218035222704049,0.907494457557754,4,555,"transferase activity, transferring glycosyl groups","MF"
"89","GO:0008757",0.230306956116051,0.9718987608685,1,50,"S-adenosylmethionine-dependent methyltransferase activity","MF"
"90","GO:0042803",0.238579490635581,0.933077113882899,2,208,"protein homodimerization activity","MF"
"91","GO:0019825",0.246941417719169,0.929222327090461,2,193,"oxygen binding","MF"
"92","GO:0004197",0.247736631385515,0.96707767832649,1,70,"cysteine-type endopeptidase activity","MF"
"93","GO:0003777",0.250417049011264,0.966211333894824,1,94,"microtubule motor activity","MF"
"94","GO:0016706",0.250974736964487,0.966287663222012,1,55,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors","MF"
"95","GO:0003779",0.290661810272148,0.953753691974839,1,85,"actin binding","MF"
"96","GO:0004252",0.303131618642658,0.949385606187492,1,93,"serine-type endopeptidase activity","MF"
"97","GO:0050660",0.307486574588643,0.947823055886589,1,93,"flavin adenine dinucleotide binding","MF"
"98","GO:0005506",0.328645544790154,0.886153846480271,2,245,"iron ion binding","MF"
"99","GO:0015144",0.336511175453434,0.936626245769698,1,108,"carbohydrate transmembrane transporter activity","MF"
"100","GO:0005351",0.344285124643143,0.933420197279337,1,111,"carbohydrate:proton symporter activity","MF"
"101","GO:0016829",0.344361744270231,0.933503385362018,1,91,"lyase activity","MF"
"102","GO:0016874",0.360664946620748,0.92645095385528,1,101,"ligase activity","MF"
"103","GO:0019901",0.364448974914274,0.924763956406247,1,102,"protein kinase binding","MF"
"104","GO:0043531",0.38450640149675,0.915294341384438,1,138,"ADP binding","MF"
"105","GO:0004674",0.390657230302255,0.788572112231098,4,850,"protein serine/threonine kinase activity","MF"
"106","GO:0016788",0.397520556120094,0.909156200938606,1,96,"hydrolase activity, acting on ester bonds","MF"
"107","GO:0046983",0.397986648088199,0.842363294373823,2,299,"protein dimerization activity","MF"
"108","GO:0000287",0.3982137947684,0.908608134594003,1,128,"magnesium ion binding","MF"
"109","GO:0005516",0.420287629210433,0.826757800525496,2,362,"calmodulin binding","MF"
"110","GO:0015297",0.434497835918307,0.889254165022877,1,134,"antiporter activity","MF"
"111","GO:0004497",0.464760020558025,0.87137120371091,1,134,"monooxygenase activity","MF"
"112","GO:0016709",0.468815602901241,0.86892511430459,1,122,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen","MF"
"113","GO:0008233",0.492550152062706,0.853403346969846,1,142,"peptidase activity","MF"
"114","GO:0016301",0.543675267844993,0.635405793352622,5,1234,"kinase activity","MF"
"115","GO:0009055",0.558815494750532,0.804345244575072,1,147,"electron transfer activity","MF"
"116","GO:0008289",0.585492303991125,0.781662963819282,1,184,"lipid binding","MF"
"117","GO:0016491",0.626096556330924,0.646471018096442,2,445,"oxidoreductase activity","MF"
"118","GO:0003924",0.630462702155579,0.739662800065122,1,219,"GTPase activity","MF"
"119","GO:0016887",0.660457955971846,0.708470894402151,1,310,"ATPase activity","MF"
"120","GO:0022857",0.675106325863475,0.69252213493102,1,264,"transmembrane transporter activity","MF"
"121","GO:0004672",0.681573454248078,0.584478813042172,2,634,"protein kinase activity","MF"
"122","GO:0005507",0.739421435715512,0.613706524721631,1,272,"copper ion binding","MF"
"123","GO:0005509",0.752430199219336,0.59585021797485,1,305,"calcium ion binding","MF"
"124","GO:0005525",0.767618729818306,0.574194045103748,1,323,"GTP binding","MF"
"125","GO:0003677",0.815099039058588,0.299758695553568,7,1973,"DNA binding","MF"
"126","GO:0003824",0.83462566640783,0.465750353691565,1,381,"catalytic activity","MF"
"127","GO:0005524",0.848317088684066,0.254540061824533,7,2551,"ATP binding","MF"
"128","GO:0016740",0.86363857281173,0.410850382732852,1,388,"transferase activity","MF"
"129","GO:0005515",0.950841820799694,0.084272410194371,13,4307,"protein binding","MF"
"130","GO:0008270",0.968094999409396,0.104404560305505,2,1106,"zinc ion binding","MF"
"131","GO:0003674",0.999799805770948,0.00053357886816185,12,4697,"molecular_function","MF"
"132","GO:0000009",1,0.993651322116977,0,2,"alpha-1,6-mannosyltransferase activity","MF"
"133","GO:0000014",1,0.957512647715663,0,11,"single-stranded DNA endodeoxyribonuclease activity","MF"
"134","GO:0000026",1,0.996684809255156,0,1,"alpha-1,2-mannosyltransferase activity","MF"
"135","GO:0000030",1,0.968685554406075,0,9,"mannosyltransferase activity","MF"
"136","GO:0000033",1,0.996260365100508,0,1,"alpha-1,3-mannosyltransferase activity","MF"
"137","GO:0000035",1,0.977063759038203,0,4,"acyl binding","MF"
"138","GO:0000036",1,0.923805009353318,0,15,"acyl carrier activity","MF"
"139","GO:0000048",1,0.97984773685735,0,5,"peptidyltransferase activity","MF"
"140","GO:0000049",1,0.910598554324729,0,26,"tRNA binding","MF"
"141","GO:0000062",1,0.951594394268671,0,10,"fatty-acyl-CoA binding","MF"
"142","GO:0000064",1,0.979324131310685,0,4,"L-ornithine transmembrane transporter activity","MF"
"143","GO:0000095",1,0.967030996018651,0,8,"S-adenosyl-L-methionine transmembrane transporter activity","MF"
"144","GO:0000104",1,0.957045739545582,0,9,"succinate dehydrogenase activity","MF"
"145","GO:0000107",1,0.996887056388006,0,1,"imidazoleglycerol-phosphate synthase activity","MF"
"146","GO:0000121",1,0.994278505791784,0,1,"glycerol-1-phosphatase activity","MF"
"147","GO:0000140",1,0.987058946100722,0,2,"acylglycerone-phosphate reductase activity","MF"
"148","GO:0000146",1,0.995322379026979,0,2,"microfilament motor activity","MF"
"149","GO:0000149",1,0.660670856062273,0,85,"SNARE binding","MF"
"150","GO:0000150",1,0.983791644245104,0,4,"recombinase activity","MF"
"151","GO:0000155",1,0.93084324223263,0,23,"phosphorelay sensor kinase activity","MF"
"152","GO:0000166",1,0.381471924154328,0,245,"nucleotide binding","MF"
"153","GO:0000170",1,0.97789760077112,0,5,"sphingosine hydroxylase activity","MF"
"154","GO:0000171",1,0.989378225104033,0,2,"ribonuclease MRP activity","MF"
"155","GO:0000175",1,0.894516127105884,0,26,"3'-5'-exoribonuclease activity","MF"
"156","GO:0000179",1,0.976355556045716,0,4,"rRNA (adenine-N6,N6-)-dimethyltransferase activity","MF"
"157","GO:0000182",1,0.995814528574131,0,1,"rDNA binding","MF"
"158","GO:0000210",1,0.925132094031005,0,15,"NAD+ diphosphatase activity","MF"
"159","GO:0000213",1,0.966567326713555,0,6,"tRNA-intron endonuclease activity","MF"
"160","GO:0000215",1,0.988779026959958,0,2,"tRNA 2'-phosphotransferase activity","MF"
"161","GO:0000224",1,0.996882617361566,0,1,"peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity","MF"
"162","GO:0000225",1,0.978052987226667,0,5,"N-acetylglucosaminylphosphatidylinositol deacetylase activity","MF"
"163","GO:0000234",1,0.986156747325228,0,4,"phosphoethanolamine N-methyltransferase activity","MF"
"164","GO:0000247",1,0.993470870572244,0,1,"C-8 sterol isomerase activity","MF"
"165","GO:0000248",1,0.988268566260285,0,2,"C-5 sterol desaturase activity","MF"
"166","GO:0000249",1,0.983608737215219,0,3,"C-22 sterol desaturase activity","MF"
"167","GO:0000250",1,0.99708630786911,0,1,"lanosterol synthase activity","MF"
"168","GO:0000254",1,0.977420705705191,0,5,"C-4 methylsterol oxidase activity","MF"
"169","GO:0000285",1,0.978669711895071,0,10,"1-phosphatidylinositol-3-phosphate 5-kinase activity","MF"
"170","GO:0000293",1,0.963284945555741,0,11,"ferric-chelate reductase activity","MF"
"171","GO:0000309",1,0.971269060544157,0,7,"nicotinamide-nucleotide adenylyltransferase activity","MF"
"172","GO:0000339",1,0.957146694418806,0,8,"RNA cap binding","MF"
"173","GO:0000340",1,0.957330060587362,0,8,"RNA 7-methylguanosine cap binding","MF"
"174","GO:0000384",1,0.988556091456047,0,2,"first spliceosomal transesterification activity","MF"
"175","GO:0000386",1,0.983274770041364,0,5,"second spliceosomal transesterification activity","MF"
"176","GO:0000400",1,0.954480469793451,0,11,"four-way junction DNA binding","MF"
"177","GO:0000403",1,0.995244610786719,0,1,"Y-form DNA binding","MF"
"178","GO:0000406",1,0.995244610786719,0,1,"double-strand/single-strand DNA junction binding","MF"
"179","GO:0000701",1,0.996582302623323,0,1,"purine-specific mismatch base pair DNA N-glycosylase activity","MF"
"180","GO:0000703",1,0.985413094032331,0,4,"oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity","MF"
"181","GO:0000773",1,0.986955098700354,0,2,"phosphatidyl-N-methylethanolamine N-methyltransferase activity","MF"
"182","GO:0000774",1,0.952463510782755,0,9,"adenyl-nucleotide exchange factor activity","MF"
"183","GO:0000822",1,0.990833613339819,0,3,"inositol hexakisphosphate binding","MF"
"184","GO:0000823",1,0.971503541274316,0,5,"inositol-1,4,5-trisphosphate 6-kinase activity","MF"
"185","GO:0000824",1,0.971503541274316,0,5,"inositol tetrakisphosphate 3-kinase activity","MF"
"186","GO:0000828",1,0.992571660533094,0,3,"inositol hexakisphosphate kinase activity","MF"
"187","GO:0000829",1,0.992571660533094,0,3,"inositol heptakisphosphate kinase activity","MF"
"188","GO:0000832",1,0.997354698425613,0,1,"inositol hexakisphosphate 5-kinase activity","MF"
"189","GO:0000900",1,0.993690167437294,0,2,"translation repressor activity, mRNA regulatory element binding","MF"
"190","GO:0000906",1,0.994524016136963,0,1,"6,7-dimethyl-8-ribityllumazine synthase activity","MF"
"191","GO:0000976",1,0.85593500889554,0,43,"transcription regulatory region sequence-specific DNA binding","MF"
"192","GO:0000977",1,0.708760319369222,0,83,"RNA polymerase II regulatory region sequence-specific DNA binding","MF"
"193","GO:0000978",1,0.786359857405117,0,47,"RNA polymerase II proximal promoter sequence-specific DNA binding","MF"
"194","GO:0000979",1,0.959516802483606,0,9,"RNA polymerase II core promoter sequence-specific DNA binding","MF"
"195","GO:0000980",1,0.99087924479709,0,2,"RNA polymerase II distal enhancer sequence-specific DNA binding","MF"
"196","GO:0000981",1,0.910168005381893,0,22,"DNA-binding transcription factor activity, RNA polymerase II-specific","MF"
"197","GO:0000987",1,0.940407443859012,0,12,"proximal promoter sequence-specific DNA binding","MF"
"198","GO:0000993",1,0.908000015807438,0,22,"RNA polymerase II complex binding","MF"
"199","GO:0000995",1,0.976393785166241,0,8,"RNA polymerase III general transcription initiation factor activity","MF"
"200","GO:0001002",1,0.990884003213466,0,3,"RNA polymerase III type 1 promoter sequence-specific DNA binding","MF"
"201","GO:0001003",1,0.990884003213466,0,3,"RNA polymerase III type 2 promoter sequence-specific DNA binding","MF"
"202","GO:0001004",1,0.988186939123029,0,4,"RNA polymerase III transcription regulator recruiting activity","MF"
"203","GO:0001006",1,0.981785315742715,0,5,"RNA polymerase III type 3 promoter sequence-specific DNA binding","MF"
"204","GO:0001012",1,0.994371662184224,0,2,"RNA polymerase II regulatory region DNA binding","MF"
"205","GO:0001042",1,0.99684542741132,0,1,"RNA polymerase I core binding","MF"
"206","GO:0001046",1,0.995780780678905,0,1,"core promoter sequence-specific DNA binding","MF"
"207","GO:0001054",1,0.898068508521603,0,20,"RNA polymerase I activity","MF"
"208","GO:0001055",1,0.919325266194574,0,16,"RNA polymerase II activity","MF"
"209","GO:0001056",1,0.843164564764924,0,33,"RNA polymerase III activity","MF"
"210","GO:0001085",1,0.987319460536212,0,4,"RNA polymerase II transcription factor binding","MF"
"211","GO:0001093",1,0.993982535761719,0,1,"TFIIB-class transcription factor binding","MF"
"212","GO:0001097",1,0.980279527990514,0,5,"TFIIH-class transcription factor complex binding","MF"
"213","GO:0001102",1,0.972908497215458,0,9,"RNA polymerase II activating transcription factor binding","MF"
"214","GO:0001139",1,0.986123488349942,0,3,"RNA polymerase II complex recruiting activity","MF"
"215","GO:0001158",1,0.983539517558399,0,3,"enhancer sequence-specific DNA binding","MF"
"216","GO:0001162",1,0.996352942007444,0,1,"RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding","MF"
"217","GO:0001164",1,0.995836734309109,0,1,"RNA polymerase I CORE element sequence-specific DNA binding","MF"
"218","GO:0001181",1,0.99684542741132,0,1,"RNA polymerase I general transcription initiation factor activity","MF"
"219","GO:0001216",1,0.984650336433556,0,3,"bacterial-type RNA polymerase transcriptional activator activity, sequence-specific DNA binding","MF"
"220","GO:0001227",1,0.983822375786915,0,3,"DNA-binding transcription repressor activity, RNA polymerase II-specific","MF"
"221","GO:0001228",1,0.762815859801378,0,62,"DNA-binding transcription activator activity, RNA polymerase II-specific","MF"
"222","GO:0001530",1,0.977519662686284,0,6,"lipopolysaccharide binding","MF"
