category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,Annotation,ontology
ARA:PWY-5807,0.012005812201580373,0.9999492904296446,1,5,heptaprenyl diphosphate biosynthesis,BioCyc
ARA:PWY-2582,0.016460374848536682,0.9998955805423511,1,8,brassinosteroid biosynthesis II,BioCyc
ARA:PWY-282,0.02055165049041412,0.9998369371622209,1,8,cuticular wax biosynthesis,BioCyc
ARA:PWY-5791,0.021783542785302163,0.9998138181051881,1,9,"1,4-dihydroxy-2-naphthoate biosynthesis II (plants)",BioCyc
ARA:PWY-5837,0.021783542785302163,0.9998138181051881,1,9,"1,4-dihydroxy-2-naphthoate biosynthesis",BioCyc
ARA:PWY-6544,0.021880785820133267,0.9998079071156725,1,11,superpathway of C28 brassinosteroid biosynthesis,BioCyc
ARA:PWY-699,0.021880785820133267,0.9998079071156725,1,11,brassinosteroid biosynthesis I,BioCyc
ARA:PWY-5136,0.027897138892072876,0.9996803231338035,1,14,fatty acid &beta;-oxidation II (peroxisome),BioCyc
ARA:PWY-7204,0.03386106910909731,0.9995233902062282,1,16,pyridoxal 5'-phosphate salvage II (plants),BioCyc
ARA:CHLOROPHYLL-SYN,0.0464810804624402,0.9990811283870767,1,22,"3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)",BioCyc
ARA:PWY-5884,0.0583982741397824,0.9985424995036066,1,22,wax esters biosynthesis I,BioCyc
ARA:PWY-6733,0.08977178077329681,0.9964408698080989,1,39,sporopollenin precursors biosynthesis,BioCyc
ARA:PWY-6842,0.1996605720361739,0.9813446217039805,1,71,glutathione-mediated detoxification II,BioCyc
ARA:PHOTOALL-PWY,0.9999999999999993,0.7838657670831785,0,85,oxygenic photosynthesis,BioCyc
ARA:PWY-5083,0.9999999999999996,0.8000366126620164,0,70,NAD/NADH phosphorylation and dephosphorylation,BioCyc
ARA:ALACAT2-PWY,1,0.9757600346700752,0,12,L-alanine degradation II (to D-lactate),BioCyc
ARA:ALANINE-DEG3-PWY,1,0.9832134691505794,0,8,L-alanine degradation III,BioCyc
ARA:ALANINE-SYN2-PWY,1,0.9832134691505794,0,8,L-alanine biosynthesis II,BioCyc
ARA:ARG-PRO-PWY,1,0.9918477456265847,0,4,L-arginine degradation VI (arginase 2 pathway),BioCyc
ARA:ARGASEDEG-PWY,1,0.9943722275746832,0,3,L-arginine degradation I (arginase pathway),BioCyc
ARA:ARGDEG-V-PWY,1,0.994494632972941,0,3,L-arginine degradation X (arginine monooxygenase pathway),BioCyc
ARA:ARGININE-SYN4-PWY,1,0.9889257641626128,0,6,L-ornithine biosynthesis II,BioCyc
ARA:ARGSPECAT-PWY,1,0.9740285373532428,0,11,spermine biosynthesis,BioCyc
ARA:ARGSYN-PWY,1,0.9656528970789224,0,16,L-arginine biosynthesis I (via L-ornithine),BioCyc
