"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0015250",9.23733438849132e-07,0.999999988601767,4,39,"water channel activity","MF"
"2","GO:0015229",0.00147111383405715,1,1,1,"L-ascorbic acid transmembrane transporter activity","MF"
"3","GO:0008935",0.00148559465463702,1,1,1,"1,4-dihydroxy-2-naphthoyl-CoA synthase activity","MF"
"4","GO:0048529",0.00174809090741166,1,1,1,"magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase activity","MF"
"5","GO:0050267",0.00201405078422946,1,1,1,"rubber cis-polyprenylcistransferase activity","MF"
"6","GO:0010012",0.00294020264191714,0.99999787725915,1,2,"steroid 22-alpha hydroxylase activity","MF"
"7","GO:0015200",0.00472304154575499,0.999994517461242,1,2,"methylammonium transmembrane transporter activity","MF"
"8","GO:0008289",0.00780305435396917,0.999274986197908,3,184,"lipid binding","MF"
"9","GO:0015204",0.00828896249172944,0.999974641945806,1,4,"urea transmembrane transporter activity","MF"
"10","GO:0042907",0.00959208025580916,0.999962258243639,1,6,"xanthine transmembrane transporter activity","MF"
"11","GO:0080019",0.0115327547829707,0.999942678544929,1,8,"fatty-acyl-CoA reductase (alcohol-forming) activity","MF"
"12","GO:0102965",0.0115327547829707,0.999942678544929,1,8,"alcohol-forming fatty acyl-CoA reductase activity","MF"
"13","GO:0016987",0.0121376436879786,0.999936493073426,1,8,"sigma factor activity","MF"
"14","GO:0002094",0.0124185363032862,0.999936667352886,1,6,"polyprenyltransferase activity","MF"
"15","GO:0045547",0.0124584141416994,0.99993625894167,1,6,"dehydrodolichyl diphosphate synthase activity","MF"
"16","GO:0008519",0.0125606673839761,0.999933361223295,1,7,"ammonium transmembrane transporter activity","MF"
"17","GO:0005274",0.0127132777995058,0.999930311072489,1,8,"allantoin:proton symporter activity","MF"
"18","GO:0015505",0.0127132777995058,0.999930311072489,1,8,"uracil:cation symporter activity","MF"
"19","GO:0003988",0.013168937173745,0.999924030588628,1,9,"acetyl-CoA C-acyltransferase activity","MF"
"20","GO:0015210",0.0198786634478368,0.99981981706775,1,13,"uracil transmembrane transporter activity","MF"
"21","GO:0016627",0.0232574341662147,0.999751591646459,1,14,"oxidoreductase activity, acting on the CH-CH group of donors","MF"
"22","GO:0052716",0.026453614017983,0.999672791124742,1,18,"hydroquinone:oxygen oxidoreductase activity","MF"
