category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,Annotation,ontology
ARA:PWY-1081,0.003414372308552756,0.999923588478149,2,38,homogalacturonan degradation,BioCyc
ARA:PWY0-1313,0.019420253322685217,0.9998479760907931,1,10,acetate conversion to acetyl-CoA,BioCyc
ARA:PWY-2902,0.020039665057835394,0.9998425505951342,1,8,cytokinin-O-glucosides biosynthesis,BioCyc
ARA:PWY-5267,0.021939430027217745,0.9998081553487794,1,9,glucosinolate activation,BioCyc
ARA:PWY-4321,0.025843493288440572,0.999725110368005,1,12,L-glutamate degradation IV,BioCyc
ARA:PWY-6902,0.046270358816387046,0.9990954919753304,1,15,chitin degradation II (Vibrio),BioCyc
ARA:MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS,0.05885559293102371,0.9984878338276975,1,25,"protein N-glycosylation (eukaryotic, high mannose)",BioCyc
ARA:PWY66-21,0.06809662277318661,0.9979463002553247,1,34,ethanol degradation II,BioCyc
ARA:PWY-6842,0.20132255471802027,0.9807375216525595,1,71,glutathione-mediated detoxification II,BioCyc
ARA:ALACAT2-PWY,1,0.9735889991105452,0,12,L-alanine degradation II (to D-lactate),BioCyc
ARA:ALANINE-DEG3-PWY,1,0.9829351932962324,0,8,L-alanine degradation III,BioCyc
ARA:ALANINE-SYN2-PWY,1,0.9829351932962324,0,8,L-alanine biosynthesis II,BioCyc
ARA:ARG-PRO-PWY,1,0.9898689606247759,0,4,L-arginine degradation VI (arginase 2 pathway),BioCyc
ARA:ARGASEDEG-PWY,1,0.9935609786956381,0,3,L-arginine degradation I (arginase pathway),BioCyc
ARA:ARGDEG-V-PWY,1,0.9938380449789512,0,3,L-arginine degradation X (arginine monooxygenase pathway),BioCyc
ARA:ARGININE-SYN4-PWY,1,0.98674048858044,0,6,L-ornithine biosynthesis II,BioCyc
ARA:ARGSPECAT-PWY,1,0.9715880776977789,0,11,spermine biosynthesis,BioCyc
ARA:ARGSYN-PWY,1,0.962743516440678,0,16,L-arginine biosynthesis I (via L-ornithine),BioCyc
ARA:ARGSYNBSUB-PWY,1,0.9650573991264931,0,15,L-arginine biosynthesis II (acetyl cycle),BioCyc
ARA:ASPARAGINE-BIOSYNTHESIS,1,0.9885550489542697,0,6,L-asparagine biosynthesis I,BioCyc
ARA:ASPARAGINE-DEG1-PWY,1,0.9838044598431703,0,6,L-asparagine degradation I,BioCyc
ARA:ASPARAGINESYN-PWY,1,0.9885550489542697,0,6,L-asparagine biosynthesis II,BioCyc
ARA:ASPARTATE-DEG1-PWY,1,0.9721621033775733,0,14,L-aspartate degradation I,BioCyc
ARA:ASPARTATESYN-PWY,1,0.9721621033775733,0,14,L-aspartate biosynthesis,BioCyc
ARA:ASPASN-ARA-PWY,1,0.9453685760843817,0,26,superpathway of aspartate and asparagine biosynthesis,BioCyc
ARA:ASPSYNII-PWY,1,0.9768091220524588,0,10,cyanide detoxification I,BioCyc
ARA:BRANCHED-CHAIN-AA-SYN-PWY,1,0.9213936221389875,0,37,superpathway of branched chain amino acid biosynthesis,BioCyc
ARA:BSUBPOLYAMSYN-PWY,1,0.9692650141781165,0,12,spermidine biosynthesis I,BioCyc
ARA:CALVIN-PWY,1,0.9032030248529844,0,39,Calvin-Benson-Bassham cycle,BioCyc
ARA:CAMALEXIN-SYN,1,0.9270233439774241,0,29,camalexin biosynthesis,BioCyc
ARA:CHLOROPHYLL-SYN,1,0.9459240772087212,0,22,"3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)",BioCyc
ARA:CITRULBIO-PWY,1,0.926295894206232,0,35,L-citrulline biosynthesis,BioCyc
ARA:CITRULLINE-DEG-PWY,1,0.9973914266369556,0,1,L-citrulline degradation,BioCyc
ARA:COA-PWY,1,0.9744250412024542,0,9,coenzyme A biosynthesis I,BioCyc
ARA:COMPLETE-ARO-ARA-PWY,1,0.9136661189640917,0,38,"superpathway of phenylalanine, tyrosine and tryptophan biosynthesis",BioCyc
ARA:CYANCAT-PWY,1,0.9914312847184138,0,3,cyanate degradation,BioCyc
ARA:CYSTSYN-PWY,1,0.940166786803735,0,25,L-cysteine biosynthesis I,BioCyc
ARA:DETOX1-PWY,1,0.9521530785251076,0,21,superoxide radicals degradation,BioCyc
ARA:DETOX1-PWY-1,1,0.9316241859581887,0,28,reactive oxygen species degradation,BioCyc
ARA:ETHYL-PWY,1,0.9265322988015511,0,31,ethylene biosynthesis I (plants),BioCyc
ARA:ETOH-ACETYLCOA-ANA-PWY,1,0.9732021548257932,0,12,ethanol degradation I,BioCyc
ARA:FASYN-ELONG-PWY,1,0.9592558537034447,0,15,fatty acid elongation -- saturated,BioCyc
ARA:GLNSYN-PWY,1,0.9778981673295605,0,10,L-glutamine biosynthesis I,BioCyc
ARA:GLUCONEO-PWY,1,0.8709617828420055,0,60,gluconeogenesis I,BioCyc
ARA:GLUCOSE1PMETAB-PWY,1,0.9600356995387581,0,21,glucose and glucose-1-phosphate degradation,BioCyc
ARA:GLUGLNSYN-PWY,1,0.9946464485638249,0,3,L-glutamate biosynthesis IV,BioCyc
ARA:GLUT-REDOX-PWY,1,0.992503758138451,0,4,glutathione-glutaredoxin redox reactions,BioCyc
ARA:GLUTAMATE-DEG1-PWY,1,0.9905096392638806,0,4,L-glutamate degradation I,BioCyc
ARA:GLUTAMATE-SYN2-PWY,1,0.9905096392638806,0,4,L-glutamate biosynthesis II,BioCyc
ARA:GLUTAMINDEG-PWY,1,0.9407640264041324,0,28,L-glutamine degradation I,BioCyc
ARA:GLUTATHIONESYN-PWY,1,0.9942571535755886,0,3,glutathione biosynthesis,BioCyc
ARA:GLUTORN-PWY,1,0.9733799672314972,0,11,L-ornithine biosynthesis I,BioCyc
ARA:GLUTSYNIII-PWY,1,0.9868194646724342,0,6,L-glutamate biosynthesis III,BioCyc
ARA:GLYCLEAV-PWY,1,0.9598461345731549,0,17,glycine cleavage,BioCyc
ARA:GLYCOLYSIS,1,0.8782231983702122,0,57,glycolysis I (from glucose 6-phosphate),BioCyc
ARA:GLYOXDEG-PWY,1,0.9960497812144032,0,2,glycolate and glyoxylate degradation II,BioCyc
ARA:GLYOXYLATE-BYPASS,1,0.9623213901692158,0,17,glyoxylate cycle,BioCyc
ARA:GLYSYN-ALA-PWY,1,0.9746398446492137,0,12,glycine biosynthesis III,BioCyc
ARA:GLYSYN-PWY,1,0.9763841587966514,0,11,glycine biosynthesis I,BioCyc
ARA:GLYSYN2-PWY,1,0.9578310034996443,0,20,glycine biosynthesis,BioCyc
ARA:HEME-BIOSYNTHESIS-II,1,0.9692317161183469,0,14,heme biosynthesis I (aerobic),BioCyc
ARA:HEXPPSYN-PWY,1,0.9952809517036838,0,2,hexaprenyl diphosphate biosynthesis,BioCyc
ARA:HISTSYN-PWY,1,0.9638230639988368,0,16,L-histidine biosynthesis,BioCyc
ARA:HOMOCYSDEGR-PWY,1,0.9976452257120323,0,1,L-cysteine biosynthesis III (from L-homocysteine),BioCyc
ARA:HOMOSER-THRESYN-PWY,1,0.9878835496152228,0,4,L-threonine biosynthesis,BioCyc
ARA:HOMOSERSYN-PWY,1,0.9808505265468053,0,10,L-homoserine biosynthesis,BioCyc
ARA:ILE-VAL-PWY,1,0.9623571026079759,0,19,superpathway of isoleucine and valine biosynthesis,BioCyc
ARA:ILEUDEG-PWY,1,0.9550261663373228,0,20,L-isoleucine degradation I,BioCyc
ARA:ILEUSYN-PWY,1,0.9753734312013773,0,12,L-isoleucine biosynthesis I (from threonine),BioCyc
