"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0042807",4.430321904128e-06,0.999999997351862,2,5,"central vacuole","CC"
"2","GO:0009705",3.93808379171573e-05,0.999999477468105,3,139,"plant-type vacuole membrane","CC"
"3","GO:0005576",8.57818883365046e-05,0.999992549053757,7,2180,"extracellular region","CC"
"4","GO:0009505",0.000768501884329199,0.999971600367597,3,347,"plant-type cell wall","CC"
"5","GO:0016021",0.00239694063980579,0.999599407046313,8,5100,"integral component of membrane","CC"
"6","GO:0016020",0.00336988363940582,0.999571281298531,5,2107,"membrane","CC"
"7","GO:0000326",0.00526892468391278,0.999988460471076,1,9,"protein storage vacuole","CC"
"8","GO:0005773",0.00751597721741601,0.999374500264656,3,801,"vacuole","CC"
"9","GO:0005795",0.015062742362582,0.999896861256821,1,32,"Golgi stack","CC"
"10","GO:0009506",0.0219257524059262,0.99727780406716,3,1214,"plasmodesma","CC"
"11","GO:0030173",0.0254910565585882,0.999700177842763,1,49,"integral component of Golgi membrane","CC"
"12","GO:0005618",0.0372741264753706,0.996708231776329,2,560,"cell wall","CC"
"13","GO:0005774",0.046164326765077,0.99541558841299,2,669,"vacuolar membrane","CC"
"14","GO:0005615",0.0840653934918852,0.996622816934511,1,139,"extracellular space","CC"
"15","GO:0005794",0.149652009190048,0.970809594611125,2,1363,"Golgi apparatus","CC"
"16","GO:0005802",0.180378198369047,0.983776909830133,1,421,"trans-Golgi network","CC"
"17","GO:0005768",0.182475084564439,0.98338378098661,1,416,"endosome","CC"
"18","GO:0009941",0.307009420525145,0.950334811101935,1,683,"chloroplast envelope","CC"
"19","GO:0005737",0.587582335958792,0.662451300574309,3,5641,"cytoplasm","CC"
"20","GO:0005886",0.64269143480497,0.647007954723281,2,4166,"plasma membrane","CC"
"21","GO:0009507",0.975347264573517,0.128226742342791,1,6062,"chloroplast","CC"
"22","GO:0005634",0.995918342966587,0.0222902450932993,2,11678,"nucleus","CC"
"23","GO:0005829",1,0.219146760731887,0,2799,"cytosol","CC"
"24","GO:0000015",1,0.998707450036774,0,3,"phosphopyruvate hydratase complex","CC"
"25","GO:0000109",1,0.999578854891823,0,1,"nucleotide-excision repair complex","CC"
"26","GO:0000110",1,0.997913682404101,0,5,"nucleotide-excision repair factor 1 complex","CC"
"27","GO:0000111",1,0.998931529783356,0,3,"nucleotide-excision repair factor 2 complex","CC"
"28","GO:0000112",1,0.999288811021871,0,2,"nucleotide-excision repair factor 3 complex","CC"
"29","GO:0000118",1,0.997274579198889,0,6,"histone deacetylase complex","CC"
"30","GO:0000123",1,0.99018995827218,0,19,"histone acetyltransferase complex","CC"
"31","GO:0000124",1,0.988907123462177,0,21,"SAGA complex","CC"
"32","GO:0000126",1,0.997861291129865,0,5,"transcription factor TFIIIB complex","CC"
"33","GO:0000127",1,0.99739566476214,0,6,"transcription factor TFIIIC complex","CC"
"34","GO:0000138",1,0.995927685422787,0,7,"Golgi trans cisterna","CC"
"35","GO:0000139",1,0.813358261692428,0,430,"Golgi membrane","CC"
"36","GO:0000145",1,0.98365820812009,0,36,"exocyst","CC"
"37","GO:0000148",1,0.993647180153806,0,18,"1,3-beta-D-glucan synthase complex","CC"
"38","GO:0000151",1,0.968027235067936,0,68,"ubiquitin ligase complex","CC"
"39","GO:0000152",1,0.999233385992161,0,2,"nuclear ubiquitin ligase complex","CC"
"40","GO:0000153",1,0.999096282666604,0,2,"cytoplasmic ubiquitin ligase complex","CC"
"41","GO:0000159",1,0.985083511878954,0,35,"protein phosphatase type 2A complex","CC"
"42","GO:0000164",1,0.99600325822084,0,7,"protein phosphatase type 1 complex","CC"
"43","GO:0000172",1,0.997979630584851,0,3,"ribonuclease MRP complex","CC"
"44","GO:0000176",1,0.988395968042809,0,21,"nuclear exosome (RNase complex)","CC"
"45","GO:0000177",1,0.990809636859946,0,17,"cytoplasmic exosome (RNase complex)","CC"
"46","GO:0000178",1,0.99405948910997,0,12,"exosome (RNase complex)","CC"
"47","GO:0000214",1,0.997182352997526,0,4,"tRNA-intron endonuclease complex","CC"
"48","GO:0000220",1,0.997578570751779,0,5,"vacuolar proton-transporting V-type ATPase, V0 domain","CC"
"49","GO:0000221",1,0.999276587217881,0,2,"vacuolar proton-transporting V-type ATPase, V1 domain","CC"
"50","GO:0000228",1,0.991830660114055,0,17,"nuclear chromosome","CC"
"51","GO:0000243",1,0.994471656019689,0,11,"commitment complex","CC"
"52","GO:0000262",1,0.999379899211747,0,1,"mitochondrial chromosome","CC"
"53","GO:0000274",1,0.999398976409335,0,1,"mitochondrial proton-transporting ATP synthase, stator stalk","CC"
"54","GO:0000275",1,0.993677962889339,0,11,"mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)","CC"
"55","GO:0000276",1,0.993705144769325,0,9,"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)","CC"
"56","GO:0000306",1,0.996916261623898,0,6,"extrinsic component of vacuolar membrane","CC"
