"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0009408",3.12516445863874e-26,1,40,196,"response to heat","BP"
"2","GO:0015979",3.25441450858223e-16,1,25,118,"photosynthesis","BP"
"3","GO:0009644",1.46402002504897e-15,1,20,73,"response to high light intensity","BP"
"4","GO:0034605",7.82542582609327e-12,1,16,68,"cellular response to heat","BP"
"5","GO:0055114",2.25741791892149e-11,1,74,1349,"oxidation-reduction process","BP"
"6","GO:0009651",1.66561265083017e-10,1,46,699,"response to salt stress","BP"
"7","GO:0009767",1.12656878809232e-08,0.999999999641164,8,19,"photosynthetic electron transport chain","BP"
"8","GO:0034620",4.37147358024167e-08,0.999999998769279,7,17,"cellular response to unfolded protein","BP"
"9","GO:0010286",5.53555641335935e-08,0.999999995152941,11,60,"heat acclimation","BP"
"10","GO:0006457",1.09143860794505e-07,0.999999973520842,24,288,"protein folding","BP"
"11","GO:0042026",2.0736719228432e-07,0.999999982149336,10,54,"protein refolding","BP"
"12","GO:0042542",2.87085870892648e-07,0.999999961683201,13,88,"response to hydrogen peroxide","BP"
"13","GO:0006986",7.60445391379932e-07,0.999999975807018,6,16,"response to unfolded protein","BP"
"14","GO:0009414",8.22075203750402e-07,0.999999752679093,27,399,"response to water deprivation","BP"
"15","GO:1901562",1.19200161238463e-06,0.999999994633831,4,5,"response to paraquat","BP"
"16","GO:0009768",2.12971164263221e-06,0.999999881489316,7,22,"photosynthesis, light harvesting in photosystem I","BP"
"17","GO:0010196",2.83023808469975e-06,0.99999993707673,5,10,"nonphotochemical quenching","BP"
"18","GO:0080167",1.13530184003814e-05,0.99999748094061,15,156,"response to karrikin","BP"
"19","GO:0009643",1.87738663267817e-05,0.999999647394126,4,8,"photosynthetic acclimation","BP"
"20","GO:0046274",4.48958326512793e-05,0.99999769482012,5,19,"lignin catabolic process","BP"
"21","GO:0051259",6.66296709810723e-05,0.999996502554086,5,15,"protein complex oligomerization","BP"
"22","GO:0009813",8.28810973249748e-05,0.999990782717946,7,42,"flavonoid biosynthetic process","BP"
"23","GO:0006950",9.10387756516941e-05,0.999996771982714,4,13,"response to stress","BP"
"24","GO:0046686",9.81410086229539e-05,0.999962435673127,25,487,"response to cadmium ion","BP"
"25","GO:0019419",0.0001310708907072,0.999998414500667,3,5,"sulfate reduction","BP"
"26","GO:0000302",0.00015332277197028,0.999977107545309,8,60,"response to reactive oxygen species","BP"
"27","GO:0006979",0.000190166452300601,0.999929214532637,22,376,"response to oxidative stress","BP"
"28","GO:0018298",0.000207331503304481,0.999972711081604,7,51,"protein-chromophore linkage","BP"
"29","GO:0051085",0.000301656836393393,0.999957492792299,7,55,"chaperone cofactor-dependent protein refolding","BP"
"30","GO:0010143",0.00032088857540936,0.999983079669666,4,17,"cutin biosynthetic process","BP"
"31","GO:0010438",0.000427150933675471,0.999990777261914,3,6,"cellular response to sulfur starvation","BP"
"32","GO:0031930",0.000684096141086635,0.99997950618644,3,8,"mitochondria-nucleus signaling pathway","BP"
"33","GO:0009416",0.000719538142965222,0.99976276714419,15,243,"response to light stimulus","BP"
"34","GO:0006098",0.000762606863690781,0.999948264473969,4,19,"pentose-phosphate shunt","BP"
"35","GO:0000079",0.00119359641789123,0.99982183448104,6,50,"regulation of cyclin-dependent protein serine/threonine kinase activity","BP"
"36","GO:0000103",0.00125412596118618,0.999902614304166,4,19,"sulfate assimilation","BP"
"37","GO:0006636",0.0012672596638948,0.999899128676643,4,22,"unsaturated fatty acid biosynthetic process","BP"
"38","GO:0006544",0.00130757010999447,0.999945362921709,3,11,"glycine metabolic process","BP"
"39","GO:0006565",0.00130757010999447,0.999945362921709,3,11,"L-serine catabolic process","BP"
"40","GO:0019264",0.00130757010999447,0.999945362921709,3,11,"glycine biosynthetic process from serine","BP"
"41","GO:0046655",0.00130757010999447,0.999945362921709,3,11,"folic acid metabolic process","BP"
"42","GO:1904482",0.00130757010999447,0.999945362921709,3,11,"cellular response to tetrahydrofolate","BP"
"43","GO:0009735",0.00142958606058803,0.999494636680487,15,252,"response to cytokinin","BP"
"44","GO:0042545",0.00154914628999109,0.999756268249445,6,51,"cell wall modification","BP"
"45","GO:0006563",0.00184565575122492,0.999911088628029,3,12,"L-serine metabolic process","BP"
"46","GO:0061077",0.00197411574181075,0.999821515772644,4,23,"chaperone-mediated protein folding","BP"
"47","GO:0031407",0.00213153201174712,0.999980585100071,2,3,"oxylipin metabolic process","BP"
"48","GO:0046482",0.00230132604150137,0.999978196058909,2,3,"para-aminobenzoic acid metabolic process","BP"
"49","GO:0045787",0.00247573280354859,0.999658101657721,5,42,"positive regulation of cell cycle","BP"
"50","GO:0009915",0.00251320373144633,0.999964885356602,2,4,"phloem sucrose loading","BP"
"51","GO:0010439",0.00264128376158756,0.999855544128786,3,12,"regulation of glucosinolate biosynthetic process","BP"
"52","GO:0010200",0.00268962493920504,0.999169540013985,11,152,"response to chitin","BP"
"53","GO:0061408",0.00273744363289148,0.999729036820307,4,23,"positive regulation of transcription from RNA polymerase II promoter in response to heat stress","BP"
"54","GO:0010189",0.0029307450434237,0.999833669792033,3,12,"vitamin E biosynthetic process","BP"
"55","GO:0009615",0.003010168924013,0.99956226460008,5,46,"response to virus","BP"
"56","GO:0045490",0.00373794928649766,0.999288209572197,6,65,"pectin catabolic process","BP"
"57","GO:0009409",0.0037802866732627,0.998288845401338,20,426,"response to cold","BP"
"58","GO:0010205",0.00384785129095652,0.999748720172622,3,15,"photoinhibition","BP"
"59","GO:1902326",0.00491660029128072,0.999887455563444,2,5,"positive regulation of chlorophyll biosynthetic process","BP"
"60","GO:0019354",0.00559242578074185,0.999863150243814,2,5,"siroheme biosynthetic process","BP"
"61","GO:0010206",0.00561549680078743,0.999575581787834,3,16,"photosystem II repair","BP"
"62","GO:2000377",0.00599478287186686,0.999227733723713,4,36,"regulation of reactive oxygen species metabolic process","BP"
"63","GO:0098869",0.0062983602334334,0.999514531038265,3,14,"cellular oxidant detoxification","BP"
"64","GO:0051322",0.00643001155997579,0.999806040682941,2,7,"anaphase","BP"
"65","GO:0010411",0.00707255749236675,0.998737815400652,5,48,"xyloglucan metabolic process","BP"
"66","GO:0009637",0.00723762999266965,0.998690030342995,5,56,"response to blue light","BP"
"67","GO:0010431",0.00731466999088318,0.99938144715067,3,18,"seed maturation","BP"
"68","GO:0009737",0.00756202088055444,0.996205463065481,22,549,"response to abscisic acid","BP"
"69","GO:0010623",0.00773885788892109,0.99977573842457,2,5,"programmed cell death involved in cell development","BP"
"70","GO:0043484",0.00777681710390129,0.999311957783026,3,22,"regulation of RNA splicing","BP"
"71","GO:0009668",0.007828611617033,0.999771766716635,2,5,"plastid membrane organization","BP"
"72","GO:0046355",0.00791684374582211,0.999747782771776,2,6,"mannan catabolic process","BP"
"73","GO:0006730",0.00810465738688829,0.998859573783864,4,37,"one-carbon metabolic process","BP"
"74","GO:0000913",0.00825286422793057,0.99970575647561,2,8,"preprophase band assembly","BP"
"75","GO:0007088",0.00831312341827966,0.998826258763332,4,35,"regulation of mitotic nuclear division","BP"
"76","GO:0019684",0.00937740000605465,0.999154129867894,3,15,"photosynthesis, light reaction","BP"
"77","GO:0010389",0.00954588239964408,0.999632814842668,2,8,"regulation of G2/M transition of mitotic cell cycle","BP"
"78","GO:0010508",0.00990620375520944,0.999625732086306,2,7,"positive regulation of autophagy","BP"
"79","GO:0051726",0.0103079825925863,0.997194313571437,7,107,"regulation of cell cycle","BP"
"80","GO:0006458",0.0108637518086308,0.999540377545506,2,9,"'de novo' protein folding","BP"
"81","GO:0010109",0.0109926749242124,0.999522005410349,2,10,"regulation of photosynthesis","BP"
"82","GO:0016094",0.0109957191305836,0.999583952828439,2,6,"polyprenol biosynthetic process","BP"
"83","GO:0009658",0.0111178303705706,0.9960408344889,10,184,"chloroplast organization","BP"
"84","GO:0015995",0.0116800405665044,0.997618468769854,5,59,"chlorophyll biosynthetic process","BP"
"85","GO:0035999",0.0118915701884431,0.998776382850266,3,21,"tetrahydrofolate interconversion","BP"
"86","GO:0010115",0.0123879813380244,0.999473688793892,2,7,"regulation of abscisic acid biosynthetic process","BP"
"87","GO:0070301",0.0124767950630562,0.999467917911832,2,7,"cellular response to hydrogen peroxide","BP"
"88","GO:2000280",0.0128414278543579,0.997937789751065,4,36,"regulation of root development","BP"
"89","GO:0042546",0.0134115335360273,0.997185055602374,5,53,"cell wall biogenesis","BP"
"90","GO:0019464",0.0139853876303358,0.999342649843979,2,8,"glycine decarboxylation via glycine cleavage system","BP"
"91","GO:0010157",0.0154415184732738,1,1,1,"response to chlorate","BP"
"92","GO:0009765",0.0155242199630956,0.999256951670567,2,7,"photosynthesis, light harvesting","BP"
"93","GO:0031408",0.0155897947808262,0.998196573706533,3,25,"oxylipin biosynthetic process","BP"
"94","GO:0051131",0.015799660727632,0.999185961577806,2,9,"chaperone-mediated protein complex assembly","BP"
"95","GO:0015743",0.0162659827610757,0.999148938512112,2,9,"malate transport","BP"
"96","GO:0012502",0.0163785931326057,1,1,1,"induction of programmed cell death","BP"
"97","GO:0009624",0.0174149125921748,0.99533008896587,6,101,"response to nematode","BP"
"98","GO:0050821",0.0174688811148473,0.997898632818934,3,24,"protein stabilization","BP"
"99","GO:0052096",0.0176149728952276,1,1,1,"formation by symbiont of syncytium involving giant cell for nutrient acquisition from host","BP"
"100","GO:0046653",0.0178794354387912,0.997830390543279,3,24,"tetrahydrofolate metabolic process","BP"
"101","GO:0015717",0.0180038199072846,1,1,1,"triose phosphate transport","BP"
"102","GO:0080148",0.0181829774305909,0.998990746536429,2,9,"negative regulation of response to water deprivation","BP"
"103","GO:0009407",0.0184168476484008,0.995817842951932,5,52,"toxin catabolic process","BP"
"104","GO:0015882",0.0189139793215085,1,1,1,"L-ascorbic acid transmembrane transport","BP"
"105","GO:0006849",0.0192399461237014,1,1,1,"plasma membrane pyruvate transport","BP"
"106","GO:0009845",0.0192412102591291,0.994060718776504,7,123,"seed germination","BP"
"107","GO:1990059",0.0196837695597849,1,1,1,"fruit valve development","BP"
"108","GO:0019762",0.0204418627464619,0.997365644593654,3,27,"glucosinolate catabolic process","BP"
"109","GO:0010114",0.0205932918611651,0.995148544664843,5,62,"response to red light","BP"
"110","GO:0031540",0.0208335026069415,0.998730462961894,2,10,"regulation of anthocyanin biosynthetic process","BP"
"111","GO:0042335",0.0210706521130624,0.997261385529105,3,26,"cuticle development","BP"
