category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,Annotation,ontology
path:ath00195,1.8570201830862324e-19,1,20,42,Photosynthesis,KEGG
path:ath04141,3.3615103317646283e-6,0.9999991629457259,20,255,Protein processing in endoplasmic reticulum,KEGG
path:ath00860,6.470259752127216e-6,0.9999991830974749,10,65,Porphyrin and chlorophyll metabolism,KEGG
path:ath00196,3.281641929499891e-5,0.9999978485432442,6,20,Photosynthesis - antenna proteins,KEGG
path:ath01100,3.9416091652921294e-4,0.9997878838727248,85,2631,Metabolic pathways,KEGG
path:ath01110,0.0017878377664145313,0.9990306092872271,47,1292,Biosynthesis of secondary metabolites,KEGG
path:ath00460,0.004515539405682414,0.9989725500125471,7,87,Cyanoamino acid metabolism,KEGG
path:ath00920,0.005805685988708719,0.9988131961398361,6,60,Sulfur metabolism,KEGG
path:ath00500,0.03383815265152719,0.9874243382194255,8,182,Starch and sucrose metabolism,KEGG
path:ath00051,0.03678301489257202,0.9899778782957955,5,74,Fructose and mannose metabolism,KEGG
path:ath00909,0.060398897557477536,0.9928571576532151,2,22,Sesquiterpenoid and triterpenoid biosynthesis,KEGG
path:ath00592,0.08082329623325846,0.9817669069357747,3,44,alpha-Linolenic acid metabolism,KEGG
path:ath00940,0.08083010656057249,0.9642258495420699,8,168,Phenylpropanoid biosynthesis,KEGG
path:ath00901,0.10292175103448564,0.9958744322915065,1,4,Indole alkaloid biosynthesis,KEGG
path:ath00030,0.1217322317861769,0.9591044165644338,4,77,Pentose phosphate pathway,KEGG
path:ath00710,0.12543605944166605,0.9573345836959347,4,83,Carbon fixation in photosynthetic organisms,KEGG
path:ath00130,0.13174682933873086,0.9632103815903622,3,51,Ubiquinone and other terpenoid-quinone biosynthesis,KEGG
path:ath00906,0.1355266329103051,0.9741096079258197,2,29,Carotenoid biosynthesis,KEGG
path:ath00480,0.14822892068311705,0.9333802449062639,6,129,Glutathione metabolism,KEGG
path:ath00670,0.16465473552057114,0.9645865178294064,2,30,One carbon pool by folate,KEGG
path:ath00603,0.17579806716149904,0.9855881229830512,1,8,Glycosphingolipid biosynthesis - globo and isoglobo series,KEGG
path:ath00053,0.2020769593271418,0.9311432816864915,3,63,Ascorbate and aldarate metabolism,KEGG
path:ath00100,0.2344439616886418,0.9364859261155892,2,40,Steroid biosynthesis,KEGG
path:ath00900,0.2897991203125446,0.8821696472414106,3,70,Terpenoid backbone biosynthesis,KEGG
path:ath04144,0.31439494360505793,0.8215760699308632,6,203,Endocytosis,KEGG
path:ath00261,0.3251303606342248,0.9436885311873108,1,17,Monobactam biosynthesis,KEGG
path:ath00904,0.34409585058058245,0.9365853531244395,1,16,Diterpenoid biosynthesis,KEGG
path:ath00052,0.3673361583064194,0.8643219604845214,2,61,Galactose metabolism,KEGG
path:ath00073,0.3818615886813382,0.9195687744153951,1,20,"Cutin, suberine and wax biosynthesis",KEGG
path:ath00260,0.38956299348196316,0.8142320206219869,3,94,"Glycine, serine and threonine metabolism",KEGG
path:ath00910,0.4043804295947666,0.8403095203834606,2,56,Nitrogen metabolism,KEGG
path:ath00450,0.4253278812848896,0.897159345854214,1,25,Selenocompound metabolism,KEGG
path:ath00010,0.4285147899762541,0.7595318936282182,4,145,Glycolysis / Gluconeogenesis,KEGG
path:ath03040,0.4336503375325924,0.70536898129872,8,310,Spliceosome,KEGG
path:ath01040,0.46124807629751424,0.8765091104015177,1,27,Biosynthesis of unsaturated fatty acids,KEGG
path:ath04626,0.4720440504697502,0.6902350162425906,6,217,Plant-pathogen interaction,KEGG
path:ath00941,0.4871660309257223,0.8615705040997356,1,21,Flavonoid biosynthesis,KEGG
path:ath00740,0.49204995541852053,0.8577030341400917,1,24,Riboflavin metabolism,KEGG
path:ath04933,0.5192571915457582,0.8387225443036234,1,26,AGE-RAGE signaling pathway in diabetic complications,KEGG
path:ath00280,0.5201214200390616,0.7503223369200684,2,78,"Valine, leucine and isoleucine degradation",KEGG
path:ath00565,0.5331383827823045,0.8268983439623114,1,39,Ether lipid metabolism,KEGG
path:ath00730,0.5359603861697027,0.8263569216059943,1,27,Thiamine metabolism,KEGG
path:ath00600,0.540244698597682,0.82145164705302,1,40,Sphingolipid metabolism,KEGG
path:ath03015,0.557002705178155,0.6431243919005438,4,185,mRNA surveillance pathway,KEGG
path:ath00561,0.5638913440185789,0.7106552325837856,2,88,Glycerolipid metabolism,KEGG
path:ath00563,0.6047576520317359,0.767805409357915,1,38,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,KEGG
path:ath03018,0.6148409789763705,0.6130603447897676,3,144,RNA degradation,KEGG
path:ath01200,0.6319749295345591,0.5101580546770488,8,362,Carbon metabolism,KEGG
path:ath04712,0.696053346383184,0.6719216892046549,1,48,Circadian rhythm - plant,KEGG
