"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0051082",1.62257833422991e-12,1,20,153,"unfolded protein binding","MF"
"2","GO:0051787",3.19901709263437e-09,0.999999999941595,7,16,"misfolded protein binding","MF"
"3","GO:0042623",1.22651334118031e-07,0.999999997099949,6,17,"ATPase activity, coupled","MF"
"4","GO:0016168",4.76465741852181e-07,0.999999970666933,8,33,"chlorophyll binding","MF"
"5","GO:0031072",2.03918633422332e-06,0.999999912470473,6,26,"heat shock protein binding","MF"
"6","GO:0008194",3.51272067848764e-06,0.999999449006845,12,121,"UDP-glycosyltransferase activity","MF"
"7","GO:0044183",6.13567510167719e-06,0.999999677992796,6,27,"protein binding involved in protein folding","MF"
"8","GO:0080044",7.02631346596988e-06,0.999999065161863,10,82,"quercetin 7-O-glucosyltransferase activity","MF"
"9","GO:0035251",7.73587296341162e-06,0.999999582708514,6,25,"UDP-glucosyltransferase activity","MF"
"10","GO:0080043",1.22663080865297e-05,0.999998251365495,10,87,"quercetin 3-O-glucosyltransferase activity","MF"
"11","GO:0003950",1.62850570899596e-05,0.999999631096553,4,13,"NAD+ ADP-ribosyltransferase activity","MF"
"12","GO:0019825",1.72082296890868e-05,0.999996255293066,14,193,"oxygen binding","MF"
"13","GO:0009973",3.04593838606763e-05,0.999999847814919,3,4,"adenylyl-sulfate reductase activity","MF"
"14","GO:0033741",3.04593838606763e-05,0.999999847814919,3,4,"adenylyl-sulfate reductase (glutathione) activity","MF"
"15","GO:0016627",4.18122390679813e-05,0.999998766051532,4,14,"oxidoreductase activity, acting on the CH-CH group of donors","MF"
"16","GO:0005506",4.54132150105076e-05,0.999988475610144,15,245,"iron ion binding","MF"
"17","GO:0020037",0.000133864553032986,0.999958834507601,17,316,"heme binding","MF"
"18","GO:0004497",0.000138610807649338,0.999972972964144,10,134,"monooxygenase activity","MF"
"19","GO:0015238",0.000190951212285581,0.999979801506582,6,55,"drug transmembrane transporter activity","MF"
"20","GO:0051879",0.00019411094190074,0.999991163202449,4,16,"Hsp90 protein binding","MF"
"21","GO:0102483",0.00028492111142307,0.999975892315686,5,40,"scopolin beta-glucosidase activity","MF"
"22","GO:0002020",0.000304307308225989,0.999992542208515,3,10,"protease binding","MF"
"23","GO:0008271",0.000314286893485529,0.999991682838378,3,13,"secondary active sulfate transmembrane transporter activity","MF"
"24","GO:0046872",0.000369892272934159,0.999789668370049,57,2119,"metal ion binding","MF"
"25","GO:0016887",0.0004769823763256,0.999870934193115,12,310,"ATPase activity","MF"
"26","GO:0046028",0.00049357170348583,1,2,2,"electron transporter, transferring electrons from cytochrome b6/f complex of photosystem II activity","MF"
"27","GO:0004553",0.000510679844183067,0.999871103227905,11,206,"hydrolase activity, hydrolyzing O-glycosyl compounds","MF"
"28","GO:0009496",0.000517950741513104,1,2,2,"plastoquinol--plastocyanin reductase activity","MF"
"29","GO:0045156",0.000585495900138658,0.999983401752098,3,8,"electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity","MF"
"30","GO:0016709",0.000611080611128234,0.999869544795409,9,122,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen","MF"
"31","GO:0004851",0.00077436639651036,0.99999579837142,2,3,"uroporphyrin-III C-methyltransferase activity","MF"
"32","GO:0015301",0.00129445084228539,0.999940173068576,3,20,"anion:anion antiporter activity","MF"
"33","GO:0043621",0.00129715157629492,0.999722953319011,8,118,"protein self-association","MF"
"34","GO:0080002",0.00135048022211825,0.999990271818567,2,3,"UDP-glucose:4-aminobenzoate acylglucosyltransferase activity","MF"
"35","GO:0015116",0.00135366368418266,0.999937776091987,3,17,"sulfate transmembrane transporter activity","MF"
"36","GO:0052640",0.00135596858808446,0.999990212019959,2,3,"salicylic acid glucosyltransferase (glucoside-forming) activity","MF"
"37","GO:0008422",0.00156068355540165,0.999801977503674,5,61,"beta-glucosidase activity","MF"
"38","GO:0016844",0.00195998151905875,0.99990199154813,3,13,"strictosidine synthase activity","MF"
"39","GO:0000978",0.00205107497146697,0.999727041969616,5,47,"RNA polymerase II proximal promoter sequence-specific DNA binding","MF"
"40","GO:0047893",0.00238111106451118,0.999870620478329,3,14,"flavonol 3-O-glucosyltransferase activity","MF"
"41","GO:0051537",0.00289116033686773,0.999580503755022,5,53,"2 iron, 2 sulfur cluster binding","MF"
"42","GO:0004324",0.00348801515819749,0.999933173666273,2,5,"ferredoxin-NADP+ reductase activity","MF"
"43","GO:0010294",0.00422831483875386,0.999910541294942,2,5,"abscisic acid glucosyltransferase activity","MF"
"44","GO:0016985",0.00451921757098685,0.999892438282205,2,6,"mannan endo-1,4-beta-mannosidase activity","MF"
"45","GO:0016629",0.0045845770128742,0.999890071068298,2,6,"12-oxophytodienoate reductase activity","MF"
"46","GO:0004737",0.00483619788560792,0.999880793774983,2,6,"pyruvate decarboxylase activity","MF"
"47","GO:0071949",0.00503978770534579,0.999156019412456,5,70,"FAD binding","MF"
"48","GO:0030976",0.00664373149891439,0.999788539506534,2,8,"thiamine pyrophosphate binding","MF"
"49","GO:0015297",0.00679997777459181,0.998281349475687,7,134,"antiporter activity","MF"
"50","GO:0080046",0.00723515827548838,0.99976815225027,2,7,"quercetin 4'-O-glucosyltransferase activity","MF"
"51","GO:0004332",0.00784372059070494,0.999720219390244,2,9,"fructose-bisphosphate aldolase activity","MF"
"52","GO:0005515",0.00799820940262471,0.994319913621086,89,4307,"protein binding","MF"
"53","GO:0033836",0.00829926972780593,0.99971436142222,2,7,"flavonol 7-O-beta-glucosyltransferase activity","MF"
"54","GO:0004638",0.00878615109451718,1,1,1,"phosphoribosylaminoimidazole carboxylase activity","MF"
"55","GO:0051746",0.00881249248048388,1,1,1,"thalianol synthase activity","MF"
"56","GO:0043295",0.00907231327283042,0.999160296488548,3,20,"glutathione binding","MF"
"57","GO:0008234",0.0105779183662804,0.997874245215866,5,78,"cysteine-type peptidase activity","MF"
"58","GO:0051087",0.0114584928691747,0.998200225398284,4,44,"chaperone binding","MF"
"59","GO:0000774",0.0132416002692892,0.999378939849842,2,9,"adenyl-nucleotide exchange factor activity","MF"
"60","GO:0050521",0.0133206887935264,0.999955436708997,1,2,"alpha-glucan, water dikinase activity","MF"
"61","GO:0090411",0.0133791204779813,1,1,1,"brassinosteroid binding","MF"
"62","GO:0015928",0.0138397568398568,1,1,1,"fucosidase activity","MF"
"63","GO:0009976",0.0138604509828171,1,1,1,"tocopherol cyclase activity","MF"
"64","GO:0016831",0.013950046899009,0.999301536696003,2,11,"carboxy-lyase activity","MF"
"65","GO:0051738",0.0143669121151728,1,1,1,"xanthophyll binding","MF"
"66","GO:0046408",0.0143932263549173,1,1,1,"chlorophyll synthetase activity","MF"
"67","GO:0016491",0.0144441878826852,0.993386150613529,15,445,"oxidoreductase activity","MF"
"68","GO:0016530",0.0146996059233077,1,1,1,"metallochaperone activity","MF"
"69","GO:0009041",0.0152285694147107,0.999214728383118,2,10,"uridylate kinase activity","MF"
"70","GO:0070406",0.0158542645257144,1,1,1,"glutamine binding","MF"
"71","GO:0008928",0.0167921437131524,1,1,1,"mannose-1-phosphate guanylyltransferase (GDP) activity","MF"
"72","GO:0010471",0.0167921437131524,1,1,1,"GDP-galactose:mannose-1-phosphate guanylyltransferase activity","MF"
"73","GO:0010472",0.0167921437131524,1,1,1,"GDP-galactose:glucose-1-phosphate guanylyltransferase activity","MF"
"74","GO:0010473",0.0167921437131524,1,1,1,"GDP-galactose:myoinositol-1-phosphate guanylyltransferase activity","MF"
"75","GO:0010474",0.0167921437131524,1,1,1,"glucose-1-phosphate guanylyltransferase (GDP) activity","MF"
"76","GO:0004364",0.0177829867972279,0.995951691742417,5,69,"glutathione transferase activity","MF"
"77","GO:0016653",0.0179128070099118,1,1,1,"oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor","MF"
"78","GO:0008935",0.0179979736220188,1,1,1,"1,4-dihydroxy-2-naphthoyl-CoA synthase activity","MF"
"79","GO:0046424",0.0182220218467051,1,1,1,"ferulate 5-hydroxylase activity","MF"
"80","GO:0045550",0.0191154681129279,1,1,1,"geranylgeranyl reductase activity","MF"
"81","GO:0102067",0.0191154681129279,1,1,1,"geranylgeranyl diphosphate reductase activity","MF"
"82","GO:1902417",0.0202487334353099,0.999862377085514,1,3,"(+)-abscisic acid D-glucopyranosyl ester transmembrane transporter activity","MF"
"83","GO:0048529",0.020663274004647,1,1,1,"magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase activity","MF"
"84","GO:0102216",0.0207461234523582,0.999855500415342,1,3,"maltodextrin water dikinase","MF"
"85","GO:0102218",0.0207461234523582,0.999855500415342,1,3,"starch, H2O dikinase activity","MF"
"86","GO:0015446",0.0209539851005504,0.999889301973112,1,2,"ATPase-coupled arsenite transmembrane transporter activity","MF"
"87","GO:0052639",0.0211167557363435,1,1,1,"salicylic acid glucosyltransferase (ester-forming) activity","MF"
"88","GO:0090704",0.0211167557363435,1,1,1,"nicotinate-O-glucosyltransferase activity","MF"
"89","GO:0005351",0.0212432705472729,0.994869154053854,5,111,"carbohydrate:proton symporter activity","MF"
"90","GO:0016210",0.0212880506180189,1,1,1,"naringenin-chalcone synthase activity","MF"
"91","GO:0036094",0.0214365208584225,1,1,1,"small molecule binding","MF"
"92","GO:0050267",0.0215787444399081,1,1,1,"rubber cis-polyprenylcistransferase activity","MF"
"93","GO:0016671",0.0218132974887159,0.997106675613749,3,29,"oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor","MF"
"94","GO:0008942",0.0219243761341474,1,1,1,"nitrite reductase [NAD(P)H] activity","MF"
"95","GO:0016706",0.0220073707212681,0.995758488244283,4,55,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors","MF"
"96","GO:0033743",0.0239054671534377,0.998407240594715,2,11,"peptide-methionine (R)-S-oxide reductase activity","MF"
"97","GO:0044212",0.0248525633223248,0.988966343690125,12,346,"transcription regulatory region DNA binding","MF"
"98","GO:0008121",0.0263015248525274,0.998130587406733,2,12,"ubiquinol-cytochrome-c reductase activity","MF"
"99","GO:0010176",0.0281497557742332,0.999799483010653,1,2,"homogentisate phytyltransferase activity","MF"
"100","GO:0051213",0.0282086819898734,0.991542355117156,6,122,"dioxygenase activity","MF"
"101","GO:0009672",0.0287530520618398,0.997753591558404,2,18,"auxin:proton symporter activity","MF"
"102","GO:0016758",0.0294830706032143,0.992276236040691,5,97,"transferase activity, transferring hexosyl groups","MF"
"103","GO:0016209",0.0297050988912015,0.997720675864781,2,13,"antioxidant activity","MF"
"104","GO:0034459",0.030026771741644,0.997522689231845,2,28,"ATP-dependent 3'-5' RNA helicase activity","MF"
"105","GO:0016705",0.0322503752950568,0.991341783173254,5,101,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","MF"
"106","GO:0010475",0.0327092178122293,0.999728632622352,1,2,"galactose-1-phosphate guanylyltransferase (GDP) activity","MF"
"107","GO:0080047",0.0327092178122293,0.999728632622352,1,2,"GDP-L-galactose phosphorylase activity","MF"
"108","GO:0080048",0.0327092178122293,0.999728632622352,1,2,"GDP-D-glucose phosphorylase activity","MF"
"109","GO:0003896",0.0329124802962409,0.999634309330513,1,3,"DNA primase activity","MF"
"110","GO:0010291",0.033113044544898,0.999721832970357,1,2,"carotene beta-ring hydroxylase activity","MF"
"111","GO:0034256",0.0332870565414773,0.999718876565641,1,2,"chlorophyll(ide) b reductase activity","MF"
"112","GO:0016830",0.033291464833706,0.999718801463816,1,2,"carbon-carbon lyase activity","MF"
"113","GO:0042281",0.0336657278770826,0.999712388127397,1,2,"dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase activity","MF"
"114","GO:0010295",0.034805893487323,0.999692396670006,1,2,"(+)-abscisic acid 8'-hydroxylase activity","MF"
"115","GO:0032440",0.0353317213431061,0.999682946481998,1,2,"2-alkenal reductase [NAD(P)] activity","MF"
"116","GO:0015139",0.0358402054331909,0.99967366950664,1,2,"alpha-ketoglutarate transmembrane transporter activity","MF"
"117","GO:0015293",0.0360465707100887,0.994032935247134,3,51,"symporter activity","MF"
"118","GO:0016682",0.036987065790789,0.999652245281679,1,2,"oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor","MF"
"119","GO:0047100",0.0370545414115408,0.999650963165679,1,2,"glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating) activity","MF"
"120","GO:0008309",0.0379642512463907,0.999633442793699,1,2,"double-stranded DNA exodeoxyribonuclease activity","MF"
"121","GO:0004604",0.0393351643078768,0.999606213087654,1,2,"phosphoadenylyl-sulfate reductase (thioredoxin) activity","MF"
"122","GO:0009815",0.0395134303682335,0.99639940143464,2,15,"1-aminocyclopropane-1-carboxylate oxidase activity","MF"
"123","GO:0016630",0.0402652498596626,0.999587172347208,1,2,"protochlorophyllide reductase activity","MF"
"124","GO:0016857",0.0406832197374268,0.999578466177038,1,2,"racemase and epimerase activity, acting on carbohydrates and derivatives","MF"
"125","GO:0016776",0.0409061105381077,0.999573785511693,1,2,"phosphotransferase activity, phosphate group as acceptor","MF"
"126","GO:0016707",0.0410615896934432,0.999570504852296,1,2,"gibberellin 3-beta-dioxygenase activity","MF"
"127","GO:0050736",0.0415729496978159,0.999559624377163,1,2,"O-malonyltransferase activity","MF"
"128","GO:0004798",0.0418739753627377,0.999553154275968,1,2,"thymidylate kinase activity","MF"
"129","GO:0047215",0.0423941960452075,0.999541859232218,1,2,"indole-3-acetate beta-glucosyltransferase activity","MF"
"130","GO:0052641",0.0426304631181728,0.999536681815311,1,2,"benzoic acid glucosyltransferase activity","MF"
"131","GO:0045157",0.0426610564508905,0.999536009236834,1,2,"electron transporter, transferring electrons within the noncyclic electron transport pathway of photosynthesis activity","MF"
"132","GO:0004693",0.0432193878101804,0.989600861064501,4,83,"cyclin-dependent protein serine/threonine kinase activity","MF"
"133","GO:0004222",0.0443752456312428,0.992006820596497,3,56,"metalloendopeptidase activity","MF"
"134","GO:0045158",0.0451288386446385,0.999480111995102,1,2,"electron transporter, transferring electrons within cytochrome b6/f complex of photosystem II activity","MF"
"135","GO:0008685",0.0460685842641151,0.999457970428808,1,2,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase activity","MF"
"136","GO:0008559",0.0472689743743624,0.999053442932189,1,6,"xenobiotic transmembrane transporting ATPase activity","MF"
"137","GO:0000993",0.0476997158117578,0.995016195658067,2,22,"RNA polymerase II complex binding","MF"
"138","GO:0035197",0.0499970555067397,0.998939864798019,1,6,"siRNA binding","MF"
"139","GO:0052638",0.0516104654837061,0.999093016576409,1,3,"indole-3-butyrate beta-glucosyltransferase activity","MF"
"140","GO:0004829",0.0543407102345278,0.998869157645869,1,4,"threonine-tRNA ligase activity","MF"
"141","GO:0046403",0.0543546419007126,0.99886857088265,1,4,"polynucleotide 3'-phosphatase activity","MF"
"142","GO:0052692",0.0546674090264064,0.99885535698308,1,4,"raffinose alpha-galactosidase activity","MF"
"143","GO:0043765",0.055062851397767,0.998965963474602,1,3,"T/G mismatch-specific endonuclease activity","MF"
"144","GO:0009916",0.0553652554027772,0.998954427777921,1,3,"alternative oxidase activity","MF"
"145","GO:0102721",0.0553652554027772,0.998954427777921,1,3,"ubiquinol:oxygen oxidoreductase activity","MF"
"146","GO:0019137",0.0569503467553862,0.998756525303471,1,4,"thioglucosidase activity","MF"
"147","GO:0004557",0.0587278415480206,0.998676669053908,1,4,"alpha-galactosidase activity","MF"
"148","GO:0000249",0.059778778850515,0.998778581618413,1,3,"C-22 sterol desaturase activity","MF"
"149","GO:0047216",0.0615910715147788,0.998702305071246,1,3,"inositol 3-alpha-galactosyltransferase activity","MF"
