"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0006468",6.7343986657083e-11,1,51,1021,"protein phosphorylation","BP"
"2","GO:0006952",8.27248205724207e-10,1,42,703,"defense response","BP"
"3","GO:0009664",3.42335572217255e-09,0.999999999701201,13,66,"plant-type cell wall organization","BP"
"4","GO:0071456",1.60646913649184e-08,0.999999999252323,9,26,"cellular response to hypoxia","BP"
"5","GO:0042744",1.28262357680174e-07,0.999999982343028,14,103,"hydrogen peroxide catabolic process","BP"
"6","GO:0009617",2.36785150379383e-07,0.999999962259514,15,133,"response to bacterium","BP"
"7","GO:0016310",1.7579722338876e-06,0.999999433366698,28,514,"phosphorylation","BP"
"8","GO:0002229",4.38080876843106e-06,0.999999531458831,9,60,"defense response to oomycetes","BP"
"9","GO:0048765",3.48160997887436e-05,0.999998271730611,5,21,"root hair cell differentiation","BP"
"10","GO:0045490",4.65113389624541e-05,0.999994130126086,8,65,"pectin catabolic process","BP"
"11","GO:0009831",9.61591189475335e-05,0.999994125119236,5,20,"plant-type cell wall modification involved in multidimensional cell growth","BP"
"12","GO:0042545",0.000115013506219502,0.999986261970924,7,51,"cell wall modification","BP"
"13","GO:0007165",0.000315868672349316,0.99988393110444,20,417,"signal transduction","BP"
"14","GO:0007169",0.000335854981613632,0.999926342423751,10,153,"transmembrane receptor protein tyrosine kinase signaling pathway","BP"
"15","GO:0000904",0.000385989127667091,1,2,2,"cell morphogenesis involved in differentiation","BP"
"16","GO:0042742",0.000390996886682418,0.999853924339823,20,410,"defense response to bacterium","BP"
"17","GO:0033215",0.000573374613087515,0.999982498216425,3,10,"iron assimilation by reduction and transport","BP"
"18","GO:0007229",0.000911218860688689,0.99999462557464,2,3,"integrin-mediated signaling pathway","BP"
"19","GO:1900426",0.000997251029790186,0.999925645329147,4,22,"positive regulation of defense response to bacterium","BP"
"20","GO:0071555",0.00163529733088538,0.999436191079357,14,285,"cell wall organization","BP"
"21","GO:0071577",0.00169616028504304,0.999852950981748,4,23,"zinc ion transmembrane transport","BP"
"22","GO:0009682",0.00178957052473671,0.999843463009991,4,22,"induced systemic resistance","BP"
"23","GO:0009826",0.00207417251083034,0.999469033913486,9,139,"unidimensional cell growth","BP"
"24","GO:0010112",0.00298808274548542,0.999832790064732,3,11,"regulation of systemic acquired resistance","BP"
"25","GO:0010054",0.00389711191877164,0.999920893526221,2,5,"trichoblast differentiation","BP"
"26","GO:0080142",0.00389904412628535,0.999739284623047,3,17,"regulation of salicylic acid biosynthetic process","BP"
"27","GO:2000022",0.00401108494115053,0.999373134547244,5,50,"regulation of jasmonic acid mediated signaling pathway","BP"
"28","GO:0009625",0.00430925580683429,0.999503397279484,4,29,"response to insect","BP"
"29","GO:0016998",0.00438246674293166,0.999498050798766,4,26,"cell wall macromolecule catabolic process","BP"
"30","GO:0010411",0.00530541193745223,0.999116358421894,5,48,"xyloglucan metabolic process","BP"
"31","GO:0006887",0.00538135566457337,0.999091270997735,5,58,"exocytosis","BP"
"32","GO:0009805",0.00577657889326571,0.999856266740874,2,5,"coumarin biosynthetic process","BP"
"33","GO:0009828",0.0071963805109422,0.99903745141256,4,30,"plant-type cell wall loosening","BP"
"34","GO:0046622",0.00749342228461175,0.999786503578714,2,5,"positive regulation of organ growth","BP"
"35","GO:0002237",0.00791264463209489,0.998890607448572,4,39,"response to molecule of bacterial origin","BP"
"36","GO:0006817",0.00916148022022545,0.999129343075809,3,25,"phosphate ion transport","BP"
"37","GO:0042546",0.00929008380030323,0.998219179903064,5,53,"cell wall biogenesis","BP"
"38","GO:0071369",0.010070583655955,0.9985003508897,4,34,"cellular response to ethylene stimulus","BP"
"39","GO:0080151",0.0101120868649301,0.99961386898603,2,7,"positive regulation of salicylic acid mediated signaling pathway","BP"
"40","GO:0048767",0.0110310317678372,0.997767830678628,5,69,"root hair elongation","BP"
"41","GO:0055114",0.0122919709353339,0.992217926719496,42,1349,"oxidation-reduction process","BP"
"42","GO:0006829",0.0127065317291885,0.998642818225009,3,24,"zinc ion transport","BP"
"43","GO:0006032",0.0127907992074401,0.99866305303533,3,19,"chitin catabolic process","BP"
"44","GO:0009626",0.0138280728572239,0.996478612191432,6,98,"plant-type hypersensitive response","BP"
"45","GO:0030163",0.0141568408504232,0.996376405795544,6,98,"protein catabolic process","BP"
"46","GO:0033198",0.0147520495838037,1,1,1,"response to ATP","BP"
"47","GO:0050832",0.0148323278411786,0.993639687097967,13,271,"defense response to fungus","BP"
