"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0009534",1.86268105066271e-21,1,36,241,"chloroplast thylakoid","CC"
"2","GO:0009535",2.26043669520355e-19,1,44,428,"chloroplast thylakoid membrane","CC"
"3","GO:0009579",5.3953357486565e-12,1,26,241,"thylakoid","CC"
"4","GO:0009507",3.73041095525914e-11,1,166,6062,"chloroplast","CC"
"5","GO:0009941",3.94027506897705e-10,1,37,683,"chloroplast envelope","CC"
"6","GO:0010287",5.80791309501898e-10,0.999999999953419,14,81,"plastoglobule","CC"
"7","GO:0009523",8.45968298396962e-10,0.999999999965205,10,31,"photosystem II","CC"
"8","GO:0009538",5.73862396931653e-08,0.999999999059387,6,11,"photosystem I reaction center","CC"
"9","GO:0009522",1.74388582973566e-06,0.99999990137024,7,27,"photosystem I","CC"
"10","GO:0016020",2.10797756396301e-06,0.999999103380013,64,2107,"membrane","CC"
"11","GO:0048471",4.41473049773335e-06,0.999999775718852,6,32,"perinuclear region of cytoplasm","CC"
"12","GO:0009986",5.30440016008172e-06,0.999999828749931,5,18,"cell surface","CC"
"13","GO:0030095",1.6822100236573e-05,0.999999329469872,5,16,"chloroplast photosystem II","CC"
"14","GO:0030076",3.6595965594141e-05,0.999998226031636,5,18,"light-harvesting complex","CC"
"15","GO:0016363",7.46921284831353e-05,0.999997264505601,4,19,"nuclear matrix","CC"
"16","GO:0042651",9.72876427523828e-05,0.999993686109353,5,29,"thylakoid membrane","CC"
"17","GO:0009570",0.00011982129969223,0.999949091169599,30,832,"chloroplast stroma","CC"
"18","GO:0031977",0.000152367672192074,0.999980783665684,7,58,"thylakoid lumen","CC"
"19","GO:0031969",0.000343856364489364,0.999924305221526,10,168,"chloroplast membrane","CC"
"20","GO:0032991",0.000380879863994673,0.99997773372154,4,25,"protein-containing complex","CC"
"21","GO:0009783",0.000477176396627147,1,2,2,"photosystem II antenna complex","CC"
"22","GO:0009517",0.000477688606743213,0.999987380944559,3,8,"PSII associated light-harvesting complex II","CC"
"23","GO:0009654",0.000585766982134728,0.999963378362709,4,18,"photosystem II oxygen evolving complex","CC"
"24","GO:0009543",0.00179063896339264,0.999649446863029,7,87,"chloroplast thylakoid lumen","CC"
"25","GO:0043231",0.00241673872066248,0.999308635240931,10,204,"intracellular membrane-bounded organelle","CC"
"26","GO:0005618",0.00256556691182437,0.998877752548011,20,560,"cell wall","CC"
"27","GO:0009512",0.00509249751797552,0.999881383234022,2,5,"cytochrome b6f complex","CC"
"28","GO:0005887",0.00627645970741751,0.998246942869801,8,190,"integral component of plasma membrane","CC"
"29","GO:0009706",0.00651418354610864,0.998587955739304,6,99,"chloroplast inner membrane","CC"
"30","GO:0009533",0.0145528958141017,0.999267320809758,2,10,"chloroplast stromal thylakoid","CC"
"31","GO:0090568",0.0184587010016989,1,1,1,"nuclear transcriptional repressor complex","CC"
"32","GO:0048046",0.0187629571235763,0.990891666320505,16,501,"apoplast","CC"
"33","GO:0019898",0.0279676379813175,0.995855148683419,3,38,"extrinsic component of membrane","CC"
"34","GO:0010168",0.0280026381650284,0.997854484776723,2,17,"ER body","CC"
"35","GO:0005829",0.033929513551639,0.975708399853775,58,2799,"cytosol","CC"
"36","GO:0034098",0.0356459286166667,0.999570508357065,1,3,"VCP-NPL4-UFD1 AAA ATPase complex","CC"
"37","GO:0071944",0.0376506670694451,0.996554306300918,2,21,"cell periphery","CC"
"38","GO:0009515",0.0469935119257509,0.999435716135963,1,2,"granal stacked thylakoid","CC"
"39","GO:0005658",0.0485181413049676,0.999041631400891,1,5,"alpha DNA polymerase:primase complex","CC"
"40","GO:0005737",0.0520070965499686,0.958895392074598,108,5641,"cytoplasm","CC"
"41","GO:0034457",0.0524189484653396,0.999064027850036,1,3,"Mpp10 complex","CC"
"42","GO:0010007",0.0591253445093485,0.998658461932698,1,4,"magnesium chelatase complex","CC"
"43","GO:0031314",0.0643147896589264,0.998409031093393,1,4,"extrinsic component of mitochondrial inner membrane","CC"
"44","GO:0044614",0.0676055217641005,0.997993041486918,1,7,"nuclear pore cytoplasmic filaments","CC"
"45","GO:0005856",0.0712044570325463,0.97977842124015,4,102,"cytoskeleton","CC"
"46","GO:0005773",0.0733460079899553,0.955554471128353,19,801,"vacuole","CC"
"47","GO:0005853",0.0793085731779019,0.997564735864049,1,4,"eukaryotic translation elongation factor 1 complex","CC"
"48","GO:0005960",0.0828947554866857,0.997161729272529,1,5,"glycine cleavage complex","CC"
"49","GO:0010598",0.0863555273134815,0.997103694804447,1,4,"NAD(P)H dehydrogenase complex (plastoquinone)","CC"
"50","GO:0005783",0.0912563137060056,0.941098765071102,22,961,"endoplasmic reticulum","CC"
"51","GO:0005681",0.109533775850039,0.958358899770602,5,153,"spliceosomal complex","CC"
"52","GO:0009544",0.109708509553174,0.994970909975723,1,5,"chloroplast ATP synthase complex","CC"
"53","GO:0005637",0.111346081706687,0.994458094988234,1,7,"nuclear inner membrane","CC"
