category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,Annotation,ontology
ARA:PWY-5934,4.775152181397621e-6,0.9999998053724641,6,14,iron reduction and absorption,BioCyc
ARA:PWY-6902,5.52210105514615e-5,0.9999963766070904,6,15,chitin degradation II (Vibrio),BioCyc
ARA:PWY-1186,8.904226873685271e-5,0.9999975231239658,4,8,L-homomethionine biosynthesis,BioCyc
ARA:PWY-6792,8.916477828582369e-4,0.9999477949407495,4,10,scopoletin biosynthesis,BioCyc
ARA:PWY-7398,0.0010415485331980356,0.9998950276237009,5,19,coumarins biosynthesis (engineered),BioCyc
ARA:PWY-601,0.001362860070685737,0.9998048461963799,6,30,glucosinolate biosynthesis from tryptophan,BioCyc
ARA:PWYQT-4477,0.003904206794412069,0.9996023160139375,4,16,indole glucosinolate activation (intact plant cell),BioCyc
ARA:PWY-5868,0.0043097446854094505,0.9993571679117935,5,28,simple coumarins biosynthesis,BioCyc
ARA:GLYSYN-ALA-PWY,0.006812460444396276,0.9994815069468173,3,12,glycine biosynthesis III,BioCyc
ARA:TRPSYN-PWY,0.007010564487101093,0.9991108181461187,4,22,L-tryptophan biosynthesis,BioCyc
ARA:PWY-381,0.008943374509085483,0.9992352206205317,3,13,nitrate reduction II (assimilatory),BioCyc
ARA:PWY-6039,0.010260158193233756,0.9985548150182504,4,21,chlorogenic acid biosynthesis I,BioCyc
ARA:COMPLETE-ARO-ARA-PWY,0.012326143698465394,0.9975544343712777,5,38,"superpathway of phenylalanine, tyrosine and tryptophan biosynthesis",BioCyc
ARA:LEUSYN-PWY,0.01590760310018062,0.9973733251576531,4,27,L-leucine biosynthesis,BioCyc
ARA:PWY-361,0.01773500302640187,0.9954166470337465,6,54,phenylpropanoid biosynthesis,BioCyc
ARA:PWY-1121,0.018073361378616325,0.9953093752816858,6,54,suberin monomers biosynthesis,BioCyc
ARA:PWY-7450,0.021029758936164957,0.9962507204379882,4,25,anthocyanidin modification (Arabidopsis),BioCyc
ARA:ETHYL-PWY,0.028875158083682535,0.9942121373376984,4,31,ethylene biosynthesis I (plants),BioCyc
