"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0005576",6.58588008685414e-22,1,176,2180,"extracellular region","CC"
"2","GO:0009505",9.9583224437774e-06,0.999996341457176,30,347,"plant-type cell wall","CC"
"3","GO:0016021",1.31834955947459e-05,0.999990883883705,240,5100,"integral component of membrane","CC"
"4","GO:0005886",2.35856711030096e-05,0.999983929261694,187,4166,"plasma membrane","CC"
"5","GO:0005618",7.80171092555179e-05,0.999963232372561,40,560,"cell wall","CC"
"6","GO:0005615",0.000164352603787646,0.999949651920979,17,139,"extracellular space","CC"
"7","GO:0048046",0.000178955205045169,0.999914855438097,37,501,"apoplast","CC"
"8","GO:0000145",0.000505443115407558,0.999937829444365,6,36,"exocyst","CC"
"9","GO:0009530",0.00102904153229097,0.999969756369278,3,6,"primary cell wall","CC"
"10","GO:0031464",0.0026162518594942,0.999868313270614,3,9,"Cul4A-RING E3 ubiquitin ligase complex","CC"
"11","GO:0045335",0.00356647637622674,0.999957600038635,2,3,"phagocytic vesicle","CC"
"12","GO:0005901",0.00469786714449247,0.999935555147471,2,3,"caveola","CC"
"13","GO:0031225",0.00674926922565933,0.99687600788422,19,220,"anchored component of membrane","CC"
"14","GO:0090406",0.00949597398585545,0.997822354470746,6,54,"pollen tube","CC"
"15","GO:0005947",0.0134110435486324,0.999436112990882,2,6,"mitochondrial alpha-ketoglutarate dehydrogenase complex","CC"
"16","GO:0016020",0.0139146963010128,0.989695155306388,92,2107,"membrane","CC"
"17","GO:0012505",0.0193846639389594,0.993493417444394,8,97,"endomembrane system","CC"
"18","GO:0090575",0.0199887062343604,0.996430469100275,4,26,"RNA polymerase II transcription factor complex","CC"
"19","GO:0015629",0.0234203014833802,0.994468925525288,5,36,"actin cytoskeleton","CC"
"20","GO:0019897",0.0292850917395862,0.998128837129993,2,6,"extrinsic component of plasma membrane","CC"
"21","GO:0031012",0.0321732877945141,0.995368710518134,3,15,"extracellular matrix","CC"
"22","GO:0010005",0.0330137550163714,0.995113684257347,3,17,"cortical microtubule, transverse to long axis","CC"
"23","GO:0005880",0.0379560619798653,0.996865971608925,2,9,"nuclear microtubule","CC"
"24","GO:0045282",0.0565034433697781,0.999179275602785,1,2,"plasma membrane succinate dehydrogenase complex","CC"
"25","GO:0031982",0.0673800396780668,0.986167140417223,3,26,"vesicle","CC"
"26","GO:0005950",0.0846915611990411,0.997516842454036,1,3,"anthranilate synthase complex","CC"
"27","GO:0098590",0.0911814046337339,0.997112803952565,1,3,"plasma membrane region","CC"
"28","GO:0000325",0.0942195193541738,0.970992624019112,4,57,"plant-type vacuole","CC"
"29","GO:0035618",0.112326959433112,0.995036765955302,1,4,"root hair","CC"
"30","GO:0000139",0.140221329528811,0.908650350460738,18,430,"Golgi membrane","CC"
"31","GO:0005871",0.143091536750675,0.94844385932334,4,83,"kinesin complex","CC"
"32","GO:0005884",0.15231083865591,0.968875866960272,2,24,"actin filament","CC"
"33","GO:0032432",0.158818278852843,0.988789744108856,1,6,"actin filament bundle","CC"
"34","GO:0005905",0.183254195048064,0.958187959539048,2,23,"clathrin-coated pit","CC"
"35","GO:0042807",0.215830086089377,0.979555154370651,1,5,"central vacuole","CC"
