category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,Annotation,ontology
path:ath00940,8.18649023618482e-18,1,33,168,Phenylpropanoid biosynthesis,KEGG
path:ath01110,8.443513756843239e-11,1,76,1292,Biosynthesis of secondary metabolites,KEGG
path:ath04626,9.397383906625456e-10,0.9999999998188209,27,217,Plant-pathogen interaction,KEGG
path:ath01100,2.472175085290883e-7,0.999999889142014,113,2631,Metabolic pathways,KEGG
path:ath00966,9.62863021359328e-6,0.9999993107283318,7,25,Glucosinolate biosynthesis,KEGG
path:ath00040,7.419311926173073e-5,0.9999872101355286,10,76,Pentose and glucuronate interconversions,KEGG
path:ath01210,9.406650743599387e-4,0.9997922495409828,9,90,2-Oxocarboxylic acid metabolism,KEGG
path:ath04016,0.0014482625442602992,0.9995457989770861,13,158,MAPK signaling pathway - plant,KEGG
path:ath04075,0.005877237745093645,0.9974286259737923,18,286,Plant hormone signal transduction,KEGG
path:ath00250,0.012204477866826685,0.997040647518638,6,72,"Alanine, aspartate and glutamate metabolism",KEGG
path:ath00280,0.020541112060381186,0.9943944517922516,6,78,"Valine, leucine and isoleucine degradation",KEGG
path:ath00270,0.020926867298718115,0.9919244938064556,10,162,Cysteine and methionine metabolism,KEGG
path:ath00945,0.03989372393911123,0.9966363183293722,2,9,"Stilbenoid, diarylheptanoid and gingerol biosynthesis",KEGG
path:ath00400,0.04915953365610445,0.9855014447196119,5,69,"Phenylalanine, tyrosine and tryptophan biosynthesis",KEGG
path:ath00640,0.05884611504610755,0.9846734257212372,4,55,Propanoate metabolism,KEGG
path:ath00360,0.07125650743762504,0.9802465185218046,4,54,Phenylalanine metabolism,KEGG
path:ath00052,0.08097343875115146,0.9764680579403003,4,61,Galactose metabolism,KEGG
path:ath00480,0.08284622672134687,0.9631888925227594,8,129,Glutathione metabolism,KEGG
path:ath00960,0.08531693754259212,0.9804482824465757,3,36,"Tropane, piperidine and pyridine alkaloid biosynthesis",KEGG
path:ath00909,0.10892722154893629,0.9819526428814311,2,22,Sesquiterpenoid and triterpenoid biosynthesis,KEGG
path:ath00430,0.10970527133982412,0.9818694690008777,2,20,Taurine and hypotaurine metabolism,KEGG
path:ath00511,0.14310160289994134,0.9717139354350409,2,29,Other glycan degradation,KEGG
path:ath00260,0.14488548999278494,0.9409211611278622,5,94,"Glycine, serine and threonine metabolism",KEGG
path:ath00520,0.17522087650422952,0.9117392713376851,7,152,Amino sugar and nucleotide sugar metabolism,KEGG
path:ath00941,0.18083433116350123,0.95953839038822,2,21,Flavonoid biosynthesis,KEGG
path:ath00380,0.18908591946992098,0.9252047139200017,4,76,Tryptophan metabolism,KEGG
path:ath00130,0.20180702759764005,0.9315364730606277,3,51,Ubiquinone and other terpenoid-quinone biosynthesis,KEGG
path:ath00910,0.2129407722374456,0.9257171192715579,3,56,Nitrogen metabolism,KEGG
path:ath00460,0.2346758494459657,0.8987717576119978,4,87,Cyanoamino acid metabolism,KEGG
path:ath00565,0.2600102939988945,0.9246401047840552,2,39,Ether lipid metabolism,KEGG
path:ath04130,0.2628470003668687,0.8987247783858477,3,52,SNARE interactions in vesicular transport,KEGG
path:ath00600,0.2681261051517779,0.9206506736970864,2,40,Sphingolipid metabolism,KEGG
