"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0005199",4.67132872192318e-15,1,16,31,"structural constituent of cell wall","MF"
"2","GO:0004601",4.74367999296548e-15,1,30,133,"peroxidase activity","MF"
"3","GO:0020037",1.7662720664132e-12,1,42,316,"heme binding","MF"
"4","GO:0016301",1.52808918050385e-10,1,82,1234,"kinase activity","MF"
"5","GO:0005509",3.26992174622669e-07,0.999999897994649,31,305,"calcium ion binding","MF"
"6","GO:0004674",1.58170599322943e-06,0.999999368744144,52,850,"protein serine/threonine kinase activity","MF"
"7","GO:0030246",1.93720781152522e-06,0.999999479618476,22,199,"carbohydrate binding","MF"
"8","GO:0043531",2.76321632145053e-06,0.999999424006313,16,138,"ADP binding","MF"
"9","GO:0005516",1.68391452639103e-05,0.999993856375439,28,362,"calmodulin binding","MF"
"10","GO:0019825",2.73407701423759e-05,0.999991786511773,20,193,"oxygen binding","MF"
"11","GO:0030599",3.25223190221746e-05,0.99999560633913,9,47,"pectinesterase activity","MF"
"12","GO:0045330",7.3659288205394e-05,0.999990443108877,8,42,"aspartyl esterase activity","MF"
"13","GO:0008171",7.6788427224941e-05,0.999994079375903,6,19,"O-methyltransferase activity","MF"
"14","GO:2001147",0.000124357824455705,1,3,3,"camalexin binding","MF"
"15","GO:2001227",0.000124357824455705,1,3,3,"quercitrin binding","MF"
"16","GO:0016174",0.000136308890634649,0.999994912007157,4,11,"NAD(P)H oxidase activity","MF"
"17","GO:0005524",0.000139489239197192,0.999909220420056,109,2551,"ATP binding","MF"
"18","GO:0004675",0.000196824968052782,0.999937827072423,17,196,"transmembrane receptor protein serine/threonine kinase activity","MF"
"19","GO:0043295",0.00027309750944681,0.999972919521211,6,20,"glutathione binding","MF"
"20","GO:0004568",0.000324013936990508,0.999966067845088,6,22,"chitinase activity","MF"
"21","GO:0005089",0.000439168899629326,0.999976344167915,4,13,"Rho guanyl-nucleotide exchange factor activity","MF"
"22","GO:0016709",0.000670909510890706,0.999804296944254,13,122,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen","MF"
"23","GO:0009975",0.000860594064576627,0.999942326433163,4,15,"cyclase activity","MF"
"24","GO:0046910",0.00105350578513542,0.999765577514737,9,59,"pectinesterase inhibitor activity","MF"
"25","GO:0005385",0.00149411356174845,0.999773079748381,6,36,"zinc ion transmembrane transporter activity","MF"
"26","GO:0016762",0.00168630519680087,0.999743263566221,6,30,"xyloglucan:xyloglucosyl transferase activity","MF"
"27","GO:0015116",0.00172467741384255,0.999856497113434,4,17,"sulfate transmembrane transporter activity","MF"
"28","GO:0030247",0.00195444075224739,0.999623040957264,7,49,"polysaccharide binding","MF"
"29","GO:0010177",0.00241833534784492,0.999976475669186,2,3,"2-(2'-methylthio)ethylmalate synthase activity","MF"
"30","GO:0005381",0.00294142466612828,0.999594302978882,5,27,"iron ion transmembrane transporter activity","MF"
"31","GO:0000293",0.00347008795531384,0.999794898339761,3,11,"ferric-chelate reductase activity","MF"
"32","GO:0047631",0.00349684630188882,0.999642034221289,4,18,"ADP-ribose diphosphatase activity","MF"
"33","GO:0035529",0.00384840062453527,0.999591609106438,4,19,"NADH pyrophosphatase activity","MF"
"34","GO:0008453",0.00537513871651959,0.999620296464577,3,12,"alanine-glyoxylate transaminase activity","MF"
"35","GO:0030552",0.00551622959602963,0.999327474998198,4,25,"cAMP binding","MF"
"36","GO:0030553",0.00551622959602963,0.999327474998198,4,25,"cGMP binding","MF"
"37","GO:0003779",0.00614546508236612,0.998323652720099,8,85,"actin binding","MF"
"38","GO:0004190",0.00699737919142,0.998263618879225,7,65,"aspartic-type endopeptidase activity","MF"
"39","GO:0016798",0.00729712859403865,0.998439660554886,6,44,"hydrolase activity, acting on glycosyl bonds","MF"
"40","GO:0008061",0.0073507171640136,0.999061482887767,4,19,"chitin binding","MF"
"41","GO:0003852",0.00773633047124654,0.999775666641611,2,5,"2-isopropylmalate synthase activity","MF"
"42","GO:0030551",0.00894243760865379,0.998728517328846,4,29,"cyclic nucleotide binding","MF"
"43","GO:0004049",0.00894930355338925,0.999719944348848,2,5,"anthranilate synthase activity","MF"
"44","GO:0009931",0.0097342468414558,0.997742546648786,6,60,"calcium-dependent protein serine/threonine kinase activity","MF"
"45","GO:0004683",0.00978999189736782,0.997726842883897,6,60,"calmodulin-dependent protein kinase activity","MF"
"46","GO:0042409",0.0108426750609998,0.9996757112755,2,4,"caffeoyl-CoA O-methyltransferase activity","MF"
