"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0015979",1.43660500517435e-06,0.999999937276682,6,118,"photosynthesis","BP"
"2","GO:0055085",0.000159547284506035,0.999983479950126,6,399,"transmembrane transport","BP"
"3","GO:0055114",0.000322649118683818,0.999926344598542,11,1349,"oxidation-reduction process","BP"
"4","GO:0015995",0.000336614733419858,0.999989751430043,3,59,"chlorophyll biosynthetic process","BP"
"5","GO:0045490",0.000371910715799351,0.999988244937526,3,65,"pectin catabolic process","BP"
"6","GO:0031640",0.000742199807412657,0.999971160163931,3,33,"killing of cells of other organism","BP"
"7","GO:0050832",0.00100240068653803,0.999884751843395,5,271,"defense response to fungus","BP"
"8","GO:0009651",0.00126242563307775,0.999769593229612,7,699,"response to salt stress","BP"
"9","GO:0010167",0.00197115501979523,0.999961354787955,2,26,"response to nitrate","BP"
"10","GO:0006833",0.00229158024456237,0.999951276524699,2,28,"water transport","BP"
"11","GO:1901401",0.00254974575815478,1,1,1,"regulation of tetrapyrrole metabolic process","BP"
"12","GO:0046322",0.00283884705971005,1,1,1,"negative regulation of fatty acid oxidation","BP"
"13","GO:0071555",0.00334693982458047,0.999623330451841,4,285,"cell wall organization","BP"
"14","GO:0009269",0.00337152268901509,0.999912525419056,2,29,"response to desiccation","BP"
"15","GO:0042128",0.00396680742853453,0.999885972454121,2,45,"nitrate assimilation","BP"
"16","GO:0006869",0.00555339474935512,0.999542729688496,3,107,"lipid transport","BP"
"17","GO:0042545",0.00659437475036508,0.999752851654645,2,51,"cell wall modification","BP"
"18","GO:0015840",0.00671718171964442,0.999988845716271,1,2,"urea transport","BP"
"19","GO:0042759",0.0085761276374522,0.999972720466584,1,4,"long-chain fatty acid biosynthetic process","BP"
"20","GO:0009737",0.00921459054430881,0.998216395068425,5,549,"response to abscisic acid","BP"
"21","GO:0002215",0.00975768026337495,0.999964668183547,1,4,"defense response to nematode","BP"
"22","GO:0055129",0.0101313916437496,0.999959371191407,1,5,"L-proline biosynthetic process","BP"
"23","GO:1900457",0.0101615880714178,0.999961676016116,1,4,"regulation of brassinosteroid mediated signaling pathway","BP"
"24","GO:1901562",0.0119094370655739,0.999943818393791,1,5,"response to paraquat","BP"
"25","GO:0009740",0.0147410986841857,0.999156198580471,2,62,"gibberellic acid mediated signaling pathway","BP"
"26","GO:0006979",0.0178306767331633,0.996750411650399,4,376,"response to oxidative stress","BP"
"27","GO:0006561",0.0192642652239409,0.999836268970771,1,9,"proline biosynthetic process","BP"
"28","GO:1900056",0.0198933689424521,0.999828071316656,1,8,"negative regulation of leaf senescence","BP"
"29","GO:0051091",0.0209472105397829,0.999818322669088,1,6,"positive regulation of DNA-binding transcription factor activity","BP"
"30","GO:0048441",0.024164107211869,0.999733900743367,1,12,"petal development","BP"
"31","GO:0080170",0.0264820194084613,0.999685893962876,1,10,"hydrogen peroxide transmembrane transport","BP"
"32","GO:0010104",0.0266585765477228,0.999675824662907,1,12,"regulation of ethylene-activated signaling pathway","BP"
"33","GO:0010189",0.02866110459931,0.999625012607707,1,12,"vitamin E biosynthetic process","BP"
"34","GO:0042744",0.0295279876731461,0.99753477138402,2,103,"hydrogen peroxide catabolic process","BP"
"35","GO:0000271",0.0302217905181364,0.999573429537749,1,16,"polysaccharide biosynthetic process","BP"
"36","GO:0071249",0.0310304594541291,0.999550162468169,1,16,"cellular response to nitrate","BP"
"37","GO:0010117",0.031980441522122,0.999536370568363,1,11,"photoprotection","BP"
"38","GO:0015706",0.0325795057910217,0.99950602945608,1,15,"nitrate transport","BP"
"39","GO:0010037",0.0357536149282302,0.999399443928473,1,17,"response to carbon dioxide","BP"
"40","GO:0009833",0.0360283414239148,0.999382942820143,1,21,"plant-type primary cell wall biogenesis","BP"
"41","GO:0030245",0.0366621487221011,0.9993642178882,1,19,"cellulose catabolic process","BP"
"42","GO:0005975",0.0376701642795901,0.993604940555059,3,350,"carbohydrate metabolic process","BP"
