"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0046910",2.86153648228728e-07,0.99999999066277,6,59,"pectinesterase inhibitor activity","MF"
"2","GO:0045330",9.89324980557462e-07,0.999999974975705,5,42,"aspartyl esterase activity","MF"
"3","GO:0030599",1.78734475194218e-06,0.999999948509485,5,47,"pectinesterase activity","MF"
"4","GO:0010177",4.32247995686324e-05,0.999999945813023,2,3,"2-(2'-methylthio)ethylmalate synthase activity","MF"
"5","GO:0003852",0.000142127726275719,0.999999468112165,2,5,"2-isopropylmalate synthase activity","MF"
"6","GO:0005199",0.000349326541918704,0.999989450401742,3,31,"structural constituent of cell wall","MF"
"7","GO:0020037",0.000512491097762474,0.999918529106888,7,316,"heme binding","MF"
"8","GO:0015301",0.00246936293113739,0.999946243709741,2,20,"anion:anion antiporter activity","MF"
"9","GO:0004601",0.00287850148174608,0.999687830338407,4,133,"peroxidase activity","MF"
"10","GO:0047844",0.00475042948428513,1,1,1,"deoxycytidine deaminase activity","MF"
"11","GO:0050660",0.00621113585441766,0.999462928754013,3,93,"flavin adenine dinucleotide binding","MF"
"12","GO:0052689",0.00684342419526701,0.999387781119792,3,89,"carboxylic ester hydrolase activity","MF"
"13","GO:0008940",0.00774540247108351,0.999985073660108,1,2,"nitrate reductase activity","MF"
"14","GO:0009703",0.00774540247108351,0.999985073660108,1,2,"nitrate reductase (NADH) activity","MF"
"15","GO:0050464",0.00774540247108351,0.999985073660108,1,2,"nitrate reductase (NADPH) activity","MF"
"16","GO:0102799",0.00815858053634278,0.999983435222903,1,2,"glucosinolate glucohydrolase activity","MF"
"17","GO:0120091",0.00846514582331653,0.999982164189877,1,2,"jasmonic acid hydrolase","MF"
"18","GO:0008318",0.00858677308630038,0.999981646844839,1,2,"protein prenyltransferase activity","MF"
"19","GO:0004126",0.00961652385732753,0.999976968931828,1,2,"cytidine deaminase activity","MF"
"20","GO:0046912",0.0114369501425028,0.999956553073258,1,3,"transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer","MF"
"21","GO:0030170",0.0138269319063475,0.998391839922163,3,121,"pyridoxal phosphate binding","MF"
"22","GO:0004612",0.0154800111150689,0.999910331724336,1,4,"phosphoenolpyruvate carboxykinase (ATP) activity","MF"
"23","GO:0019137",0.0161365086066038,0.999902537709499,1,4,"thioglucosidase activity","MF"
"24","GO:0043546",0.016365267661652,0.99989974502528,1,4,"molybdopterin cofactor binding","MF"
"25","GO:0016709",0.0168177071869341,0.997896285631341,3,122,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen","MF"
"26","GO:0019902",0.0172216307071056,0.999888937757045,1,4,"phosphatase binding","MF"
"27","GO:0015293",0.0176552640057744,0.998885027501214,2,51,"symporter activity","MF"
"28","GO:0004506",0.0201591876313515,0.99983752463731,1,5,"squalene monooxygenase activity","MF"
"29","GO:0004351",0.0225187026669829,0.999788667656913,1,6,"glutamate decarboxylase activity","MF"
"30","GO:0015186",0.0249451380921804,0.999740419921697,1,6,"L-glutamine transmembrane transporter activity","MF"
"31","GO:0050291",0.0256604076894084,0.999725241793167,1,6,"sphingosine N-acyltransferase activity","MF"
"32","GO:0005452",0.0263448402386897,0.999702096748147,1,7,"inorganic anion exchanger activity","MF"
"33","GO:0080139",0.0263448402386897,0.999702096748147,1,7,"borate efflux transmembrane transporter activity","MF"
"34","GO:0022841",0.0266260311837504,0.999704059781091,1,6,"potassium ion leak channel activity","MF"
"35","GO:0010326",0.0294940839103058,0.999626156500927,1,7,"methionine-oxo-acid transaminase activity","MF"
"36","GO:0016614",0.0300059637866137,0.999612989818272,1,7,"oxidoreductase activity, acting on CH-OH group of donors","MF"
"37","GO:0016832",0.0341019190784179,0.999488991060292,1,8,"aldehyde-lyase activity","MF"
"38","GO:0000104",0.0381409110772787,0.999349729263561,1,9,"succinate dehydrogenase activity","MF"
"39","GO:0102966",0.0383035689115104,0.99935426066152,1,8,"arachidoyl-CoA:1-dodecanol O-acyltransferase activity","MF"
"40","GO:0103095",0.0383035689115104,0.99935426066152,1,8,"wax ester synthase activity","MF"
"41","GO:0008177",0.0387922352339079,0.999327162419058,1,9,"succinate dehydrogenase (ubiquinone) activity","MF"
"42","GO:0030151",0.0391038551115765,0.999307783054164,1,10,"molybdenum ion binding","MF"
"43","GO:0015271",0.0400234763595571,0.999274588347767,1,10,"outward rectifier potassium channel activity","MF"
"44","GO:0008271",0.0463513246886577,0.999000085929536,1,13,"secondary active sulfate transmembrane transporter activity","MF"
"45","GO:0016799",0.0476591844007616,0.998949579549423,1,12,"hydrolase activity, hydrolyzing N-glycosyl compounds","MF"
"46","GO:0008453",0.0485370451038197,0.998910166339037,1,12,"alanine-glyoxylate transaminase activity","MF"
"47","GO:0009927",0.0515358419739131,0.998769947911475,1,12,"histidine phosphotransfer kinase activity","MF"
"48","GO:0019825",0.0524517287112719,0.989793023458522,3,193,"oxygen binding","MF"
"49","GO:0004553",0.0537313948108766,0.989437395548954,3,206,"hydrolase activity, hydrolyzing O-glycosyl compounds","MF"
"50","GO:0042803",0.0551487683070645,0.98904483255886,3,208,"protein homodimerization activity","MF"
"51","GO:0015020",0.0579768523278364,0.998419577774348,1,14,"glucuronosyltransferase activity","MF"
"52","GO:0047196",0.0623368433295048,0.998169942046826,1,14,"long-chain-alcohol O-fatty-acyltransferase activity","MF"
"53","GO:0044212",0.0626276142731962,0.982933147087536,4,346,"transcription regulatory region DNA binding","MF"
"54","GO:0015116",0.0638704765800124,0.998052124601884,1,17,"sulfate transmembrane transporter activity","MF"
"55","GO:0052793",0.0641071292513362,0.998037490465565,1,17,"pectin acetylesterase activity","MF"
"56","GO:0004084",0.0646023831329027,0.998014306738087,1,16,"branched-chain-amino-acid transaminase activity","MF"
"57","GO:0016758",0.0647375417189887,0.991646065264877,2,97,"transferase activity, transferring hexosyl groups","MF"
"58","GO:0008970",0.0660920632419323,0.997920515876731,1,16,"phospholipase A1 activity","MF"
"59","GO:0008810",0.0676138850842563,0.997814058331668,1,17,"cellulase activity","MF"
"60","GO:0016788",0.0685975646397295,0.9908588761512,2,96,"hydrolase activity, acting on ester bonds","MF"
"61","GO:0015144",0.0688564227871568,0.990790415123567,2,108,"carbohydrate transmembrane transporter activity","MF"
"62","GO:0043565",0.0693837930136528,0.971925707493567,7,838,"sequence-specific DNA binding","MF"
"63","GO:0009672",0.0705999308123087,0.997605965185892,1,18,"auxin:proton symporter activity","MF"
"64","GO:0005351",0.0724029883758753,0.990036719481571,2,111,"carbohydrate:proton symporter activity","MF"
"65","GO:0008083",0.0791563019028736,0.996991039843184,1,17,"growth factor activity","MF"
"66","GO:0005315",0.0803445611514925,0.996870333625777,1,20,"inorganic phosphate transmembrane transporter activity","MF"
"67","GO:0008061",0.082888168901252,0.996674848380336,1,19,"chitin binding","MF"
"68","GO:0004124",0.0868039329686036,0.996329123004917,1,21,"cysteine synthase activity","MF"
"69","GO:0034459",0.0875241462317037,0.996221661152545,1,28,"ATP-dependent 3'-5' RNA helicase activity","MF"
"70","GO:0015114",0.0958771735651,0.995464513160448,1,26,"phosphate ion transmembrane transporter activity","MF"
"71","GO:0004568",0.0967054671787338,0.995416862415758,1,22,"chitinase activity","MF"
"72","GO:0010329",0.0974319433820703,0.995300551942036,1,28,"auxin efflux transmembrane transporter activity","MF"
"73","GO:0022857",0.0974845138820021,0.975517436385836,3,264,"transmembrane transporter activity","MF"
"74","GO:0047372",0.107012945643599,0.994326121103286,1,26,"acylglycerol lipase activity","MF"
"75","GO:0047262",0.115056047716991,0.993395059051771,1,29,"polygalacturonate 4-alpha-galacturonosyltransferase activity","MF"
"76","GO:0004386",0.124586975782182,0.976515206758577,2,173,"helicase activity","MF"
"77","GO:0016762",0.129311561364,0.991602158266842,1,30,"xyloglucan:xyloglucosyl transferase activity","MF"
"78","GO:0004707",0.132568771029172,0.991128584057595,1,34,"MAP kinase activity","MF"
"79","GO:0005215",0.139089265125123,0.959280836184867,3,321,"transporter activity","MF"
"80","GO:0009055",0.141145526259411,0.971402300282792,2,147,"electron transfer activity","MF"
"81","GO:0004857",0.143023693369729,0.989641854442944,1,33,"enzyme inhibitor activity","MF"
"82","GO:0102483",0.14989956438316,0.988532710365783,1,40,"scopolin beta-glucosidase activity","MF"
"83","GO:0004650",0.158042511805395,0.987212963084564,1,40,"polygalacturonase activity","MF"
"84","GO:0016798",0.176254580003537,0.983948019840081,1,44,"hydrolase activity, acting on glycosyl bonds","MF"
"85","GO:0030145",0.178664474863058,0.983498862994994,1,43,"manganese ion binding","MF"
"86","GO:0008483",0.185967362910266,0.982029419349954,1,48,"transaminase activity","MF"
"87","GO:0000978",0.188064290319601,0.981614458033928,1,47,"RNA polymerase II proximal promoter sequence-specific DNA binding","MF"
"88","GO:0030247",0.191716366037845,0.980850081463971,1,49,"polysaccharide binding","MF"
"89","GO:0004675",0.192495186447076,0.952860620402849,2,196,"transmembrane receptor protein serine/threonine kinase activity","MF"
"90","GO:0030246",0.201025665942374,0.949430286770115,2,199,"carbohydrate binding","MF"
"91","GO:0015238",0.201228768792753,0.978778257231335,1,55,"drug transmembrane transporter activity","MF"
"92","GO:0008375",0.212790397458693,0.976152597841512,1,56,"acetylglucosaminyltransferase activity","MF"
"93","GO:0008422",0.213128463359172,0.976040632530666,1,61,"beta-glucosidase activity","MF"
"94","GO:0019900",0.214990210420937,0.975635491278391,1,56,"kinase binding","MF"
"95","GO:0045735",0.220540504832377,0.974319815573675,1,54,"nutrient reservoir activity","MF"
"96","GO:0016301",0.231943002883466,0.873294757424406,7,1234,"kinase activity","MF"
"97","GO:0004806",0.234015364840376,0.970848953116016,1,64,"triglyceride lipase activity","MF"
"98","GO:0004197",0.235897000969895,0.970318748891173,1,70,"cysteine-type endopeptidase activity","MF"
"99","GO:0004190",0.240930138005481,0.969006529492659,1,65,"aspartic-type endopeptidase activity","MF"
"100","GO:0071949",0.250025125743284,0.966463496745301,1,70,"FAD binding","MF"
"101","GO:0005506",0.28286952641743,0.91144194227922,2,245,"iron ion binding","MF"
"102","GO:0004252",0.312256547455499,0.946124876757583,1,93,"serine-type endopeptidase activity","MF"
"103","GO:0003700",0.31966158730525,0.795542795762969,9,1717,"DNA-binding transcription factor activity","MF"
"104","GO:0016829",0.319808890590705,0.943312964057653,1,91,"lyase activity","MF"
"105","GO:0016746",0.335985379347528,0.93696025189857,1,95,"transferase activity, transferring acyl groups","MF"
"106","GO:0019901",0.347098722475966,0.932344033252809,1,102,"protein kinase binding","MF"
"107","GO:0016757",0.398909065586781,0.805636934305232,3,555,"transferase activity, transferring glycosyl groups","MF"
"108","GO:0008194",0.413342688633092,0.900938035817314,1,121,"UDP-glycosyltransferase activity","MF"
