"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0042545",2.88835611674303e-06,0.999999907599576,5,51,"cell wall modification","BP"
"2","GO:0045490",8.33898179103562e-06,0.999999662944982,5,65,"pectin catabolic process","BP"
"3","GO:0019761",1.19340957443763e-05,0.999999713292335,4,33,"glucosinolate biosynthetic process","BP"
"4","GO:0000904",1.8312097089516e-05,1,2,2,"cell morphogenesis involved in differentiation","BP"
"5","GO:0071555",0.000167703753304705,0.999977877217807,7,285,"cell wall organization","BP"
"6","GO:0042744",0.00116791024284742,0.99990155184445,4,103,"hydrogen peroxide catabolic process","BP"
"7","GO:0010215",0.00149947283769044,0.999975591570757,2,14,"cellulose microfibril organization","BP"
"8","GO:0009098",0.00287229315796997,0.999932754361587,2,19,"leucine biosynthetic process","BP"
"9","GO:0001935",0.00440859145560179,1,1,1,"endothelial cell proliferation","BP"
"10","GO:0006216",0.00475042948428513,1,1,1,"cytidine catabolic process","BP"
"11","GO:0009625",0.00710305840383285,0.99972730767756,2,29,"response to insect","BP"
"12","GO:0097237",0.00846514582331653,0.999982164189877,1,2,"cellular response to toxic substance","BP"
"13","GO:0009081",0.00863990398920518,0.999981418519717,1,2,"branched-chain amino acid metabolic process","BP"
"14","GO:1901430",0.00896258019647686,0.999980001393782,1,2,"positive regulation of syringal lignin biosynthetic process","BP"
"15","GO:0009972",0.00961652385732753,0.999976968931828,1,2,"cytidine deamination","BP"
"16","GO:0009733",0.0104389041778215,0.997891262023562,5,315,"response to auxin","BP"
"17","GO:0009751",0.0110804098733606,0.998230228511974,4,197,"response to salicylic acid","BP"
"18","GO:0042659",0.0117409256612185,0.999954206592255,1,3,"regulation of cell fate specification","BP"
"19","GO:0046340",0.0131060982462303,0.999942902996416,1,3,"diacylglycerol catabolic process","BP"
"20","GO:0052651",0.0131060982462303,0.999942902996416,1,3,"monoacylglycerol catabolic process","BP"
"21","GO:1902358",0.0172023803631717,0.999881833715716,1,5,"sulfate transmembrane transport","BP"
"22","GO:0071367",0.0181786442842853,0.999876200817756,1,4,"cellular response to brassinosteroid stimulus","BP"
"23","GO:0080160",0.0186377197217281,0.999861210457913,1,5,"selenate transport","BP"
"24","GO:1905582",0.0189475448791692,0.999865462641688,1,4,"response to mannose","BP"
"25","GO:0019752",0.0193678425845733,0.999850078698242,1,5,"carboxylic acid metabolic process","BP"
"26","GO:1904961",0.0199109938348489,0.999841516801319,1,5,"quiescent center organization","BP"
"27","GO:0010054",0.0203040795175433,0.999835170923339,1,5,"trichoblast differentiation","BP"
"28","GO:0006536",0.022219503065098,0.999794270702887,1,6,"glutamate metabolic process","BP"
"29","GO:0006538",0.0225187026669829,0.999788667656913,1,6,"glutamate catabolic process","BP"
"30","GO:0009749",0.0259273830705665,0.997982392462835,2,62,"response to glucose","BP"
"31","GO:0033591",0.0263747694394185,0.999709647978962,1,6,"response to L-ascorbic acid","BP"
"32","GO:0030322",0.0266260311837504,0.999704059781091,1,6,"stabilization of membrane potential","BP"
"33","GO:0006809",0.0292162341643243,0.999625631904802,1,8,"nitric oxide biosynthetic process","BP"
"34","GO:0006624",0.03019446869687,0.999599991519874,1,8,"vacuolar protein processing","BP"
"35","GO:0048767",0.0303847039200957,0.997420040054788,2,69,"root hair elongation","BP"
"36","GO:0051782",0.0304909452409885,0.999600302280206,1,7,"negative regulation of cell division","BP"
"37","GO:0055114",0.0307363043248834,0.986697641345186,11,1349,"oxidation-reduction process","BP"
"38","GO:0010018",0.0308954230407471,0.999589562387759,1,7,"far-red light signaling pathway","BP"
"39","GO:0046713",0.0343835576032254,0.999472298293692,1,9,"borate transport","BP"
"40","GO:0009664",0.0345698622385183,0.996856762676375,2,66,"plant-type cell wall organization","BP"
"41","GO:0048316",0.0345779825287861,0.996850782091985,2,71,"seed development","BP"
"42","GO:0009635",0.0356769969119503,0.999431568032222,1,9,"response to herbicide","BP"
"43","GO:0048579",0.0358471986096817,0.999418999345044,1,10,"negative regulation of long-day photoperiodism, flowering","BP"
"44","GO:0052324",0.0360053643280426,0.999420983480378,1,9,"plant-type cell wall cellulose biosynthetic process","BP"
"45","GO:0018342",0.0373266968989348,0.999377390730925,1,9,"protein prenylation","BP"
"46","GO:0080060",0.0386021058755075,0.999325561627432,1,10,"integument development","BP"
"47","GO:0030307",0.0430706111583355,0.999143587664832,1,12,"positive regulation of cell growth","BP"
"48","GO:0071669",0.0451190562580933,0.999076327455234,1,10,"plant-type cell wall organization or biogenesis","BP"
"49","GO:0009873",0.048442692856612,0.990868150932797,3,187,"ethylene-activated signaling pathway","BP"
