category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,Annotation,ontology
ARA:PWY-101,3.3328648157293514e-4,0.9999827872083334,4,46,photosynthesis light reactions,BioCyc
ARA:PHOTOALL-PWY,0.0020676339423299495,0.9998202293708377,4,85,oxygenic photosynthesis,BioCyc
ARA:PWY-5343,0.004087183373138097,1,1,1,ajugose biosynthesis II (galactinol-independent),BioCyc
ARA:PWY-5063,0.004832985668197046,1,1,1,phytyl diphosphate biosynthesis,BioCyc
ARA:CHLOROPHYLL-SYN,0.005628030485926342,0.9998243719917249,2,22,"3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)",BioCyc
ARA:PWY-6232,0.006104298346657655,1,1,1,chrysoeriol biosynthesis,BioCyc
ARA:PWY-5049,0.006490698631975584,1,1,1,rosmarinic acid biosynthesis II,BioCyc
ARA:PWY-5064,0.008875010185987757,0.9999812623933287,1,2,chlorophyll a biosynthesis II,BioCyc
ARA:PWY-6064,0.010592280339395185,0.9999732852693038,1,2,methylquercetin biosynthesis,BioCyc
ARA:PWY0-541,0.014853998119360386,0.9999211205962385,1,4,cyclopropane fatty acid (CFA) biosynthesis,BioCyc
ARA:PWY-2181,0.026488478331472054,0.9997311778482089,1,5,free phenylpropanoid acid biosynthesis,BioCyc
ARA:PWY-2582,0.036457891244986794,0.9994411522186474,1,8,brassinosteroid biosynthesis II,BioCyc
ARA:PWY-861,0.04349159510097278,0.999202443170102,1,8,dhurrin biosynthesis,BioCyc
ARA:PWY-2724,0.047615017080199815,0.9989975475704218,1,12,alkane oxidation,BioCyc
ARA:PWY-6544,0.04809880582755243,0.9989852018798043,1,11,superpathway of C28 brassinosteroid biosynthesis,BioCyc
ARA:PWY-699,0.04809880582755243,0.9989852018798043,1,11,brassinosteroid biosynthesis I,BioCyc
ARA:PWY-6199,0.05497800114872859,0.998745222668828,1,7,quercetin sulfate biosynthesis,BioCyc
ARA:PWY-2501,0.059067888409092675,0.9984227025302329,1,15,fatty acid &alpha;-oxidation I,BioCyc
ARA:PWY-6444,0.05909360079520543,0.9984213131891783,1,15,"benzoate biosynthesis II (CoA-independent, non-&beta;-oxidative)",BioCyc
ARA:PWY-6792,0.06484189051338334,0.9981615701347086,1,10,scopoletin biosynthesis,BioCyc
ARA:PWY-7186,0.07192183283997418,0.9976497138112799,1,15,superpathway of scopolin and esculin biosynthesis,BioCyc
ARA:PWY-1001,0.07449258056783825,0.9974322253483761,1,20,cellulose biosynthesis,BioCyc
ARA:PWY-5453,0.08360490222197793,0.9968434955550466,1,13,methylglyoxal degradation III,BioCyc
ARA:PWY-6446,0.08376355376841403,0.9967415567576902,1,20,"benzoate biosynthesis III (CoA-dependent, non-&beta;-oxidative)",BioCyc
ARA:PWY-6786,0.09045815336516722,0.9962546950111051,1,15,detoxification of reactive carbonyls in chloroplasts,BioCyc
ARA:OXIDATIVEPENT-PWY,0.09942567009978355,0.9953807409243499,1,20,pentose phosphate pathway (oxidative branch) I,BioCyc
ARA:PWY-7398,0.10499096007905782,0.9948515487662078,1,19,coumarins biosynthesis (engineered),BioCyc
ARA:PWY-6039,0.11017010055729912,0.9942904565063624,1,21,chlorogenic acid biosynthesis I,BioCyc
ARA:PWY66-21,0.13349747775274878,0.9913837403365818,1,34,ethanol degradation II,BioCyc
ARA:PWY-5868,0.13514970354296646,0.991217929139441,1,28,simple coumarins biosynthesis,BioCyc
ARA:PWY-1081,0.1669796030561489,0.9862956204835808,1,38,homogalacturonan degradation,BioCyc
ARA:PENTOSE-P-PWY,0.17633515134770184,0.9846799279195809,1,36,pentose phosphate pathway,BioCyc
ARA:PWY-5992,0.19382909195580195,0.9812843124516121,1,42,thalianol and derivatives biosynthesis,BioCyc
ARA:PWY-361,0.24041805591016208,0.9704881384922435,1,54,phenylpropanoid biosynthesis,BioCyc
ARA:PWY-1121,0.2516982417612848,0.9674960392944831,1,54,suberin monomers biosynthesis,BioCyc
ARA:PWY-6733,0.9999999999999979,0.8064550579055628,0,39,sporopollenin precursors biosynthesis,BioCyc
ARA:GLUCONEO-PWY,0.9999999999999984,0.751904289798048,0,60,gluconeogenesis I,BioCyc
ARA:PWY-1042,0.9999999999999986,0.7752328758752997,0,55,glycolysis IV (plant cytosol),BioCyc
ARA:PWY-3781,0.9999999999999993,0.4712352791665975,0,104,aerobic respiration I (cytochrome c),BioCyc
ARA:PWY-6842,0.9999999999999993,0.5853938377055042,0,71,glutathione-mediated detoxification II,BioCyc
ARA:PWY-6443,0.9999999999999999,0.7258673342188743,0,54,"benzoate biosynthesis I (CoA-dependent, &beta;-oxidative)",BioCyc
ARA:PWY-7416,0.9999999999999999,0.8730445804979459,0,27,"phospholipid remodeling (phosphatidylcholine, yeast)",BioCyc
ARA:ALACAT2-PWY,1,0.9449806615036417,0,12,L-alanine degradation II (to D-lactate),BioCyc
ARA:ALANINE-DEG3-PWY,1,0.9628145167114305,0,8,L-alanine degradation III,BioCyc
ARA:ALANINE-SYN2-PWY,1,0.9628145167114305,0,8,L-alanine biosynthesis II,BioCyc
ARA:ARG-PRO-PWY,1,0.9797844324886308,0,4,L-arginine degradation VI (arginase 2 pathway),BioCyc
ARA:ARGASEDEG-PWY,1,0.9869514952829508,0,3,L-arginine degradation I (arginase pathway),BioCyc
ARA:ARGDEG-V-PWY,1,0.9875543987750753,0,3,L-arginine degradation X (arginine monooxygenase pathway),BioCyc
ARA:ARGININE-SYN4-PWY,1,0.9739247815929164,0,6,L-ornithine biosynthesis II,BioCyc
ARA:ARGSPECAT-PWY,1,0.939028558298138,0,11,spermine biosynthesis,BioCyc
ARA:ARGSYN-PWY,1,0.9216732468772045,0,16,L-arginine biosynthesis I (via L-ornithine),BioCyc
ARA:ARGSYNBSUB-PWY,1,0.9259725431519433,0,15,L-arginine biosynthesis II (acetyl cycle),BioCyc
ARA:ASPARAGINE-BIOSYNTHESIS,1,0.976169239773288,0,6,L-asparagine biosynthesis I,BioCyc
ARA:ASPARAGINE-DEG1-PWY,1,0.9669242137422306,0,6,L-asparagine degradation I,BioCyc
ARA:ASPARAGINESYN-PWY,1,0.976169239773288,0,6,L-asparagine biosynthesis II,BioCyc
ARA:ASPARTATE-DEG1-PWY,1,0.9436425095228702,0,14,L-aspartate degradation I,BioCyc
ARA:ASPARTATESYN-PWY,1,0.9436425095228702,0,14,L-aspartate biosynthesis,BioCyc
ARA:ASPASN-ARA-PWY,1,0.8904910117339984,0,26,superpathway of aspartate and asparagine biosynthesis,BioCyc
ARA:ASPSYNII-PWY,1,0.9552387427426393,0,10,cyanide detoxification I,BioCyc
ARA:BRANCHED-CHAIN-AA-SYN-PWY,1,0.8429162328418515,0,37,superpathway of branched chain amino acid biosynthesis,BioCyc
ARA:BSUBPOLYAMSYN-PWY,1,0.9346266327637638,0,12,spermidine biosynthesis I,BioCyc
ARA:CALVIN-PWY,1,0.8045809391174611,0,39,Calvin-Benson-Bassham cycle,BioCyc
ARA:CAMALEXIN-SYN,1,0.8570631812739571,0,29,camalexin biosynthesis,BioCyc
ARA:CITRULBIO-PWY,1,0.8515636463177114,0,35,L-citrulline biosynthesis,BioCyc
ARA:CITRULLINE-DEG-PWY,1,0.9949253352594126,0,1,L-citrulline degradation,BioCyc
ARA:COA-PWY,1,0.9436078242003834,0,9,coenzyme A biosynthesis I,BioCyc
ARA:COMPLETE-ARO-ARA-PWY,1,0.8344639520599744,0,38,"superpathway of phenylalanine, tyrosine and tryptophan biosynthesis",BioCyc
