"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0005576",9.48195104176463e-08,0.999999981815498,21,2180,"extracellular region","CC"
"2","GO:0042807",3.5141981005817e-07,0.999999999439175,3,5,"central vacuole","CC"
"3","GO:0016020",3.591058687533e-06,0.999999243426373,17,2107,"membrane","CC"
"4","GO:0009705",0.000228637663578153,0.999987627108419,4,139,"plant-type vacuole membrane","CC"
"5","GO:0009535",0.000294252520861783,0.999958199411001,7,428,"chloroplast thylakoid membrane","CC"
"6","GO:0009534",0.00065508751848747,0.999931587210489,5,241,"chloroplast thylakoid","CC"
"7","GO:0009505",0.00140817687217196,0.999824831387031,5,347,"plant-type cell wall","CC"
"8","GO:0016021",0.00443094956054251,0.998070820287348,22,5100,"integral component of membrane","CC"
"9","GO:0005887",0.00699066616554756,0.999369756301879,3,190,"integral component of plasma membrane","CC"
"10","GO:0010007",0.00902183883520011,0.999969805563122,1,4,"magnesium chelatase complex","CC"
"11","GO:0031977",0.0104932422488187,0.999497916079608,2,58,"thylakoid lumen","CC"
"12","GO:0005618",0.0132149619514703,0.997204950716823,5,560,"cell wall","CC"
"13","GO:0009706",0.0219389968382119,0.998437453860714,2,99,"chloroplast inner membrane","CC"
"14","GO:0000326",0.0225857493934379,0.999774656497444,1,9,"protein storage vacuole","CC"
"15","GO:0009543",0.0259975080882666,0.997977564080301,2,87,"chloroplast thylakoid lumen","CC"
"16","GO:0010168",0.0330245933830103,0.999488136631586,1,17,"ER body","CC"
"17","GO:0009579",0.0363361667788394,0.993930828406133,3,241,"thylakoid","CC"
"18","GO:0009538",0.0444079586125724,0.999101809591733,1,11,"photosystem I reaction center","CC"
"19","GO:0030095",0.0569308013712757,0.998471235397378,1,16,"chloroplast photosystem II","CC"
"20","GO:0009654",0.0627712201721786,0.998123896710331,1,18,"photosystem II oxygen evolving complex","CC"
"21","GO:0031982",0.0638562689578364,0.998023285490711,1,26,"vesicle","CC"
"22","GO:0009941",0.0805823343056602,0.976347299493083,4,683,"chloroplast envelope","CC"
"23","GO:0019898",0.0858565618787666,0.996353200273058,1,38,"extrinsic component of membrane","CC"
"24","GO:0009522",0.0981628436298284,0.995262048160334,1,27,"photosystem I","CC"
"25","GO:0009523",0.111720678550883,0.993801945734166,1,31,"photosystem II","CC"
"26","GO:0009506",0.138275584685595,0.944368168454314,5,1214,"plasmodesma","CC"
"27","GO:0009707",0.148269031399252,0.988749157044352,1,64,"chloroplast outer membrane","CC"
"28","GO:0048046",0.155460639221946,0.952553658878749,3,501,"apoplast","CC"
"29","GO:0005774",0.194472043145852,0.934256232677055,3,669,"vacuolar membrane","CC"
"30","GO:0010287",0.210275276686767,0.976743775104345,1,81,"plastoglobule","CC"
"31","GO:0005759",0.232062037572952,0.971324258764188,1,117,"mitochondrial matrix","CC"
"32","GO:0005773",0.273518726473066,0.891162302693454,3,801,"vacuole","CC"
"33","GO:0031969",0.303707146508605,0.949272122908538,1,168,"chloroplast membrane","CC"
"34","GO:0046658",0.3424064026547,0.93447545767643,1,143,"anchored component of plasma membrane","CC"
"35","GO:0009507",0.401744848153299,0.70423577976443,16,6062,"chloroplast","CC"
"36","GO:0005575",0.418165440967057,0.829436075401344,2,392,"cellular_component","CC"
"37","GO:0031225",0.5263792440397,0.830102251727715,1,220,"anchored component of membrane","CC"
"38","GO:0005802",0.574509551797692,0.791707738219477,1,421,"trans-Golgi network","CC"
"39","GO:0000139",0.584910772060033,0.782770490527824,1,430,"Golgi membrane","CC"
"40","GO:0005886",0.590557872096751,0.550244750454642,9,4166,"plasma membrane","CC"
"41","GO:0009570",0.592923621893452,0.68205132077984,2,832,"chloroplast stroma","CC"
"42","GO:0005783",0.651452893357676,0.620751880384009,2,961,"endoplasmic reticulum","CC"
"43","GO:0005737",0.674878447613456,0.444442808335827,12,5641,"cytoplasm","CC"
"44","GO:0005789",0.677902722676512,0.690433365242933,1,495,"endoplasmic reticulum membrane","CC"
"45","GO:0005794",0.802625055968193,0.425751677468164,2,1363,"Golgi apparatus","CC"
"46","GO:0005829",0.889474301700354,0.227173895702181,4,2799,"cytosol","CC"
"47","GO:0005739",0.987311638322889,0.0338972153324126,5,3912,"mitochondrion","CC"
"48","GO:0005634",0.999999970459397,1.59228471961601e-07,8,11678,"nucleus","CC"
"49","GO:0000015",1,0.994513002087794,0,3,"phosphopyruvate hydratase complex","CC"
"50","GO:0000109",1,0.998184111406512,0,1,"nucleotide-excision repair complex","CC"
"51","GO:0000110",1,0.990852433187352,0,5,"nucleotide-excision repair factor 1 complex","CC"
"52","GO:0000111",1,0.994846690236892,0,3,"nucleotide-excision repair factor 2 complex","CC"
"53","GO:0000112",1,0.996571896748127,0,2,"nucleotide-excision repair factor 3 complex","CC"
"54","GO:0000118",1,0.988637879830715,0,6,"histone deacetylase complex","CC"
"55","GO:0000123",1,0.960291247283226,0,19,"histone acetyltransferase complex","CC"
"56","GO:0000124",1,0.952155951438348,0,21,"SAGA complex","CC"
"57","GO:0000126",1,0.990296615753326,0,5,"transcription factor TFIIIB complex","CC"
"58","GO:0000127",1,0.986650677085276,0,6,"transcription factor TFIIIC complex","CC"
"59","GO:0000138",1,0.983621584053627,0,7,"Golgi trans cisterna","CC"
"60","GO:0000145",1,0.935488193578651,0,36,"exocyst","CC"
"61","GO:0000148",1,0.980243153503126,0,18,"1,3-beta-D-glucan synthase complex","CC"
"62","GO:0000151",1,0.87115615347281,0,68,"ubiquitin ligase complex","CC"
"63","GO:0000152",1,0.996574000497754,0,2,"nuclear ubiquitin ligase complex","CC"
"64","GO:0000153",1,0.996301218641022,0,2,"cytoplasmic ubiquitin ligase complex","CC"
"65","GO:0000159",1,0.937421401414688,0,35,"protein phosphatase type 2A complex","CC"
"66","GO:0000164",1,0.983127911832406,0,7,"protein phosphatase type 1 complex","CC"
"67","GO:0000172",1,0.989623710160713,0,3,"ribonuclease MRP complex","CC"
"68","GO:0000176",1,0.952046546373305,0,21,"nuclear exosome (RNase complex)","CC"
"69","GO:0000177",1,0.963515828966044,0,17,"cytoplasmic exosome (RNase complex)","CC"
"70","GO:0000178",1,0.975463205758646,0,12,"exosome (RNase complex)","CC"
"71","GO:0000214",1,0.985978367985762,0,4,"tRNA-intron endonuclease complex","CC"
"72","GO:0000220",1,0.98889368685067,0,5,"vacuolar proton-transporting V-type ATPase, V0 domain","CC"
"73","GO:0000221",1,0.996508874384433,0,2,"vacuolar proton-transporting V-type ATPase, V1 domain","CC"
"74","GO:0000228",1,0.967695735865495,0,17,"nuclear chromosome","CC"
"75","GO:0000243",1,0.973016189912008,0,11,"commitment complex","CC"
"76","GO:0000262",1,0.997407183234158,0,1,"mitochondrial chromosome","CC"
"77","GO:0000274",1,0.997555521506399,0,1,"mitochondrial proton-transporting ATP synthase, stator stalk","CC"
"78","GO:0000275",1,0.972120600366303,0,11,"mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)","CC"
