"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0005576",7.82290606577252e-14,1,76,2180,"extracellular region","CC"
"2","GO:0009505",2.40301576936127e-05,0.999993896464431,16,347,"plant-type cell wall","CC"
"3","GO:0048226",0.000824743118808961,0.999970098505961,3,12,"Casparian strip","CC"
"4","GO:0005618",0.000901149266161734,0.999659944695534,18,560,"cell wall","CC"
"5","GO:0005886",0.00147515011286308,0.999062253578813,74,4166,"plasma membrane","CC"
"6","GO:0009530",0.00319672318333784,0.999936385980862,2,6,"primary cell wall","CC"
"7","GO:0016021",0.00573113751910356,0.99602541410335,89,5100,"integral component of membrane","CC"
"8","GO:0048046",0.0119706959387411,0.994811368016241,14,501,"apoplast","CC"
"9","GO:0005770",0.0135107160982523,0.998469543184141,3,43,"late endosome","CC"
"10","GO:0030121",0.0210778767709049,0.999850904502177,1,3,"AP-1 adaptor complex","CC"
"11","GO:0005814",0.0505487813332968,0.999130863025757,1,3,"centriole","CC"
"12","GO:0009506",0.0531369030274576,0.967788209739211,22,1214,"plasmodesma","CC"
"13","GO:0090575",0.0577501020646786,0.993228557016319,2,26,"RNA polymerase II transcription factor complex","CC"
"14","GO:0016020",0.0621669537596784,0.957316199822501,36,2107,"membrane","CC"
"15","GO:0005887",0.0728545085693111,0.975354491517238,5,190,"integral component of plasma membrane","CC"
"16","GO:0009331",0.0972640825366975,0.995713058150903,1,8,"glycerol-3-phosphate dehydrogenase complex","CC"
"17","GO:0012511",0.120969463651064,0.993304496963792,1,8,"monolayer-surrounded lipid storage body","CC"
"18","GO:0030131",0.128532185074366,0.99201845809636,1,13,"clathrin adaptor complex","CC"
"19","GO:0035267",0.152457722797068,0.988598798964213,1,14,"NuA4 histone acetyltransferase complex","CC"
"20","GO:0030665",0.15616514651283,0.98796154240707,1,15,"clathrin-coated vesicle membrane","CC"
"21","GO:0005815",0.159359435401503,0.987447993985096,1,15,"microtubule organizing center","CC"
"22","GO:0005615",0.172457383547476,0.933089185319762,4,139,"extracellular space","CC"
"23","GO:0009986",0.194679673568495,0.980785617546627,1,18,"cell surface","CC"
"24","GO:0005765",0.21980484538528,0.975116887702768,1,20,"lysosomal membrane","CC"
"25","GO:0000123",0.224449188256058,0.974070556646129,1,19,"histone acetyltransferase complex","CC"
"26","GO:0005773",0.243455769353897,0.838717783171339,13,801,"vacuole","CC"
"27","GO:0000421",0.257521161776067,0.965298728568327,1,20,"autophagosome membrane","CC"
"28","GO:0070469",0.274945657667883,0.960055974860294,1,21,"respiratory chain","CC"
"29","GO:0005575",0.32596235671281,0.794652235732377,8,392,"cellular_component","CC"
