category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,Annotation,ontology
path:ath01100,3.6169725372050506e-6,0.9999989467183262,48,2631,Metabolic pathways,KEGG
path:ath00902,3.114533378319414e-5,0.9999997330404409,3,6,Monoterpenoid biosynthesis,KEGG
path:ath00909,9.896274196767407e-4,0.9999589702067972,3,22,Sesquiterpenoid and triterpenoid biosynthesis,KEGG
path:ath00480,0.0010533882174068327,0.9998180844597744,7,129,Glutathione metabolism,KEGG
path:ath00740,0.0030101509188072526,0.99981392577302,3,24,Riboflavin metabolism,KEGG
path:ath00940,0.0038086343574002556,0.9991679524616677,7,168,Phenylpropanoid biosynthesis,KEGG
path:ath00520,0.00669640885525275,0.9985807309912156,6,152,Amino sugar and nucleotide sugar metabolism,KEGG
path:ath01110,0.010154281742567238,0.9951999734879478,23,1292,Biosynthesis of secondary metabolites,KEGG
path:ath01502,0.012175939296397698,1,1,1,Vancomycin resistance,KEGG
path:ath00650,0.03762886561319654,0.9965447424630668,2,30,Butanoate metabolism,KEGG
path:ath00040,0.055259844390992796,0.9892917535362261,3,76,Pentose and glucuronate interconversions,KEGG
path:ath00072,0.08748648388489419,0.9965340002441676,1,9,Synthesis and degradation of ketone bodies,KEGG
path:ath00130,0.11295067489539234,0.9804252381366196,2,51,Ubiquinone and other terpenoid-quinone biosynthesis,KEGG
path:ath00360,0.11853699725643663,0.9788390186756071,2,54,Phenylalanine metabolism,KEGG
path:ath00910,0.12482746153615633,0.9770097066201185,2,56,Nitrogen metabolism,KEGG
path:ath00430,0.19831057942999583,0.980153985409473,1,20,Taurine and hypotaurine metabolism,KEGG
path:ath00908,0.20373308995994488,0.9790069024089567,1,20,Zeatin biosynthesis,KEGG
path:ath00760,0.21292625959870595,0.9768801160640582,1,22,Nicotinate and nicotinamide metabolism,KEGG
path:ath00950,0.2168524229253624,0.9758925650190217,1,24,Isoquinoline alkaloid biosynthesis,KEGG
path:ath00450,0.2262182342088672,0.97362064423336,1,25,Selenocompound metabolism,KEGG
path:ath00562,0.23815184289667884,0.9342758357359507,2,99,Inositol phosphate metabolism,KEGG
path:ath04626,0.24468842793216544,0.8931442415199224,4,217,Plant-pathogen interaction,KEGG
path:ath00906,0.26188295045539095,0.9639226352735958,1,29,Carotenoid biosynthesis,KEGG
path:ath04933,0.27306979854603786,0.9607314468633779,1,26,AGE-RAGE signaling pathway in diabetic complications,KEGG
path:ath00270,0.2742878982654969,0.8915045768011955,3,162,Cysteine and methionine metabolism,KEGG
path:ath00960,0.3313428765374791,0.9400872983135842,1,36,"Tropane, piperidine and pyridine alkaloid biosynthesis",KEGG
path:ath00100,0.34860968822900595,0.9329903906654099,1,40,Steroid biosynthesis,KEGG
path:ath00592,0.3802077245421823,0.9189491266340216,1,44,alpha-Linolenic acid metabolism,KEGG
path:ath00310,0.40062688939289426,0.9088846601330072,1,51,Lysine degradation,KEGG
path:ath00410,0.40392093460185285,0.9072330045436231,1,51,beta-Alanine metabolism,KEGG
path:ath00350,0.43970818291259817,0.8880780680130633,1,52,Tyrosine metabolism,KEGG
path:ath04075,0.4464488704494517,0.7461617703283244,4,286,Plant hormone signal transduction,KEGG
path:ath00010,0.45759058374667994,0.8014569906953217,2,145,Glycolysis / Gluconeogenesis,KEGG
path:ath00052,0.45891035533830016,0.8766093546743556,1,61,Galactose metabolism,KEGG
path:ath00970,0.4597486180203894,0.8760270650311773,1,64,Aminoacyl-tRNA biosynthesis,KEGG
path:ath04136,0.49988344038398286,0.8503569089829468,1,63,Autophagy - other,KEGG
path:ath00053,0.5080102909503668,0.8447737454205688,1,63,Ascorbate and aldarate metabolism,KEGG
path:ath00250,0.5225593514367355,0.8341879006935595,1,72,"Alanine, aspartate and glutamate metabolism",KEGG
path:ath00330,0.5268279273825447,0.8311780533437881,1,68,Arginine and proline metabolism,KEGG
path:ath03440,0.5446010127397516,0.8175505521056333,1,77,Homologous recombination,KEGG
path:ath00400,0.5474559905840273,0.815546704589617,1,69,"Phenylalanine, tyrosine and tryptophan biosynthesis",KEGG
path:ath00240,0.5510251492092837,0.8126670554112841,1,72,Pyrimidine metabolism,KEGG
path:ath00280,0.5595021083979541,0.8057597756256818,1,78,"Valine, leucine and isoleucine degradation",KEGG
path:ath00900,0.5757218677323666,0.7926069836930636,1,70,Terpenoid backbone biosynthesis,KEGG
path:ath00380,0.5765718476343068,0.7917145809780429,1,76,Tryptophan metabolism,KEGG
path:ath00561,0.5931164836351447,0.7771066983743613,1,88,Glycerolipid metabolism,KEGG
path:ath00460,0.6169266389901414,0.7553219291857871,1,87,Cyanoamino acid metabolism,KEGG
path:ath04070,0.6529882105583449,0.7190668108324794,1,105,Phosphatidylinositol signaling system,KEGG
path:ath00564,0.7667874665776555,0.5782526590654451,1,138,Glycerophospholipid metabolism,KEGG
path:ath04016,0.8468064844798842,0.4463882535800613,1,158,MAPK signaling pathway - plant,KEGG
path:ath04120,0.8554819689195462,0.42971553002145535,1,175,Ubiquitin mediated proteolysis,KEGG
path:ath03040,0.9675533040394618,0.14721593531410992,1,310,Spliceosome,KEGG
path:ath01230,0.9745075329459776,0.12219873013566535,1,323,Biosynthesis of amino acids,KEGG
path:ath00030,0.9999999999999996,0.4132704579331192,0,77,Pentose phosphate pathway,KEGG
path:ath00920,0.9999999999999997,0.4783682838684024,0,60,Sulfur metabolism,KEGG
path:ath00020,1,0.43627972261217435,0,78,Citrate cycle (TCA cycle),KEGG
path:ath00051,1,0.426040306796658,0,74,Fructose and mannose metabolism,KEGG
path:ath00061,1,0.5947719340575329,0,52,Fatty acid biosynthesis,KEGG
path:ath00062,1,0.7011211953966271,0,29,Fatty acid elongation,KEGG
path:ath00071,1,0.5423501742954119,0,61,Fatty acid degradation,KEGG
path:ath00073,1,0.8027162705329303,0,20,"Cutin, suberine and wax biosynthesis",KEGG
path:ath00190,1,0.1567323879650069,0,147,Oxidative phosphorylation,KEGG
path:ath00195,1,0.5334833243619156,0,42,Photosynthesis,KEGG
path:ath00196,1,0.742297910375412,0,20,Photosynthesis - antenna proteins,KEGG
path:ath00220,1,0.5966375840448266,0,48,Arginine biosynthesis,KEGG
path:ath00230,1,0.24285871187209415,0,124,Purine metabolism,KEGG
path:ath00232,1,0.9763307942016392,0,3,Caffeine metabolism,KEGG
path:ath00260,1,0.35101633795463433,0,94,"Glycine, serine and threonine metabolism",KEGG
path:ath00261,1,0.834481782376163,0,17,Monobactam biosynthesis,KEGG
path:ath00290,1,0.7310963015970763,0,29,"Valine, leucine and isoleucine biosynthesis",KEGG
path:ath00300,1,0.8305559251302159,0,18,Lysine biosynthesis,KEGG
path:ath00340,1,0.7455063623519249,0,27,Histidine metabolism,KEGG
path:ath00440,1,0.8663052593592818,0,13,Phosphonate and phosphinate metabolism,KEGG
path:ath00510,1,0.5030341106806981,0,62,N-Glycan biosynthesis,KEGG
path:ath00511,1,0.7925572408105439,0,29,Other glycan degradation,KEGG
path:ath00514,1,0.8201903231089773,0,19,Other types of O-glycan biosynthesis,KEGG
path:ath00531,1,0.9084919149716207,0,11,Glycosaminoglycan degradation,KEGG
path:ath00563,1,0.6543368213994801,0,38,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,KEGG
path:ath00565,1,0.6943586961778457,0,39,Ether lipid metabolism,KEGG
path:ath00590,1,0.7815643130906252,0,20,Arachidonic acid metabolism,KEGG
path:ath00591,1,0.9270766493840336,0,8,Linoleic acid metabolism,KEGG
path:ath00600,1,0.6894748859122231,0,40,Sphingolipid metabolism,KEGG
path:ath00601,1,0.9708204247860236,0,2,Glycosphingolipid biosynthesis - lacto and neolacto series,KEGG
path:ath00603,1,0.9152921992364315,0,8,Glycosphingolipid biosynthesis - globo and isoglobo series,KEGG
path:ath00604,1,0.9520266213090373,0,6,Glycosphingolipid biosynthesis - ganglio series,KEGG
path:ath00620,1,0.27370692406055885,0,126,Pyruvate metabolism,KEGG
