"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0010279",1.36683119017668e-07,0.999999999351974,4,7,"indole-3-acetic acid amido synthetase activity","MF"
"2","GO:0020037",2.24275906267599e-06,0.99999959365266,14,316,"heme binding","MF"
"3","GO:0004601",6.6831533520639e-06,0.999999218909608,9,133,"peroxidase activity","MF"
"4","GO:0016881",8.5368840937579e-06,0.999999825949727,4,17,"acid-amino acid ligase activity","MF"
"5","GO:0015112",0.000135447153934046,0.999997323759473,3,13,"nitrate transmembrane transporter activity","MF"
"6","GO:0016759",0.000412044127811926,0.999986746204162,3,30,"cellulose synthase activity","MF"
"7","GO:0015250",0.000690467764106879,0.999950982241897,4,39,"water channel activity","MF"
"8","GO:0016174",0.00080203993803537,0.999990763546059,2,11,"NAD(P)H oxidase activity","MF"
"9","GO:0015267",0.00160357185585662,0.999919604006909,3,22,"channel activity","MF"
"10","GO:0008519",0.00188624200921965,0.999969816832899,2,7,"ammonium transmembrane transporter activity","MF"
"11","GO:0017057",0.00212378206308906,0.999965799894569,2,6,"6-phosphogluconolactonase activity","MF"
"12","GO:0015370",0.00353763343788375,1,1,1,"solute:sodium symporter activity","MF"
"13","GO:0015301",0.00357935388196383,0.99990518699448,2,20,"anion:anion antiporter activity","MF"
"14","GO:0016760",0.00372688640954592,0.999898817849519,2,21,"cellulose synthase (UDP-forming) activity","MF"
"15","GO:0015293",0.00405293319306645,0.999701944339388,3,51,"symporter activity","MF"
"16","GO:0045156",0.0042671445134533,0.999892278587765,2,8,"electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity","MF"
"17","GO:0016298",0.00444353618544615,0.999665195157615,3,42,"lipase activity","MF"
"18","GO:0090411",0.00550820056469881,1,1,1,"brassinosteroid binding","MF"
"19","GO:0008289",0.005544895965465,0.998828344501166,6,184,"lipid binding","MF"
"20","GO:0004497",0.00567741372221179,0.999009061608916,5,134,"monooxygenase activity","MF"
"21","GO:0003700",0.00592187089118519,0.996944948552442,26,1717,"DNA-binding transcription factor activity","MF"
"22","GO:0015415",0.00621687236947516,1,1,1,"ATPase-coupled phosphate ion transmembrane transporter activity","MF"
"23","GO:0017084",0.00709177047367268,0.99998743542843,1,2,"delta1-pyrroline-5-carboxylate synthetase activity","MF"
"24","GO:0030570",0.00849056558386541,0.999649048304695,2,20,"pectate lyase activity","MF"
"25","GO:0019825",0.00852620754274795,0.99802772937039,6,193,"oxygen binding","MF"
"26","GO:0050525",0.00859614098308069,1,1,1,"cutinase activity","MF"
"27","GO:0008909",0.00876562197535658,0.999980788069156,1,2,"isochorismate synthase activity","MF"
"28","GO:0015114",0.00969628787834263,0.999562514978722,2,26,"phosphate ion transmembrane transporter activity","MF"
"29","GO:0016705",0.00979968178727777,0.998491053194486,4,101,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","MF"
"30","GO:0046872",0.0100435839150741,0.994464268311883,28,2119,"metal ion binding","MF"
"31","GO:0048529",0.0104997516471723,1,1,1,"magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase activity","MF"
"32","GO:0004349",0.0105456773452832,0.999962912512449,1,3,"glutamate 5-kinase activity","MF"
"33","GO:0004350",0.0105456773452832,0.999962912512449,1,3,"glutamate-5-semialdehyde dehydrogenase activity","MF"
"34","GO:0045480",0.0106327362647136,1,1,1,"galactose oxidase activity","MF"
"35","GO:0052639",0.0109505821472518,1,1,1,"salicylic acid glucosyltransferase (ester-forming) activity","MF"
"36","GO:0090704",0.0109505821472518,1,1,1,"nicotinate-O-glucosyltransferase activity","MF"
"37","GO:0044212",0.015103544523574,0.995083130435563,8,346,"transcription regulatory region DNA binding","MF"
"38","GO:0061711",0.0154194030916315,0.999940350757375,1,2,"N(6)-L-threonylcarbamoyladenine synthase activity","MF"
"39","GO:0042292",0.0159145780015718,0.999936442130418,1,2,"URM1 activating enzyme activity","MF"
"40","GO:0061604",0.0159145780015718,0.999936442130418,1,2,"molybdopterin-synthase sulfurtransferase activity","MF"
"41","GO:0061605",0.0159145780015718,0.999936442130418,1,2,"molybdopterin-synthase adenylyltransferase activity","MF"
"42","GO:0009671",0.0159547198333405,0.999914902765664,1,3,"nitrate:proton symporter activity","MF"
"43","GO:0016706",0.0163901305334546,0.997991074196808,3,55,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors","MF"
"44","GO:0031516",0.0178291074089683,0.999872474539586,1,5,"far-red light photoreceptor activity","MF"
"45","GO:0004851",0.0212536283606507,0.99984862840249,1,3,"uroporphyrin-III C-methyltransferase activity","MF"
"46","GO:0005506",0.0213510824178286,0.993955314679357,6,245,"iron ion binding","MF"
"47","GO:0009883",0.0214753358252446,0.999807031547473,1,6,"red or far-red light photoreceptor activity","MF"
"48","GO:0004064",0.0217817485820452,0.999880584039654,1,2,"arylesterase activity","MF"
"49","GO:0052641",0.0226999002627129,0.999870243711727,1,2,"benzoic acid glucosyltransferase activity","MF"
"50","GO:0052692",0.0234827095722597,0.999792040517624,1,4,"raffinose alpha-galactosidase activity","MF"
"51","GO:0031418",0.0239130369047149,0.998265821514581,2,26,"L-ascorbic acid binding","MF"
"52","GO:0004557",0.0253113889149424,0.999758202146155,1,4,"alpha-galactosidase activity","MF"
"53","GO:0008020",0.0254338803679871,0.999721221287159,1,7,"G protein-coupled photoreceptor activity","MF"
"54","GO:0016757",0.0271127405936271,0.989463596791755,9,555,"transferase activity, transferring glycosyl groups","MF"
"55","GO:0046715",0.0290534504438603,0.999659808039911,1,5,"active borate transmembrane transporter activity","MF"
"56","GO:0051213",0.0291063539357723,0.993783320635932,4,122,"dioxygenase activity","MF"
"57","GO:0015120",0.0301660002587027,0.999655843574618,1,4,"phosphoglycerate transmembrane transporter activity","MF"
"58","GO:0071917",0.0301660002587027,0.999655843574618,1,4,"triose-phosphate transmembrane transporter activity","MF"
"59","GO:0015144",0.030455069501475,0.995203449945758,3,108,"carbohydrate transmembrane transporter activity","MF"
"60","GO:0005452",0.0324582277856347,0.999544723811165,1,7,"inorganic anion exchanger activity","MF"
"61","GO:0080139",0.0324582277856347,0.999544723811165,1,7,"borate efflux transmembrane transporter activity","MF"
"62","GO:0005351",0.0330124857664529,0.994634580543751,3,111,"carbohydrate:proton symporter activity","MF"
"63","GO:0080002",0.0333660110840881,0.999624869790863,1,3,"UDP-glucose:4-aminobenzoate acylglucosyltransferase activity","MF"
"64","GO:0052640",0.0334974471485213,0.999621885797263,1,3,"salicylic acid glucosyltransferase (glucoside-forming) activity","MF"
"65","GO:0045486",0.0344006622301321,0.999601055328735,1,3,"naringenin 3-dioxygenase activity","MF"
"66","GO:0017150",0.0356681076843996,0.999485874014819,1,5,"tRNA dihydrouridine synthase activity","MF"
"67","GO:0070063",0.0379404870674946,0.999353779122402,1,9,"RNA polymerase binding","MF"
"68","GO:0015204",0.0392511832592843,0.999415050068066,1,4,"urea transmembrane transporter activity","MF"
"69","GO:0016851",0.0396196443675654,0.9993646125059,1,5,"magnesium chelatase activity","MF"
"70","GO:0052659",0.0396581470757937,0.999304387855741,1,8,"inositol-1,3,4,5-tetrakisphosphate 5-phosphatase activity","MF"
"71","GO:0008805",0.0411725212859081,0.999355849206675,1,4,"carbon-monoxide oxygenase activity","MF"
"72","GO:0008641",0.041618392635791,0.99926941573581,1,6,"ubiquitin-like modifier activating enzyme activity","MF"
"73","GO:0052658",0.0430372227613732,0.999166874256563,1,9,"inositol-1,4,5-trisphosphate 5-phosphatase activity","MF"
"74","GO:0016618",0.0447322626833874,0.999238479438988,1,4,"hydroxypyruvate reductase activity","MF"
"75","GO:0052689",0.0448608298918726,0.991817315131677,3,89,"carboxylic ester hydrolase activity","MF"
"76","GO:0080107",0.0450801477464604,0.999117426148437,1,7,"8-methylthiopropyl glucosinolate S-oxygenase activity","MF"
"77","GO:0042409",0.045114877494082,0.999225268362292,1,4,"caffeoyl-CoA O-methyltransferase activity","MF"
"78","GO:0016762",0.0451190278910509,0.995355968225967,2,30,"xyloglucan:xyloglucosyl transferase activity","MF"
"79","GO:0016872",0.0456611165717338,0.9991539478829,1,5,"intramolecular lyase activity","MF"
"80","GO:0005253",0.0458546416042219,0.999053200191972,1,9,"anion channel activity","MF"
"81","GO:0004445",0.0480091445534319,0.998948486231873,1,10,"inositol-polyphosphate 5-phosphatase activity","MF"
"82","GO:0003872",0.0497608584474765,0.998900530857643,1,8,"6-phosphofructokinase activity","MF"
"83","GO:0004737",0.0504637504292066,0.998922024667119,1,6,"pyruvate decarboxylase activity","MF"
"84","GO:0005247",0.0514927556982249,0.998788743531969,1,10,"voltage-gated chloride channel activity","MF"
"85","GO:0008265",0.0521961821445713,0.998789129644591,1,8,"Mo-molybdopterin cofactor sulfurase activity","MF"
"86","GO:0009979",0.0522222558721096,0.998844764884834,1,6,"16:0 monogalactosyldiacylglycerol desaturase activity","MF"
"87","GO:0004402",0.0534420767869119,0.993828862923554,2,55,"histone acetyltransferase activity","MF"
"88","GO:0003843",0.0535874872284648,0.99862343214972,1,18,"1,3-beta-D-glucan synthase activity","MF"
"89","GO:0008271",0.0549725378733676,0.998582838048476,1,13,"secondary active sulfate transmembrane transporter activity","MF"
"90","GO:0015238",0.0552511171807077,0.993501861993212,2,55,"drug transmembrane transporter activity","MF"
"91","GO:0030976",0.0571248825735961,0.998546856229605,1,8,"thiamine pyrophosphate binding","MF"
"92","GO:0046975",0.0575624653725665,0.998501242309111,1,9,"histone methyltransferase activity (H3-K36 specific)","MF"
"93","GO:0016847",0.0593916040401611,0.998459371784588,1,7,"1-aminocyclopropane-1-carboxylate synthase activity","MF"
"94","GO:0004029",0.0594864780312827,0.9983624540229,1,11,"aldehyde dehydrogenase (NAD) activity","MF"
"95","GO:0008135",0.0594975285831394,0.998327401453285,1,14,"translation factor activity, RNA binding","MF"
"96","GO:0008782",0.0595248416495679,0.998494625620912,1,6,"adenosylhomocysteine nucleosidase activity","MF"
"97","GO:0008930",0.0595248416495679,0.998494625620912,1,6,"methylthioadenosine nucleosidase activity","MF"
"98","GO:0042802",0.0595660710729916,0.983954600401145,4,202,"identical protein binding","MF"
"99","GO:0052654",0.0609655687407223,0.998342390935627,1,8,"L-leucine transaminase activity","MF"
"100","GO:0052655",0.0609655687407223,0.998342390935627,1,8,"L-valine transaminase activity","MF"
"101","GO:0052656",0.0609655687407223,0.998342390935627,1,8,"L-isoleucine transaminase activity","MF"
"102","GO:0008200",0.0630568528419773,0.998474657152252,1,4,"ion channel inhibitor activity","MF"
"103","GO:0043878",0.0634557222330087,0.998118569965375,1,12,"glyceraldehyde-3-phosphate dehydrogenase (NAD+) (non-phosphorylating) activity","MF"
"104","GO:0080043",0.0653288900264935,0.986163607699217,3,87,"quercetin 3-O-glucosyltransferase activity","MF"
"105","GO:0016798",0.066520555214904,0.99138393912736,2,44,"hydrolase activity, acting on glycosyl bonds","MF"
"106","GO:0016717",0.07121499186206,0.997693765806575,1,9,"oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water","MF"
"107","GO:0017172",0.0749555265305942,0.997441389320719,1,9,"cysteine dioxygenase activity","MF"
"108","GO:0004017",0.0767052285914301,0.99731870198512,1,9,"adenylate kinase activity","MF"
"109","GO:0016787",0.0803322593900271,0.963821710302481,8,549,"hydrolase activity","MF"
"110","GO:0030267",0.0808959908748668,0.99705832262361,1,8,"glyoxylate reductase (NADP) activity","MF"
"111","GO:0015297",0.0813847886531557,0.981015974901434,3,134,"antiporter activity","MF"
"112","GO:0005471",0.0815249492170352,0.996965411568898,1,9,"ATP:ADP antiporter activity","MF"
"113","GO:0016831",0.0816221106122375,0.99689070287485,1,11,"carboxy-lyase activity","MF"
"114","GO:0030145",0.0826517427423323,0.98791375835777,2,43,"manganese ion binding","MF"
"115","GO:0008757",0.0835074633486192,0.98766106304321,2,50,"S-adenosylmethionine-dependent methyltransferase activity","MF"
"116","GO:0045431",0.084699202432175,0.99677031915333,1,8,"flavonol synthase activity","MF"
"117","GO:0003712",0.0908009867513825,0.985859259306163,2,61,"transcription coregulator activity","MF"
"118","GO:0043621",0.0908420589949255,0.977859290375812,3,118,"protein self-association","MF"
"119","GO:0052852",0.0913985394862949,0.996054763352034,1,12,"very-long-chain-(S)-2-hydroxy-acid oxidase activity","MF"
"120","GO:0052853",0.0913985394862949,0.996054763352034,1,12,"long-chain-(S)-2-hydroxy-long-chain-acid oxidase activity","MF"
"121","GO:0052854",0.0913985394862949,0.996054763352034,1,12,"medium-chain-(S)-2-hydroxy-acid oxidase activity","MF"
"122","GO:0000155",0.0938857572664572,0.995657610957477,1,23,"phosphorelay sensor kinase activity","MF"
"123","GO:0004673",0.0943879376534477,0.99561021047989,1,23,"protein histidine kinase activity","MF"
"124","GO:0008891",0.0945529899654941,0.995743914233566,1,13,"glycolate oxidase activity","MF"
"125","GO:0004028",0.0952898497849468,0.995553961428675,1,20,"3-chloroallyl aldehyde dehydrogenase activity","MF"
"126","GO:0015116",0.0977728841628332,0.99535697572969,1,17,"sulfate transmembrane transporter activity","MF"
"127","GO:0120013",0.0982663449099859,0.995507985679297,1,10,"intermembrane lipid transfer activity","MF"
"128","GO:1902387",0.0982663449099859,0.995507985679297,1,10,"ceramide 1-phosphate binding","MF"
"129","GO:1902388",0.0982663449099859,0.995507985679297,1,10,"ceramide 1-phosphate transporter activity","MF"
"130","GO:0004792",0.0992204365457604,0.99537379105148,1,11,"thiosulfate sulfurtransferase activity","MF"
"131","GO:0009881",0.101314778508273,0.994991014653307,1,18,"photoreceptor activity","MF"
"132","GO:0008194",0.110066945932411,0.970905504610354,3,121,"UDP-glycosyltransferase activity","MF"
"133","GO:0034485",0.11091562817034,0.993940575685423,1,20,"phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase activity","MF"
"134","GO:0016709",0.111300663819322,0.970436223539345,3,122,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen","MF"
"135","GO:0004084",0.113495170045078,0.993729651294293,1,16,"branched-chain-amino-acid transaminase activity","MF"
"136","GO:0009927",0.114724006215442,0.993727258390581,1,12,"histidine phosphotransfer kinase activity","MF"
"137","GO:0016620",0.115150959923188,0.993516872257471,1,17,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor","MF"
"138","GO:0016747",0.116082358171561,0.979225816995809,2,55,"transferase activity, transferring acyl groups other than amino-acyl groups","MF"
"139","GO:0004869",0.122130556181332,0.992994946512474,1,10,"cysteine-type endopeptidase inhibitor activity","MF"
"140","GO:0004693",0.125268893529626,0.976369708895091,2,83,"cyclin-dependent protein serine/threonine kinase activity","MF"
"141","GO:0045735",0.126575379007632,0.976182972570758,2,54,"nutrient reservoir activity","MF"
"142","GO:0050660",0.127928031620569,0.975527449142059,2,93,"flavin adenine dinucleotide binding","MF"
"143","GO:0003774",0.12866009422394,0.991653446938957,1,30,"motor activity","MF"
"144","GO:0022857",0.135207043256305,0.951822128965578,4,264,"transmembrane transporter activity","MF"
"145","GO:0004784",0.137199659983464,0.990791193611516,1,15,"superoxide dismutase activity","MF"
"146","GO:0000049",0.138064925285396,0.990402904088329,1,26,"tRNA binding","MF"
"147","GO:0004089",0.138870658463351,0.990423978655684,1,19,"carbonate dehydratase activity","MF"
"148","GO:0004805",0.142996850271935,0.989657441509185,1,28,"trehalose-phosphatase activity","MF"
"149","GO:0017056",0.143239999798017,0.989565913312876,1,33,"structural constituent of nuclear pore","MF"
"150","GO:0003677",0.150203718284651,0.898548614853241,21,1973,"DNA binding","MF"
"151","GO:0009815",0.155331135126711,0.988111116618248,1,15,"1-aminocyclopropane-1-carboxylate oxidase activity","MF"
"152","GO:0005504",0.156638527804593,0.987767467039428,1,18,"fatty acid binding","MF"
"153","GO:0042973",0.170059322666809,0.985389574672115,1,21,"glucan endo-1,3-beta-D-glucosidase activity","MF"
"154","GO:0004499",0.171585608387813,0.985056250459522,1,23,"N,N-dimethylaniline monooxygenase activity","MF"
"155","GO:0016829",0.175836202414287,0.959337766843634,2,91,"lyase activity","MF"
"156","GO:0004439",0.179161481772802,0.983395142469294,1,37,"phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity","MF"
"157","GO:0070180",0.182034638502923,0.983425749978906,1,16,"large ribosomal subunit rRNA binding","MF"
"158","GO:0004540",0.182069280225733,0.983172615154004,1,21,"ribonuclease activity","MF"
"159","GO:0008061",0.185195588057711,0.982653785747565,1,19,"chitin binding","MF"
"160","GO:0008146",0.193879958060239,0.981038129855917,1,17,"sulfotransferase activity","MF"
"161","GO:0004553",0.196312456437632,0.932648717046634,3,206,"hydrolase activity, hydrolyzing O-glycosyl compounds","MF"
"162","GO:0015095",0.198152114722536,0.979681365704326,1,29,"magnesium ion transmembrane transporter activity","MF"
"163","GO:0016597",0.200585086162736,0.979075222593868,1,33,"amino acid binding","MF"
"164","GO:0016758",0.205905501075474,0.947483341534521,2,97,"transferase activity, transferring hexosyl groups","MF"
"165","GO:0080044",0.214708446512348,0.943918238821778,2,82,"quercetin 7-O-glucosyltransferase activity","MF"
"166","GO:0016779",0.219185229734138,0.974658115635808,1,43,"nucleotidyltransferase activity","MF"
"167","GO:0035251",0.222983458271356,0.974146460930386,1,25,"UDP-glucosyltransferase activity","MF"
"168","GO:0043424",0.22977831828058,0.972169202495824,1,35,"protein histidine kinase binding","MF"
"169","GO:0004129",0.231960239624772,0.972012345692299,1,23,"cytochrome-c oxidase activity","MF"
"170","GO:0016788",0.245617599553318,0.929991420007871,2,96,"hydrolase activity, acting on ester bonds","MF"
"171","GO:0005515",0.275691597835598,0.781644879690622,37,4307,"protein binding","MF"
"172","GO:0004650",0.281605183148278,0.957141947385213,1,40,"polygalacturonase activity","MF"
"173","GO:0010181",0.285183380048802,0.955908316672625,1,43,"FMN binding","MF"
"174","GO:0046873",0.293476513649169,0.95309629023946,1,45,"metal ion transmembrane transporter activity","MF"
"175","GO:0045330",0.295245362191748,0.952561619828688,1,42,"aspartyl esterase activity","MF"
"176","GO:0080030",0.317238681222791,0.944901484025441,1,36,"methyl indole-3-acetate esterase activity","MF"
"177","GO:0004857",0.327748571466402,0.941049542704097,1,33,"enzyme inhibitor activity","MF"
"178","GO:0043565",0.328608261215574,0.786547618566346,9,838,"sequence-specific DNA binding","MF"
"179","GO:0030599",0.32971049844393,0.939803817885568,1,47,"pectinesterase activity","MF"
"180","GO:0004672",0.346422777981414,0.806327436615618,5,634,"protein kinase activity","MF"
"181","GO:0016413",0.357505617699998,0.928184403714171,1,53,"O-acetyltransferase activity","MF"
"182","GO:0000978",0.363044293082809,0.925910973327617,1,47,"RNA polymerase II proximal promoter sequence-specific DNA binding","MF"
"183","GO:0005215",0.378047202158501,0.82039586010273,3,321,"transporter activity","MF"
"184","GO:0004712",0.387664511850538,0.913828990297199,1,87,"protein serine/threonine/tyrosine kinase activity","MF"
"185","GO:0004675",0.395611370982643,0.843691442189741,2,196,"transmembrane receptor protein serine/threonine kinase activity","MF"
"186","GO:0051537",0.398043252593482,0.909283475311078,1,53,"2 iron, 2 sulfur cluster binding","MF"
"187","GO:0071949",0.400964554698174,0.907458402136975,1,70,"FAD binding","MF"
"188","GO:0003824",0.405175925065081,0.77643010818721,4,381,"catalytic activity","MF"
"189","GO:0004190",0.406949267804271,0.904493238188721,1,65,"aspartic-type endopeptidase activity","MF"
"190","GO:0050661",0.407726036420128,0.904020252573625,1,69,"NADP binding","MF"
"191","GO:0003746",0.410279674314724,0.902678704494279,1,70,"translation elongation factor activity","MF"
"192","GO:0005509",0.450177535199884,0.764550669041597,3,305,"calcium ion binding","MF"
"193","GO:0004252",0.459100638731173,0.874824945267298,1,93,"serine-type endopeptidase activity","MF"
"194","GO:0030246",0.464063102122172,0.793933158304977,2,199,"carbohydrate binding","MF"
"195","GO:0046910",0.471205526766132,0.867994083910941,1,59,"pectinesterase inhibitor activity","MF"
"196","GO:0051287",0.471234964605575,0.867480437025059,1,81,"NAD binding","MF"
"197","GO:0005525",0.473501460585328,0.745000595490785,3,323,"GTP binding","MF"
"198","GO:0015450",0.477586438634028,0.864014656544059,1,57,"P-P-bond-hydrolysis-driven protein transmembrane transporter activity","MF"
"199","GO:0000166",0.478850317516167,0.78206528133932,2,245,"nucleotide binding","MF"
"200","GO:0042803",0.491021355178982,0.772355055483834,2,208,"protein homodimerization activity","MF"
"201","GO:0016740",0.498140637450764,0.696732677291924,4,388,"transferase activity","MF"
"202","GO:0003924",0.523667660968123,0.744678826506064,2,219,"GTPase activity","MF"
"203","GO:0043531",0.528860642662232,0.827252493316081,1,138,"ADP binding","MF"
"204","GO:0016491",0.538101015915935,0.65921156896805,4,445,"oxidoreductase activity","MF"
"205","GO:0051539",0.548911446378187,0.812391597861129,1,90,"4 iron, 4 sulfur cluster binding","MF"
"206","GO:0008168",0.549538404140636,0.721521038975759,2,223,"methyltransferase activity","MF"
"207","GO:0019901",0.552069634303987,0.809700546046742,1,102,"protein kinase binding","MF"
"208","GO:0000287",0.5790546770724,0.787069294466182,1,128,"magnesium ion binding","MF"
"209","GO:0030170",0.582082276306224,0.784528632869729,1,121,"pyridoxal phosphate binding","MF"
"210","GO:0015035",0.616656292295964,0.75391237365577,1,78,"protein disulfide oxidoreductase activity","MF"
"211","GO:0003743",0.639906612130527,0.730190806507143,1,125,"translation initiation factor activity","MF"
"212","GO:0005507",0.709675567458572,0.55012669551853,2,272,"copper ion binding","MF"
"213","GO:0005524",0.710552098983988,0.38814026223156,14,2551,"ATP binding","MF"
"214","GO:0005516",0.71102703073918,0.548155464227369,2,362,"calmodulin binding","MF"
"215","GO:0008270",0.731189798814479,0.39507553307556,8,1106,"zinc ion binding","MF"
"216","GO:0009055",0.790471684863596,0.539830535336911,1,147,"electron transfer activity","MF"
"217","GO:0004722",0.796660395738351,0.529549841169332,1,212,"protein serine/threonine phosphatase activity","MF"
"218","GO:0003729",0.833244583818598,0.334229441410507,3,608,"mRNA binding","MF"
"219","GO:0016301",0.84724493190193,0.262989286497729,6,1234,"kinase activity","MF"
"220","GO:0004842",0.862466158812739,0.325890223485454,2,415,"ubiquitin-protein transferase activity","MF"
"221","GO:0003735",0.913137500001396,0.200948495964696,3,442,"structural constituent of ribosome","MF"
"222","GO:0046983",0.915735673789589,0.294679440008048,1,299,"protein dimerization activity","MF"
"223","GO:0004674",0.968887585052855,0.101676502292051,2,850,"protein serine/threonine kinase activity","MF"
"224","GO:0003676",0.9829347218511,0.0874087916202352,1,522,"nucleic acid binding","MF"
"225","GO:0003723",0.999310303709282,0.00580764824101451,1,966,"RNA binding","MF"
"226","GO:0003674",0.999667055063075,0.00063347187181642,31,4697,"molecular_function","MF"
"227","GO:0000009",1,0.991441833047725,0,2,"alpha-1,6-mannosyltransferase activity","MF"
"228","GO:0000014",1,0.928456259744406,0,11,"single-stranded DNA endodeoxyribonuclease activity","MF"
"229","GO:0000026",1,0.994567039409012,0,1,"alpha-1,2-mannosyltransferase activity","MF"
"230","GO:0000030",1,0.947077372747586,0,9,"mannosyltransferase activity","MF"
"231","GO:0000033",1,0.993110392882155,0,1,"alpha-1,3-mannosyltransferase activity","MF"
"232","GO:0000035",1,0.95702855838689,0,4,"acyl binding","MF"
"233","GO:0000036",1,0.862228073529238,0,15,"acyl carrier activity","MF"
"234","GO:0000048",1,0.962925437907635,0,5,"peptidyltransferase activity","MF"
"235","GO:0000062",1,0.914621544462922,0,10,"fatty-acyl-CoA binding","MF"
"236","GO:0000064",1,0.961830731015002,0,4,"L-ornithine transmembrane transporter activity","MF"
"237","GO:0000095",1,0.94219329131572,0,8,"S-adenosyl-L-methionine transmembrane transporter activity","MF"
"238","GO:0000104",1,0.924019990440995,0,9,"succinate dehydrogenase activity","MF"
"239","GO:0000107",1,0.996173890457561,0,1,"imidazoleglycerol-phosphate synthase activity","MF"
"240","GO:0000121",1,0.989371427473529,0,1,"glycerol-1-phosphatase activity","MF"
"241","GO:0000140",1,0.975344782491117,0,2,"acylglycerone-phosphate reductase activity","MF"
"242","GO:0000146",1,0.993540760646848,0,2,"microfilament motor activity","MF"
"243","GO:0000149",1,0.465606195703428,0,85,"SNARE binding","MF"
"244","GO:0000150",1,0.970368394246787,0,4,"recombinase activity","MF"
"245","GO:0000156",1,0.775332791818146,0,33,"phosphorelay response regulator activity","MF"
"246","GO:0000170",1,0.961832443231454,0,5,"sphingosine hydroxylase activity","MF"
"247","GO:0000171",1,0.980328876405485,0,2,"ribonuclease MRP activity","MF"
"248","GO:0000175",1,0.824963324806315,0,26,"3'-5'-exoribonuclease activity","MF"
"249","GO:0000179",1,0.955957171312121,0,4,"rRNA (adenine-N6,N6-)-dimethyltransferase activity","MF"
"250","GO:0000182",1,0.992163461410552,0,1,"rDNA binding","MF"
"251","GO:0000210",1,0.861277008848595,0,15,"NAD+ diphosphatase activity","MF"
"252","GO:0000213",1,0.936946576778008,0,6,"tRNA-intron endonuclease activity","MF"
"253","GO:0000215",1,0.979124644499145,0,2,"tRNA 2'-phosphotransferase activity","MF"
"254","GO:0000224",1,0.996153075416902,0,1,"peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity","MF"
"255","GO:0000225",1,0.959299985321709,0,5,"N-acetylglucosaminylphosphatidylinositol deacetylase activity","MF"
"256","GO:0000234",1,0.97688089705333,0,4,"phosphoethanolamine N-methyltransferase activity","MF"
"257","GO:0000247",1,0.987499622118518,0,1,"C-8 sterol isomerase activity","MF"
