"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0000272",9.12786952649558e-08,0.999999997952886,6,17,"polysaccharide catabolic process","BP"
"2","GO:0006032",3.65915934746243e-07,0.999999989189686,6,19,"chitin catabolic process","BP"
"3","GO:0019438",1.07771365267889e-06,0.999999977501676,5,13,"aromatic compound biosynthetic process","BP"
"4","GO:0016099",7.11430141228149e-06,0.999999978303262,3,4,"monoterpenoid biosynthetic process","BP"
"5","GO:0042742",3.13531485544485e-05,0.999991441424465,17,410,"defense response to bacterium","BP"
"6","GO:0006749",4.10739090834637e-05,0.999995822899298,7,57,"glutathione metabolic process","BP"
"7","GO:0009414",0.000114497527517349,0.999966668388004,16,399,"response to water deprivation","BP"
"8","GO:0006952",0.000126497661353305,0.999954235813231,22,703,"defense response","BP"
"9","GO:0010200",0.000133019546205315,0.999974150593138,10,152,"response to chitin","BP"
"10","GO:0042343",0.000177583488660643,0.999991782738072,4,20,"indole glucosinolate metabolic process","BP"
"11","GO:0009407",0.000256009081563829,0.999971556228689,6,52,"toxin catabolic process","BP"
"12","GO:0055072",0.000260903888665083,0.999978379314187,5,40,"iron ion homeostasis","BP"
"13","GO:0055114",0.000307381288598521,0.999853278679337,35,1349,"oxidation-reduction process","BP"
"14","GO:0010447",0.000307637091303656,0.999992697260217,3,9,"response to acidic pH","BP"
"15","GO:0016042",0.000346741627738585,0.999939449972882,8,131,"lipid catabolic process","BP"
"16","GO:0007229",0.000388951302778545,0.999998512719645,2,3,"integrin-mediated signaling pathway","BP"
"17","GO:0042659",0.000407970868013941,0.999998401857342,2,3,"regulation of cell fate specification","BP"
"18","GO:0006468",0.0004398645919435,0.999813930277308,25,1021,"protein phosphorylation","BP"
"19","GO:2000067",0.000550954357257209,0.999982328057526,3,13,"regulation of root morphogenesis","BP"
"20","GO:0071456",0.000611239804920979,0.999959328405966,4,26,"cellular response to hypoxia","BP"
"21","GO:0009751",0.000647913688621734,0.999845029531476,10,197,"response to salicylic acid","BP"
"22","GO:0016998",0.000706416423247486,0.999951132643831,4,26,"cell wall macromolecule catabolic process","BP"
"23","GO:0010039",0.00108364926061778,0.999914368700328,4,31,"response to iron ion","BP"
"24","GO:0006979",0.00113985656244755,0.999622119887259,14,376,"response to oxidative stress","BP"
