category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,Annotation,ontology
ARA:PWY-2021,7.664161983259784e-6,0.9999998753439574,4,10,indole-3-acetate degradation IV,BioCyc
ARA:PWY-5788,7.664161983259784e-6,0.9999998753439574,4,10,indole-3-acetate degradation V,BioCyc
ARA:PWY-6219,7.664161983259784e-6,0.9999998753439574,4,10,indole-3-acetyl-amide conjugate biosynthesis,BioCyc
ARA:PWY-1782,6.273997112180515e-5,0.9999979877878086,4,15,superpathway of indole-3-acetate conjugate biosynthesis,BioCyc
ARA:PWY-5986,3.5330134973254065e-4,1,2,2,ammonium transport,BioCyc
ARA:PWY-101,4.415174989517097e-4,0.9999487679203591,6,46,photosynthesis light reactions,BioCyc
ARA:PWY-1001,5.582782468096019e-4,0.9999813252637094,3,20,cellulose biosynthesis,BioCyc
ARA:PHOTOALL-PWY,0.006410736462831641,0.9986858711624724,6,85,oxygenic photosynthesis,BioCyc
ARA:PWY-5343,0.011710856532228546,1,1,1,ajugose biosynthesis II (galactinol-independent),BioCyc
ARA:PWY-6787,0.01400801213877138,0.9984796995524614,3,27,flavonoid biosynthesis (in equisetum),BioCyc
ARA:PWY-6406,0.016381172327506577,0.9999335543596021,1,2,salicylate biosynthesis I,BioCyc
ARA:PWY-7325,0.016981048265284137,1,1,1,salvigenin biosynthesis,BioCyc
ARA:PWY1F-FLAVSYN,0.01747355674632246,0.9979113364116857,3,33,flavonoid biosynthesis,BioCyc
ARA:PWY-6232,0.020703274701086644,1,1,1,chrysoeriol biosynthesis,BioCyc
ARA:PWY-7186,0.02078260509775519,0.998689626677015,2,15,superpathway of scopolin and esculin biosynthesis,BioCyc
ARA:PWY-5049,0.021489361808044793,1,1,1,rosmarinic acid biosynthesis II,BioCyc
ARA:PWY-6064,0.035889467725377704,0.9996778129121469,1,2,methylquercetin biosynthesis,BioCyc
ARA:OXIDATIVEPENT-PWY,0.037661706763551295,0.996640906505776,2,20,pentose phosphate pathway (oxidative branch) I,BioCyc
ARA:PWY4FS-10,0.03967686129859038,0.9996054426196798,1,2,scopolin biosynthesis,BioCyc
ARA:PWY-6624,0.04216951682500234,0.999553726444613,1,2,salicylate glucosides biosynthesis III,BioCyc
ARA:PWY-6762,0.04216951682500234,0.999553726444613,1,2,salicylate glucosides biosynthesis IV,BioCyc
ARA:PWY-7468,0.04216951682500234,0.999553726444613,1,2,benzoyl-&beta;-D-glucopyranose biosynthesis,BioCyc
ARA:CHLOROPHYLL-SYN,0.047404761461554215,0.9951708905438761,2,22,"3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)",BioCyc
ARA:PWY-6303,0.07121090305517064,0.9979475916247486,1,5,methyl indole-3-acetate interconversion,BioCyc
ARA:PWY-5194,0.07862104183888233,0.9974902429710569,1,5,siroheme biosynthesis,BioCyc
ARA:PWY-2181,0.08637909549806878,0.9969603194488844,1,5,free phenylpropanoid acid biosynthesis,BioCyc
ARA:ETHYL-PWY,0.08941775798380897,0.986743760997634,2,31,ethylene biosynthesis I (plants),BioCyc
ARA:PWY-6364,0.10083103765001322,0.995243988187048,1,12,"D-myo-inositol (1,3,4)-trisphosphate biosynthesis",BioCyc
ARA:PWY-6756,0.10882706011877075,0.9949310887696582,1,6,S-methyl-5'-thioadenosine degradation II,BioCyc
ARA:PENTOSE-P-PWY,0.11076380838430872,0.9813010844468556,2,36,pentose phosphate pathway,BioCyc
ARA:PWY-5079,0.11348748501739456,0.9942102267068701,1,8,L-phenylalanine degradation III,BioCyc
ARA:PWY-2724,0.11581494500047683,0.9936879760329477,1,12,alkane oxidation,BioCyc
ARA:PWY-6773,0.1169680840027006,0.993351487022824,1,19,"1,3-&beta;-D-glucan biosynthesis",BioCyc
ARA:PWY-1081,0.11707621044460147,0.9795438679885026,2,38,homogalacturonan degradation,BioCyc
ARA:PWY-5791,0.12709887627296942,0.9925856036140834,1,9,"1,4-dihydroxy-2-naphthoate biosynthesis II (plants)",BioCyc
ARA:PWY-5837,0.12709887627296942,0.9925856036140834,1,9,"1,4-dihydroxy-2-naphthoate biosynthesis",BioCyc
ARA:PWY-782,0.13297621971041365,0.9918642370769777,1,9,glycolipid desaturation,BioCyc
ARA:PWY-6444,0.14200493022058988,0.9902435960137785,1,15,"benzoate biosynthesis II (CoA-independent, non-&beta;-oxidative)",BioCyc
ARA:PWY-2501,0.14208015611269542,0.9902329617551948,1,15,fatty acid &alpha;-oxidation I,BioCyc
ARA:PWY-861,0.14350884449052628,0.9906245992579065,1,8,dhurrin biosynthesis,BioCyc
ARA:PWY-6754,0.15154284380169417,0.989351330284683,1,9,S-methyl-5'-thioadenosine degradation I,BioCyc
ARA:PWY-7270,0.1518475032450864,0.9689598004412832,2,41,L-methionine salvage cycle II (plants),BioCyc
ARA:PWY-6199,0.15256419643534416,0.9895699125306359,1,7,quercetin sulfate biosynthesis,BioCyc
ARA:PWY-5391,0.1597202882069892,0.9881301136714606,1,9,syringetin biosynthesis,BioCyc
ARA:PWY-6546,0.1616175194591043,0.9878366523651368,1,9,brassinosteroids inactivation,BioCyc
ARA:PWY-5152,0.1675187039784115,0.9867445842181581,1,10,leucodelphinidin biosynthesis,BioCyc
ARA:ILE-VAL-PWY,0.18251780504078954,0.9833835476797446,1,19,superpathway of isoleucine and valine biosynthesis,BioCyc
ARA:PWY-3101,0.19449742884300034,0.9817534945788143,1,11,flavonol biosynthesis,BioCyc
ARA:PWY-6792,0.19647651998703677,0.9815385808366773,1,10,scopoletin biosynthesis,BioCyc
ARA:PWY-6363,0.21099422587977326,0.9774733355803505,1,20,"D-myo-inositol (1,4,5)-trisphosphate degradation",BioCyc
ARA:PWY0A-6303,0.21104096050927124,0.9780550523255871,1,13,methyl indole-3-acetate interconversion,BioCyc
ARA:PWY-5486,0.21246242142651545,0.9774230491114646,1,16,pyruvate fermentation to ethanol II,BioCyc
ARA:PWY-6446,0.21862483415473755,0.9757371465424206,1,20,"benzoate biosynthesis III (CoA-dependent, non-&beta;-oxidative)",BioCyc
ARA:PWY-5321,0.21923494565506804,0.9436684612910531,2,44,quercetin glycoside biosynthesis (Arabidopsis),BioCyc
ARA:PWY-6266,0.21923494565506804,0.9436684612910531,2,44,superpathway of flavones and derivatives biosynthesis,BioCyc
ARA:PWY-6266-ARA,0.21923494565506804,0.9436684612910531,2,44,superpathway of flavones and derivatives biosynthesis,BioCyc
ARA:ILEUDEG-PWY,0.2509241288702241,0.9675959212480304,1,20,L-isoleucine degradation I,BioCyc
ARA:TRESYN-PWY,0.2518141410767445,0.9669076076277547,1,28,trehalose biosynthesis I,BioCyc
ARA:PWY-6443,0.25933257776055707,0.9253885653469166,2,54,"benzoate biosynthesis I (CoA-dependent, &beta;-oxidative)",BioCyc
ARA:DETOX1-PWY,0.27076201129275584,0.9618564451999622,1,21,superoxide radicals degradation,BioCyc
ARA:PWY-6823,0.2876655667248679,0.9567195561909076,1,20,molybdenum cofactor biosynthesis,BioCyc
ARA:PWY-7398,0.306433596301195,0.9505929930011708,1,19,coumarins biosynthesis (engineered),BioCyc
ARA:LEUSYN-PWY,0.31288542222679094,0.9475892187713284,1,27,L-leucine biosynthesis,BioCyc
ARA:PWY-6039,0.31940285179300176,0.9457514103626969,1,21,chlorogenic acid biosynthesis I,BioCyc
ARA:PWY66-21,0.3216884436180851,0.9439914618913152,1,34,ethanol degradation II,BioCyc
ARA:VALDEG-PWY,0.3316546626409897,0.9404087854775678,1,30,L-valine degradation I,BioCyc
ARA:PWY-5936,0.34611582778623684,0.9349658150133078,1,26,xyloglucan biosynthesis,BioCyc
ARA:LEU-DEG2-PWY,0.3563886036304961,0.9302684590092126,1,32,L-leucine degradation I,BioCyc
ARA:PWY-5868,0.3710096198695539,0.9242075732125258,1,28,simple coumarins biosynthesis,BioCyc
ARA:DETOX1-PWY-1,0.37594355675631835,0.9219948275879343,1,28,reactive oxygen species degradation,BioCyc
ARA:BRANCHED-CHAIN-AA-SYN-PWY,0.37804183462490804,0.9204378998190555,1,37,superpathway of branched chain amino acid biosynthesis,BioCyc
ARA:PWYQT-62,0.3821273156884849,0.9187832754067365,1,33,superpathway of proto- and siroheme biosynthesis,BioCyc
ARA:PWY-3001,0.385462042094439,0.9168004818764987,1,41,superpathway of L-isoleucine biosynthesis I,BioCyc
