"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0004601",5.39304271995147e-13,1,21,133,"peroxidase activity","MF"
"2","GO:0005199",5.62631731377227e-13,1,12,31,"structural constituent of cell wall","MF"
"3","GO:0020037",3.33153362554871e-08,0.999999992637145,24,316,"heme binding","MF"
"4","GO:0043531",4.59637333959341e-06,0.999999325191531,11,138,"ADP binding","MF"
"5","GO:0016174",7.14580791720486e-06,0.999999876181914,4,11,"NAD(P)H oxidase activity","MF"
"6","GO:0016301",7.17215915470898e-06,0.999996950326518,41,1234,"kinase activity","MF"
"7","GO:0043295",1.12957699179843e-05,0.999999378973792,6,20,"glutathione binding","MF"
"8","GO:0030246",1.55627153818855e-05,0.999996636134806,14,199,"carbohydrate binding","MF"
"9","GO:2001147",2.2730320407283e-05,1,3,3,"camalexin binding","MF"
"10","GO:2001227",2.2730320407283e-05,1,3,3,"quercitrin binding","MF"
"11","GO:0005509",2.8554295188088e-05,0.999991931600009,18,305,"calcium ion binding","MF"
"12","GO:0015114",3.19769943587776e-05,0.999998385605554,5,26,"phosphate ion transmembrane transporter activity","MF"
"13","GO:0016762",0.000678510598198472,0.999932343353678,5,30,"xyloglucan:xyloglucosyl transferase activity","MF"
"14","GO:0005524",0.000835903524854197,0.999503090125641,58,2551,"ATP binding","MF"
"15","GO:0004190",0.000981750420459701,0.999856771081347,6,65,"aspartic-type endopeptidase activity","MF"
"16","GO:0004649",0.00191805813939222,0.999972944968779,2,5,"poly(ADP-ribose) glycohydrolase activity","MF"
"17","GO:0016798",0.00221308733199348,0.999701428709234,5,44,"hydrolase activity, acting on glycosyl bonds","MF"
"18","GO:0004049",0.00221334473541503,0.999966408953256,2,5,"anthranilate synthase activity","MF"
"19","GO:0015116",0.0022552332332057,0.999875909171696,3,17,"sulfate transmembrane transporter activity","MF"
"20","GO:0004674",0.00233526744141975,0.998898099220709,24,850,"protein serine/threonine kinase activity","MF"
"21","GO:0030247",0.00238055623628419,0.999671079674391,5,49,"polysaccharide binding","MF"
"22","GO:0004364",0.00247318439992982,0.999492520703666,7,69,"glutathione transferase activity","MF"
"23","GO:0005319",0.00321032243744786,0.999798234776985,3,18,"lipid transporter activity","MF"
"24","GO:0004675",0.00417402442324495,0.998804685333569,9,196,"transmembrane receptor protein serine/threonine kinase activity","MF"
"25","GO:0047631",0.00432048301720674,0.999698083018309,3,18,"ADP-ribose diphosphatase activity","MF"
"26","GO:0035529",0.00449830321139391,0.999678893711956,3,19,"NADH pyrophosphatase activity","MF"
"27","GO:0016298",0.0060186137634163,0.999216456186423,4,42,"lipase activity","MF"
"28","GO:0016847",0.00627848486687013,0.999813023457154,2,7,"1-aminocyclopropane-1-carboxylate synthase activity","MF"
"29","GO:0052689",0.0069984914158802,0.998464378123968,6,89,"carboxylic ester hydrolase activity","MF"
"30","GO:0015293",0.00708855105292713,0.999022976167693,4,51,"symporter activity","MF"
"31","GO:0000293",0.00989580516755267,0.999585954326131,2,11,"ferric-chelate reductase activity","MF"
"32","GO:0019825",0.011136242885144,0.996282764832017,9,193,"oxygen binding","MF"
"33","GO:0009674",0.0116803333882508,1,1,1,"potassium:sodium symporter activity","MF"
"34","GO:0045735",0.0125125412400049,0.997418087258898,5,54,"nutrient reservoir activity","MF"
"35","GO:0008453",0.013941288385345,0.999292379685493,2,12,"alanine-glyoxylate transaminase activity","MF"
"36","GO:0015415",0.0142386963071437,1,1,1,"ATPase-coupled phosphate ion transmembrane transporter activity","MF"
"37","GO:0047268",0.0142977425593382,1,1,1,"galactinol-raffinose galactosyltransferase activity","MF"
"38","GO:0031543",0.0154502605751422,1,1,1,"peptidyl-proline dioxygenase activity","MF"
"39","GO:0062047",0.0154502605751422,1,1,1,"pipecolic acid N-hydroxylase","MF"
"40","GO:0004568",0.0164681687876171,0.998079077127129,3,22,"chitinase activity","MF"
"41","GO:0016740",0.016590563939853,0.992280450189066,15,388,"transferase activity","MF"
"42","GO:0080073",0.0166048527031169,1,1,1,"spermidine:coumaroyl CoA N-acyltransferase activity","MF"
"43","GO:1901683",0.0171859503874906,1,1,1,"arsenate ion transmembrane transporter activity","MF"
"44","GO:0106149",0.01845620922773,1,1,1,"indole-3-carbonyl nitrile 4-hydroxylase activity","MF"
"45","GO:0016040",0.0195590457976689,0.999871602103558,1,3,"glutamate synthase (NADH) activity","MF"
